Province_State,Deaths,Recovered,Confirmed,Incident_Rate,People_Hospitalized,date,Population,Active
Mississippi,97,301,2861,93.44290222,548.0,04-12-2020,2976149,2463
Mississippi,101,401,2936,98.85257760952156,549.0,04-13-2020,2976149,2434
Mississippi,110,602,3129,103.72464550665978,596.0,04-14-2020,2976149,2417
Mississippi,120,803,3357,112.89757334058208,645.0,04-15-2020,2976149,2434
Mississippi,130,1003,3592,121.76809696019924,682.0,04-16-2020,2976149,2459
Mississippi,140,1204,3797,127.44657609548446,736.0,04-17-2020,2976149,2453
Mississippi,150,1405,4013,133.5282608498432,782.0,04-18-2020,2976149,2458
Mississippi,160,1606,4253,143.60840132668088,808.0,04-19-2020,2976149,2487
Mississippi,170,1806,4500,151.60531277163878,819.0,04-20-2020,2976149,2524
Mississippi,181,2007,4707,158.45980829588842,858.0,04-21-2020,2976149,2519
Mississippi,192,2208,4921,164.44069164547878,910.0,04-22-2020,2976149,2521
Mississippi,201,2409,5160,173.1432129238153,946.0,04-23-2020,2976149,2550
Mississippi,210,2609,5435,182.5849445037866,970.0,04-24-2020,2976149,2616
Mississippi,219,2810,5687,192.12747748852627,996.0,04-25-2020,2976149,2658
Mississippi,225,3011,5907,198.6123678619585,1001.0,04-26-2020,2976149,2671
Mississippi,231,3212,6115,204.76125355282952,1060.0,04-27-2020,2976149,2672
Mississippi,239,3413,6335,213.09416968034867,1088.0,04-28-2020,2976149,2683
Mississippi,250,3614,6575,220.7214759744892,1126.0,04-29-2020,2976149,2711
Mississippi,264,3816,6865,228.98719116549609,1175.0,04-30-2020,2976149,2785
Mississippi,277,4017,7156,242.32657706317795,1226.0,05-01-2020,2976149,2862
Mississippi,291,4219,7401,250.0210842938307,1265.0,05-02-2020,2976149,2891
Mississippi,301,4441,7622,253.6835353337484,1298.0,05-03-2020,2976149,2880
Mississippi,318,4684,7878,264.6708884535015,1316.0,05-04-2020,2976149,2876
Mississippi,342,4948,8169,275.75904297802293,1352.0,05-05-2020,2976149,2879
Mississippi,370,5212,8439,283.0503445896022,1392.0,05-06-2020,2976149,2857
Mississippi,393,5476,8733,291.8536672727071,1442.0,05-07-2020,2976149,2864
Mississippi,408,5740,9051,305.42825644818186,1478.0,05-08-2020,2976149,2903
Mississippi,420,6004,9323,315.10519130594605,1512.0,05-09-2020,2976149,2899
Mississippi,428,6247,9517,319.2380489014495,1531.0,05-10-2020,2976149,2842
Mississippi,440,6469,9694,325.05092990975925,1546.0,05-11-2020,2976149,2785
Mississippi,452,6671,9890,332.9134394816926,1582.0,05-12-2020,2976149,2767
Mississippi,467,6873,10160,339.0287247043075,1616.0,05-13-2020,2976149,2820
Mississippi,479,7075,10458,352.23370872896487,1667.0,05-14-2020,2976149,2904
Mississippi,494,7277,10802,362.9186576344128,1712.0,05-15-2020,2976149,3031
Mississippi,508,7479,11073,373.7380084128852,1748.0,05-16-2020,2976149,3086
Mississippi,519,7695,11283,379.550889421195,1773.0,05-17-2020,2976149,3069
Mississippi,534,7926,11477,384.120553104028,1805.0,05-18-2020,2976149,3017
Mississippi,550,8172,11701,393.2598804696942,1840.0,05-19-2020,2976149,2979
Mississippi,568,8418,11964,402.0968036210552,1901.0,05-20-2020,2976149,2978
Mississippi,581,8663,12271,410.6649230263673,1932.0,05-21-2020,2976149,3027
Mississippi,597,8909,12617,424.20591173358594,1966.0,05-22-2020,2976149,3111
Mississippi,612,9155,12963,436.97408967091366,1996.0,05-23-2020,2976149,3196
Mississippi,625,9404,13241,445.5422090762257,2023.0,05-24-2020,2976149,3212
Mississippi,637,9658,13483,452.19510179093857,2046.0,05-25-2020,2976149,3188
Mississippi,652,9915,13744,461.36802962486087,2070.0,05-26-2020,2976149,3177
Mississippi,671,10173,14049,471.8849761890282,2106.0,05-27-2020,2976149,3205
Mississippi,691,10430,14403,482.9059297770374,2147.0,05-28-2020,2976149,3282
Mississippi,708,10688,14798,497.0517269128663,2208.0,05-29-2020,2976149,3402
Mississippi,722,10945,15181,511.701531072537,2240.0,05-30-2020,2976149,3514
Mississippi,732,11219,15501,521.580068739838,2272.0,05-31-2020,2976149,3550
Mississippi,746,11510,15772,529.2745759704907,2296.0,06-01-2020,2976149,3516
Mississippi,762,11818,16038,538.985111296511,2296.0,06-02-2020,2976149,3458
Mississippi,781,12125,16307,548.4268428764823,2340.0,06-03-2020,2976149,3401
Mississippi,793,12433,16550,556.4237543214402,2340.0,06-04-2020,2976149,3324
Mississippi,802,12740,16789,563.4462521869705,2475.0,06-05-2020,2976149,3247
Mississippi,810,13048,17026,572.5183786161244,2475.0,06-06-2020,2976149,3168
Mississippi,821,13347,17359,580.2800867832894,2522.0,06-07-2020,2976149,3191
Mississippi,833,13637,17720,597.0131199748399,2535.0,06-08-2020,2976149,3250
Mississippi,852,13918,18124,608.9412862057645,2535.0,06-09-2020,2976149,3354
Mississippi,867,14199,18363,621.0374547779697,2614.0,06-10-2020,2976149,3297
Mississippi,878,14480,18685,621.0374547779697,2614.0,06-11-2020,2976149,3327
Mississippi,883,14761,18974,641.4665394776941,2643.0,06-12-2020,2976149,3330
Mississippi,887,15042,19318,650.1018598195185,2644.0,06-13-2020,2976149,3389
Mississippi,891,15320,19554,655.7467384865475,2665.0,06-14-2020,2976149,3343
Mississippi,900,15597,19822,665.2556710030311,2680.0,06-15-2020,2976149,3325
Mississippi,918,15871,20197,677.1166362974434,2728.0,06-16-2020,2976149,3408
Mississippi,938,16145,20478,693.5472652746888,2767.0,06-17-2020,2976149,3395
Mississippi,954,16419,20641,693.5472652746888,2767.0,06-18-2020,2976149,3268
