Province_State,Deaths,Recovered,Confirmed,Incident_Rate,People_Hospitalized,date,Population,Active
New Mexico,29,265,1253,59.3753711,78.0,04-12-2020,2096829,959
New Mexico,30,278,1284,60.18611913513215,80.0,04-13-2020,2096829,976
New Mexico,34,313,1363,64.14447720820344,181.0,04-14-2020,2096829,1016
New Mexico,38,337,1437,70.77353470406982,181.0,04-15-2020,2096829,1062
New Mexico,42,363,1521,70.77353470406982,215.0,04-16-2020,2096829,1116
New Mexico,47,377,1626,76.16262461078132,230.0,04-17-2020,2096829,1202
New Mexico,50,409,1746,85.74852789617084,242.0,04-18-2020,2096829,1287
New Mexico,57,444,1871,87.99000776887385,258.0,04-19-2020,2096829,1370
New Mexico,63,484,1929,93.9990814701628,274.0,04-20-2020,2096829,1382
New Mexico,68,505,2050,93.9990814701628,291.0,04-21-2020,2096829,1477
New Mexico,73,525,2186,105.39724507816328,306.0,04-22-2020,2096829,1588
New Mexico,77,567,2370,113.45703440766988,331.0,04-23-2020,2096829,1726
New Mexico,85,603,2520,120.22916508690028,412.0,04-24-2020,2096829,1832
New Mexico,93,638,2635,126.85822258276664,412.0,04-25-2020,2096829,1904
New Mexico,100,646,2737,130.00583261677514,412.0,04-26-2020,2096829,1991
New Mexico,104,655,2841,134.72724766778788,412.0,04-27-2020,2096829,2082
New Mexico,107,673,3004,141.83321577486768,481.0,04-28-2020,2096829,2224
New Mexico,113,701,3199,153.23137938286814,509.0,04-29-2020,2096829,2385
New Mexico,122,733,3379,162.67420948489362,536.0,04-30-2020,2096829,2524
New Mexico,130,759,3552,167.53869771927037,536.0,05-01-2020,2096829,2663
New Mexico,140,785,3698,177.98304010484404,587.0,05-02-2020,2096829,2773
New Mexico,148,809,3871,183.61058531716225,587.0,05-03-2020,2096829,2914
New Mexico,156,828,4006,192.2426673801249,587.0,05-04-2020,2096829,3022
New Mexico,162,879,4153,197.3456109201084,667.0,05-05-2020,2096829,3112
New Mexico,167,959,4307,204.64234327167355,687.0,05-06-2020,2096829,3181
New Mexico,174,1054,4485,214.2759376181844,687.0,05-07-2020,2096829,3257
New Mexico,181,1129,4648,222.86032862002577,760.0,05-08-2020,2096829,3338
New Mexico,190,1194,4771,227.86789003776656,789.0,05-09-2020,2096829,3387
New Mexico,199,1247,4903,231.9216302330805,789.0,05-10-2020,2096829,3457
New Mexico,209,1284,5048,241.7459888240768,789.0,05-11-2020,2096829,3555
New Mexico,219,1339,5215,248.5658105644285,886.0,05-12-2020,2096829,3657
New Mexico,230,1416,5359,255.81485185487227,886.0,05-13-2020,2096829,3713
New Mexico,242,1508,5509,262.44390935073864,886.0,05-14-2020,2096829,3759
New Mexico,251,1587,5670,270.02678806903185,886.0,05-15-2020,2096829,3832
New Mexico,259,1662,5815,278.8496343764799,886.0,05-16-2020,2096829,3894
New Mexico,264,1721,5960,283.1895209385219,886.0,05-17-2020,2096829,3975
New Mexico,270,1763,6075,290.72470859569376,886.0,05-18-2020,2096829,4042
New Mexico,276,1811,6201,295.3030504633425,886.0,05-19-2020,2096829,4114
New Mexico,284,1887,6327,301.2644331035101,1139.0,05-20-2020,2096829,4156
New Mexico,295,1969,6471,308.65654757731795,1139.0,05-21-2020,2096829,4207
New Mexico,306,2058,6574,315.9532799288831,1139.0,05-22-2020,2096829,4210
New Mexico,314,2182,6731,315.9532799288831,1139.0,05-23-2020,2096829,4235
New Mexico,318,2323,6864,331.11903736546947,1139.0,05-24-2020,2096829,4223
New Mexico,320,2447,7033,335.07739543854075,1243.0,05-25-2020,2096829,4266
New Mexico,324,2516,7136,340.03726579516024,1264.0,05-26-2020,2096829,4296
New Mexico,329,2574,7248,345.8555752519638,1282.0,05-27-2020,2096829,4345
New Mexico,336,2628,7369,351.19697409755395,1282.0,05-28-2020,2096829,4405
New Mexico,343,2683,7493,357.3491209822069,1317.0,05-29-2020,2096829,4467
New Mexico,350,2749,7602,363.5966499891026,1317.0,05-30-2020,2096829,4503
New Mexico,356,2805,7704,366.6965689619897,1317.0,05-31-2020,2096829,4543
New Mexico,361,2858,7837,371.99027674645856,1317.0,06-01-2020,2096829,4618
New Mexico,368,2900,7988,382.67307443763895,1317.0,06-02-2020,2096829,4720
New Mexico,375,2953,8172,388.2052375277145,1416.0,06-03-2020,2096829,4844
New Mexico,381,3029,8388,398.3634335465601,1416.0,06-04-2020,2096829,4978
New Mexico,387,3111,8608,413.5768820442678,1416.0,06-05-2020,2096829,5110
New Mexico,391,3202,8804,419.6813378677994,1489.0,06-06-2020,2096829,5211
New Mexico,396,3266,8934,426.35808642478713,1489.0,06-07-2020,2096829,5272
New Mexico,400,3324,9035,432.17639588159074,1533.0,06-08-2020,2096829,5311
New Mexico,404,3462,9139,434.2271115098084,1558.0,06-09-2020,2096829,5273
New Mexico,413,3628,9240,441.1423153724028,1583.0,06-10-2020,2096829,5199
New Mexico,422,3844,9381,446.7221695235997,1583.0,06-11-2020,2096829,5115
New Mexico,429,3968,9504,454.3050482418929,1625.0,06-12-2020,2096829,5107
New Mexico,432,4057,9623,458.8356990484203,1625.0,06-13-2020,2096829,5134
New Mexico,435,4086,9729,463.700187282797,1625.0,06-14-2020,2096829,5208
New Mexico,440,4115,9833,469.5184967396006,1625.0,06-15-2020,2096829,5278
New Mexico,446,4163,9947,473.7153101182786,1686.0,06-16-2020,2096829,5338
New Mexico,451,4242,10050,480.0105301862956,1698.0,06-17-2020,2096829,5357
New Mexico,457,4335,10159,484.2073435649736,1715.0,06-18-2020,2096829,5367
New Mexico,462,4434,10281,489.310287104957,1726.0,06-19-2020,2096829,5385
New Mexico,467,4554,10418,497.417767495585,1735.0,06-20-2020,2096829,5397
New Mexico,471,4655,10563,503.856060746966,1746.0,06-21-2020,2096829,5437
New Mexico,474,4732,10699,510.008207631619,1746.0,06-22-2020,2096829,5493
New Mexico,477,4786,10840,516.875720433092,1754.0,06-23-2020,2096829,5577
New Mexico,480,4866,11006,524.1247617235359,1776.0,06-24-2020,2096829,5660
New Mexico,484,4968,11196,533.7583560700467,1793.0,06-25-2020,2096829,5744
New Mexico,488,5060,11406,544.0596252722563,1811.0,06-26-2020,2096829,5858
New Mexico,490,5149,11612,554.1224391688593,1828.0,06-27-2020,2096829,5973
New Mexico,492,5221,11803,563.183740781914,1851.0,06-28-2020,2096829,6090
New Mexico,494,5270,11979,571.434294355906,1865.0,06-29-2020,2096829,6215
New Mexico,496,5317,12135,579.3033194409272,1876.0,06-30-2020,2096829,6322
New Mexico,500,5401,12314,585.4554663255802,1902.0,07-01-2020,2096829,6413
New Mexico,504,5511,12524,597.0920852391873,1928.0,07-02-2020,2096829,6509
New Mexico,509,5647,12786,609.3009968862506,1945.0,07-03-2020,2096829,6630
New Mexico,513,5758,13031,622.9883314280754,1970.0,07-04-2020,2096829,6760
New Mexico,514,5835,13275,632.1927062244943,1988.0,07-05-2020,2096829,6926
New Mexico,516,5869,13496,644.1631625659508,2006.0,07-06-2020,2096829,7111
New Mexico,520,5916,13750,654.6551960126458,2033.0,07-07-2020,2096829,7314
New Mexico,526,5979,13998,668.4856037378346,2056.0,07-08-2020,2096829,7493
New Mexico,533,6051,14272,679.6453120402284,2101.0,07-09-2020,2096829,7688
New Mexico,538,6116,14524,693.857248254388,2137.0,07-10-2020,2096829,7870
New Mexico,542,6190,14783,704.5400459455683,2161.0,07-11-2020,2096829,8051
