Province_State,Deaths,Recovered,Confirmed,Incident_Rate,People_Hospitalized,date,Population,Active
Arkansas,28,379.0,1345,42.41494808807994,130.0,2020-04-12,3017804,938.0
Arkansas,29,395.0,1396,46.72271625327556,130.0,2020-04-13,3017804,972.0
Arkansas,31,435.0,1492,49.63874393433105,130.0,2020-04-14,3017804,1026.0
Arkansas,34,488.0,1562,51.991448086091744,130.0,2020-04-15,3017804,1040.0
Arkansas,36,543.0,1628,53.681418673976175,85.0,2020-04-16,3017804,1049.0
Arkansas,37,614.0,1686,56.16666953851211,83.0,2020-04-17,3017804,1035.0
Arkansas,38,672.0,1740,57.79036677000892,291.0,2020-04-18,3017804,1030.0
Arkansas,39,724.0,1832,59.01642386317998,291.0,2020-04-19,3017804,1069.0
Arkansas,41,759.0,1914,65.37866607639197,291.0,2020-04-20,3017804,1114.0
Arkansas,43,807.0,2079,65.94198960568679,291.0,2020-04-21,3017804,1229.0
Arkansas,44,858.0,2288,75.41907956911714,291.0,2020-04-22,3017804,1386.0
Arkansas,45,898.0,2561,86.12222662571857,291.0,2020-04-23,3017804,1618.0
Arkansas,46,931.0,2773,93.114065724613,291.0,2020-04-24,3017804,1796.0
Arkansas,49,959.0,2907,96.46087022218803,291.0,2020-04-25,3017804,1899.0
Arkansas,53,978.0,2993,99.44317125963116,291.0,2020-04-26,3017804,1962.0
Arkansas,56,1039.0,3065,101.69646537681042,109.0,2020-04-27,3017804,1970.0
Arkansas,59,1127.0,3129,103.61839271205154,249.0,2020-04-28,3017804,1943.0
Arkansas,60,1233.0,3200,105.80541347284316,389.0,2020-04-29,3017804,1907.0
Arkansas,62,1509.0,3270,108.72144115389868,402.0,2020-04-30,3017804,1699.0
Arkansas,65,1755.0,3330,110.57709513275216,414.0,2020-05-01,3017804,1510.0
Arkansas,70,1986.0,3382,111.7368788695356,414.0,2020-05-02,3017804,1326.0
Arkansas,76,2000.0,3433,113.8907629521334,427.0,2020-05-03,3017804,1357.0
Arkansas,79,2018.0,3484,115.68014357459928,438.0,2020-05-04,3017804,1387.0
Arkansas,83,2055.0,3542,116.8067906331889,453.0,2020-05-05,3017804,1404.0
Arkansas,86,2091.0,3613,119.65654495785677,453.0,2020-05-06,3017804,1436.0
Arkansas,88,2130.0,3687,122.70511935168751,462.0,2020-05-07,3017804,1469.0
Arkansas,89,2446.0,3732,124.16313319221528,466.0,2020-05-08,3017804,1197.0
Arkansas,90,2788.0,3835,124.16313319221528,471.0,2020-05-09,3017804,957.0
Arkansas,92,3118.0,3934,132.94435291357556,471.0,2020-05-10,3017804,724.0
Arkansas,93,3182.0,4073,133.97158993758376,480.0,2020-05-11,3017804,798.0
Arkansas,95,3224.0,4147,137.98112799903507,485.0,2020-05-12,3017804,828.0
Arkansas,96,3267.0,4255,140.36696882898957,497.0,2020-05-13,3017804,892.0
Arkansas,98,3314.0,4355,144.67473699418517,509.0,2020-05-14,3017804,943.0
Arkansas,99,3379.0,4469,147.888994778985,520.0,2020-05-15,3017804,991.0
Arkansas,99,3484.0,4600,151.69971277127345,520.0,2020-05-16,3017804,1017.0
Arkansas,99,3569.0,4716,157.69745152435348,520.0,2020-05-17,3017804,1048.0
Arkansas,100,3658.0,4831,159.48683214681935,530.0,2020-05-18,3017804,1073.0
Arkansas,103,3745.0,4913,163.13186674813872,535.0,2020-05-19,3017804,1065.0
Arkansas,106,3835.0,5128,165.7828010036437,535.0,2020-05-20,3017804,1187.0
