Province_State,Deaths,Recovered,Confirmed,Incident_Rate,People_Hospitalized,date,Population,Active
Illinois,759,0,21438,164.55409210720384,3680.0,2020-04-12,12671821,20679
Illinois,795,0,22041,173.81085165265517,3680.0,2020-04-13,12671821,21246
Illinois,871,0,23288,183.4621874788162,4283.0,2020-04-14,12671821,22417
Illinois,963,0,24525,194.07628942990908,4283.0,2020-04-15,12671821,23562
Illinois,1051,0,25968,203.08052015570613,4423.0,2020-04-16,12671821,24917
Illinois,1154,0,27490,217.6324933882825,4454.0,2020-04-17,12671821,26336
Illinois,1227,0,29031,230.11688690993967,4340.0,2020-04-18,12671821,27804
Illinois,1299,0,30343,239.56304307013176,4314.0,2020-04-19,12671821,29044
Illinois,1369,0,31643,248.6856466801417,4599.0,2020-04-20,12671821,30274
Illinois,1460,0,33226,260.8859452796879,4776.0,2020-04-21,12671821,31766
Illinois,1573,0,35034,277.0477897375602,4665.0,2020-04-22,12671821,33461
Illinois,1682,0,37234,291.48928161153793,4877.0,2020-04-23,12671821,35552
Illinois,1786,0,39457,312.96212280776376,4828.0,2020-04-24,12671821,37671
Illinois,1867,0,41779,329.684265584244,4699.0,2020-04-25,12671821,39912
Illinois,1930,0,43854,346.4616490400236,4595.0,2020-04-26,12671821,41924
Illinois,2013,0,45962,362.08686975613057,4672.0,2020-04-27,12671821,43949
Illinois,2107,0,48114,379.5981650940303,0.0,2020-04-28,12671821,46007
Illinois,2231,0,50459,397.4014468796553,0.0,2020-04-29,12671821,48228
Illinois,2342,0,53110,417.60375245199566,0.0,2020-04-30,12671821,50768
Illinois,2457,0,55826,442.3594683037268,0.0,2020-05-01,12671821,53369
Illinois,2544,0,58686,461.6937060585057,0.0,2020-05-02,12671821,56142
Illinois,2612,0,61260,485.32093374740697,0.0,2020-05-03,12671821,58648
Illinois,2703,0,63721,503.2978290965442,0.0,2020-05-04,12671821,61018
Illinois,2822,0,65966,519.964731193725,0.0,2020-05-05,12671821,63144
Illinois,2973,0,68330,538.454575707785,0.0,2020-05-06,12671821,65357
Illinois,3108,0,70954,559.2803118036469,0.0,2020-05-07,12671821,67846
Illinois,3233,0,73572,582.0789293030575,0.0,2020-05-08,12671821,70339
Illinois,3332,0,75862,600.426726356062,0.0,2020-05-09,12671821,72530
Illinois,3404,0,77611,613.4950927731697,0.0,2020-05-10,12671821,74207
Illinois,3488,0,79923,623.4857642007412,0.0,2020-05-11,12671821,76435
Illinois,3617,0,82240,655.1623480161218,0.0,2020-05-12,12671821,78623
Illinois,3773,0,85217,668.3648703686707,0.0,2020-05-13,12671821,81444
Illinois,3926,0,87666,693.9570879355067,0.0,2020-05-14,12671821,83740
Illinois,4038,0,90254,713.14927822923,0.0,2020-05-15,12671821,86216
Illinois,4121,0,92339,729.6267837116702,0.0,2020-05-16,12671821,88218
Illinois,4180,0,94377,743.3106891266851,0.0,2020-05-17,12671821,90197
Illinois,4263,0,96235,761.4138488856495,0.0,2020-05-18,12671821,91972
Illinois,4379,0,98311,773.6062559595815,0.0,2020-05-19,12671821,93932
Illinois,4503,0,100378,792.4512191262803,0.0,2020-05-20,12671821,95875
Illinois,4615,0,102850,810.364982270504,0.0,2020-05-21,12671821,98235
