Province_State,Deaths,Recovered,Confirmed,Incident_Rate,People_Hospitalized,date,Population,Active
South Dakota,6,202.0,799,82.51767065049923,43.0,2020-04-12,884659,591.0
South Dakota,6,221.0,862,98.1169015405936,44.0,2020-04-13,884659,635.0
South Dakota,6,265.0,1008,111.68145014067568,45.0,2020-04-14,884659,737.0
South Dakota,6,321.0,1155,132.02827304079878,51.0,2020-04-15,884659,828.0
South Dakota,7,386.0,1296,148.19269345589657,55.0,2020-04-16,884659,903.0
South Dakota,7,460.0,1421,159.49648395596495,63.0,2020-04-17,884659,954.0
South Dakota,7,551.0,1529,174.30444951105454,68.0,2020-04-18,884659,971.0
South Dakota,7,635.0,1620,184.8169746761181,74.0,2020-04-19,884659,978.0
South Dakota,7,726.0,1691,190.4688699261524,87.0,2020-04-20,884659,958.0
South Dakota,8,823.0,1766,198.3815232762002,100.0,2020-04-21,884659,935.0
South Dakota,9,941.0,1856,210.02442749127064,111.0,2020-04-22,884659,906.0
South Dakota,10,1063.0,1951,221.10214218133763,119.0,2020-04-23,884659,878.0
South Dakota,10,1159.0,2047,230.5973262013951,124.0,2020-04-24,884659,878.0
South Dakota,11,1223.0,2133,242.6923820364683,128.0,2020-04-25,884659,899.0
South Dakota,11,1265.0,2201,250.0398458615128,135.0,2020-04-26,884659,925.0
South Dakota,12,1321.0,2256,253.65705882153463,150.0,2020-04-27,884659,923.0
South Dakota,12,1400.0,2310,261.4566742665818,157.0,2020-04-28,884659,898.0
South Dakota,14,1485.0,2378,268.23894856662287,165.0,2020-04-29,884659,879.0
South Dakota,17,1583.0,2449,276.82982934667484,173.0,2020-04-30,884659,849.0
South Dakota,20,1672.0,2520,285.4207101267268,179.0,2020-05-01,884659,828.0
South Dakota,22,1748.0,2581,292.5420981417699,187.0,2020-05-02,884659,811.0
South Dakota,23,1796.0,2629,297.4027280567993,197.0,2020-05-03,884659,810.0
South Dakota,23,1841.0,2673,301.5851305418246,211.0,2020-05-04,884659,809.0
South Dakota,25,1900.0,2723,307.57613950686084,220.0,2020-05-05,884659,798.0
South Dakota,28,1966.0,2802,314.2453759019012,230.0,2020-05-06,884659,808.0
South Dakota,31,2024.0,2943,328.4881519319874,236.0,2020-05-07,884659,888.0
South Dakota,34,2074.0,3148,355.5042112271508,247.0,2020-05-08,884659,1040.0
South Dakota,35,2113.0,3351,383.5376116673204,253.0,2020-05-09,884659,1203.0
South Dakota,37,2153.0,3508,397.5543118874052,261.0,2020-05-10,884659,1318.0
South Dakota,39,2214.0,3598,408.5189886724716,263.0,2020-05-11,884659,1345.0
South Dakota,41,2287.0,3669,414.057846017505,271.0,2020-05-12,884659,1341.0
South Dakota,42,2371.0,3729,421.8574614625522,281.0,2020-05-13,884659,1316.0
South Dakota,43,2459.0,3803,428.63973576259326,290.0,2020-05-14,884659,1301.0
South Dakota,44,2561.0,3879,439.37833673765823,296.0,2020-05-15,884659,1274.0
South Dakota,45,2657.0,3944,447.5170658977075,304.0,2020-05-16,884659,1242.0
South Dakota,45,2727.0,3991,450.6821272377266,312.0,2020-05-17,884659,1219.0
South Dakota,46,2807.0,4033,455.203643437754,316.0,2020-05-18,884659,1180.0
South Dakota,47,2907.0,4096,461.7598419277937,327.0,2020-05-19,884659,1142.0
South Dakota,47,3027.0,4146,472.1593291878565,333.0,2020-05-20,884659,1072.0
South Dakota,48,3145.0,4236,472.1593291878565,342.0,2020-05-21,884659,1043.0
South Dakota,50,3249.0,4332,492.393114182979,351.0,2020-05-22,884659,1033.0
South Dakota,51,3324.0,4461,504.6012079230528,358.0,2020-05-23,884659,1086.0
South Dakota,52,3374.0,4537,515.7919605181205,364.0,2020-05-24,884659,1111.0
South Dakota,53,3438.0,4600,518.3918323331362,370.0,2020-05-25,884659,1109.0
South Dakota,54,3520.0,4649,525.9653719681821,378.0,2020-05-26,884659,1075.0
South Dakota,56,3615.0,4718,532.4085325532211,391.0,2020-05-27,884659,1047.0
South Dakota,58,3687.0,4789,541.7906786682778,406.0,2020-05-28,884659,1044.0
South Dakota,60,3749.0,4873,550.0424457333278,418.0,2020-05-29,884659,1064.0
South Dakota,61,3795.0,4939,560.668008803392,427.0,2020-05-30,884659,1083.0
South Dakota,62,3848.0,4995,564.3982596684147,432.0,2020-05-31,884659,1085.0
South Dakota,63,3910.0,5031,569.0328137734426,435.0,2020-06-01,884659,1058.0
South Dakota,63,3992.0,5087,572.7630646384653,443.0,2020-06-02,884659,1032.0
South Dakota,64,4079.0,5158,583.5016656135302,456.0,2020-06-03,884659,1015.0
South Dakota,64,4142.0,5228,593.1098875385883,464.0,2020-06-04,884659,1022.0
South Dakota,65,4205.0,5297,596.5010246886088,467.0,2020-06-05,884659,1027.0
South Dakota,66,4262.0,5360,606.6744361386703,474.0,2020-06-06,884659,1032.0
South Dakota,67,4337.0,5425,614.700127393719,478.0,2020-06-07,884659,1021.0
South Dakota,67,4407.0,5477,618.4303782587415,482.0,2020-06-08,884659,1003.0
South Dakota,68,4486.0,5532,624.3083493187771,487.0,2020-06-09,884659,978.0
South Dakota,70,4573.0,5597,633.4644196238324,503.0,2020-06-10,884659,954.0
South Dakota,72,4664.0,5670,640.3597318288741,514.0,2020-06-11,884659,934.0
South Dakota,74,4749.0,5746,649.0636505139269,525.0,2020-06-12,884659,923.0
South Dakota,75,4827.0,5824,659.3500998689891,531.0,2020-06-13,884659,922.0
South Dakota,76,4896.0,5886,666.6975636940335,539.0,2020-06-14,884659,914.0
South Dakota,76,4976.0,5930,670.0887008440541,544.0,2020-06-15,884659,878.0
South Dakota,77,5057.0,5981,674.3841412340801,562.0,2020-06-16,884659,847.0
South Dakota,79,5144.0,6041,683.8793252541375,570.0,2020-06-17,884659,818.0
South Dakota,80,5213.0,6105,690.5485616491778,585.0,2020-06-18,884659,812.0
South Dakota,81,5277.0,6164,696.0874189942114,589.0,2020-06-19,884659,806.0
South Dakota,82,5333.0,6226,703.6609586292572,598.0,2020-06-20,884659,811.0
South Dakota,82,5387.0,6282,711.7996877893064,608.0,2020-06-21,884659,813.0
South Dakota,82,5441.0,6325,715.0777870343262,616.0,2020-06-22,884659,802.0
South Dakota,83,5496.0,6366,718.1298104693446,624.0,2020-06-23,884659,787.0
South Dakota,84,5547.0,6417,725.5903121993898,629.0,2020-06-24,884659,786.0
South Dakota,86,5599.0,6477,732.3725864994309,632.0,2020-06-25,884659,792.0
South Dakota,88,5653.0,6546,738.7027091794691,639.0,2020-06-26,884659,805.0
South Dakota,90,5707.0,6614,748.9891585345314,645.0,2020-06-27,884659,817.0
South Dakota,92,5762.0,6674,755.206243309569,652.0,2020-06-28,884659,820.0
South Dakota,92,5814.0,6720,759.1625699845929,657.0,2020-06-29,884659,814.0
South Dakota,92,5874.0,6768,764.5883894246258,666.0,2020-06-30,884659,802.0
South Dakota,94,5929.0,6827,771.5967395346681,674.0,2020-07-01,884659,804.0
South Dakota,95,5988.0,6899,779.170279169714,683.0,2020-07-02,884659,816.0
South Dakota,97,6031.0,6966,788.7785010947721,687.0,2020-07-03,884659,838.0
South Dakota,97,6079.0,7023,794.4303963448064,689.0,2020-07-04,884659,847.0
South Dakota,97,6126.0,7065,798.3867230198302,691.0,2020-07-05,884659,842.0
South Dakota,98,6168.0,7110,803.134315029859,692.0,2020-07-06,884659,844.0
South Dakota,99,6220.0,7170,809.6905135198987,699.0,2020-07-07,884659,851.0
South Dakota,100,6267.0,7247,818.6205080149526,709.0,2020-07-08,884659,880.0
South Dakota,103,6339.0,7326,829.246071085017,718.0,2020-07-09,884659,884.0
South Dakota,105,6403.0,7397,836.5935349100614,726.0,2020-07-10,884659,889.0
South Dakota,108,6466.0,7451,842.5845438750977,738.0,2020-07-11,884659,877.0
South Dakota,110,6511.0,7492,847.6712496001284,738.0,2020-07-12,884659,871.0
South Dakota,110,6554.0,7531,850.4971972251456,742.0,2020-07-13,884659,867.0
South Dakota,110,6601.0,7582,855.9230166651784,744.0,2020-07-14,884659,871.0
South Dakota,112,6666.0,7639,864.966049065233,752.0,2020-07-15,884659,861.0
South Dakota,114,6736.0,7711,869.7136410752618,757.0,2020-07-16,884659,861.0
South Dakota,116,6812.0,7781,880.4522420503267,763.0,2020-07-17,884659,853.0
South Dakota,117,6883.0,7852,888.7040091153766,771.0,2020-07-18,884659,852.0
South Dakota,118,6946.0,7903,893.6776769354068,774.0,2020-07-19,884659,839.0
South Dakota,118,7009.0,7956,897.860079420432,774.0,2020-07-20,884659,829.0
South Dakota,118,7078.0,8013,906.450960200484,776.0,2020-07-21,884659,817.0
South Dakota,119,7151.0,8079,913.0071586905236,790.0,2020-07-22,884659,809.0
South Dakota,120,7211.0,8140,920.4676604205688,792.0,2020-07-23,884659,809.0
South Dakota,122,7260.0,8216,926.9108210056078,796.0,2020-07-24,884659,834.0
South Dakota,123,7310.0,8300,938.7798010306796,798.0,2020-07-25,884659,867.0
South Dakota,125,7358.0,8381,948.9532124807412,801.0,2020-07-26,884659,898.0
South Dakota,127,7414.0,8443,954.4920698257748,806.0,2020-07-27,884659,902.0
South Dakota,128,7495.0,8525,959.9178892658076,808.0,2020-07-28,884659,902.0
South Dakota,129,7591.0,8606,976.7605371109094,810.0,2020-07-29,884659,886.0
South Dakota,129,7686.0,8696,981.7342049309397,815.0,2020-07-30,884659,881.0
South Dakota,131,7757.0,8772,990.6641994259936,824.0,2020-07-31,884659,884.0
South Dakota,133,7830.0,8862,1002.307103641064,832.0,2020-08-01,884659,899.0
South Dakota,135,7889.0,8947,1012.2544392811242,835.0,2020-08-02,884659,923.0
South Dakota,135,7952.0,9018,1019.6019031061686,838.0,2020-08-03,884659,931.0
South Dakota,136,8009.0,9089,1026.2711395012088,846.0,2020-08-04,884659,944.0
South Dakota,138,8077.0,9173,1036.3315130462695,856.0,2020-08-05,884659,958.0
South Dakota,140,8156.0,9270,1048.2004930713415,861.0,2020-08-06,884659,974.0
South Dakota,143,8232.0,9373,1059.2782077614086,866.0,2020-08-07,884659,998.0
South Dakota,145,8295.0,9484,1071.260225691481,871.0,2020-08-08,884659,1044.0
South Dakota,146,8337.0,9581,1085.7290775315687,876.0,2020-08-09,884659,1098.0
South Dakota,146,8404.0,9660,1092.2852760216083,882.0,2020-08-10,884659,1110.0
South Dakota,146,8494.0,9730,1097.9371712716425,887.0,2020-08-11,884659,1090.0
South Dakota,147,8601.0,9808,1109.4670375817122,892.0,2020-08-12,884659,1060.0
South Dakota,148,8690.0,9912,1118.7361457917684,896.0,2020-08-13,884659,1074.0
South Dakota,150,8782.0,10013,1133.0919597268553,903.0,2020-08-14,884659,1081.0
South Dakota,151,8865.0,10138,1143.7175227969194,913.0,2020-08-15,884659,1122.0
South Dakota,153,8945.0,10250,1161.351435977026,916.0,2020-08-16,884659,1152.0
South Dakota,153,9026.0,10358,1171.072695807085,921.0,2020-08-17,884659,1179.0
South Dakota,154,9109.0,10455,1180.2287661121404,927.0,2020-08-18,884659,1192.0
South Dakota,155,9193.0,10566,1194.3585042372258,935.0,2020-08-19,884659,1218.0
South Dakota,157,9267.0,10713,1208.4882423623114,940.0,2020-08-20,884659,1289.0
South Dakota,158,9349.0,10903,1230.3045580274434,948.0,2020-08-21,884659,1396.0
South Dakota,160,9449.0,11098,1258.677072182615,951.0,2020-08-22,884659,1489.0
South Dakota,161,9564.0,11278,1274.6154167877114,959.0,2020-08-23,884659,1553.0
South Dakota,161,9690.0,11402,1291.4580646328134,965.0,2020-08-24,884659,1551.0
South Dakota,162,9801.0,11500,1300.501097032868,974.0,2020-08-25,884659,1537.0
South Dakota,163,9914.0,11756,1307.9615987629131,981.0,2020-08-26,884659,1679.0
South Dakota,164,10032.0,12094,1378.3842135783393,983.0,2020-08-27,884659,1898.0
South Dakota,165,10183.0,12551,1414.89545689356,0.0,2020-08-28,884659,2203.0
South Dakota,166,10342.0,12927,1462.936566518851,0.0,2020-08-29,884659,2419.0
South Dakota,168,10490.0,13257,1505.8909704191103,0.0,2020-08-30,884659,2599.0
South Dakota,168,10651.0,13526,1527.0290586542385,0.0,2020-08-31,884659,2707.0
South Dakota,169,10801.0,13753,1554.1581558544026,0.0,2020-09-01,884659,2783.0
South Dakota,169,10982.0,14029,1582.8697837245763,0.0,2020-09-02,884659,2878.0
South Dakota,169,11169.0,14312,1620.6244439948048,0.0,2020-09-03,884659,2974.0
South Dakota,171,11402.0,14607,1649.901261389982,0.0,2020-09-04,884659,3034.0
South Dakota,172,11657.0,14864,1683.0213675551822,0.0,2020-09-05,884659,3035.0
South Dakota,174,11937.0,15099,1707.8897066553327,0.0,2020-09-06,884659,2988.0
South Dakota,175,12234.0,15270,1729.4799465104634,0.0,2020-09-07,884659,2861.0
South Dakota,176,12583.0,15424,1741.1228507255337,0.0,2020-09-08,884659,2665.0
South Dakota,177,12905.0,15602,1760.1132187656488,0.0,2020-09-09,884659,2520.0
South Dakota,180,13196.0,15840,1789.8421877808285,0.0,2020-09-10,884659,2464.0
South Dakota,182,13455.0,16129,1821.831914896022,0.0,2020-09-11,884659,2492.0
South Dakota,184,13719.0,16397,1858.004044496241,0.0,2020-09-12,884659,2494.0
South Dakota,186,13950.0,16625,1880.7246634013784,0.0,2020-09-13,884659,2489.0
South Dakota,189,14178.0,16811,1899.149841916489,0.0,2020-09-14,884659,2444.0
South Dakota,191,14399.0,17028,1920.966157581622,0.0,2020-09-15,884659,2438.0
South Dakota,192,14653.0,17323,1954.538415366825,0.0,2020-09-16,884659,2478.0
South Dakota,193,14867.0,17684,1999.1883878420952,0.0,2020-09-17,884659,2624.0
South Dakota,196,15081.0,18068,2043.1601328873608,0.0,2020-09-18,884659,2791.0
South Dakota,199,15339.0,18405,2084.8711198326137,0.0,2020-09-19,884659,2867.0
South Dakota,203,15575.0,18669,2113.356671892786,0.0,2020-09-20,884659,2891.0
South Dakota,206,15866.0,18918,2132.912229457904,0.0,2020-09-21,884659,2846.0
South Dakota,208,16090.0,19230,2169.084359058123,0.0,2020-09-22,884659,2932.0
South Dakota,209,16363.0,19640,2219.3862267834274,0.0,2020-09-23,884659,3068.0
South Dakota,212,16583.0,20095,2271.722776798744,0.0,2020-09-24,884659,3300.0
South Dakota,215,16866.0,20594,2323.3810993840566,0.0,2020-09-25,884659,3513.0
South Dakota,219,17179.0,21076,2388.8300463794526,0.0,2020-09-26,884659,3678.0
South Dakota,221,17466.0,21470,2434.949511619732,0.0,2020-09-27,884659,3783.0
South Dakota,224,17771.0,21758,2457.217978904866,0.0,2020-09-28,884659,3763.0
South Dakota,229,18096.0,22041,2486.494796300043,0.0,2020-09-29,884659,3716.0
South Dakota,233,18555.0,22507,2530.8056550603114,0.0,2020-09-30,884659,3719.0
South Dakota,236,18958.0,23015,2615.2449700958223,0.0,2020-10-01,884659,3821.0
South Dakota,241,19330.0,23548,2658.877601426086,0.0,2020-10-02,884659,3977.0
South Dakota,246,19608.0,23975,2711.3271893464034,0.0,2020-10-03,884659,4121.0
