fips,Region,0_17,18_24,25_44,45_64,over_65,White,Black,Indigenous_American_Alaskan,Asian,Hawaiian_Pacific_Islander,Population,state_name,state_abbr
1,6,0.221958992,0.091822764,0.253005954,0.259888827,0.173323462,0.691264148,0.267844473,0.007097224,0.015034105,0.00104218,4903185,Alabama,AL
2,9,0.246031345,0.093161733,0.29164713,0.243961752,0.12519804,0.652711727,0.03705582,0.155770322,0.065339795,0.01435045,731545,Alaska,AK
4,8,0.225346857,0.095325041,0.261463662,0.238075474,0.179788966,0.826167853,0.05179443,0.053017998,0.036919006,0.002770955,7278717,Arizona,AZ
5,7,0.232008109,0.092471214,0.254201731,0.247721853,0.173597092,0.790395268,0.156752393,0.010178593,0.01670188,0.003905489,3017804,Arkansas,AR
6,9,0.225111126,0.093086005,0.28687457,0.24717364,0.147754658,0.719391035,0.064606767,0.016447113,0.15465961,0.00505679,39512223,California,CA
8,8,0.218714489,0.09137717,0.297187612,0.246436544,0.146284185,0.869394256,0.045926571,0.016146252,0.035192445,0.001967272,5758736,Colorado,CO
9,1,0.204034065,0.095945432,0.24546972,0.277778479,0.176772305,0.797002037,0.121893413,0.00576868,0.049527289,0.001087991,3565287,Connecticut,CT
10,5,0.209056815,0.084716625,0.248706052,0.263524838,0.19399567,0.692236517,0.231620803,0.006740853,0.040937024,0.001087533,973764,Delaware,DE
12,5,0.196944818,0.081142999,0.251420948,0.261095943,0.209395292,0.772771917,0.169175877,0.005072695,0.029557444,0.001147281,21477737,Florida,FL
13,5,0.235827564,0.095615292,0.270707402,0.254975713,0.142874029,0.601982703,0.325704929,0.005275103,0.043698551,0.001168928,10617423,Georgia,GA
15,9,0.211790331,0.083958154,0.269655732,0.244996723,0.18959906,0.255190441,0.021864971,0.003933971,0.375874373,0.101385577,1415872,Hawaii,HI
16,8,0.250802853,0.091997773,0.259454469,0.235092736,0.16265217,0.930220781,0.009146841,0.017414028,0.015506431,0.002206971,1787065,Idaho,ID
17,3,0.222373327,0.091337386,0.267935524,0.257111586,0.161242177,0.767601989,0.146191775,0.005958102,0.059004148,0.000661704,12671821,Illinois,IL
18,3,0.232905971,0.097998149,0.255435244,0.252384986,0.161275651,0.848099564,0.099461411,0.004209608,0.025957266,0.00067422,6732219,Indiana,IN
19,4,0.230372385,0.099428856,0.248287677,0.246652214,0.175258869,0.906185917,0.040602903,0.00540717,0.026661532,0.001522629,3155070,Iowa,IA
20,4,0.240362007,0.100970922,0.25536245,0.240092898,0.163211724,0.862881928,0.061347661,0.012035435,0.03187504,0.001265569,2913314,Kansas,KS
21,6,0.224472785,0.092655394,0.254793267,0.260079688,0.167998867,0.875158724,0.084715018,0.00300022,0.016004752,0.000938296,4467673,Kentucky,KY
22,7,0.233959603,0.090140152,0.268474146,0.248025187,0.159400911,0.627871013,0.327984634,0.007872149,0.018110503,0.000613923,4648794,Louisiana,LA
23,1,0.185121097,0.079549952,0.235738857,0.287372825,0.212217269,0.944290038,0.016880522,0.007265967,0.012959265,0.000338488,1344212,Maine,ME
24,5,0.22076706,0.08702892,0.266547684,0.266965172,0.158691165,0.585450107,0.31074172,0.006093607,0.067205509,0.001109056,6045680,Maryland,MD
