confirmed_agent_mean_4w,confirmed_agent_mean_8w,confirmed_gt_mean,confirmed_agent_mean_ori,confirmed_agent_mean_det,death_agent_mean_4w,death_agent_mean_8w,death_gt_mean,death_agent_mean_ori,death_agent_mean_det
151276,151276,92387,151294,151409.6667,4083,4083,3966,4083,4083
153873,153873,94727,153880,154158.3333,4236,4236,4134,4236,4236
170294,170294,99534,170319.6667,170633,4389,4389,4501,4389,4389.666667
173827,173827,104502,173846,174272.3333,4551,4551,4864,4549.333333,4551.666667
183436,183436,109920,183476.6667,183911.6667,4713,4713,5265,4709.333333,4713.666667
187404,187404,115499,187433.6667,187969,4878,4878,5610,4873.666667,4879.666667
195387,195387,121324,195446.6667,195972.6667,5047,5047,5936,5042.333333,5049
199756,199756,127141,199819,200368.3333,5220,5220,6204,5214,5222
207131,207131,132885,207214,207753.6667,5392,5392,6512,5386,5395
211956,211956,138818,212043,212635.3333,5567,5567,6909,5561,5570
219209,219209,145257,219326.6667,219914.6667,5744,5744,7355,5738,5747.666667
224451,224451,152400,224592.3333,225201,5923,5923,7790,5916,5926.666667
231676,231676,159474,231851.6667,232465,6104,6104,8150,6097,6107.666667
237308,237308,165900,237512,238148.3333,6287,6287,8491,6279.333333,6291.666667
244523,244523,171867,244770.6667,245640.3333,6472,6472,8807,6463,6477.333333
250399,250399,177969,250716.6667,251702,6660,6660,9181,6648.666667,6666.333333
257727,257727,184853,258098.3333,259229.6667,6852,6852,9563,6837.333333,6858.666667
263955,263955,192657,264413.6667,265603.6667,7046,7046,9979,7029.333333,7053.666667
271413,271413,201528,271938,273266.6667,7243,7243,10371,7224,7251.666667
278002,278002,210261,278624,280000,7443,7443,10780,7422.666667,7452.333333
285555,285555,218262,286264.6667,287759.6667,7644,7644,11156,7623.666667,7655.333333
292389,292389,225206,293212,294644.6667,7848,7848,11498,7827,7860
299990,299990,232029,300893.3333,302362,8054,8054,11809,8032.333333,8067
307073,307073,238952,308073.6667,309524.3333,8261,8261,12156,8243,8276.666667
314859,314859,246671,315936.3333,317452.3333,8474,8474,12527,8456.333333,8491
322270,322270,254947,323442.6667,324996.3333,8689,8689,12907,8672.666667,8709
330369,330369,263468,331615.3333,333284,8908,8908,13272,8890.333333,8930
338139,338139,270648,339491,341255.6667,9131,9131,13595,9113.666667,9155.666667
347691.6667,346567,277195,348015,349984,9357,9357,13861,9339.333333,9384.333333
356737,354543,283752,356055.6667,358214,9586.333333,9585,14151,9567.666667,9616.333333
