date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4301,207,254,122,136
2020-04-14,3401,4384,294,295,131,147
2020-04-15,3498,4468,364,337,141,158
2020-04-16,3547,4556,537,381,153,169
2020-04-17,3584,4649,740,427,166,181
2020-04-18,3627,4747,918,475,177,193
2020-04-19,3657,4849,1066,525,185,205
2020-04-20,3735,4955,1156,578,194,218
2020-04-21,3809,5066,1246,633,210,231
2020-04-22,4001,5180,1270,691,229,245
2020-04-23,4229,5299,1286,751,248,259
2020-04-24,4459,5421,1313,814,262,273
2020-04-25,4666,5546,1347,880,275,288
2020-04-26,4848,5674,1382,949,285,303
2020-04-27,5024,5805,1417,1021,297,319
2020-04-28,5212,5939,1447,1096,304,335
2020-04-29,5487,6076,1474,1174,312,352
2020-04-30,5787,6216,1500,1255,324,369
2020-05-01,6124,6358,1530,1340,342,387
2020-05-02,6399,6502,1563,1428,362,405
2020-05-03,6666,6649,1598,1520,378,424
2020-05-04,6934,6798,1633,1616,389,443
2020-05-05,7242,6949,1665,1715,405,463
2020-05-06,7534,7103,1695,1818,423,483
2020-05-07,7875,7258,1720,1925,464,504
2020-05-08,7927,7416,2051,2036,499,525
2020-05-09,7938,7577,2402,2152,528,547
2020-05-10,7848,7739,2770,2272,536,569
2020-05-11,8021,7903,2845,2396,546,592
2020-05-12,8299,8071,2913,2525,566,615
2020-05-13,8628,8243,2987,2658,593,639
2020-05-14,8997,8418,3066,2796,623,663
2020-05-15,9326,8597,3192,2939,651,688
2020-05-16,9606,8780,3317,3087,670,714
2020-05-17,9798,8966,3459,3240,682,740
2020-05-18,9982,9155,3571,3398,690,767
2020-05-19,10172,9348,3678,3561,713,794
2020-05-20,10426,9543,3779,3729,738,822
2020-05-21,10666,9741,3864,3903,762,850
2020-05-22,10943,9942,3951,4082,781,879
2020-05-23,11185,10146,4038,4267,795,908
2020-05-24,11406,10352,4123,4458,806,938
2020-05-25,11586,10562,4211,4655,808,968
2020-05-26,11815,10774,4287,4857,817,999
2020-05-27,12149,10989,4370,5065,834,1031
2020-05-28,12575,11207,4454,5280,860,1063
2020-05-29,13099,11428,4553,5501,883,1096
2020-05-30,13667,11650,4656,5728,899,1129
2020-05-31,14103,11875,4762,5961,909,1163
2020-06-01,14656,12102,4865,6201,922,1197
2020-06-02,15331,12332,4970,6447,948,1231
2020-06-03,16122,12564,5071,6700,975,1266
2020-06-04,17046,12801,5182,6959,999,1301
2020-06-05,17950,13044,5289,7225,1019,1337
2020-06-06,19186,13290,5404,7498,1036,1373
2020-06-07,20139,13540,5518,7778,1049,1410
2020-06-08,20954,13780,5640,8065,1060,1447
2020-06-09,21781,14028,5751,8359,1076,1484
2020-06-10,22798,14283,5903,8660,1104,1522
2020-06-11,24205,14544,6051,8968,1130,1560
2020-06-12,25658,14811,6170,9284,1160,1599
2020-06-13,27040,15086,6250,9607,1178,1638
2020-06-14,28208,15369,6334,9938,1194,1677
2020-06-15,29574,15663,6464,10277,1207,1717
2020-06-16,31171,15958,6591,10624,1226,1757
2020-06-17,33211,16257,6725,10979,1253,1797
2020-06-18,35615,16563,6865,11343,1284,1838
2020-06-19,38486,16875,7025,11715,1316,1879
2020-06-20,41338,17196,7200,12096,1338,1920
2020-06-21,43703,17522,7388,12485,1348,1962
2020-06-22,46253,17862,7571,12883,1365,2004
2020-06-23,48564,18204,7754,13291,1404,2046
2020-06-24,51224,18545,7940,13708,1452,2088
2020-06-25,53723,18895,8154,14134,1499,2131
2020-06-26,56756,19252,8395,14570,1537,2174
2020-06-27,60006,19609,8658,15015,1570,2217
2020-06-28,62352,19973,8921,15470,1590,2260
2020-06-29,65113,20344,9172,15935,1612,2303
2020-06-30,68201,20721,9435,16410,1656,2347
2020-07-01,72127,21097,9754,16895,1711,2391
2020-07-02,75935,21483,10110,17390,1762,2435
2020-07-03,78995,21878,10506,17896,1793,2479
2020-07-04,82120,22287,10914,18412,1813,2523
2020-07-05,84852,22697,11366,18939,1823,2567
2020-07-06,87871,23088,11819,19477,1860,2611
2020-07-07,90849,23489,12299,20026,1906,2655
2020-07-08,94016,23901,12801,20585,1976,2699
2020-07-09,97366,24326,13332,21155,2027,2743
2020-07-10,100545,24762,13862,21737,2090,2787
2020-07-11,103249,25208,14358,22330,2156,2831
2020-07-12,105037,25667,14825,22935,2211,2875
2020-07-13,107270,26148,15253,23552,2273,2919
2020-07-14,109724,26639,15695,24182,2339,2963
2020-07-15,112761,27143,16172,24825,2421,3007
2020-07-16,115653,27657,16674,25481,2503,3051
2020-07-17,118356,28182,17176,26150,2601,3095
2020-07-18,120782,28720,17664,26833,2691,3139
2020-07-19,122490,29272,18109,27530,2758,3183
2020-07-20,124499,29849,18510,28242,2821,3227
2020-07-21,126375,30434,18891,28969,2892,3270
2020-07-22,128463,31028,19297,29711,2985,3313
2020-07-23,130491,31628,19733,30468,3060,3356
2020-07-24,133106,32231,20158,31241,3164,3399
2020-07-25,135637,32858,20571,32029,3244,3442
2020-07-26,137707,33498,20955,32833,3298,3485
2020-07-27,139278,34151,21308,33654,3339,3527
2020-07-28,140976,34814,21647,34492,3388,3569
2020-07-29,142847,35482,21992,35347,3496,3611
2020-07-30,145081,36167,22355,36219,3591,3653
2020-07-31,147535,36865,22712,37109,3689,3694
2020-08-01,149695,37575,23063,38017,3735,3735
2020-08-02,151166,38291,23393,38943,3763,3776
2020-08-03,152007,38965,23686,39887,3796,3817
2020-08-04,152927,39656,23956,40849,3852,3857
2020-08-05,153963,40361,24232,41829,3926,3897
2020-08-06,155110,41084,24522,42827,4005,3937
2020-08-07,156029,41827,24836,43843,4073,3976
2020-08-08,156737,42591,25168,44878,4122,4015
2020-08-09,157192,43376,25512,45933,4147,4053
2020-08-10,157735,44191,25825,47008,4167,4091
2020-08-11,158212,45021,26122,48104,4233,4129
2020-08-12,158931,45868,26418,49221,4309,4166
2020-08-13,159541,46740,26727,50360,4384,4203
2020-08-14,160257,47624,27034,51521,4432,4239
2020-08-15,160844,48529,27316,52704,4477,4275
2020-08-16,161313,49444,27573,53910,4512,4310
2020-08-17,161826,50392,27803,55140,4525,4345
2020-08-18,162243,51354,28020,56394,4564,4380
