date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2127,278,455,30,30
2020-04-14,1016,2146,313,589,34,31
2020-04-15,1062,2153,337,724,38,32
2020-04-16,1116,2151,363,860,42,33
2020-04-17,1202,2143,377,996,47,34
2020-04-18,1287,2131,409,1131,50,35
2020-04-19,1370,2116,444,1265,57,36
2020-04-20,1382,2101,484,1398,63,37
2020-04-21,1477,2086,505,1530,68,38
2020-04-22,1588,2071,525,1662,73,39
2020-04-23,1726,2055,567,1793,77,40
2020-04-24,1832,2040,603,1923,85,41
2020-04-25,1904,2025,638,2052,93,42
2020-04-26,1991,2010,646,2180,100,43
2020-04-27,2082,1998,655,2307,104,44
2020-04-28,2224,1988,673,2433,107,45
2020-04-29,2385,1980,701,2558,113,46
2020-04-30,2524,1973,733,2683,122,47
2020-05-01,2663,1968,759,2807,130,48
2020-05-02,2773,1964,785,2931,140,49
2020-05-03,2914,1961,809,3055,148,50
2020-05-04,3022,1961,828,3179,156,51
2020-05-05,3112,1964,879,3303,162,52
2020-05-06,3181,1968,959,3427,167,53
2020-05-07,3257,1974,1054,3551,174,54
2020-05-08,3338,1982,1129,3675,181,55
2020-05-09,3387,1994,1194,3800,190,56
2020-05-10,3457,2009,1247,3926,199,57
2020-05-11,3555,2017,1284,4053,209,58
2020-05-12,3657,2025,1339,4180,219,59
2020-05-13,3713,2034,1416,4308,230,60
2020-05-14,3759,2043,1508,4436,242,61
2020-05-15,3832,2053,1587,4565,251,62
2020-05-16,3894,2065,1662,4694,259,63
2020-05-17,3975,2078,1721,4824,264,64
2020-05-18,4042,2091,1763,4955,270,65
2020-05-19,4114,2105,1811,5087,276,66
2020-05-20,4156,2120,1887,5220,284,67
2020-05-21,4207,2136,1969,5354,295,68
2020-05-22,4210,2155,2058,5489,306,69
2020-05-23,4235,2177,2182,5625,314,70
2020-05-24,4223,2201,2323,5762,318,71
2020-05-25,4266,2230,2447,5901,320,72
2020-05-26,4296,2261,2516,6042,324,73
2020-05-27,4345,2296,2574,6185,329,74
2020-05-28,4405,2331,2628,6330,336,75
2020-05-29,4467,2369,2683,6477,343,76
2020-05-30,4503,2412,2749,6626,350,77
2020-05-31,4543,2459,2805,6778,356,78
2020-06-01,4618,2506,2858,6933,361,79
2020-06-02,4720,2555,2900,7091,368,80
2020-06-03,4844,2606,2953,7252,375,81
2020-06-04,4978,2658,3029,7416,381,82
2020-06-05,5110,2714,3111,7584,387,83
2020-06-06,5211,2775,3202,7755,391,84
2020-06-07,5272,2840,3266,7930,396,85
2020-06-08,5311,2893,3324,8109,400,86
2020-06-09,5273,2949,3462,8291,404,87
2020-06-10,5199,3009,3628,8477,413,88
2020-06-11,5115,3066,3844,8667,422,89
2020-06-12,5107,3124,3968,8860,429,90
2020-06-13,5134,3188,4057,9057,432,91
2020-06-14,5208,3256,4086,9258,435,92
2020-06-15,5278,3332,4115,9463,440,93
2020-06-16,5338,3408,4163,9673,446,94
2020-06-17,5357,3483,4242,9888,451,95
2020-06-18,5367,3557,4335,10108,457,96
2020-06-19,5385,3639,4434,10332,462,97
2020-06-20,5397,3729,4554,10561,467,98
2020-06-21,5437,3828,4655,10796,471,99
2020-06-22,5493,3915,4732,11037,474,101
2020-06-23,5577,4000,4786,11284,477,103
2020-06-24,5660,4081,4866,11536,480,105
2020-06-25,5744,4156,4968,11793,484,107
2020-06-26,5858,4234,5060,12055,488,109
2020-06-27,5973,4313,5149,12322,490,111
2020-06-28,6090,4389,5221,12594,492,113
2020-06-29,6215,4449,5270,12871,494,115
2020-06-30,6322,4508,5317,13151,496,117
2020-07-01,6413,4564,5401,13435,500,119
2020-07-02,6509,4617,5511,13723,504,121
2020-07-03,6630,4669,5647,14014,509,123
2020-07-04,6760,4724,5758,14308,513,125
2020-07-05,6926,4772,5835,14606,514,127
2020-07-06,7111,4818,5869,14907,516,129
2020-07-07,7314,4866,5916,15211,520,131
2020-07-08,7493,4914,5979,15518,526,133
2020-07-09,7688,4961,6051,15828,533,135
2020-07-10,7870,5010,6116,16141,538,137
2020-07-11,8051,5063,6190,16457,542,139
2020-07-12,8227,5114,6258,16776,545,141
2020-07-13,8411,5167,6318,17098,548,143
2020-07-14,8625,5225,6371,17424,552,145
2020-07-15,8846,5285,6429,17753,556,147
2020-07-16,9083,5346,6501,18086,561,149
2020-07-17,9302,5410,6576,18423,565,151
2020-07-18,9497,5487,6656,18764,568,153
2020-07-19,9684,5565,6718,19110,572,155
2020-07-20,9884,5665,6771,19461,579,157
2020-07-21,10119,5778,6816,19818,585,159
2020-07-22,10359,5901,6886,20182,591,161
2020-07-23,10593,6031,6966,20554,596,163
2020-07-24,10812,6172,7062,20934,601,165
2020-07-25,11001,6328,7160,21323,607,167
2020-07-26,11240,6494,7257,21722,613,169
2020-07-27,11468,6652,7358,22131,619,172
2020-07-28,11696,6818,7488,22550,625,175
2020-07-29,11743,6982,7731,22980,631,178
2020-07-30,11781,7149,7957,23420,636,181
2020-07-31,11834,7323,8118,23871,642,184
2020-08-01,11967,7515,8188,24333,649,187
2020-08-02,12071,7712,8256,24807,653,190
2020-08-03,12143,7874,8364,25293,655,193
2020-08-04,12188,8025,8497,25789,660,196
2020-08-05,12237,8162,8658,26295,664,199
2020-08-06,12277,8294,8821,26810,670,202
2020-08-07,12295,8422,8981,27333,675,205
2020-08-08,12325,8557,9126,27864,680,208
2020-08-09,12357,8706,9249,28403,685,211
2020-08-10,12442,8853,9336,28952,689,214
2020-08-11,12489,8991,9453,29510,692,217
2020-08-12,12526,9125,9594,30077,695,221
2020-08-13,12511,9260,9778,30652,698,225
2020-08-14,12478,9404,9968,31236,703,229
2020-08-15,12397,9571,10184,31829,709,233
2020-08-16,12338,9744,10351,32432,714,237
2020-08-17,12286,9910,10491,33046,718,241
2020-08-18,12200,10076,10686,33671,723,245
2020-08-19,12096,10244,10935,34306,728,249
2020-08-20,12025,10416,11172,34952,734,253
2020-08-21,12094,10598,11284,35609,738,257
2020-08-22,12162,10800,11360,36277,742,261
2020-08-23,12232,11033,11436,36958,745,265
2020-08-24,12211,11235,11555,37654,748,269
2020-08-25,12169,11429,11705,38362,752,273
2020-08-26,12072,11622,11923,39082,757,277
2020-08-27,11954,11813,12182,39815,762,282
2020-08-28,11841,12005,12439,40560,766,287
2020-08-29,11751,12217,12648,41317,768,292
2020-08-30,11695,12462,12804,42087,772,297
2020-08-31,11690,12647,12897,42873,778,302
2020-09-01,11707,12814,12982,43670,785,307
2020-09-02,11768,12962,13071,44478,789,312
2020-09-03,11806,13110,13178,45295,791,317
2020-09-04,11834,13251,13291,46121,795,322
2020-09-05,11835,13411,13385,46956,799,327
2020-09-06,11828,13589,13467,47801,804,332
2020-09-07,11805,13802,13531,48658,808,337
2020-09-08,11774,14015,13611,49528,812,342
2020-09-09,11734,14224,13744,50412,814,347
2020-09-10,11689,14425,13916,51309,815,353
2020-09-11,11625,14624,14108,52218,818,359
2020-09-12,11576,14842,14264,53140,821,365
2020-09-13,11570,15076,14359,54076,825,371
2020-09-14,11590,15305,14424,55026,828,377
2020-09-15,11602,15533,14503,55991,830,383
2020-09-16,11574,15754,14648,56970,832,389
2020-09-17,11500,15979,14860,57963,836,395
2020-09-18,11444,16191,15068,58970,841,401
2020-09-19,11401,16426,15234,59991,845,407
2020-09-20,11406,16695,15336,61027,849,413
2020-09-21,11409,16971,15424,62079,851,419
2020-09-22,11461,17240,15505,63149,854,426
2020-09-23,11553,17499,15591,64236,856,433
2020-09-24,11679,17760,15693,65339,860,440
2020-09-25,11764,18029,15838,66459,865,447
2020-09-26,11787,18338,16018,67596,869,454
2020-09-27,11791,18701,16177,68752,872,461
2020-09-28,11811,18938,16311,69931,873,468
2020-09-29,11888,19146,16429,71125,875,475
2020-09-30,11987,19337,16552,72332,878,482
2020-10-01,12096,19514,16720,73551,882,489
2020-10-02,12215,19686,16884,74781,886,496
