date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7780,2287,2824,344,358
2020-04-14,8080,8012,2666,3184,377,372
2020-04-15,8262,8263,3135,3561,412,387
2020-04-16,8330,8517,3672,3956,450,402
2020-04-17,8292,8776,4224,4369,482,418
2020-04-18,8130,9038,4776,4801,509,434
2020-04-19,8122,9303,5282,5252,530,451
2020-04-20,8160,9569,5842,5723,554,468
2020-04-21,8258,9837,6511,6214,578,486
2020-04-22,8245,10113,7284,6726,612,504
2020-04-23,8141,10398,8174,7260,641,523
2020-04-24,7995,10690,9055,7816,668,542
2020-04-25,7656,10986,9968,8396,685,562
2020-04-26,7752,11286,10639,8999,703,582
2020-04-27,7958,11593,11239,9627,732,603
2020-04-28,8255,11917,12090,10280,767,624
2020-04-29,8332,12250,13074,10960,811,646
2020-04-30,8801,12591,13852,11668,849,669
2020-05-01,9260,12940,14378,12404,897,692
2020-05-02,9533,13297,14852,13169,937,716
2020-05-03,9512,13646,15508,13965,974,740
2020-05-04,9599,14001,16141,14791,996,765
2020-05-05,9927,14354,16834,15648,1019,791
2020-05-06,10325,14710,17617,16537,1044,817
2020-05-07,10878,15073,18419,17457,1075,844
2020-05-08,11514,15444,19259,18410,1109,872
2020-05-09,11779,15831,20120,19397,1145,900
2020-05-10,11588,16243,21259,20419,1177,929
2020-05-11,11393,16649,22385,21478,1209,959
2020-05-12,11609,16977,23218,22575,1237,989
2020-05-13,11957,17276,23841,23704,1278,1020
2020-05-14,12018,17559,24486,24864,1323,1051
2020-05-15,11988,17835,25514,26054,1373,1083
2020-05-16,11935,18109,26541,27274,1409,1115
2020-05-17,12079,18393,27514,28524,1434,1148
2020-05-18,12178,18692,28433,29805,1458,1181
2020-05-19,12294,19009,29504,31118,1487,1215
2020-05-20,12416,19332,30454,32464,1520,1249
2020-05-21,12735,19665,31076,33845,1545,1284
2020-05-22,12935,20012,31574,35261,1561,1319
2020-05-23,12820,20385,32295,36713,1583,1355
2020-05-24,12014,20813,33651,38204,1605,1391
2020-05-25,11470,21298,35017,39738,1627,1428
2020-05-26,10963,21817,36431,41319,1647,1466
2020-05-27,10814,22314,37635,42951,1670,1505
