date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7013,600,1370,148,196
2020-04-14,5246,6920,731,2006,166,227
2020-04-15,5530,6787,808,2633,185,257
2020-04-16,5812,6689,937,3248,211,287
2020-04-17,6149,6635,1096,3854,232,316
2020-04-18,6572,6620,1201,4455,255,345
2020-04-19,6977,6636,1273,5055,278,374
2020-04-20,7418,6676,1336,5657,300,403
2020-04-21,7891,6734,1413,6262,324,432
2020-04-22,8456,6806,1494,6872,348,461
2020-04-23,8997,6889,1578,7489,377,490
2020-04-24,9593,6981,1652,8114,407,519
2020-04-25,10144,7080,1734,8747,432,548
2020-04-26,10719,7185,1791,9389,448,578
2020-04-27,11291,7295,1857,10040,467,608
2020-04-28,11855,7409,1933,10701,491,638
2020-04-29,12507,7527,2020,11373,522,668
2020-04-30,13238,7648,2114,12055,551,698
2020-05-01,14042,7772,2204,12748,583,728
2020-05-02,14816,7899,2335,13453,619,759
2020-05-03,15529,8029,2452,14169,653,790
2020-05-04,16191,8163,2588,14897,695,821
2020-05-05,16574,8300,2697,15637,731,852
2020-05-06,17145,8441,2790,16389,759,883
2020-05-07,17724,8586,2882,17154,783,914
2020-05-08,18585,8735,2982,17932,802,945
2020-05-09,19273,8887,3107,18724,826,976
2020-05-10,20078,9044,3199,19530,838,1007
2020-05-11,20832,9202,3291,20350,860,1038
2020-05-12,21573,9361,3409,21184,890,1069
2020-05-13,22317,9522,3544,22033,925,1100
2020-05-14,23110,9686,3679,22896,954,1131
2020-05-15,23946,9852,3797,23774,979,1162
2020-05-16,24682,10021,3902,24667,997,1193
2020-05-17,25391,10193,4003,25575,1009,1224
2020-05-18,26079,10370,4123,26499,1022,1255
2020-05-19,26720,10550,4300,27439,1044,1286
2020-05-20,27467,10733,4524,28395,1072,1317
2020-05-21,28141,10920,4754,29368,1103,1348
2020-05-22,28885,11112,4929,30358,1131,1378
2020-05-23,29455,11310,5037,31365,1155,1408
2020-05-24,30296,11513,5098,32390,1179,1438
2020-05-25,31408,11723,5158,33434,1205,1468
2020-05-26,32619,11939,5246,34497,1241,1498
2020-05-27,33690,12160,5355,35579,1285,1527
2020-05-28,34574,12386,5495,36681,1325,1556
2020-05-29,35539,12617,5621,37804,1355,1585
2020-05-30,36463,12854,5753,38948,1367,1614
2020-05-31,37322,13096,5837,40113,1379,1642
2020-06-01,38097,13346,5926,41300,1391,1670
2020-06-02,38746,13604,6025,42510,1409,1698
2020-06-03,39421,13868,6153,43743,1426,1726
2020-06-04,40042,14141,6280,45000,1442,1753
2020-06-05,40790,14420,6352,46282,1453,1780
2020-06-06,41637,14711,6437,47589,1462,1807
2020-06-07,42481,15012,6492,48923,1470,1833
2020-06-08,43152,15306,6590,50284,1481,1859
2020-06-09,43541,15599,6686,51672,1495,1885
2020-06-10,43878,15894,6799,53086,1510,1910
2020-06-11,44249,16192,6907,54527,1522,1935
2020-06-12,44702,16493,7009,55995,1531,1960
2020-06-13,45219,16799,7103,57490,1540,1984
2020-06-14,45695,17110,7179,59013,1546,2008
2020-06-15,46102,17431,7249,60564,1556,2031
2020-06-16,46429,17759,7333,62144,1568,2054
2020-06-17,46781,18097,7421,63754,1579,2076
2020-06-18,47183,18443,7495,65395,1590,2098
2020-06-19,47672,18795,7554,67067,1598,2120
2020-06-20,48199,19156,7605,68771,1606,2141
