date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4311,207,254,122,136
2020-04-14,3401,4395,294,295,131,147
2020-04-15,3498,4480,364,337,141,158
2020-04-16,3547,4570,537,381,153,169
2020-04-17,3584,4665,740,427,166,181
2020-04-18,3627,4765,918,475,177,193
2020-04-19,3657,4870,1066,526,185,205
2020-04-20,3735,4978,1156,579,194,218
2020-04-21,3809,5090,1246,634,210,231
2020-04-22,4001,5206,1270,692,229,245
2020-04-23,4229,5325,1286,753,248,259
2020-04-24,4459,5447,1313,816,262,273
2020-04-25,4666,5573,1347,882,275,288
2020-04-26,4848,5702,1382,951,285,303
2020-04-27,5024,5834,1417,1023,297,319
2020-04-28,5212,5969,1447,1098,304,335
2020-04-29,5487,6106,1474,1176,312,352
2020-04-30,5787,6246,1500,1258,324,369
2020-05-01,6124,6388,1530,1343,342,387
2020-05-02,6399,6532,1563,1432,362,405
2020-05-03,6666,6678,1598,1524,378,424
2020-05-04,6934,6827,1633,1620,389,443
2020-05-05,7242,6978,1665,1720,405,463
2020-05-06,7534,7133,1695,1824,423,483
2020-05-07,7875,7289,1720,1932,464,504
2020-05-08,7927,7447,2051,2044,499,525
2020-05-09,7938,7609,2402,2160,528,547
2020-05-10,7848,7772,2770,2280,536,569
2020-05-11,8021,7938,2845,2405,546,592
2020-05-12,8299,8107,2913,2534,566,615
2020-05-13,8628,8280,2987,2668,593,639
2020-05-14,8997,8457,3066,2807,623,664
2020-05-15,9326,8638,3192,2950,651,689
2020-05-16,9606,8823,3317,3098,670,715
2020-05-17,9798,9011,3459,3251,682,741
2020-05-18,9982,9200,3571,3410,690,768
2020-05-19,10172,9393,3678,3574,713,795
2020-05-20,10426,9588,3779,3743,738,823
2020-05-21,10666,9786,3864,3918,762,851
2020-05-22,10943,9987,3951,4098,781,880
2020-05-23,11185,10192,4038,4284,795,910
2020-05-24,11406,10399,4123,4476,806,940
2020-05-25,11586,10609,4211,4673,808,971
2020-05-26,11815,10821,4287,4876,817,1002
2020-05-27,12149,11036,4370,5085,834,1034
2020-05-28,12575,11255,4454,5301,860,1066
2020-05-29,13099,11476,4553,5523,883,1099
2020-05-30,13667,11699,4656,5751,899,1132
2020-05-31,14103,11924,4762,5985,909,1166
2020-06-01,14656,12152,4865,6226,922,1200
2020-06-02,15331,12383,4970,6473,948,1235
2020-06-03,16122,12615,5071,6727,975,1270
2020-06-04,17046,12853,5182,6988,999,1306
2020-06-05,17950,13096,5289,7255,1019,1342
2020-06-06,19186,13342,5404,7529,1036,1378
2020-06-07,20139,13591,5518,7810,1049,1415
2020-06-08,20954,13833,5640,8098,1060,1452
2020-06-09,21781,14081,5751,8393,1076,1490
2020-06-10,22798,14337,5903,8695,1104,1528
2020-06-11,24205,14599,6051,9005,1130,1566
2020-06-12,25658,14867,6170,9322,1160,1605
2020-06-13,27040,15143,6250,9647,1178,1644
2020-06-14,28208,15426,6334,9979,1194,1683
2020-06-15,29574,15719,6464,10319,1207,1723
2020-06-16,31171,16014,6591,10667,1226,1763
2020-06-17,33211,16312,6725,11024,1253,1803
2020-06-18,35615,16617,6865,11389,1284,1844
2020-06-19,38486,16928,7025,11762,1316,1885
2020-06-20,41338,17246,7200,12144,1338,1926
2020-06-21,43703,17570,7388,12535,1348,1968
2020-06-22,46253,17908,7571,12935,1365,2010
2020-06-23,48564,18248,7754,13344,1404,2052
2020-06-24,51224,18588,7940,13762,1452,2095
2020-06-25,53723,18937,8154,14189,1499,2138
2020-06-26,56756,19292,8395,14626,1537,2181
2020-06-27,60006,19647,8658,15072,1570,2224
2020-06-28,62352,20009,8921,15528,1590,2267
2020-06-29,65113,20380,9172,15994,1612,2311
2020-06-30,68201,20758,9435,16470,1656,2355
2020-07-01,72127,21135,9754,16956,1711,2399
2020-07-02,75935,21523,10110,17452,1762,2443
2020-07-03,78995,21920,10506,17959,1793,2487
2020-07-04,82120,22333,10914,18476,1813,2531
2020-07-05,84852,22747,11366,19004,1823,2575
2020-07-06,87871,23138,11819,19543,1860,2619
2020-07-07,90849,23539,12299,20093,1906,2663
2020-07-08,94016,23950,12801,20654,1976,2707
2020-07-09,97366,24373,13332,21226,2027,2751
2020-07-10,100545,24807,13862,21809,2090,2795
2020-07-11,103249,25250,14358,22403,2156,2839
2020-07-12,105037,25706,14825,23009,2211,2883
2020-07-13,107270,26184,15253,23627,2273,2927
2020-07-14,109724,26672,15695,24258,2339,2971
2020-07-15,112761,27172,16172,24902,2421,3015
2020-07-16,115653,27682,16674,25559,2503,3059
2020-07-17,118356,28203,17176,26229,2601,3103
2020-07-18,120782,28737,17664,26913,2691,3147
2020-07-19,122490,29285,18109,27611,2758,3191
2020-07-20,124499,29859,18510,28323,2821,3235
2020-07-21,126375,30442,18891,29050,2892,3278
2020-07-22,128463,31034,19297,29792,2985,3321
2020-07-23,130491,31633,19733,30549,3060,3364
2020-07-24,133106,32235,20158,31322,3164,3407
2020-07-25,135637,32863,20571,32110,3244,3450
2020-07-26,137707,33504,20955,32915,3298,3493
2020-07-27,139278,34160,21308,33736,3339,3535
2020-07-28,140976,34826,21647,34574,3388,3577
2020-07-29,142847,35498,21992,35429,3496,3619
2020-07-30,145081,36188,22355,36302,3591,3661
2020-07-31,147535,36892,22712,37192,3689,3703
2020-08-01,149695,37609,23063,38100,3735,3744
2020-08-02,151166,38334,23393,39027,3763,3785
2020-08-03,152007,39014,23686,39972,3796,3826
2020-08-04,152927,39710,23956,40935,3852,3866
2020-08-05,153963,40420,24232,41916,3926,3906
2020-08-06,155110,41147,24522,42915,4005,3946
2020-08-07,156029,41894,24836,43933,4073,3985
2020-08-08,156737,42662,25168,44970,4122,4024
2020-08-09,157192,43451,25512,46027,4147,4062
2020-08-10,157735,44267,25825,47104,4167,4100
2020-08-11,158212,45097,26122,48202,4233,4138
2020-08-12,158931,45944,26418,49321,4309,4175
2020-08-13,159541,46816,26727,50461,4384,4212
2020-08-14,160257,47700,27034,51624,4432,4248
2020-08-15,160844,48604,27316,52809,4477,4284
2020-08-16,161313,49518,27573,54017,4512,4320
2020-08-17,161826,50465,27803,55249,4525,4355
2020-08-18,162243,51427,28020,56505,4564,4390
2020-08-19,162727,52407,28243,57785,4615,4424
2020-08-20,163099,53394,28478,59090,4668,4458
2020-08-21,163604,54411,28711,60420,4709,4491
2020-08-22,163955,55442,28936,61776,4741,4524
2020-08-23,164221,56498,29140,63158,4776,4556
2020-08-24,164470,57569,29338,64567,4788,4588
2020-08-25,164689,58652,29533,66003,4826,4619
2020-08-26,165018,59750,29733,67467,4872,4650
2020-08-27,165219,60870,29932,68959,4934,4680
2020-08-28,165592,62003,30131,70479,4971,4710
2020-08-29,165866,63153,30331,72028,5005,4739
2020-08-30,166055,64323,30517,73606,5022,4768
2020-08-31,166225,65437,30687,75214,5034,4796
2020-09-01,166452,66573,30848,76850,5046,4824
2020-09-02,166952,67731,31021,78515,5079,4851
2020-09-03,167507,68924,31202,80209,5122,4878
2020-09-04,168171,70152,31377,81933,5169,4904
2020-09-05,168571,71417,31551,83688,5199,4930
2020-09-06,168823,72709,31711,85475,5215,4955
2020-09-07,168842,74042,31863,87295,5220,4980
2020-09-08,168947,75386,32006,89149,5230,5004
2020-09-09,169127,76750,32154,91037,5248,5028
2020-09-10,169441,78139,32311,92959,5270,5051
2020-09-11,169789,79547,32470,94916,5292,5074
2020-09-12,170103,80984,32639,96909,5312,5096
2020-09-13,170319,82448,32806,98938,5330,5118
2020-09-14,170513,83945,32962,101004,5340,5139
2020-09-15,170821,85458,33106,103108,5353,5160
2020-09-16,171642,86989,33242,105250,5374,5180
2020-09-17,172708,88541,33385,107431,5410,5200
2020-09-18,173750,90103,33525,109651,5442,5219
2020-09-19,174363,91703,33676,111911,5465,5238
2020-09-20,174651,93304,33816,114211,5474,5256
2020-09-21,174944,94913,33944,116551,5484,5274
2020-09-22,175218,96542,34075,118932,5500,5292
2020-09-23,175576,98192,34224,121354,5527,5309
2020-09-24,175883,99868,34394,123818,5557,5326
2020-09-25,176197,101576,34562,126324,5589,5342
2020-09-26,176478,103312,34722,128873,5610,5358
2020-09-27,176702,105071,34866,131466,5623,5373
2020-09-28,177019,106795,34998,134103,5626,5388
2020-09-29,177304,108561,35128,136784,5635,5402
2020-09-30,177717,110370,35265,139509,5652,5416
2020-10-01,178080,112229,35408,142280,5672,5430
2020-10-02,178548,114145,35553,145098,5690,5443
2020-10-03,178909,116108,35695,147964,5701,5456
2020-10-04,179188,118117,35847,150880,5706,5468
2020-10-05,179540,120204,36004,153846,5708,5480
2020-10-06,179960,122325,36170,156865,5717,5492
2020-10-07,180550,124474,36345,159937,5729,5503
2020-10-08,181070,126667,36531,163064,5740,5514
2020-10-09,181679,128907,36725,166246,5750,5525
2020-10-10,182205,131183,36917,169484,5757,5535
2020-10-11,182665,133485,37105,172780,5764,5545
2020-10-12,183087,135829,37266,176134,5766,5555
2020-10-13,183613,138199,37425,179547,5768,5564
2020-10-14,184339,140583,37590,183019,5776,5573
2020-10-15,185047,143002,37787,186551,5789,5582
2020-10-16,185769,145458,37989,190144,5806,5590
2020-10-17,186355,147960,38190,193799,5819,5598
2020-10-18,186965,150522,38376,197517,5827,5606
2020-10-19,187616,153090,38547,201300,5831,5614
2020-10-20,188362,155666,38713,205147,5840,5621
2020-10-21,189176,158255,38892,209059,5850,5628
2020-10-22,189949,160878,39092,213037,5859,5635
2020-10-23,190683,163558,39306,217081,5864,5642
2020-10-24,191546,166289,39524,221192,5869,5648
2020-10-25,192365,169020,39729,225372,5872,5654
2020-10-26,193260,171664,39943,229621,5880,5660
2020-10-27,194022,174360,40171,233936,5890,5666
2020-10-28,194921,177125,40430,238319,5904,5671
2020-10-29,195968,179957,40676,242772,5919,5676
2020-10-30,197293,182850,40920,247296,5944,5681
2020-10-31,198702,185814,41154,251893,5965,5686
2020-11-01,199823,188855,41382,256564,5981,5691
2020-11-02,200895,191983,41587,261312,5994,5695
2020-11-03,201709,195146,41801,266139,6020,5699
2020-11-04,202974,198362,42044,271045,6055,5703
2020-11-05,204300,201625,42336,276032,6085,5707
