date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2134,278,455,30,30
2020-04-14,1016,2156,313,590,34,31
2020-04-15,1062,2166,337,726,38,32
2020-04-16,1116,2169,363,863,42,33
2020-04-17,1202,2168,377,1000,47,34
2020-04-18,1287,2163,409,1137,50,35
2020-04-19,1370,2157,444,1273,57,36
2020-04-20,1382,2147,484,1409,63,37
2020-04-21,1477,2137,505,1544,68,38
2020-04-22,1588,2126,525,1679,73,39
2020-04-23,1726,2115,567,1813,77,40
2020-04-24,1832,2104,603,1946,85,41
2020-04-25,1904,2093,638,2079,93,42
2020-04-26,1991,2082,646,2211,100,43
2020-04-27,2082,2072,655,2342,104,44
2020-04-28,2224,2063,673,2473,107,45
2020-04-29,2385,2057,701,2603,113,46
2020-04-30,2524,2052,733,2733,122,47
2020-05-01,2663,2047,759,2862,130,48
2020-05-02,2773,2043,785,2991,140,49
2020-05-03,2914,2040,809,3120,148,50
2020-05-04,3022,2040,828,3249,156,51
2020-05-05,3112,2043,879,3378,162,52
2020-05-06,3181,2049,959,3507,167,53
2020-05-07,3257,2056,1054,3636,174,54
2020-05-08,3338,2066,1129,3766,181,55
2020-05-09,3387,2080,1194,3896,190,56
2020-05-10,3457,2097,1247,4027,199,57
2020-05-11,3555,2110,1284,4159,209,58
2020-05-12,3657,2121,1339,4292,219,59
2020-05-13,3713,2130,1416,4426,230,60
2020-05-14,3759,2138,1508,4560,242,61
2020-05-15,3832,2145,1587,4695,251,62
2020-05-16,3894,2154,1662,4830,259,63
2020-05-17,3975,2164,1721,4966,264,64
2020-05-18,4042,2168,1763,5102,270,65
2020-05-19,4114,2175,1811,5239,276,66
2020-05-20,4156,2183,1887,5376,284,67
2020-05-21,4207,2194,1969,5514,295,68
2020-05-22,4210,2209,2058,5652,306,69
2020-05-23,4235,2228,2182,5791,314,70
2020-05-24,4223,2249,2323,5931,318,71
2020-05-25,4266,2271,2447,6073,320,72
2020-05-26,4296,2297,2516,6216,324,73
2020-05-27,4345,2326,2574,6361,329,74
2020-05-28,4405,2357,2628,6508,336,75
2020-05-29,4467,2390,2683,6657,343,76
2020-05-30,4503,2428,2749,6808,350,77
2020-05-31,4543,2470,2805,6961,356,78
2020-06-01,4618,2520,2858,7117,361,79
2020-06-02,4720,2574,2900,7276,368,80
2020-06-03,4844,2630,2953,7438,375,81
2020-06-04,4978,2688,3029,7604,381,82
2020-06-05,5110,2750,3111,7773,387,83
2020-06-06,5211,2818,3202,7946,391,84
2020-06-07,5272,2891,3266,8124,396,85
2020-06-08,5311,2939,3324,8306,400,86
2020-06-09,5273,2982,3462,8491,404,87
2020-06-10,5199,3021,3628,8679,413,88
2020-06-11,5115,3053,3844,8869,422,89
2020-06-12,5107,3081,3968,9061,429,90
2020-06-13,5134,3109,4057,9255,432,91
2020-06-14,5208,3134,4086,9451,435,92
2020-06-15,5278,3161,4115,9649,440,93
2020-06-16,5338,3189,4163,9848,446,94
2020-06-17,5357,3219,4242,10049,451,95
2020-06-18,5367,3250,4335,10252,457,96
2020-06-19,5385,3286,4434,10457,462,97
2020-06-20,5397,3326,4554,10664,467,98
2020-06-21,5437,3369,4655,10874,471,99
2020-06-22,5493,3424,4732,11086,474,100
2020-06-23,5577,3487,4786,11302,477,101
2020-06-24,5660,3556,4866,11522,480,102
2020-06-25,5744,3625,4968,11746,484,103
2020-06-26,5858,3701,5060,11975,488,104
2020-06-27,5973,3782,5149,12208,490,105
2020-06-28,6090,3864,5221,12446,492,106
2020-06-29,6215,3971,5270,12690,494,108
2020-06-30,6322,4093,5317,12940,496,110
2020-07-01,6413,4220,5401,13198,500,112
