date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7785,2287,2824,344,358
2020-04-14,8080,8024,2666,3185,377,372
2020-04-15,8262,8286,3135,3562,412,387
2020-04-16,8330,8554,3672,3958,450,402
2020-04-17,8292,8830,4224,4373,482,418
2020-04-18,8130,9110,4776,4807,509,434
2020-04-19,8122,9395,5282,5262,530,451
2020-04-20,8160,9679,5842,5738,554,468
2020-04-21,8258,9957,6511,6235,578,486
2020-04-22,8245,10241,7284,6753,612,504
2020-04-23,8141,10533,8174,7294,641,523
2020-04-24,7995,10830,9055,7858,668,543
2020-04-25,7656,11132,9968,8445,685,563
2020-04-26,7752,11437,10639,9057,703,584
2020-04-27,7958,11744,11239,9693,732,605
2020-04-28,8255,12052,12090,10355,767,627
2020-04-29,8332,12363,13074,11043,811,649
2020-04-30,8801,12678,13852,11757,849,672
2020-05-01,9260,12998,14378,12498,897,695
2020-05-02,9533,13323,14852,13267,937,719
2020-05-03,9512,13641,15508,14064,974,744
2020-05-04,9599,13964,16141,14890,996,769
2020-05-05,9927,14294,16834,15745,1019,795
2020-05-06,10325,14628,17617,16630,1044,821
2020-05-07,10878,14968,18419,17545,1075,848
2020-05-08,11514,15317,19259,18492,1109,875
2020-05-09,11779,15679,20120,19471,1145,903
2020-05-10,11588,16063,21259,20483,1177,932
2020-05-11,11393,16444,22385,21531,1209,961
2020-05-12,11609,16759,23218,22614,1237,991
2020-05-13,11957,17047,23841,23729,1278,1022
2020-05-14,12018,17318,24486,24874,1323,1053
2020-05-15,11988,17582,25514,26048,1373,1084
2020-05-16,11935,17843,26541,27251,1409,1116
2020-05-17,12079,18112,27514,28482,1434,1148
2020-05-18,12178,18401,28433,29743,1458,1181
2020-05-19,12294,18710,29504,31035,1487,1214
2020-05-20,12416,19027,30454,32360,1520,1248
2020-05-21,12735,19355,31076,33719,1545,1282
2020-05-22,12935,19698,31574,35112,1561,1317
2020-05-23,12820,20069,32295,36541,1583,1352
2020-05-24,12014,20496,33651,38009,1605,1388
2020-05-25,11470,20984,35017,39519,1627,1425
2020-05-26,10963,21521,36431,41077,1647,1462
2020-05-27,10814,22043,37635,42687,1670,1500
2020-05-28,10229,22543,39258,44347,1694,1539
2020-05-29,9654,23044,40857,46057,1720,1579
2020-05-30,9284,23569,42030,47817,1743,1620
2020-05-31,9446,24150,42728,49629,1765,1662
2020-06-01,9881,24761,43426,51498,1784,1704
2020-06-02,10034,25356,44571,53427,1808,1747
2020-06-03,12386,25946,45724,55414,1841,1791
2020-06-04,15230,26549,46840,57460,1871,1836
2020-06-05,18192,27170,47853,59566,1900,1882
2020-06-06,18448,27843,49069,61734,1921,1929
2020-06-07,18293,28621,50161,63968,1937,1977
2020-06-08,19431,29390,50909,66278,1950,2026
2020-06-09,21554,29849,51576,68663,1970,2077
2020-06-10,23433,30206,52561,71098,1996,2128
2020-06-11,24473,30514,53934,73575,2024,2180
2020-06-12,24905,30807,55296,76090,2050,2232
2020-06-13,25162,31132,56711,78641,2072,2285
2020-06-14,26077,31543,57988,81232,2092,2338
2020-06-15,27826,32081,59370,83870,2122,2392
2020-06-16,30514,32693,60712,86565,2159,2446
2020-06-17,32561,33238,62287,89324,2198,2501
2020-06-18,34594,33767,63836,92141,2231,2557
2020-06-19,36556,34337,65412,95015,2262,2614
2020-06-20,38432,34996,66974,97950,2286,2671
2020-06-21,40494,35835,68261,100953,2309,2729
2020-06-22,43446,36886,69467,104041,2330,2789
2020-06-23,47218,37998,70934,107232,2360,2850
2020-06-24,50962,38998,72702,110531,2398,2913
2020-06-25,55537,39950,74558,113930,2440,2977
2020-06-26,59940,40960,76342,117424,2482,3042
2020-06-27,64531,42117,78168,121019,2518,3109
2020-06-28,69048,43558,79852,124728,2550,3178
2020-06-29,73816,45210,82042,128577,2578,3249
2020-06-30,78855,46691,84569,132585,2616,3322
2020-07-01,82345,47968,87698,136737,2662,3397
2020-07-02,85823,49138,90616,141016,2715,3474
2020-07-03,87947,50387,93907,145413,2762,3553
2020-07-04,90608,51988,97281,149935,2805,3633
2020-07-05,93564,54003,100685,154614,2847,3716
2020-07-06,97541,55793,104370,159488,2910,3801
2020-07-07,102141,56667,108517,164537,2989,3889
2020-07-08,106832,57142,113365,169678,3100,3978
2020-07-09,112219,57377,118202,174876,3197,4067
2020-07-10,116554,57533,123067,180108,3293,4156
2020-07-11,119727,57723,127838,185367,3371,4245
2020-07-12,123368,58061,132312,190656,3454,4334
2020-07-13,127112,58615,137151,195989,3540,4423
2020-07-14,131254,59347,142697,201385,3646,4513
2020-07-15,133639,60031,149203,206860,3779,4604
2020-07-16,134936,60708,155801,212410,3936,4695
2020-07-17,136278,61469,162569,218034,4088,4787
2020-07-18,137912,62451,168236,223740,4210,4880
2020-07-19,141193,63819,173462,229549,4319,4974
2020-07-20,143895,65633,179112,235497,4416,5069
2020-07-21,145877,67566,186571,241625,4576,5167
2020-07-22,146488,69284,195223,247945,4750,5267
2020-07-23,146735,70925,203785,254437,4960,5369
2020-07-24,145599,72638,212517,261095,5137,5473
2020-07-25,140625,74623,223501,267925,5304,5579
2020-07-26,136375,77281,234245,274953,5636,5687
2020-07-27,136725,80393,241892,282243,5988,5799
2020-07-28,140705,83235,246748,289838,6370,5915
2020-07-29,143721,85708,252112,297713,6609,6034
2020-07-30,142056,87924,261693,305834,6829,6156
2020-07-31,136306,90163,274582,314177,7057,6281
2020-08-01,129836,92756,286875,322745,7208,6408
2020-08-02,126325,96047,294952,331571,7370,6538
2020-08-03,129802,99118,300368,340722,7522,6672
2020-08-04,134084,100036,306445,350178,7784,6810
2020-08-05,137044,100245,315239,359733,8273,6948
2020-08-06,137115,100099,323708,369320,8777,7086
2020-08-07,140088,99850,331271,378904,9226,7223
2020-08-08,144633,99619,338285,388475,9421,7359
2020-08-09,151739,99574,344340,398034,9553,7494
2020-08-10,157236,99907,350996,407599,9615,7628
2020-08-11,160832,100610,358499,417206,9747,7762
2020-08-12,161276,101180,367142,426891,9926,7896
2020-08-13,163021,101717,375610,436641,10206,8030
2020-08-14,164679,102336,384247,446452,10449,8164
2020-08-15,165766,103149,392185,456332,10659,8298
2020-08-16,164908,104360,399551,466299,10786,8432
2020-08-17,163804,106087,407097,476392,10916,8567
2020-08-18,163485,108172,415468,486661,11089,8704
2020-08-19,161742,110061,424182,497141,11325,8842
2020-08-20,159929,111934,431823,507813,11572,8982
2020-08-21,157392,113937,438938,518675,11785,9124
2020-08-22,154846,116167,445543,529740,11955,9267
2020-08-23,152097,118745,451662,541030,12066,9412
2020-08-24,149694,121615,458502,552579,12181,9559
2020-08-25,147833,124485,465384,564415,12322,9709
2020-08-26,147193,126955,472574,576539,12511,9862
2020-08-27,147110,129353,478684,588912,12699,10017
2020-08-28,146022,131768,485517,601527,12872,10174
2020-08-29,142678,134187,492439,614386,12998,10333
2020-08-30,138409,136746,499979,627489,13081,10494
2020-08-31,134261,138846,507292,640850,13165,10657
2020-09-01,130620,139056,514815,654424,13288,10821
2020-09-02,127790,138606,521435,668026,13458,10984
2020-09-03,125749,137743,527223,681591,13627,11146
2020-09-04,124167,136788,532621,695079,13778,11306
2020-09-05,120071,135969,539638,708481,13892,11464
2020-09-06,115375,135476,546700,721809,13981,11620
2020-09-07,112870,135517,551742,735095,14057,11774
2020-09-08,112549,136223,555237,748392,14149,11927
2020-09-09,113224,136689,558805,761764,14231,12080
2020-09-10,110427,136709,565319,775188,14370,12232
2020-09-11,108811,136595,571631,788620,14503,12383
2020-09-12,109179,136491,577551,802046,14656,12533
2020-09-13,111676,136536,581872,815468,14733,12682
2020-09-14,114854,136835,584565,828900,14821,12830
2020-09-15,115781,137587,587553,842366,14929,12977
2020-09-16,116527,138271,590522,855911,15050,13124
2020-09-17,115902,138855,595438,869529,15161,13271
2020-09-18,115557,139524,600333,883209,15258,13417
2020-09-19,117246,140362,605131,896960,15337,13563
2020-09-20,119364,141462,608862,910798,15397,13709
2020-09-21,122064,142849,611654,924749,15461,13855
2020-09-22,123009,144207,614602,938842,15553,14001
2020-09-23,117572,145414,624706,953073,15677,14147
2020-09-24,111438,146635,635455,967428,15799,14294
2020-09-25,104627,148036,645964,981907,15914,14441
2020-09-26,103401,149788,649366,996529,15996,14588
2020-09-27,102879,152024,653121,1011328,16065,14736
2020-09-28,103183,154092,656940,1026352,16122,14885
2020-09-29,103840,154154,661109,1041584,16202,15035
2020-09-30,104051,153569,664812,1056826,16300,15184
2020-10-01,104017,152752,668514,1072014,16424,15331
2020-10-02,103763,151973,672634,1087125,16535,15476
2020-10-03,102768,151325,676490,1102163,16623,15619
2020-10-04,101612,150787,680342,1117140,16700,15760
2020-10-05,101486,150616,683686,1132067,16784,15900
2020-10-06,101447,151186,687700,1146980,16892,16038
2020-10-07,101375,151847,691531,1161953,16998,16176
2020-10-08,100610,152774,695266,1176994,17099,16313
2020-10-09,100569,154019,698419,1192130,17187,16450
2020-10-10,100445,155498,701242,1207392,17250,16587
2020-10-11,101437,157161,703478,1222804,17296,16724
2020-10-12,102669,159165,705733,1238384,17350,16862
2020-10-13,104607,161854,708325,1254165,17427,17000
2020-10-14,105306,164452,711934,1270215,17526,17139
2020-10-15,106516,167058,715643,1286526,17620,17279
2020-10-16,106657,169925,719565,1303098,17704,17420
2020-10-17,108254,173257,722971,1319957,17759,17563
2020-10-18,109476,177357,726399,1337149,17793,17707
2020-10-19,111813,181989,729917,1354751,17827,17853
2020-10-20,112565,186357,734220,1372815,17890,18002
2020-10-21,112778,189727,739060,1391315,17958,18153
2020-10-22,113525,192806,743891,1410152,18040,18306
2020-10-23,113943,195818,748715,1429297,18136,18460
