date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2135,278,455,30,30
2020-04-14,1016,2158,313,590,34,31
2020-04-15,1062,2169,337,726,38,32
2020-04-16,1116,2173,363,863,42,33
2020-04-17,1202,2171,377,1000,47,34
2020-04-18,1287,2167,409,1137,50,35
2020-04-19,1370,2161,444,1274,57,36
2020-04-20,1382,2154,484,1410,63,37
2020-04-21,1477,2146,505,1546,68,38
2020-04-22,1588,2139,525,1681,73,39
2020-04-23,1726,2131,567,1816,77,40
2020-04-24,1832,2124,603,1950,85,41
2020-04-25,1904,2117,638,2084,93,42
2020-04-26,1991,2111,646,2217,100,43
2020-04-27,2082,2104,655,2350,104,44
2020-04-28,2224,2099,673,2483,107,45
2020-04-29,2385,2095,701,2615,113,46
2020-04-30,2524,2092,733,2747,122,47
2020-05-01,2663,2090,759,2879,130,48
2020-05-02,2773,2088,785,3011,140,49
2020-05-03,2914,2087,809,3143,148,50
2020-05-04,3022,2085,828,3275,156,51
2020-05-05,3112,2085,879,3406,162,52
2020-05-06,3181,2085,959,3537,167,53
2020-05-07,3257,2086,1054,3668,174,54
2020-05-08,3338,2089,1129,3800,181,55
2020-05-09,3387,2095,1194,3932,190,56
2020-05-10,3457,2102,1247,4064,199,57
2020-05-11,3555,2109,1284,4197,209,58
2020-05-12,3657,2117,1339,4330,219,59
2020-05-13,3713,2126,1416,4463,230,60
2020-05-14,3759,2137,1508,4597,242,61
2020-05-15,3832,2150,1587,4732,251,62
2020-05-16,3894,2166,1662,4868,259,63
2020-05-17,3975,2183,1721,5005,264,64
2020-05-18,4042,2198,1763,5143,270,65
2020-05-19,4114,2215,1811,5282,276,66
2020-05-20,4156,2233,1887,5422,284,67
2020-05-21,4207,2252,1969,5563,295,68
2020-05-22,4210,2275,2058,5705,306,69
2020-05-23,4235,2302,2182,5848,314,70
2020-05-24,4223,2331,2323,5993,318,71
2020-05-25,4266,2360,2447,6140,320,72
2020-05-26,4296,2391,2516,6289,324,73
2020-05-27,4345,2424,2574,6440,329,74
2020-05-28,4405,2457,2628,6593,336,75
2020-05-29,4467,2493,2683,6748,343,76
2020-05-30,4503,2533,2749,6905,350,77
2020-05-31,4543,2577,2805,7065,356,78
2020-06-01,4618,2617,2858,7227,361,79
2020-06-02,4720,2658,2900,7392,368,80
2020-06-03,4844,2698,2953,7560,375,81
2020-06-04,4978,2739,3029,7730,381,82
2020-06-05,5110,2782,3111,7903,387,83
2020-06-06,5211,2829,3202,8078,391,84
2020-06-07,5272,2879,3266,8256,396,85
2020-06-08,5311,2926,3324,8437,400,86
2020-06-09,5273,2976,3462,8621,404,87
2020-06-10,5199,3027,3628,8809,413,88
2020-06-11,5115,3075,3844,9000,422,89
2020-06-12,5107,3123,3968,9194,429,90
2020-06-13,5134,3177,4057,9391,432,91
2020-06-14,5208,3234,4086,9591,435,92
2020-06-15,5278,3290,4115,9795,440,93
2020-06-16,5338,3347,4163,10002,446,94
2020-06-17,5357,3405,4242,10213,451,95
2020-06-18,5367,3463,4335,10428,457,96
2020-06-19,5385,3529,4434,10646,462,97
2020-06-20,5397,3600,4554,10868,467,98
2020-06-21,5437,3679,4655,11095,471,99
2020-06-22,5493,3752,4732,11327,474,100
2020-06-23,5577,3825,4786,11564,477,101
2020-06-24,5660,3898,4866,11805,480,103
2020-06-25,5744,3967,4968,12051,484,105
2020-06-26,5858,4041,5060,12301,488,107
2020-06-27,5973,4115,5149,12556,490,109
2020-06-28,6090,4189,5221,12815,492,111
2020-06-29,6215,4265,5270,13079,494,113
2020-06-30,6322,4344,5317,13348,496,115
2020-07-01,6413,4422,5401,13622,500,117
2020-07-02,6509,4500,5511,13901,504,119
2020-07-03,6630,4578,5647,14185,509,121
2020-07-04,6760,4663,5758,14474,513,123
2020-07-05,6926,4742,5835,14768,514,125
2020-07-06,7111,4820,5869,15067,516,127
2020-07-07,7314,4903,5916,15371,520,129
2020-07-08,7493,4988,5979,15680,526,131
2020-07-09,7688,5074,6051,15994,533,133
2020-07-10,7870,5164,6116,16314,538,135
2020-07-11,8051,5261,6190,16640,542,137
2020-07-12,8227,5357,6258,16972,545,139
2020-07-13,8411,5452,6318,17310,548,141
2020-07-14,8625,5552,6371,17654,552,143
2020-07-15,8846,5651,6429,18004,556,145
2020-07-16,9083,5749,6501,18360,561,147
2020-07-17,9302,5851,6576,18722,565,149
2020-07-18,9497,5971,6656,19091,568,151
2020-07-19,9684,6094,6718,19467,572,153
2020-07-20,9884,6203,6771,19851,579,155
2020-07-21,10119,6315,6816,20242,585,157
2020-07-22,10359,6424,6886,20640,591,159
2020-07-23,10593,6534,6966,21045,596,162
2020-07-24,10812,6649,7062,21457,601,165
2020-07-25,11001,6774,7160,21876,607,168
2020-07-26,11240,6905,7257,22303,613,171
2020-07-27,11468,7029,7358,22738,619,174
2020-07-28,11696,7158,7488,23181,625,177
2020-07-29,11743,7284,7731,23632,631,180
2020-07-30,11781,7411,7957,24091,636,183
2020-07-31,11834,7544,8118,24558,642,186
2020-08-01,11967,7690,8188,25034,649,189
2020-08-02,12071,7839,8256,25519,653,192
2020-08-03,12143,7981,8364,26013,655,195
2020-08-04,12188,8118,8497,26516,660,198
2020-08-05,12237,8254,8658,27028,664,201
2020-08-06,12277,8392,8821,27548,670,204
2020-08-07,12295,8530,8981,28077,675,207
2020-08-08,12325,8679,9126,28615,680,210
2020-08-09,12357,8847,9249,29162,685,213
2020-08-10,12442,9011,9336,29720,689,216
2020-08-11,12489,9165,9453,30288,692,220
2020-08-12,12526,9312,9594,30866,695,224
2020-08-13,12511,9460,9778,31453,698,228
2020-08-14,12478,9617,9968,32049,703,232
2020-08-15,12397,9798,10184,32655,709,236
2020-08-16,12338,9987,10351,33273,714,240
2020-08-17,12286,10163,10491,33903,718,244
2020-08-18,12200,10335,10686,34544,723,248
2020-08-19,12096,10503,10935,35196,728,252
2020-08-20,12025,10672,11172,35858,734,256
2020-08-21,12094,10849,11284,36531,738,260
2020-08-22,12162,11043,11360,37215,742,264
2020-08-23,12232,11265,11436,37911,745,268
2020-08-24,12211,11468,11555,38621,748,272
2020-08-25,12169,11667,11705,39344,752,276
2020-08-26,12072,11866,11923,40079,757,281
2020-08-27,11954,12065,12182,40827,762,286
2020-08-28,11841,12265,12439,41588,766,291
2020-08-29,11751,12484,12648,42361,768,296
2020-08-30,11695,12733,12804,43148,772,301
2020-08-31,11690,12957,12897,43951,778,306
2020-09-01,11707,13171,12982,44768,785,311
2020-09-02,11768,13369,13071,45598,789,316
2020-09-03,11806,13573,13178,46441,791,321
2020-09-04,11834,13777,13291,47297,795,326
2020-09-05,11835,14006,13385,48166,799,331
2020-09-06,11828,14257,13467,49049,804,336
2020-09-07,11805,14502,13531,49948,808,342
2020-09-08,11774,14733,13611,50862,812,348
2020-09-09,11734,14956,13744,51791,814,354
2020-09-10,11689,15165,13916,52734,815,360
2020-09-11,11625,15368,14108,53690,818,366
2020-09-12,11576,15585,14264,54659,821,372
2020-09-13,11570,15813,14359,55641,825,378
2020-09-14,11590,16024,14424,56638,828,384
2020-09-15,11602,16228,14503,57648,830,390
2020-09-16,11574,16423,14648,58671,832,396
2020-09-17,11500,16620,14860,59706,836,402
2020-09-18,11444,16805,15068,60754,841,408
2020-09-19,11401,17010,15234,61813,845,414
2020-09-20,11406,17246,15336,62885,849,421
2020-09-21,11409,17470,15424,63972,851,428
2020-09-22,11461,17688,15505,65073,854,435
2020-09-23,11553,17899,15591,66188,856,442
2020-09-24,11679,18114,15693,67316,860,449
2020-09-25,11764,18335,15838,68458,865,456
2020-09-26,11787,18593,16018,69614,869,463
2020-09-27,11791,18900,16177,70786,872,470
2020-09-28,11811,19193,16311,71977,873,477
2020-09-29,11888,19480,16429,73187,875,484
2020-09-30,11987,19772,16552,74415,878,491
2020-10-01,12096,20067,16720,75661,882,499
2020-10-02,12215,20378,16884,76926,886,507
2020-10-03,12305,20699,17063,78211,889,515
2020-10-04,12398,21049,17178,79516,892,523
2020-10-05,12521,21369,17270,80843,894,531
2020-10-06,12725,21678,17363,82190,895,539
2020-10-07,12933,21972,17528,83557,897,547
2020-10-08,13124,22270,17766,84942,899,555
2020-10-09,13289,22589,18048,86346,902,564
2020-10-10,13409,22954,18333,87770,906,573
2020-10-11,13566,23373,18545,89217,911,582
2020-10-12,13741,23786,18697,90690,914,591
2020-10-13,14060,24189,18810,92189,918,600
2020-10-14,14441,24565,18959,93714,920,609
2020-10-15,14902,24930,19181,95263,923,618
2020-10-16,15365,25298,19399,96835,926,628
2020-10-17,15729,25703,19641,98430,930,638
2020-10-18,16093,26147,19786,100050,932,648
2020-10-19,16475,26584,19916,101698,937,658
2020-10-20,17009,27006,20020,103374,942,668
2020-10-21,17548,27417,20166,105076,948,678
2020-10-22,18113,27824,20353,106804,954,688
2020-10-23,18720,28228,20516,108558,959,699
2020-10-24,19399,28679,20660,110338,964,710
2020-10-25,20108,29162,20752,112146,969,721
2020-10-26,20728,29645,20837,113984,974,732
2020-10-27,21275,30141,20936,115853,982,743
2020-10-28,21913,30611,21065,117753,988,754
2020-10-29,22657,31096,21225,119683,997,766
2020-10-30,23393,31612,21368,121643,1006,778
2020-10-31,24043,32175,21483,123636,1017,790
2020-11-01,24688,32798,21561,125664,1026,802
2020-11-02,25507,33430,21650,127732,1035,814
2020-11-03,26378,34063,21774,129839,1046,827
2020-11-04,27147,34674,21991,131986,1062,840
2020-11-05,27950,35274,22225,134172,1076,853
2020-11-06,28786,35886,22514,136396,1091,866
2020-11-07,29759,36539,22786,138658,1103,880
2020-11-08,30796,37240,23034,140961,1117,894
2020-11-09,31859,37943,23250,143309,1130,908
2020-11-10,33013,38670,23466,145701,1144,922
2020-11-11,34236,39363,23724,148139,1159,937
2020-11-12,35426,40046,24002,150620,1177,952
2020-11-13,36550,40708,24240,153145,1194,967
2020-11-14,37410,41397,24509,155711,1207,982
2020-11-15,38281,42143,24775,158321,1219,998
2020-11-16,39404,42863,25096,160978,1238,1014
2020-11-17,40780,43586,25778,163680,1263,1030
2020-11-18,42788,44285,26635,166428,1285,1046
2020-11-19,45042,44978,27541,169220,1305,1063
2020-11-20,47438,45673,28121,172055,1325,1080
2020-11-21,49606,46418,28520,174934,1352,1097
2020-11-22,51580,47241,28871,177860,1377,1114
2020-11-23,53492,48070,29202,180838,1403,1132
2020-11-24,55099,48964,29640,183868,1426,1150
2020-11-25,56428,49864,30171,186955,1449,1168
2020-11-26,57759,50792,30683,190098,1474,1187
2020-11-27,59256,51665,31120,193300,1500,1206
2020-11-28,60683,52630,31544,196557,1523,1225
2020-11-29,61920,53653,32033,199875,1545,1245
2020-11-30,63053,54708,32692,203257,1565,1265
2020-12-01,64085,55826,33479,206706,1595,1285
2020-12-02,65102,56934,34349,210225,1630,1306
2020-12-03,66128,58004,35123,213814,1669,1327
2020-12-04,67397,59026,35782,217471,1705,1348
2020-12-05,68492,60076,36403,221192,1731,1370
2020-12-06,69032,61148,37507,224979,1758,1392
2020-12-07,68809,62190,38731,228834,1787,1415
2020-12-08,69401,63209,39736,232755,1811,1438
2020-12-09,70281,64219,40431,236740,1830,1461
2020-12-10,71680,65239,41216,240788,1852,1485
2020-12-11,72442,66284,42227,244901,1882,1509
2020-12-12,73110,67366,43212,249080,1919,1533
2020-12-13,73295,68530,44575,253327,1949,1558
2020-12-14,72992,69628,46246,257647,1980,1583
2020-12-15,72653,70700,48073,262036,2011,1609
2020-12-16,72768,71723,49499,266493,2052,1635
2020-12-17,73031,72742,50843,271014,2093,1661
2020-12-18,73297,73785,52066,275600,2128,1688
2020-12-19,73399,74905,53257,280251,2151,1715
