date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7785,2287,2824,344,358
2020-04-14,8080,8025,2666,3185,377,372
2020-04-15,8262,8287,3135,3563,412,387
2020-04-16,8330,8556,3672,3959,450,402
2020-04-17,8292,8833,4224,4374,482,418
2020-04-18,8130,9115,4776,4809,509,434
2020-04-19,8122,9401,5282,5264,530,451
2020-04-20,8160,9688,5842,5740,554,468
2020-04-21,8258,9975,6511,6238,578,486
2020-04-22,8245,10271,7284,6757,612,505
2020-04-23,8141,10577,8174,7299,641,524
2020-04-24,7995,10891,9055,7865,668,544
2020-04-25,7656,11211,9968,8456,685,564
2020-04-26,7752,11536,10639,9072,703,585
2020-04-27,7958,11861,11239,9714,732,606
2020-04-28,8255,12181,12090,10382,767,628
2020-04-29,8332,12503,13074,11077,811,651
2020-04-30,8801,12828,13852,11799,849,674
2020-05-01,9260,13158,14378,12549,897,698
2020-05-02,9533,13494,14852,13327,937,722
2020-05-03,9512,13822,15508,14135,974,747
2020-05-04,9599,14150,16141,14972,996,772
2020-05-05,9927,14467,16834,15838,1019,798
2020-05-06,10325,14783,17617,16734,1044,825
2020-05-07,10878,15101,18419,17659,1075,852
2020-05-08,11514,15423,19259,18614,1109,880
2020-05-09,11779,15755,20120,19600,1145,908
2020-05-10,11588,16105,21259,20617,1177,937
2020-05-11,11393,16471,22385,21667,1209,966
2020-05-12,11609,16830,23218,22752,1237,996
2020-05-13,11957,17180,23841,23871,1278,1027
2020-05-14,12018,17524,24486,25025,1323,1058
2020-05-15,11988,17868,25514,26213,1373,1090
2020-05-16,11935,18219,26541,27435,1409,1122
2020-05-17,12079,18593,27514,28692,1434,1155
2020-05-18,12178,18977,28433,29987,1458,1189
2020-05-19,12294,19346,29504,31320,1487,1223
2020-05-20,12416,19712,30454,32690,1520,1258
2020-05-21,12735,20086,31076,34098,1545,1293
2020-05-22,12935,20475,31574,35544,1561,1329
2020-05-23,12820,20895,32295,37030,1583,1366
2020-05-24,12014,21380,33651,38558,1605,1403
2020-05-25,11470,21905,35017,40134,1627,1441
2020-05-26,10963,22413,36431,41760,1647,1480
2020-05-27,10814,22887,37635,43436,1670,1520
2020-05-28,10229,23328,39258,45160,1694,1561
2020-05-29,9654,23763,40857,46930,1720,1602
2020-05-30,9284,24214,42030,48745,1743,1644
2020-05-31,9446,24709,42728,50607,1765,1687
2020-06-01,9881,25219,43426,52519,1784,1730
2020-06-02,10034,25680,44571,54483,1808,1774
2020-06-03,12386,26128,45724,56496,1841,1819
2020-06-04,15230,26579,46840,58556,1871,1865
2020-06-05,18192,27041,47853,60664,1900,1911
2020-06-06,18448,27539,49069,62822,1921,1958
2020-06-07,18293,28113,50161,65032,1937,2006
2020-06-08,19431,28732,50909,67301,1950,2055
2020-06-09,21554,29275,51576,69632,1970,2105
2020-06-10,23433,29779,52561,72020,1996,2155
2020-06-11,24473,30275,53934,74462,2024,2206
2020-06-12,24905,30779,55296,76957,2050,2258
2020-06-13,25162,31353,56711,79506,2072,2311
2020-06-14,26077,32078,57988,82115,2092,2364
2020-06-15,27826,32938,59370,84797,2122,2418
2020-06-16,30514,33704,60712,87564,2159,2474
2020-06-17,32561,34347,62287,90408,2198,2531
2020-06-18,34594,34943,63836,93319,2231,2589
2020-06-19,36556,35569,65412,96293,2262,2648
2020-06-20,38432,36284,66974,99333,2286,2707
2020-06-21,40494,37186,68261,102447,2309,2767
2020-06-22,43446,38227,69467,105651,2330,2829
2020-06-23,47218,39106,70934,108958,2360,2892
2020-06-24,50962,39845,72702,112353,2398,2957
2020-06-25,55537,40518,74558,115825,2440,3023
2020-06-26,59940,41223,76342,119369,2482,3089
2020-06-27,64531,42034,78168,122987,2518,3156
2020-06-28,69048,43059,79852,126689,2550,3224
2020-06-29,73816,44250,82042,130494,2578,3294
2020-06-30,78855,45307,84569,134417,2616,3366
2020-07-01,82345,46214,87698,138446,2662,3439
2020-07-02,85823,47047,90616,142569,2715,3513
2020-07-03,87947,47951,93907,146779,2762,3588
2020-07-04,90608,49144,97281,151082,2805,3664
2020-07-05,93564,50677,100685,155505,2847,3742
2020-07-06,97541,52284,104370,160078,2910,3822
2020-07-07,102141,53786,108517,164809,2989,3904
2020-07-08,106832,55004,113365,169689,3100,3988
2020-07-09,112219,56013,118202,174692,3197,4074
2020-07-10,116554,56994,123067,179800,3293,4161
2020-07-11,119727,58127,127838,185010,3371,4249
2020-07-12,123368,59640,132312,190336,3454,4339
2020-07-13,127112,61367,137151,195814,3540,4431
2020-07-14,131254,62746,142697,201463,3646,4525
2020-07-15,133639,63898,149203,207252,3779,4621
2020-07-16,134936,64945,155801,213160,3936,4718
2020-07-17,136278,66054,162569,219177,4088,4816
2020-07-18,137912,67416,168236,225309,4210,4915
2020-07-19,141193,69242,173462,231580,4319,5016
2020-07-20,143895,71337,179112,238033,4416,5119
2020-07-21,145877,72900,186571,244694,4576,5225
2020-07-22,146488,74105,195223,251513,4750,5333
2020-07-23,146735,75134,203785,258457,4960,5442
2020-07-24,145599,76152,212517,265510,5137,5552
2020-07-25,140625,77323,223501,272670,5304,5663
2020-07-26,136375,78940,234245,279952,5636,5775
2020-07-27,136725,80766,241892,287398,5988,5889
2020-07-28,140705,82154,246748,295028,6370,6005
2020-07-29,143721,83244,252112,302801,6609,6123
2020-07-30,142056,84138,261693,310689,6829,6242
2020-07-31,136306,85028,274582,318673,7057,6361
2020-08-01,129836,86116,286875,326753,7208,6481
2020-08-02,126325,87613,294952,334947,7370,6602
2020-08-03,129802,89267,300368,343294,7522,6724
2020-08-04,134084,90415,306445,351810,7784,6848
2020-08-05,137044,91277,315239,360446,8273,6973
2020-08-06,137115,92035,323708,369175,8777,7098
2020-08-07,140088,92842,331271,377987,9226,7224
2020-08-08,144633,93795,338285,386886,9421,7350
2020-08-09,151739,95154,344340,395887,9553,7477
2020-08-10,157236,96849,350996,405028,9615,7605
2020-08-11,160832,98226,358499,414341,9747,7735
2020-08-12,161276,99239,367142,423796,9926,7866
2020-08-13,163021,100091,375610,433358,10206,7997
2020-08-14,164679,100973,384247,443012,10449,8129
2020-08-15,165766,102028,392185,452760,10659,8261
2020-08-16,164908,103482,399551,462619,10786,8394
2020-08-17,163804,105179,407097,472627,10916,8528
2020-08-18,163485,106532,415468,482808,11089,8663
2020-08-19,161742,107543,424182,493129,11325,8799
2020-08-20,159929,108415,431823,503556,11572,8936
2020-08-21,157392,109304,438938,514076,11785,9073
2020-08-22,154846,110286,445543,524691,11955,9210
2020-08-23,152097,111446,451662,535409,12066,9348
2020-08-24,149694,112682,458502,546248,12181,9486
2020-08-25,147833,113707,465384,557215,12322,9625
2020-08-26,147193,114446,472574,568289,12511,9765
2020-08-27,147110,115115,478684,579443,12699,9905
2020-08-28,146022,115789,485517,590669,12872,10045
2020-08-29,142678,116474,492439,601968,12998,10184
2020-08-30,138409,117252,499979,613341,13081,10323
2020-08-31,134261,118025,507292,624797,13165,10462
2020-09-01,130620,118418,514815,636335,13288,10601
2020-09-02,127790,118541,521435,647918,13458,10740
2020-09-03,125749,118414,527223,659520,13627,10878
2020-09-04,124167,118291,532621,671115,13778,11015
2020-09-05,120071,118396,539638,682704,13892,11151
2020-09-06,115375,118968,546700,694310,13981,11286
2020-09-07,112870,119902,551742,705977,14057,11421
2020-09-08,112549,120797,555237,717742,14149,11556
2020-09-09,113224,121318,558805,729600,14231,11691
2020-09-10,110427,121359,565319,741514,14370,11826
2020-09-11,108811,121246,571631,753438,14503,11960
2020-09-12,109179,121120,577551,765356,14656,12093
2020-09-13,111676,121111,581872,777266,14733,12225
2020-09-14,114854,121145,584565,789180,14821,12356
2020-09-15,115781,121109,587553,801102,14929,12486
2020-09-16,116527,120943,590522,813025,15050,12615
2020-09-17,115902,120671,595438,824936,15161,12743
2020-09-18,115557,120442,600333,836825,15258,12870
2020-09-19,117246,120311,605131,848695,15337,12996
2020-09-20,119364,120346,608862,860556,15397,13121
2020-09-21,122064,120528,611654,872425,15461,13245
2020-09-22,123009,120543,614602,884316,15553,13368
2020-09-23,117572,120464,624706,896212,15677,13490
2020-09-24,111438,120395,635455,908104,15799,13611
2020-09-25,104627,120448,645964,919992,15914,13731
2020-09-26,103401,120731,649366,931889,15996,13851
2020-09-27,102879,121335,653121,943817,16065,13970
2020-09-28,103183,122106,656940,955808,16122,14089
2020-09-29,103840,122680,661109,967878,16202,14208
2020-09-30,104051,123082,664812,980008,16300,14326
2020-10-01,104017,123538,668514,992181,16424,14444
2020-10-02,103763,124164,672634,1004402,16535,14561
2020-10-03,102768,125000,676490,1016688,16623,14678
2020-10-04,101612,125962,680342,1029060,16700,14795
2020-10-05,101486,127106,683686,1041529,16784,14912
2020-10-06,101447,128131,687700,1054114,16892,15029
2020-10-07,101375,129012,691531,1066804,16998,15146
2020-10-08,100610,129998,695266,1079583,17099,15263
2020-10-09,100569,131208,698419,1092463,17187,15380
2020-10-10,100445,132594,701242,1105465,17250,15497
2020-10-11,101437,134133,703478,1118607,17296,15614
2020-10-12,102669,135699,705733,1131904,17350,15731
2020-10-13,104607,136928,708325,1145358,17427,15849
2020-10-14,105306,137892,711934,1158937,17526,15967
2020-10-15,106516,138736,715643,1172613,17620,16085
2020-10-16,106657,139685,719565,1186375,17704,16202
2020-10-17,108254,140887,722971,1200234,17759,16319
2020-10-18,109476,142537,726399,1214214,17793,16436
2020-10-19,111813,144434,729917,1228360,17827,16554
2020-10-20,112565,145905,734220,1242696,17890,16672
2020-10-21,112778,146828,739060,1257180,17958,16790
2020-10-22,113525,147602,743891,1271758,18040,16908
2020-10-23,113943,148390,748715,1286415,18136,17026
