date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7781,2287,2824,344,358
2020-04-14,8080,8012,2666,3184,377,372
2020-04-15,8262,8262,3135,3561,412,387
2020-04-16,8330,8516,3672,3956,450,402
2020-04-17,8292,8776,4224,4369,482,418
2020-04-18,8130,9039,4776,4801,509,434
2020-04-19,8122,9304,5282,5252,530,451
2020-04-20,8160,9570,5842,5723,554,468
2020-04-21,8258,9835,6511,6214,578,486
2020-04-22,8245,10106,7284,6726,612,504
2020-04-23,8141,10384,8174,7259,641,523
2020-04-24,7995,10667,9055,7815,668,542
2020-04-25,7656,10954,9968,8393,685,562
2020-04-26,7752,11243,10639,8995,703,582
2020-04-27,7958,11535,11239,9621,732,603
2020-04-28,8255,11833,12090,10271,767,624
2020-04-29,8332,12135,13074,10946,811,646
2020-04-30,8801,12442,13852,11647,849,668
2020-05-01,9260,12754,14378,12374,897,691
2020-05-02,9533,13071,14852,13128,937,715
2020-05-03,9512,13380,15508,13910,974,739
2020-05-04,9599,13694,16141,14720,996,764
2020-05-05,9927,14009,16834,15558,1019,789
2020-05-06,10325,14328,17617,16425,1044,815
2020-05-07,10878,14652,18419,17322,1075,841
2020-05-08,11514,14982,19259,18249,1109,868
2020-05-09,11779,15324,20120,19206,1145,895
2020-05-10,11588,15686,21259,20195,1177,923
2020-05-11,11393,16073,22385,21218,1209,952
2020-05-12,11609,16466,23218,22277,1237,981
2020-05-13,11957,16854,23841,23372,1278,1011
2020-05-14,12018,17239,24486,24504,1323,1042
2020-05-15,11988,17628,25514,25672,1373,1073
2020-05-16,11935,18029,26541,26878,1409,1105
2020-05-17,12079,18461,27514,28122,1434,1138
2020-05-18,12178,18907,28433,29407,1458,1171
2020-05-19,12294,19329,29504,30735,1487,1205
2020-05-20,12416,19746,30454,32104,1520,1240
2020-05-21,12735,20173,31076,33514,1545,1275
2020-05-22,12935,20619,31574,34966,1561,1311
2020-05-23,12820,21105,32295,36462,1583,1348
2020-05-24,12014,21673,33651,38006,1605,1386
2020-05-25,11470,22252,35017,39603,1627,1425
2020-05-26,10963,22705,36431,41255,1647,1465
2020-05-27,10814,23100,37635,42953,1670,1505
2020-05-28,10229,23452,39258,44693,1694,1546
2020-05-29,9654,23789,40857,46472,1720,1588
2020-05-30,9284,24131,42030,48289,1743,1630
2020-05-31,9446,24500,42728,50144,1765,1673
2020-06-01,9881,24888,43426,52040,1784,1716
2020-06-02,10034,25268,44571,53978,1808,1760
2020-06-03,12386,25646,45724,55958,1841,1804
2020-06-04,15230,26033,46840,57980,1871,1849
2020-06-05,18192,26430,47853,60045,1900,1894
2020-06-06,18448,26858,49069,62154,1921,1940
2020-06-07,18293,27352,50161,64309,1937,1987
2020-06-08,19431,27891,50909,66516,1950,2034
2020-06-09,21554,28379,51576,68779,1970,2082
2020-06-10,23433,28835,52561,71094,1996,2131
2020-06-11,24473,29287,53934,73458,2024,2180
2020-06-12,24905,29748,55296,75872,2050,2230
2020-06-13,25162,30276,56711,78336,2072,2281
2020-06-14,26077,30947,57988,80856,2092,2333
2020-06-15,27826,31746,59370,83444,2122,2386
2020-06-16,30514,32473,60712,86111,2159,2440
2020-06-17,32561,33086,62287,88851,2198,2495
2020-06-18,34594,33657,63836,91655,2231,2551
2020-06-19,36556,34258,65412,94520,2262,2607
2020-06-20,38432,34945,66974,97448,2286,2664
2020-06-21,40494,35811,68261,100447,2309,2722
2020-06-22,43446,36861,69467,103533,2330,2781
2020-06-23,47218,37880,70934,106721,2360,2842
2020-06-24,50962,38776,72702,110010,2398,2905
2020-06-25,55537,39618,74558,113389,2440,2969
2020-06-26,59940,40509,76342,116854,2482,3034
2020-06-27,64531,41531,78168,120409,2518,3100
2020-06-28,69048,42807,79852,124067,2550,3168
2020-06-29,73816,44355,82042,127850,2578,3237
2020-06-30,78855,45930,84569,131782,2616,3309
2020-07-01,82345,47349,87698,135867,2662,3383
2020-07-02,85823,48695,90616,140091,2715,3459
2020-07-03,87947,50159,93907,144448,2762,3537
2020-07-04,90608,52045,97281,148949,2805,3617
2020-07-05,93564,54419,100685,153633,2847,3700
2020-07-06,97541,56635,104370,158544,2910,3786
2020-07-07,102141,58076,108517,163669,2989,3875
2020-07-08,106832,59092,113365,168938,3100,3966
2020-07-09,112219,59837,118202,174313,3197,4058
2020-07-10,116554,60515,123067,179770,3293,4151
2020-07-11,119727,61293,127838,185302,3371,4245
2020-07-12,123368,62362,132312,190919,3454,4340
2020-07-13,127112,63633,137151,196647,3540,4436
2020-07-14,131254,64716,142697,202505,3646,4533
2020-07-15,133639,65638,149203,208475,3779,4632
2020-07-16,134936,66491,155801,214543,3936,4732
2020-07-17,136278,67418,162569,220703,4088,4833
2020-07-18,137912,68587,168236,226962,4210,4934
2020-07-19,141193,70193,173462,233342,4319,5037
2020-07-20,143895,72124,179112,239884,4416,5142
2020-07-21,145877,73729,186571,246618,4576,5249
2020-07-22,146488,75035,195223,253515,4750,5358
2020-07-23,146735,76209,203785,260546,4960,5468
2020-07-24,145599,77410,212517,267700,5137,5580
2020-07-25,140625,78819,223501,274979,5304,5693
2020-07-26,136375,80767,234245,282402,5636,5807
2020-07-27,136725,83026,241892,290021,5988,5924
2020-07-28,140705,84915,246748,297865,6370,6043
2020-07-29,143721,86486,252112,305899,6609,6165
2020-07-30,142056,87846,261693,314094,6829,6288
2020-07-31,136306,89222,274582,322430,7057,6412
2020-08-01,129836,90870,286875,330908,7208,6538
2020-08-02,126325,93057,294952,339554,7370,6665
2020-08-03,129802,95520,300368,348420,7522,6795
2020-08-04,134084,97505,306445,357532,7784,6928
2020-08-05,137044,99102,315239,366845,8273,7063
2020-08-06,137115,100538,323708,376322,8777,7199
2020-08-07,140088,102002,331271,385948,9226,7336
2020-08-08,144633,103608,338285,395725,9421,7475
2020-08-09,151739,105696,344340,405667,9553,7615
2020-08-10,157236,108228,350996,415820,9615,7757
2020-08-11,160832,110418,358499,426228,9747,7902
2020-08-12,161276,112069,367142,436857,9926,8049
2020-08-13,163021,113449,375610,447656,10206,8197
2020-08-14,164679,114796,384247,458598,10449,8346
2020-08-15,165766,116278,392185,469681,10659,8496
2020-08-16,164908,118152,399551,480917,10786,8647
2020-08-17,163804,119857,407097,492344,10916,8800
2020-08-18,163485,120156,415468,503946,11089,8954
2020-08-19,161742,119940,424182,515587,11325,9108
2020-08-20,159929,119487,431823,527216,11572,9261
2020-08-21,157392,118995,438938,538811,11785,9412
2020-08-22,154846,118550,445543,550367,11955,9562
2020-08-23,152097,118226,451662,561888,12066,9710
2020-08-24,149694,118023,458502,573386,12181,9857
2020-08-25,147833,117839,465384,584873,12322,10003
2020-08-26,147193,117550,472574,596350,12511,10148
2020-08-27,147110,117277,478684,607806,12699,10291
2020-08-28,146022,117060,485517,619243,12872,10433
2020-08-29,142678,116905,492439,630666,12998,10574
2020-08-30,138409,116870,499979,642081,13081,10714
2020-08-31,134261,117043,507292,653500,13165,10853
2020-09-01,130620,117359,514815,664942,13288,10991
2020-09-02,127790,117557,521435,676422,13458,11129
2020-09-03,125749,117584,527223,687927,13627,11266
2020-09-04,124167,117667,532621,699441,13778,11402
2020-09-05,120071,118045,539638,710969,13892,11537
2020-09-06,115375,118989,546700,722540,13981,11672
2020-09-07,112870,120505,551742,734209,14057,11807
2020-09-08,112549,122318,555237,746033,14149,11943
2020-09-09,113224,123713,558805,758040,14231,12080
2020-09-10,110427,124510,565319,770190,14370,12218
2020-09-11,108811,125121,571631,782423,14503,12356
2020-09-12,109179,125733,577551,794722,14656,12493
2020-09-13,111676,126521,581872,807086,14733,12630
2020-09-14,114854,127539,584565,819532,14821,12767
2020-09-15,115781,128892,587553,832083,14929,12904
2020-09-16,116527,130150,590522,844772,15050,13042
2020-09-17,115902,131302,595438,857590,15161,13180
2020-09-18,115557,132572,600333,870526,15258,13318
