date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7780,2287,2824,344,358
2020-04-14,8080,8007,2666,3184,377,372
2020-04-15,8262,8252,3135,3561,412,387
2020-04-16,8330,8498,3672,3955,450,402
2020-04-17,8292,8748,4224,4367,482,418
2020-04-18,8130,8999,4776,4797,509,434
2020-04-19,8122,9251,5282,5246,530,451
2020-04-20,8160,9504,5842,5714,554,468
2020-04-21,8258,9760,6511,6202,578,486
2020-04-22,8245,10022,7284,6710,612,504
2020-04-23,8141,10292,8174,7239,641,523
2020-04-24,7995,10567,9055,7790,668,542
2020-04-25,7656,10844,9968,8363,685,562
2020-04-26,7752,11123,10639,8959,703,582
2020-04-27,7958,11408,11239,9578,732,603
2020-04-28,8255,11709,12090,10221,767,624
2020-04-29,8332,12018,13074,10889,811,646
2020-04-30,8801,12334,13852,11583,849,668
2020-05-01,9260,12656,14378,12304,897,691
2020-05-02,9533,12984,14852,13053,937,714
2020-05-03,9512,13304,15508,13830,974,738
2020-05-04,9599,13632,16141,14635,996,762
2020-05-05,9927,13966,16834,15470,1019,787
2020-05-06,10325,14306,17617,16334,1044,813
2020-05-07,10878,14653,18419,17229,1075,839
2020-05-08,11514,15009,19259,18156,1109,866
2020-05-09,11779,15380,20120,19115,1145,893
2020-05-10,11588,15777,21259,20108,1177,921
2020-05-11,11393,16201,22385,21137,1209,950
2020-05-12,11609,16618,23218,22204,1237,980
2020-05-13,11957,17025,23841,23309,1278,1010
2020-05-14,12018,17426,24486,24452,1323,1041
2020-05-15,11988,17829,25514,25633,1373,1073
2020-05-16,11935,18246,26541,26853,1409,1105
2020-05-17,12079,18697,27514,28112,1434,1138
2020-05-18,12178,19157,28433,29414,1458,1172
2020-05-19,12294,19574,29504,30759,1487,1207
2020-05-20,12416,19981,30454,32145,1520,1242
2020-05-21,12735,20395,31076,33572,1545,1278
2020-05-22,12935,20827,31574,35040,1561,1315
2020-05-23,12820,21300,32295,36551,1583,1352
2020-05-24,12014,21852,33651,38109,1605,1390
2020-05-25,11470,22382,35017,39719,1627,1429
2020-05-26,10963,22741,36431,41381,1647,1469
2020-05-27,10814,23034,37635,43082,1670,1509
