date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7010,600,1370,148,196
2020-04-14,5246,6914,731,2005,166,227
2020-04-15,5530,6779,808,2632,185,257
2020-04-16,5812,6678,937,3247,211,287
2020-04-17,6149,6621,1096,3852,232,316
2020-04-18,6572,6602,1201,4452,255,345
2020-04-19,6977,6614,1273,5050,278,374
2020-04-20,7418,6651,1336,5650,300,403
2020-04-21,7891,6707,1413,6253,324,432
2020-04-22,8456,6777,1494,6861,348,461
2020-04-23,8997,6859,1578,7475,377,490
2020-04-24,9593,6950,1652,8097,407,519
2020-04-25,10144,7048,1734,8727,432,548
2020-04-26,10719,7152,1791,9366,448,577
2020-04-27,11291,7262,1857,10014,467,607
2020-04-28,11855,7377,1933,10672,491,637
2020-04-29,12507,7497,2020,11341,522,667
2020-04-30,13238,7620,2114,12021,551,697
2020-05-01,14042,7747,2204,12712,583,727
2020-05-02,14816,7876,2335,13414,619,757
2020-05-03,15529,8008,2452,14128,653,788
2020-05-04,16191,8143,2588,14854,695,819
2020-05-05,16574,8281,2697,15592,731,850
2020-05-06,17145,8422,2790,16343,759,881
2020-05-07,17724,8567,2882,17106,783,912
2020-05-08,18585,8715,2982,17883,802,943
2020-05-09,19273,8866,3107,18673,826,974
2020-05-10,20078,9021,3199,19477,838,1005
2020-05-11,20832,9179,3291,20295,860,1036
2020-05-12,21573,9341,3409,21127,890,1067
2020-05-13,22317,9507,3544,21974,925,1098
2020-05-14,23110,9678,3679,22836,954,1129
2020-05-15,23946,9853,3797,23713,979,1160
2020-05-16,24682,10032,3902,24606,997,1191
2020-05-17,25391,10216,4003,25515,1009,1222
2020-05-18,26079,10402,4123,26441,1022,1253
2020-05-19,26720,10590,4300,27384,1044,1284
2020-05-20,27467,10782,4524,28344,1072,1315
2020-05-21,28141,10978,4754,29321,1103,1346
2020-05-22,28885,11179,4929,30316,1131,1377
2020-05-23,29455,11387,5037,31329,1155,1407
2020-05-24,30296,11600,5098,32361,1179,1437
2020-05-25,31408,11812,5158,33413,1205,1467
2020-05-26,32619,12024,5246,34484,1241,1497
2020-05-27,33690,12237,5355,35574,1285,1527
2020-05-28,34574,12452,5495,36683,1325,1556
2020-05-29,35539,12669,5621,37812,1355,1585
2020-05-30,36463,12890,5753,38960,1367,1614
2020-05-31,37322,13115,5837,40129,1379,1643
2020-06-01,38097,13346,5926,41318,1391,1671
2020-06-02,38746,13583,6025,42528,1409,1699
2020-06-03,39421,13824,6153,43759,1426,1727
2020-06-04,40042,14071,6280,45012,1442,1754
2020-06-05,40790,14322,6352,46288,1453,1781
2020-06-06,41637,14580,6437,47586,1462,1808
2020-06-07,42481,14845,6492,48908,1470,1834
2020-06-08,43152,15118,6590,50254,1481,1860
2020-06-09,43541,15398,6686,51624,1495,1885
2020-06-10,43878,15684,6799,53020,1510,1910
2020-06-11,44249,15977,6907,54442,1522,1935
2020-06-12,44702,16275,7009,55890,1531,1959
2020-06-13,45219,16579,7103,57365,1540,1983
2020-06-14,45695,16891,7179,58868,1546,2006
2020-06-15,46102,17214,7249,60399,1556,2029
2020-06-16,46429,17544,7333,61960,1568,2052
2020-06-17,46781,17887,7421,63550,1579,2074
2020-06-18,47183,18238,7495,65172,1590,2096
2020-06-19,47672,18597,7554,66825,1598,2117
2020-06-20,48199,18966,7605,68511,1606,2138
2020-06-21,48717,19348,7638,70230,1612,2158
2020-06-22,49181,19745,7678,71984,1625,2178
2020-06-23,49632,20152,7717,73774,1642,2198
2020-06-24,50055,20572,7769,75601,1660,2217
2020-06-25,50515,21003,7817,77466,1678,2236
2020-06-26,51004,21445,7884,79370,1699,2254
2020-06-27,51519,21901,7947,81314,1718,2272
2020-06-28,51994,22372,7998,83299,1732,2290
2020-06-29,52456,22851,8036,85327,1745,2307
2020-06-30,52885,23337,8078,87399,1763,2324
2020-07-01,53218,23829,8235,89515,1788,2340
2020-07-02,53516,24334,8446,91675,1815,2356
2020-07-03,53927,24858,8649,93881,1836,2372
2020-07-04,54485,25406,8745,96134,1853,2387
2020-07-05,55010,25965,8778,98437,1865,2402
2020-07-06,55485,26496,8835,100791,1876,2416
2020-07-07,55939,27013,8911,103193,1889,2430
2020-07-08,56464,27524,8996,105642,1907,2443
2020-07-09,57077,28034,9088,108137,1933,2456
2020-07-10,57773,28545,9175,110678,1952,2469
2020-07-11,58576,29061,9256,113266,1962,2481
2020-07-12,59430,29581,9303,115900,1965,2493
2020-07-13,60261,30115,9354,118582,1970,2504
2020-07-14,61132,30661,9426,121312,1979,2515
2020-07-15,61944,31217,9531,124092,1992,2526
2020-07-16,62775,31783,9684,126922,2004,2536
2020-07-17,63563,32361,9834,129803,2015,2546
2020-07-18,64433,32950,9958,132737,2021,2556
2020-07-19,65332,33547,10033,135724,2027,2565
2020-07-20,66238,34183,10119,138765,2035,2574
2020-07-21,67112,34833,10224,141864,2043,2582
2020-07-22,67934,35496,10348,145022,2051,2590
2020-07-23,68812,36168,10462,148240,2057,2598
2020-07-24,69720,36851,10618,151519,2065,2606
2020-07-25,70688,37555,10752,154860,2073,2613
2020-07-26,71797,38276,10874,158264,2078,2620
2020-07-27,72668,39023,11124,161734,2085,2627
2020-07-28,73539,39800,11380,165272,2100,2633
2020-07-29,74201,40595,11642,168880,2120,2639
2020-07-30,75011,41407,11771,172560,2146,2645
2020-07-31,75798,42236,11890,176314,2176,2651
2020-08-01,76600,43096,12017,180143,2206,2656
2020-08-02,77543,43976,12123,184050,2230,2661
2020-08-03,78558,44895,12249,188037,2239,2666
2020-08-04,79494,45836,12387,192107,2254,2671
2020-08-05,80269,46794,12514,196262,2272,2675
2020-08-06,81343,47793,12627,200504,2296,2679
2020-08-07,82600,48811,12734,204837,2312,2683
2020-08-08,83901,49857,12830,209262,2321,2687
2020-08-09,84774,50928,12909,213782,2325,2691
2020-08-10,85516,51999,13012,218399,2332,2695
2020-08-11,86210,53079,13120,223113,2341,2698
2020-08-12,87014,54182,13262,227925,2353,2701
2020-08-13,87928,55299,13371,232837,2361,2704
2020-08-14,88844,56458,13520,237850,2372,2707
2020-08-15,89728,57664,13651,242968,2379,2710
2020-08-16,90467,58897,13768,248195,2384,2713
2020-08-17,91235,60040,13840,253534,2388,2715
2020-08-18,91935,61140,13908,258977,2397,2717
2020-08-19,92653,62217,13996,264520,2411,2719
2020-08-20,93385,63282,14109,270160,2424,2721
2020-08-21,94270,64341,14231,275897,2435,2723
2020-08-22,95167,65400,14348,281730,2448,2725
2020-08-23,95999,66463,14426,287659,2460,2727
2020-08-24,96757,67552,14502,293684,2477,2729
2020-08-25,97491,68662,14581,299808,2493,2731
2020-08-26,98360,69790,14675,306032,2512,2732
2020-08-27,99236,70934,14770,312359,2530,2733
2020-08-28,100246,72096,14862,318789,2548,2734
2020-08-29,101214,73270,14940,325325,2562,2735
2020-08-30,102131,74468,15013,331967,2572,2736
2020-08-31,102971,75710,15094,338718,2587,2737
2020-09-01,103763,76967,15201,345581,2611,2738
2020-09-02,104651,78220,15304,352558,2635,2739
2020-09-03,105578,79493,15402,359649,2651,2740
2020-09-04,106530,80776,15507,366855,2663,2741
2020-09-05,107522,82087,15603,374178,2672,2742
2020-09-06,108375,83424,15687,381619,2679,2743
2020-09-07,109221,84835,15731,389182,2682,2744
2020-09-08,109907,86247,15826,396873,2689,2745
2020-09-09,110778,87656,15932,404692,2697,2746
2020-09-10,111722,89075,16057,412638,2705,2747
2020-09-11,112804,90508,16160,420713,2713,2748
2020-09-12,113812,91955,16243,428918,2719,2748
2020-09-13,114707,93424,16315,437254,2729,2748
2020-09-14,115492,94932,16373,445723,2768,2748
2020-09-15,116211,96472,16448,454329,2822,2748
2020-09-16,117011,98024,16552,463074,2881,2748
2020-09-17,117934,99586,16656,471960,2917,2748
2020-09-18,118892,101167,16760,480988,2953,2748
2020-09-19,119808,102771,16830,490159,2984,2748
2020-09-20,120549,104411,16877,499476,3008,2748
2020-09-21,121267,106054,16920,508941,3032,2748
2020-09-22,121883,107713,16973,518555,3056,2748
2020-09-23,122572,109390,17038,528320,3087,2748
2020-09-24,123286,111083,17107,538237,3112,2748
2020-09-25,124134,112798,17179,548307,3131,2748
2020-09-26,124888,114524,17294,558532,3146,2748
2020-09-27,125497,116286,17393,568914,3158,2748
2020-09-28,126079,117955,17500,579456,3172,2748
2020-09-29,126707,119565,17564,590149,3189,2748
2020-09-30,127322,121139,17640,600988,3207,2748
2020-10-01,127966,122685,17699,611970,3228,2748
2020-10-02,128730,124213,17758,623092,3249,2748
2020-10-03,129719,125734,17803,634352,3264,2748
2020-10-04,130620,127252,17850,645750,3273,2748
2020-10-05,131305,128779,17951,657286,3280,2748
2020-10-06,131789,130311,18064,668960,3290,2748
2020-10-07,132636,131837,18193,680773,3307,2748
2020-10-08,133699,133360,18267,692724,3325,2748
2020-10-09,135001,134885,18353,704813,3342,2748
2020-10-10,135979,136418,18425,717041,3352,2748
2020-10-11,136881,137950,18492,729408,3357,2748
2020-10-12,137772,139526,18562,741914,3363,2748
2020-10-13,138643,141122,18647,754562,3371,2748
2020-10-14,139660,142728,18745,767355,3380,2748
2020-10-15,140670,144340,18829,780294,3392,2748
2020-10-16,141783,145967,18912,793379,3406,2748
2020-10-17,142765,147608,18980,806611,3421,2748
2020-10-18,143589,149248,19042,819992,3437,2748
2020-10-19,144348,150929,19100,833522,3458,2748
2020-10-20,145135,152626,19164,847204,3485,2748
2020-10-21,146129,154327,19239,861040,3508,2748
2020-10-22,147210,156034,19317,875030,3526,2748
