date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4307,207,254,122,136
2020-04-14,3401,4391,294,295,131,147
2020-04-15,3498,4475,364,337,141,158
2020-04-16,3547,4564,537,381,153,169
2020-04-17,3584,4657,740,427,166,181
2020-04-18,3627,4754,918,475,177,193
2020-04-19,3657,4856,1066,526,185,205
2020-04-20,3735,4961,1156,579,194,218
2020-04-21,3809,5070,1246,634,210,231
2020-04-22,4001,5182,1270,692,229,245
2020-04-23,4229,5298,1286,752,248,259
2020-04-24,4459,5417,1313,815,262,273
2020-04-25,4666,5539,1347,881,275,288
2020-04-26,4848,5665,1382,950,285,303
2020-04-27,5024,5794,1417,1022,297,319
2020-04-28,5212,5926,1447,1097,304,335
2020-04-29,5487,6060,1474,1175,312,352
2020-04-30,5787,6197,1500,1256,324,369
2020-05-01,6124,6338,1530,1340,342,387
2020-05-02,6399,6480,1563,1428,362,405
2020-05-03,6666,6625,1598,1520,378,424
2020-05-04,6934,6773,1633,1615,389,443
2020-05-05,7242,6923,1665,1714,405,463
2020-05-06,7534,7077,1695,1817,423,483
2020-05-07,7875,7233,1720,1924,464,504
2020-05-08,7927,7391,2051,2035,499,525
2020-05-09,7938,7553,2402,2150,528,547
2020-05-10,7848,7718,2770,2269,536,569
2020-05-11,8021,7883,2845,2393,546,592
2020-05-12,8299,8051,2913,2521,566,615
2020-05-13,8628,8223,2987,2654,593,639
2020-05-14,8997,8397,3066,2792,623,663
2020-05-15,9326,8575,3192,2934,651,688
2020-05-16,9606,8755,3317,3081,670,713
2020-05-17,9798,8937,3459,3233,682,739
2020-05-18,9982,9121,3571,3390,690,766
2020-05-19,10172,9309,3678,3552,713,793
2020-05-20,10426,9499,3779,3720,738,821
2020-05-21,10666,9693,3864,3893,762,849
2020-05-22,10943,9890,3951,4071,781,878
2020-05-23,11185,10091,4038,4255,795,907
2020-05-24,11406,10294,4123,4445,806,937
2020-05-25,11586,10497,4211,4640,808,967
2020-05-26,11815,10702,4287,4841,817,998
2020-05-27,12149,10910,4370,5048,834,1029
2020-05-28,12575,11122,4454,5261,860,1061
2020-05-29,13099,11335,4553,5480,883,1093
2020-05-30,13667,11551,4656,5705,899,1126
2020-05-31,14103,11769,4762,5936,909,1159
2020-06-01,14656,11992,4865,6174,922,1193
2020-06-02,15331,12218,4970,6418,948,1227
2020-06-03,16122,12448,5071,6669,975,1262
2020-06-04,17046,12683,5182,6926,999,1297
2020-06-05,17950,12923,5289,7190,1019,1332
2020-06-06,19186,13167,5404,7461,1036,1368
2020-06-07,20139,13415,5518,7739,1049,1404
2020-06-08,20954,13662,5640,8024,1060,1441
2020-06-09,21781,13914,5751,8316,1076,1478
2020-06-10,22798,14172,5903,8615,1104,1516
2020-06-11,24205,14432,6051,8921,1130,1554
2020-06-12,25658,14696,6170,9234,1160,1592
2020-06-13,27040,14966,6250,9555,1178,1631
2020-06-14,28208,15241,6334,9883,1194,1670
2020-06-15,29574,15527,6464,10219,1207,1709
2020-06-16,31171,15814,6591,10563,1226,1749
2020-06-17,33211,16104,6725,10915,1253,1789
2020-06-18,35615,16402,6865,11275,1284,1829
2020-06-19,38486,16707,7025,11643,1316,1870
2020-06-20,41338,17021,7200,12020,1338,1911
2020-06-21,43703,17341,7388,12406,1348,1952
2020-06-22,46253,17667,7571,12800,1365,1993
2020-06-23,48564,17997,7754,13203,1404,2035
2020-06-24,51224,18328,7940,13615,1452,2077
2020-06-25,53723,18669,8154,14036,1499,2119
2020-06-26,56756,19019,8395,14467,1537,2161
2020-06-27,60006,19370,8658,14907,1570,2204
2020-06-28,62352,19730,8921,15357,1590,2247
2020-06-29,65113,20095,9172,15816,1612,2290
2020-06-30,68201,20467,9435,16285,1656,2333
2020-07-01,72127,20841,9754,16764,1711,2376
2020-07-02,75935,21226,10110,17253,1762,2419
2020-07-03,78995,21622,10506,17753,1793,2462
2020-07-04,82120,22033,10914,18263,1813,2506
2020-07-05,84852,22448,11366,18784,1823,2550
2020-07-06,87871,22851,11819,19316,1860,2594
2020-07-07,90849,23260,12299,19859,1906,2638
2020-07-08,94016,23674,12801,20413,1976,2682
2020-07-09,97366,24097,13332,20978,2027,2726
2020-07-10,100545,24527,13862,21554,2090,2770
2020-07-11,103249,24962,14358,22142,2156,2814
2020-07-12,105037,25406,14825,22741,2211,2858
2020-07-13,107270,25868,15253,23352,2273,2902
