t,R_mean,R_low,R_high
21,1.5020812980064413,1.4824904129662224,1.5217990000149504
22,1.4770526968207287,1.4584051187797955,1.4958170959217363
23,1.4067713257006824,1.3892713098106817,1.4243793569702132
24,1.3437911550981112,1.327316471513583,1.3603660451260644
25,1.2893027962969281,1.2737255232640503,1.3049734340286008
26,1.2470883960656327,1.232246004195225,1.2620184125867038
27,1.2172330004108494,1.202960722291481,1.2315882808938852
28,1.1963537700568356,1.1825220079084398,1.2102648439669443
29,1.182733524587698,1.1692452819921562,1.1962980509280754
30,1.1739476380687428,1.1607399692567457,1.187228991791813
31,1.1683036724773528,1.155336529169567,1.1813421791085588
32,1.1655599780549386,1.1528023295593437,1.1783868599437342
33,1.1667380547041817,1.1541580423134539,1.1793853124754747
34,1.1698827446948323,1.157462718032442,1.1823681356523807
35,1.1726363081443543,1.160374269685647,1.18496190389303
36,1.1737047506941307,1.1616083704893212,1.1858629215545016
37,1.1727142257580905,1.1607948970657844,1.1846935959417064
38,1.170366110668923,1.158631364555628,1.1821591658457418
39,1.1676385201136683,1.1560889665037368,1.1792446850323597
40,1.1655460628108345,1.1541749170495723,1.1769721792383074
41,1.1633591621583912,1.1521616917641253,1.1746100335961391
42,1.1601269637724125,1.1491026640051345,1.1712031666973324
43,1.1568997040546223,1.1460435827869153,1.1678062943890397
44,1.1539801267875012,1.1432862974352715,1.1647230485716922
45,1.1515217818711572,1.1409835397178272,1.1621077973720122
46,1.1500201387114903,1.139628310113337,1.1604584803886238
47,1.150098212395914,1.1398411315389791,1.1604006021819968
48,1.1513159611706616,1.1411847959523322,1.1614912803635802
49,1.1514195897873152,1.1414165116505133,1.161465706220164
50,1.1504466858522089,1.1405747238302946,1.1603605985354628
51,1.1486823127982801,1.138943927315513,1.1584615819726913
52,1.146380580246063,1.1367767991853888,1.1560242004637569
53,1.1446828185942692,1.1352088484930076,1.1541956137018512
54,1.1449596110458184,1.13560418155399,1.1543528889104386
55,1.1472762167543644,1.1380277564070351,1.1565615882148244
56,1.1480176838282112,1.1388799036094304,1.1571914718963243
57,1.1466899684891863,1.1376696686046592,1.1557453953025398
58,1.1443672366290107,1.135468027458162,1.1533007038219618
59,1.1420665151960894,1.1332878221212925,1.1508786103755044
60,1.1407396715437035,1.1320758826519037,1.149436030220514
61,1.142030184462831,1.133468309954464,1.1506238295233813
62,1.1457746538317277,1.1373024270112906,1.1542778861296537
63,1.1478100184200248,1.139431702796487,1.1562186007699664
64,1.147433737825797,1.1391576737290747,1.1557393428017513
65,1.1450533175008768,1.1368875560281593,1.1532478962867447
66,1.1420974797225767,1.1340445996194533,1.1501784573328329
67,1.1397339635495458,1.1317907096705677,1.1477046107264968
68,1.139428480712334,1.131584806177053,1.1472988720549835
69,1.1408244262411826,1.1330710002885955,1.1486039246604365
70,1.1408631711166917,1.133201710302075,1.1485500876780115
71,1.1392782269368167,1.1317125601428328,1.1468687505044388
72,1.1362834836881182,1.1288177134283832,1.1437735215864449
73,1.1333632989667453,1.1259964675299154,1.140753819153106
74,1.1325085237750872,1.1252321587476422,1.139808015900842
75,1.133675778835423,1.126480656683777,1.140893490365937
76,1.1348438148146318,1.12772712447138,1.141982581167337
77,1.1367520717309858,1.1297097136172947,1.143816010003645
78,1.1370731085695585,1.130109572576928,1.1440577376491334
79,1.135341010025962,1.1284627979173547,1.1422398322070146
80,1.132353041544266,1.1255640167880514,1.1391621977077682
81,1.129455183100021,1.1227543055502718,1.1361757223954663
82,1.1280713087155279,1.1214522114447303,1.1347096136547268
83,1.1275894479882576,1.1210468417876238,1.1341508279019086
84,1.126227509170343,1.1197612816180844,1.1327120962867514
85,1.1245048794580002,1.1181140813652852,1.1309136382332927
86,1.1224356330057599,1.1161199815987892,1.128768857039792
87,1.1204209965973093,1.1141791644186831,1.1266800234034413
88,1.1194399255486553,1.1132675201021784,1.1256291595041696
89,1.1203276465138536,1.1142177397569462,1.1264540291541563
90,1.1228186307060235,1.1167652012702445,1.1288881964630377
91,1.1243002758019438,1.1183049478622198,1.1303114104738987
92,1.124508276210387,1.1185741877198188,1.1304578468761968
93,1.1237271047223145,1.117857288631206,1.1296120795573352
94,1.1220704581564445,1.1162675446931898,1.127888208273967
95,1.1195015542107691,1.113767499397354,1.1252501285428202
96,1.1181808703951033,1.112511283652766,1.1238646684074014
97,1.118119444285314,1.112509474784001,1.1237433281561153
98,1.1156793528223727,1.1101331511483887,1.1212391837702071
99,1.1131005521397417,1.107616938823693,1.1185975194268052
100,1.1104895053191672,1.1050674611736075,1.1159246356598076
101,1.1081705390105943,1.102808111404795,1.1135457931310784
102,1.1067246616791935,1.101418085253587,1.1120438149624385
103,1.1064099763486015,1.1011547243900028,1.1116775662913139
104,1.106711596903573,1.101504610199946,1.111930692432823
105,1.1064835186374733,1.101324915756897,1.111654008554603
106,1.105584890059852,1.1004756156165263,1.1107058345324294
107,1.1043488842301405,1.099289397809548,1.1094198269293774
108,1.1028715012338692,1.0978619482771834,1.1078923002819998
109,1.1009276948750752,1.0959683839556718,1.1058980466917963
110,1.099281573559699,1.094370784082323,1.1042032049556219
111,1.0982462953206023,1.093381485884712,1.103121754429642
112,1.097389564181902,1.0925691476447184,1.1022204448874162
113,1.0959834359657834,1.091207525678125,1.1007696310858686
114,1.0942771389463368,1.089545492325685,1.0990188962136647
115,1.0925113723255897,1.0878233578832048,1.0972093276859192
116,1.090708108201237,1.086062981711036,1.095363010533901
117,1.0886923311002608,1.084089548869283,1.093304729380372
118,1.0852991378235621,1.0807404902026239,1.08986724732961
119,1.078513866765655,1.0740052878504682,1.0830317589982064
120,1.0708499334177606,1.0663919395349248,1.0753170978928561
121,1.0631743993177403,1.0587652423720062,1.0675925917232016
122,1.0558376176070259,1.05147398852391,1.0602101579498195
123,1.0485567744806144,1.0442352793668908,1.0528870702333828
124,1.0406858278675264,1.0364042793247676,1.044976080405842
125,1.0331637858598375,1.028918330570485,1.0374178612998028
126,1.0284924070252885,1.0242743148894213,1.0327190471670529
127,1.0253893050615568,1.0211925484486966,1.0295945489979659
128,1.0236142719208707,1.0194334671158374,1.0278035142223272
129,1.0224114762080654,1.0182433858739686,1.0265879626313097
130,1.020925067704068,1.0167690352983354,1.025089459820177
131,1.01778883451777,1.0136476431298789,1.0219383515860108
132,1.0134741601409487,1.0093498926917093,1.0176067205183916
133,1.010804397658123,1.0066932116462084,1.0149238458301069
134,1.0093161501490193,1.0052146311828365,1.0134259045764824
135,1.0081237370324343,1.0040298372348566,1.0122258514161744
136,1.0073109781423342,1.0032226007061995,1.0114075546190688
137,1.0070529891046385,1.0029682179324457,1.0111459469458894
138,1.007302235307813,1.0032197160434435,1.011392930180638
139,1.0106451791826672,1.006558528611593,1.0147399947820555
140,1.0210969854837428,1.0169918685612815,1.0252102569647337
141,1.0321555106430198,1.0280311148702297,1.036288049457795
142,1.0412929435665914,1.037154556104528,1.045439457385139
143,1.0485315875366,1.0443861958799798,1.052685076706245
144,1.0536516082999035,1.0495078063951593,1.0578034621073868
145,1.0572120891548697,1.0530770777769622,1.0613550912221397
146,1.059406914859113,1.0552862752168488,1.063535473217312
147,1.0607406775999118,1.0566377453011169,1.0648514507485147
148,1.0616473886075357,1.0575638564236798,1.0657386809516556
