date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7791,2287,2824,344,358
2020-04-14,8080,8052,2666,3185,377,372
2020-04-15,8262,8341,3135,3564,412,387
2020-04-16,8330,8637,3672,3962,450,403
2020-04-17,8292,8940,4224,4381,482,419
2020-04-18,8130,9245,4776,4821,509,436
2020-04-19,8122,9552,5282,5282,530,453
2020-04-20,8160,9860,5842,5766,554,471
2020-04-21,8258,10170,6511,6272,578,489
2020-04-22,8245,10489,7284,6802,612,508
2020-04-23,8141,10818,8174,7356,641,527
2020-04-24,7995,11153,9055,7935,668,547
2020-04-25,7656,11492,9968,8540,685,568
2020-04-26,7752,11834,10639,9171,703,589
2020-04-27,7958,12178,11239,9829,732,611
2020-04-28,8255,12516,12090,10515,767,634
2020-04-29,8332,12853,13074,11229,811,657
2020-04-30,8801,13191,13852,11971,849,681
2020-05-01,9260,13532,14378,12742,897,705
2020-05-02,9533,13877,14852,13542,937,730
2020-05-03,9512,14212,15508,14373,974,756
2020-05-04,9599,14554,16141,15233,996,782
2020-05-05,9927,14897,16834,16124,1019,809
2020-05-06,10325,15239,17617,17046,1044,836
2020-05-07,10878,15583,18419,18000,1075,864
2020-05-08,11514,15931,19259,18986,1109,893
2020-05-09,11779,16287,20120,20004,1145,922
2020-05-10,11588,16662,21259,21056,1177,952
2020-05-11,11393,17037,22385,22143,1209,982
2020-05-12,11609,17361,23218,23265,1237,1013
2020-05-13,11957,17666,23841,24420,1278,1045
2020-05-14,12018,17962,24486,25606,1323,1077
2020-05-15,11988,18258,25514,26823,1373,1110
2020-05-16,11935,18561,26541,28072,1409,1143
2020-05-17,12079,18885,27514,29353,1434,1177
2020-05-18,12178,19211,28433,30668,1458,1211
2020-05-19,12294,19503,29504,32017,1487,1246
2020-05-20,12416,19787,30454,33398,1520,1281
2020-05-21,12735,20072,31076,34811,1545,1317
2020-05-22,12935,20369,31574,36256,1561,1353
2020-05-23,12820,20691,32295,37734,1583,1389
2020-05-24,12014,21067,33651,39247,1605,1426
2020-05-25,11470,21541,35017,40800,1627,1464
2020-05-26,10963,22119,36431,42399,1647,1502
2020-05-27,10814,22682,37635,44053,1670,1541
2020-05-28,10229,23215,39258,45762,1694,1581
2020-05-29,9654,23743,40857,47523,1720,1622
2020-05-30,9284,24288,42030,49336,1743,1664
2020-05-31,9446,24882,42728,51203,1765,1707
2020-06-01,9881,25515,43426,53129,1784,1751
2020-06-02,10034,26152,44571,55116,1808,1796
2020-06-03,12386,26772,45724,57166,1841,1842
2020-06-04,15230,27391,46840,59277,1871,1889
2020-06-05,18192,28010,47853,61450,1900,1937
2020-06-06,18448,28662,49069,63685,1921,1986
2020-06-07,18293,29393,50161,65985,1937,2036
2020-06-08,19431,30178,50909,68357,1950,2087
2020-06-09,21554,30919,51576,70806,1970,2139
2020-06-10,23433,31603,52561,73328,1996,2192
2020-06-11,24473,32266,53934,75919,2024,2246
2020-06-12,24905,32922,55296,78578,2050,2301
2020-06-13,25162,33646,56711,81305,2072,2357
2020-06-14,26077,34530,57988,84105,2092,2414
2020-06-15,27826,35564,59370,86992,2122,2473
2020-06-16,30514,36520,60712,89979,2159,2533
2020-06-17,32561,37312,62287,93061,2198,2595
2020-06-18,34594,38030,63836,96223,2231,2658
2020-06-19,36556,38762,65412,99460,2262,2722
2020-06-20,38432,39570,66974,102773,2286,2787
2020-06-21,40494,40556,68261,106169,2309,2853
2020-06-22,43446,41571,69467,109663,2330,2920
2020-06-23,47218,42176,70934,113259,2360,2989
2020-06-24,50962,42615,72702,116921,2398,3059
2020-06-25,55537,42976,74558,120635,2440,3129
2020-06-26,59940,43352,76342,124394,2482,3199
2020-06-27,64531,43809,78168,128199,2518,3270
2020-06-28,69048,44437,79852,132057,2550,3341
2020-06-29,73816,45141,82042,135984,2578,3413
2020-06-30,78855,45578,84569,139986,2616,3486
2020-07-01,82345,45907,87698,144039,2662,3559
2020-07-02,85823,46195,90616,148134,2715,3633
2020-07-03,87947,46544,93907,152267,2762,3707
2020-07-04,90608,47105,97281,156444,2805,3781
2020-07-05,93564,47947,100685,160683,2847,3856
2020-07-06,97541,48940,104370,165010,2910,3932
2020-07-07,102141,49933,108517,169439,2989,4009
2020-07-08,106832,50772,113365,173969,3100,4087
2020-07-09,112219,51492,118202,178587,3197,4166
2020-07-10,116554,52223,123067,183283,3293,4246
2020-07-11,119727,53110,127838,188057,3371,4327
2020-07-12,123368,54346,132312,192924,3454,4409
2020-07-13,127112,55766,137151,197915,3540,4493
2020-07-14,131254,56862,142697,203048,3646,4578
2020-07-15,133639,57784,149203,208294,3779,4665
2020-07-16,134936,58633,155801,213636,3936,4753
2020-07-17,136278,59554,162569,219068,4088,4842
2020-07-18,137912,60707,168236,224597,4210,4932
2020-07-19,141193,62281,173462,230244,4319,5023
2020-07-20,143895,64218,179112,236048,4416,5116
2020-07-21,145877,65921,186571,242044,4576,5211
2020-07-22,146488,67319,195223,248210,4750,5308
2020-07-23,146735,68566,203785,254518,4960,5407
2020-07-24,145599,69809,212517,260954,5137,5507
2020-07-25,140625,71208,223501,267518,5304,5609
2020-07-26,136375,73059,234245,274224,5636,5712
2020-07-27,136725,75020,241892,281116,5988,5818
2020-07-28,140705,76370,246748,288204,6370,5926
2020-07-29,143721,77391,252112,295430,6609,6035
2020-07-30,142056,78203,261693,302763,6829,6145
2020-07-31,136306,78992,274582,310184,7057,6256
2020-08-01,129836,79947,286875,317690,7208,6367
2020-08-02,126325,81255,294952,325297,7370,6479
2020-08-03,129802,82801,300368,333039,7522,6592
2020-08-04,134084,84160,306445,340938,7784,6707
2020-08-05,137044,85235,315239,348977,8273,6823
2020-08-06,137115,86183,323708,357128,8777,6940
2020-08-07,140088,87131,331271,365379,9226,7058
2020-08-08,144633,88159,338285,373731,9421,7176
2020-08-09,151739,89501,344340,382191,9553,7295
2020-08-10,157236,91040,350996,390789,9615,7415
2020-08-11,160832,92089,358499,399544,9747,7537
2020-08-12,161276,92781,367142,408409,9926,7660
2020-08-13,163021,93313,375610,417349,10206,7783
2020-08-14,164679,93861,384247,426349,10449,7906
2020-08-15,165766,94548,392185,435411,10659,8029
2020-08-16,164908,95557,399551,444547,10786,8152
