date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2343,401,634,101,115
2020-04-14,2417,2232,602,846,110,123
2020-04-15,2434,2130,803,1048,120,131
2020-04-16,2459,2038,1003,1240,130,138
2020-04-17,2453,1956,1204,1424,140,145
2020-04-18,2458,1884,1405,1601,150,152
2020-04-19,2487,1822,1606,1771,160,159
2020-04-20,2524,1769,1806,1936,170,165
2020-04-21,2519,1725,2007,2096,181,171
2020-04-22,2521,1690,2208,2252,192,177
2020-04-23,2550,1662,2409,2405,201,183
2020-04-24,2616,1642,2609,2555,210,189
2020-04-25,2658,1629,2810,2703,219,195
2020-04-26,2671,1623,3011,2850,225,201
2020-04-27,2672,1623,3212,2997,231,207
2020-04-28,2683,1629,3413,3144,239,213
2020-04-29,2711,1641,3614,3291,250,219
2020-04-30,2785,1658,3816,3439,264,225
2020-05-01,2862,1680,4017,3589,277,231
2020-05-02,2891,1706,4219,3741,291,237
2020-05-03,2880,1737,4441,3895,301,243
2020-05-04,2876,1772,4684,4052,318,249
2020-05-05,2879,1812,4948,4212,342,255
2020-05-06,2857,1856,5212,4376,370,261
2020-05-07,2864,1904,5476,4544,393,267
2020-05-08,2903,1956,5740,4716,408,274
2020-05-09,2899,2010,6004,4893,420,281
2020-05-10,2842,2066,6247,5074,428,288
2020-05-11,2785,2126,6469,5261,440,295
2020-05-12,2767,2191,6671,5453,452,302
2020-05-13,2820,2260,6873,5651,467,310
2020-05-14,2904,2334,7075,5855,479,318
2020-05-15,3031,2412,7277,6066,494,326
2020-05-16,3086,2493,7479,6284,508,334
2020-05-17,3069,2578,7695,6509,519,342
2020-05-18,3017,2668,7926,6742,534,351
2020-05-19,2979,2763,8172,6983,550,360
2020-05-20,2978,2862,8418,7232,568,369
2020-05-21,3027,2966,8663,7490,581,379
2020-05-22,3111,3074,8909,7758,597,389
2020-05-23,3196,3185,9155,8036,612,399
2020-05-24,3212,3299,9404,8324,625,410
2020-05-25,3188,3410,9658,8622,637,421
2020-05-26,3177,3519,9915,8930,652,432
2020-05-27,3205,3628,10173,9248,671,444
2020-05-28,3282,3738,10430,9576,691,456
2020-05-29,3402,3848,10688,9914,708,468
2020-05-30,3514,3956,10945,10261,722,481
2020-05-31,3550,4061,11219,10618,732,494
2020-06-01,3516,4166,11510,10985,746,507
2020-06-02,3458,4273,11818,11361,762,521
2020-06-03,3401,4381,12125,11747,781,535
2020-06-04,3324,4489,12433,12143,793,549
2020-06-05,3247,4597,12740,12548,802,564
2020-06-06,3168,4702,13048,12963,810,579
2020-06-07,3191,4801,13347,13388,821,594
2020-06-08,3250,4905,13637,13821,833,610
2020-06-09,3354,5017,13918,14264,852,626
2020-06-10,3297,5135,14199,14717,867,642
2020-06-11,3327,5260,14480,15181,878,658
2020-06-12,3330,5390,14761,15656,883,675
2020-06-13,3389,5523,15042,16143,887,692
2020-06-14,3343,5653,15320,16642,891,710
2020-06-15,3325,5786,15597,17152,900,728
2020-06-16,3408,5927,15871,17674,918,746
2020-06-17,3395,6075,16145,18209,938,765
2020-06-18,3268,6230,16419,18758,954,784
2020-06-19,2986,6389,16693,19321,962,803
2020-06-20,2704,6550,16967,19898,970,823
2020-06-21,2976,6706,17252,20489,975,843
2020-06-22,3427,6865,17548,21094,981,864
2020-06-23,4036,7031,17855,21714,992,885
2020-06-24,4446,7206,18161,22349,1005,907
2020-06-25,4851,7387,18468,23000,1016,929
2020-06-26,5239,7573,18774,23667,1024,951
2020-06-27,5383,7759,19081,24351,1032,974
2020-06-28,5534,7940,19418,25052,1044,997
2020-06-29,5726,8126,19785,25769,1057,1021
2020-06-30,5985,8320,20182,26503,1071,1045
2020-07-01,6311,8525,20579,27254,1082,1070
2020-07-02,6716,8739,20976,28024,1092,1095
2020-07-03,7236,8955,21373,28813,1100,1121
2020-07-04,7542,9164,21770,29622,1107,1147
2020-07-05,7620,9368,22213,30449,1110,1174
2020-07-06,7626,9578,22704,31295,1127,1201
2020-07-07,7724,9801,23242,32160,1153,1229
2020-07-08,7934,10039,23780,33045,1183,1257
2020-07-09,8180,10292,24318,33951,1202,1286
2020-07-10,8472,10557,24856,34880,1216,1315
2020-07-11,8817,10829,25394,35833,1231,1345
2020-07-12,8924,11102,25961,36811,1243,1376
2020-07-13,9021,11384,26558,37813,1257,1407
2020-07-14,9142,11678,27184,38841,1270,1439
2020-07-15,9535,11985,27810,39895,1290,1472
2020-07-16,9985,12304,28436,40977,1310,1505
2020-07-17,10434,12630,29062,42088,1328,1539
2020-07-18,10739,12957,29688,43228,1344,1574
2020-07-19,11106,13275,30332,44398,1353,1610
2020-07-20,11656,13564,30994,45597,1367,1646
2020-07-21,12431,13841,31673,46822,1390,1683
2020-07-22,13113,14109,32353,48072,1416,1720
2020-07-23,13764,14366,33032,49346,1440,1758
2020-07-24,14368,14610,33712,50643,1459,1796
2020-07-25,15037,14822,34391,51962,1478,1835
2020-07-26,15290,14984,35193,53300,1489,1874
2020-07-27,15380,15125,36116,54653,1510,1913
2020-07-28,15528,15255,37162,56019,1533,1953
2020-07-29,16043,15382,38208,57396,1571,1993
2020-07-30,16511,15504,39253,58785,1612,2033
2020-07-31,16781,15611,40299,60185,1655,2073
2020-08-01,16696,15687,41345,61595,1686,2113
2020-08-02,16465,15714,42352,63011,1702,2153
2020-08-03,16249,15728,43321,64430,1722,2193
2020-08-04,16248,15742,44252,65850,1756,2233
2020-08-05,16371,15759,45182,67271,1794,2272
2020-08-06,16488,15772,46113,68694,1825,2311
2020-08-07,16601,15778,47044,70118,1849,2350
2020-08-08,16572,15762,47974,71543,1872,2389
2020-08-09,16357,15698,48905,72966,1894,2427
2020-08-10,15888,15612,49900,74383,1917,2465
2020-08-11,15531,15525,50959,75793,1948,2503
2020-08-12,15153,15441,52083,77195,1981,2540
2020-08-13,14876,15355,53206,78589,2014,2577
2020-08-14,14516,15260,54330,79975,2044,2613
2020-08-15,14085,15139,55453,81353,2069,2649
2020-08-16,13558,14978,56457,82720,2086,2684
2020-08-17,13140,14816,57343,84072,2102,2719
2020-08-18,13154,14663,58109,85410,2128,2753
2020-08-19,13368,14518,58875,86734,2160,2787
2020-08-20,13611,14376,59642,88045,2189,2820
2020-08-21,13725,14230,60408,89343,2213,2852
2020-08-22,13757,14069,61174,90628,2230,2884
2020-08-23,13674,13885,61940,91898,2241,2915
2020-08-24,13493,13688,62741,93152,2267,2946
2020-08-25,13353,13489,63575,94388,2312,2976
2020-08-26,13197,13285,64444,95606,2362,3005
2020-08-27,12992,13070,65312,96806,2395,3034
2020-08-28,12745,12843,66181,97986,2413,3062
2020-08-29,12523,12600,67049,99146,2427,3089
2020-08-30,12218,12329,67886,100284,2447,3116
2020-08-31,11911,12064,68690,101397,2469,3142
2020-09-01,11673,11813,69463,102486,2497,3167
2020-09-02,11602,11584,70235,103553,2518,3191
2020-09-03,11592,11372,71008,104599,2540,3215
2020-09-04,11510,11171,71780,105626,2554,3238
2020-09-05,11312,10966,72553,106635,2570,3261
2020-09-06,10922,10746,73325,107625,2585,3283
2020-09-07,10418,10513,74111,108595,2603,3304
2020-09-08,9912,10283,74910,109544,2616,3325
2020-09-09,9479,10072,75722,110472,2634,3345
2020-09-10,9251,9879,76534,111381,2649,3365
2020-09-11,9023,9702,77346,112273,2670,3384
2020-09-12,8714,9537,78158,113149,2684,3403
2020-09-13,8139,9382,79002,114010,2696,3421
2020-09-14,7547,9251,79879,114857,2712,3439
2020-09-15,7072,9144,80787,115692,2732,3456
2020-09-16,6779,9060,81695,116518,2756,3473
2020-09-17,6488,8997,82603,117336,2776,3490
2020-09-18,6180,8952,83511,118148,2793,3506
2020-09-19,5733,8919,84419,118956,2809,3522
2020-09-20,5274,8895,85234,119761,2827,3538
2020-09-21,4850,8873,85957,120564,2840,3554
2020-09-22,4609,8865,86587,121365,2854,3570
2020-09-23,4554,8875,87217,122165,2863,3586
2020-09-24,4579,8903,87847,122966,2879,3601
2020-09-25,4636,8945,88477,123770,2893,3616
2020-09-26,4507,8989,89107,124578,2908,3631
2020-09-27,4377,9027,89567,125390,2917,3646
2020-09-28,4393,9082,89857,126205,2932,3661
2020-09-29,4699,9160,89977,127025,2949,3676
2020-09-30,5173,9258,90097,127852,2968,3691
2020-10-01,5679,9370,90217,128688,2982,3706
2020-10-02,6204,9489,90337,129534,2996,3721
2020-10-03,6604,9613,90457,130391,3010,3736
2020-10-04,6726,9736,90707,131259,3019,3751
2020-10-05,6843,9860,91089,132138,3024,3766
2020-10-06,6903,9992,91602,133028,3035,3781
2020-10-07,7082,10132,92114,133930,3050,3796
2020-10-08,7218,10272,92627,134845,3068,3812
2020-10-09,7490,10405,93139,135772,3083,3828
2020-10-10,7671,10530,93652,136711,3094,3844
2020-10-11,7665,10647,94161,137662,3106,3860
2020-10-12,7589,10766,94666,138623,3112,3876
2020-10-13,7705,10895,95167,139595,3123,3892
2020-10-14,8161,11034,95669,140579,3135,3908
2020-10-15,8750,11178,96170,141575,3150,3924
2020-10-16,9297,11319,96672,142584,3164,3940
2020-10-17,9405,11443,97173,143606,3177,3956
2020-10-18,9326,11538,97684,144639,3191,3972
2020-10-19,9237,11623,98205,145681,3198,3988
2020-10-20,9401,11718,98735,146730,3209,4004
2020-10-21,9692,11823,99265,147788,3218,4020
2020-10-22,10001,11937,99795,148856,3230,4036
2020-10-23,10448,12051,100325,149934,3242,4052
2020-10-24,10576,12146,100855,151022,3253,4068
2020-10-25,10632,12217,101420,152119,3261,4084
2020-10-26,10532,12321,102021,153222,3269,4100
2020-10-27,10726,12466,102657,154334,3282,4116
2020-10-28,11016,12653,103293,155460,3298,4132
2020-10-29,11270,12885,103930,156602,3313,4148
2020-10-30,11471,13160,104566,157765,3324,4164
2020-10-31,11454,13465,105202,158953,3342,4180
2020-11-01,11254,13793,105893,160169,3361,4196
2020-11-02,10943,14150,106637,161414,3378,4213
2020-11-03,10725,14543,107436,162692,3388,4230
2020-11-04,10927,14968,108235,164005,3395,4247
2020-11-05,11232,15430,109033,165356,3407,4264
2020-11-06,11624,15925,109832,166749,3419,4282
2020-11-07,11741,16440,110631,168187,3437,4300
2020-11-08,11722,16964,111413,169671,3458,4318
2020-11-09,11691,17508,112180,171203,3473,4337
2020-11-10,11830,18079,112930,172784,3485,4356
2020-11-11,12221,18686,113681,174416,3497,4376
2020-11-12,12735,19324,114431,176103,3510,4396
2020-11-13,13285,19991,115182,177848,3524,4417
2020-11-14,13740,20681,115932,179653,3534,4438
2020-11-15,13972,21391,116668,181520,3542,4459
2020-11-16,14057,22151,117390,183451,3556,4481
2020-11-17,14359,22973,118098,185451,3575,4504
2020-11-18,14924,23857,118806,187525,3600,4527
2020-11-19,15739,24802,119513,189679,3620,4551
2020-11-20,16680,25803,120221,191918,3639,4575
2020-11-21,17407,26839,120929,194248,3667,4600
2020-11-22,17718,27874,121739,196671,3696,4626
2020-11-23,17495,28929,122652,199188,3720,4652
2020-11-24,17284,30004,123668,201800,3734,4679
2020-11-25,17426,31075,124683,204509,3745,4707
2020-11-26,17677,32119,125699,207315,3759,4735
2020-11-27,18085,33150,126714,210215,3770,4764
2020-11-28,18523,34106,127730,213208,3784,4794
2020-11-29,19086,34986,128782,216287,3797,4824
2020-11-30,19468,35719,129871,219446,3816,4855
2020-12-01,20021,36434,130997,222671,3831,4886
2020-12-02,20793,37132,132123,225961,3855,4917
2020-12-03,22009,37806,133249,229314,3882,4948
2020-12-04,23047,38475,134375,232728,3914,4979
2020-12-05,23849,39111,135501,236202,3951,5011
2020-12-06,24061,39703,136815,239733,3985,5043
2020-12-07,24025,40269,138318,243318,4007,5075
2020-12-08,24230,40813,140009,246954,4025,5107
