date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2108,278,455,30,30
2020-04-14,1016,2122,313,588,34,31
2020-04-15,1062,2124,337,722,38,32
2020-04-16,1116,2116,363,856,42,33
2020-04-17,1202,2101,377,989,47,34
2020-04-18,1287,2081,409,1121,50,35
2020-04-19,1370,2059,444,1252,57,36
2020-04-20,1382,2037,484,1382,63,37
2020-04-21,1477,2016,505,1510,68,38
2020-04-22,1588,1994,525,1637,73,39
2020-04-23,1726,1972,567,1763,77,40
2020-04-24,1832,1950,603,1887,85,41
2020-04-25,1904,1929,638,2010,93,42
2020-04-26,1991,1907,646,2132,100,43
2020-04-27,2082,1888,655,2252,104,44
2020-04-28,2224,1871,673,2371,107,45
2020-04-29,2385,1856,701,2489,113,46
2020-04-30,2524,1842,733,2606,122,47
2020-05-01,2663,1830,759,2722,130,48
2020-05-02,2773,1818,785,2837,140,49
2020-05-03,2914,1808,809,2952,148,50
2020-05-04,3022,1799,828,3066,156,51
2020-05-05,3112,1794,879,3179,162,52
2020-05-06,3181,1790,959,3292,167,53
2020-05-07,3257,1788,1054,3405,174,54
2020-05-08,3338,1789,1129,3518,181,55
2020-05-09,3387,1794,1194,3631,190,56
2020-05-10,3457,1801,1247,3744,199,57
2020-05-11,3555,1808,1284,3858,209,58
2020-05-12,3657,1817,1339,3972,219,59
2020-05-13,3713,1828,1416,4087,230,60
2020-05-14,3759,1841,1508,4202,242,61
2020-05-15,3832,1856,1587,4318,251,62
2020-05-16,3894,1875,1662,4435,259,63
2020-05-17,3975,1896,1721,4553,264,64
2020-05-18,4042,1912,1763,4673,270,65
2020-05-19,4114,1928,1811,4794,276,66
2020-05-20,4156,1944,1887,4916,284,67
2020-05-21,4207,1962,1969,5039,295,68
2020-05-22,4210,1981,2058,5163,306,69
2020-05-23,4235,2003,2182,5288,314,70
2020-05-24,4223,2026,2323,5414,318,71
2020-05-25,4266,2049,2447,5542,320,72
2020-05-26,4296,2076,2516,5671,324,73
2020-05-27,4345,2110,2574,5802,329,74
2020-05-28,4405,2145,2628,5935,336,75
2020-05-29,4467,2182,2683,6070,343,76
2020-05-30,4503,2224,2749,6208,350,77
2020-05-31,4543,2272,2805,6348,356,78
2020-06-01,4618,2319,2858,6491,361,79
2020-06-02,4720,2367,2900,6637,368,80
2020-06-03,4844,2415,2953,6786,375,81
2020-06-04,4978,2463,3029,6938,381,82
2020-06-05,5110,2514,3111,7093,387,83
2020-06-06,5211,2570,3202,7251,391,84
2020-06-07,5272,2630,3266,7413,396,85
2020-06-08,5311,2686,3324,7579,400,86
2020-06-09,5273,2743,3462,7748,404,87
2020-06-10,5199,2798,3628,7921,413,88
2020-06-11,5115,2848,3844,8097,422,89
2020-06-12,5107,2897,3968,8277,429,90
2020-06-13,5134,2949,4057,8460,432,91
2020-06-14,5208,3005,4086,8646,435,92
2020-06-15,5278,3054,4115,8835,440,93
2020-06-16,5338,3102,4163,9028,446,94
2020-06-17,5357,3149,4242,9224,451,95
2020-06-18,5367,3195,4335,9423,457,96
2020-06-19,5385,3247,4434,9624,462,97
2020-06-20,5397,3302,4554,9829,467,98
2020-06-21,5437,3361,4655,10037,471,99
2020-06-22,5493,3422,4732,10249,474,100
2020-06-23,5577,3486,4786,10465,477,101
2020-06-24,5660,3553,4866,10685,480,102
2020-06-25,5744,3618,4968,10909,484,103
2020-06-26,5858,3689,5060,11137,488,104
2020-06-27,5973,3762,5149,11370,490,105
2020-06-28,6090,3833,5221,11607,492,106
2020-06-29,6215,3906,5270,11849,494,108
2020-06-30,6322,3981,5317,12095,496,110
2020-07-01,6413,4054,5401,12346,500,112
2020-07-02,6509,4127,5511,12602,504,114
2020-07-03,6630,4201,5647,12862,509,116
2020-07-04,6760,4281,5758,13127,513,118
2020-07-05,6926,4356,5835,13397,514,120
2020-07-06,7111,4440,5869,13672,516,122
2020-07-07,7314,4540,5916,13952,520,124
2020-07-08,7493,4657,5979,14238,526,126
2020-07-09,7688,4783,6051,14532,533,128
2020-07-10,7870,4918,6116,14834,538,130
2020-07-11,8051,5067,6190,15144,542,132
2020-07-12,8227,5218,6258,15463,545,134
2020-07-13,8411,5361,6318,15792,548,136
2020-07-14,8625,5507,6371,16130,552,138
2020-07-15,8846,5648,6429,16477,556,140
2020-07-16,9083,5785,6501,16833,561,142
2020-07-17,9302,5926,6576,17198,565,144
2020-07-18,9497,6086,6656,17572,568,146
2020-07-19,9684,6250,6718,17956,572,148
2020-07-20,9884,6391,6771,18350,579,150
2020-07-21,10119,6527,6816,18753,585,153
2020-07-22,10359,6653,6886,19164,591,156
2020-07-23,10593,6774,6966,19583,596,159
2020-07-24,10812,6898,7062,20010,601,162
2020-07-25,11001,7027,7160,20445,607,165
2020-07-26,11240,7160,7257,20888,613,168
2020-07-27,11468,7269,7358,21339,619,171
2020-07-28,11696,7373,7488,21797,625,174
2020-07-29,11743,7468,7731,22262,631,177
2020-07-30,11781,7559,7957,22733,636,180
2020-07-31,11834,7651,8118,23210,642,183
2020-08-01,11967,7749,8188,23692,649,186
2020-08-02,12071,7845,8256,24181,653,189
2020-08-03,12143,7930,8364,24676,655,192
2020-08-04,12188,8009,8497,25176,660,195
2020-08-05,12237,8084,8658,25681,664,198
2020-08-06,12277,8157,8821,26191,670,201
2020-08-07,12295,8229,8981,26705,675,204
2020-08-08,12325,8308,9126,27224,680,207
2020-08-09,12357,8397,9249,27748,685,210
2020-08-10,12442,8472,9336,28277,689,213
2020-08-11,12489,8535,9453,28811,692,216
2020-08-12,12526,8592,9594,29349,695,219
2020-08-13,12511,8646,9778,29891,698,222
2020-08-14,12478,8698,9968,30436,703,225
2020-08-15,12397,8761,10184,30984,709,228
2020-08-16,12338,8829,10351,31536,714,231
2020-08-17,12286,8929,10491,32093,718,234
2020-08-18,12200,9051,10686,32656,723,237
2020-08-19,12096,9197,10935,33227,728,241
2020-08-20,12025,9362,11172,33807,734,245
2020-08-21,12094,9549,11284,34397,738,249
2020-08-22,12162,9767,11360,34999,742,253
2020-08-23,12232,10026,11436,35615,745,257
2020-08-24,12211,10263,11555,36247,748,261
2020-08-25,12169,10497,11705,36894,752,265
2020-08-26,12072,10727,11923,37556,757,269
2020-08-27,11954,10956,12182,38232,762,273
2020-08-28,11841,11186,12439,38923,766,277
2020-08-29,11751,11436,12648,39628,768,281
2020-08-30,11695,11717,12804,40349,772,285
2020-08-31,11690,11960,12897,41088,778,290
2020-09-01,11707,12181,12982,41842,785,295
2020-09-02,11768,12376,13071,42610,789,300
2020-09-03,11806,12567,13178,43390,791,305
2020-09-04,11834,12749,13291,44182,795,310
2020-09-05,11835,12945,13385,44986,799,315
2020-09-06,11828,13156,13467,45802,804,320
2020-09-07,11805,13352,13531,46631,808,325
2020-09-08,11774,13536,13611,47473,812,330
2020-09-09,11734,13708,13744,48326,814,335
2020-09-10,11689,13868,13916,49190,815,340
2020-09-11,11625,14022,14108,50064,818,345
2020-09-12,11576,14183,14264,50948,821,350
2020-09-13,11570,14353,14359,51842,825,355
2020-09-14,11590,14513,14424,52747,828,361
2020-09-15,11602,14666,14503,53662,830,367
2020-09-16,11574,14810,14648,54587,832,373
2020-09-17,11500,14953,14860,55521,836,379
2020-09-18,11444,15088,15068,56464,841,385
2020-09-19,11401,15234,15234,57415,845,391
2020-09-20,11406,15400,15336,58375,849,397
2020-09-21,11409,15547,15424,59346,851,403
2020-09-22,11461,15685,15505,60326,854,409
2020-09-23,11553,15813,15591,61315,856,415
2020-09-24,11679,15937,15693,62312,860,421
2020-09-25,11764,16057,15838,63317,865,427
2020-09-26,11787,16193,16018,64329,869,433
2020-09-27,11791,16354,16177,65350,872,439
2020-09-28,11811,16549,16311,66381,873,445
2020-09-29,11888,16784,16429,67424,875,451
