date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7010,600,1370,148,196
2020-04-14,5246,6916,731,2005,166,227
2020-04-15,5530,6783,808,2632,185,257
2020-04-16,5812,6684,937,3247,211,287
2020-04-17,6149,6629,1096,3853,232,316
2020-04-18,6572,6613,1201,4454,255,345
2020-04-19,6977,6628,1273,5053,278,374
2020-04-20,7418,6667,1336,5654,300,403
2020-04-21,7891,6725,1413,6258,324,432
2020-04-22,8456,6798,1494,6868,348,461
2020-04-23,8997,6882,1578,7484,377,490
2020-04-24,9593,6975,1652,8108,407,519
2020-04-25,10144,7075,1734,8740,432,548
2020-04-26,10719,7182,1791,9381,448,578
2020-04-27,11291,7294,1857,10032,467,608
2020-04-28,11855,7411,1933,10693,491,638
2020-04-29,12507,7532,2020,11365,522,668
2020-04-30,13238,7656,2114,12048,551,698
2020-05-01,14042,7784,2204,12742,583,728
2020-05-02,14816,7915,2335,13448,619,759
2020-05-03,15529,8049,2452,14166,653,790
2020-05-04,16191,8186,2588,14896,695,821
2020-05-05,16574,8326,2697,15638,731,852
2020-05-06,17145,8469,2790,16393,759,883
2020-05-07,17724,8615,2882,17161,783,914
2020-05-08,18585,8764,2982,17942,802,945
2020-05-09,19273,8916,3107,18736,826,976
2020-05-10,20078,9072,3199,19544,838,1007
2020-05-11,20832,9230,3291,20366,860,1038
2020-05-12,21573,9391,3409,21203,890,1069
2020-05-13,22317,9555,3544,22054,925,1100
2020-05-14,23110,9723,3679,22920,954,1131
2020-05-15,23946,9894,3797,23801,979,1162
2020-05-16,24682,10068,3902,24698,997,1193
2020-05-17,25391,10245,4003,25611,1009,1224
2020-05-18,26079,10426,4123,26540,1022,1255
2020-05-19,26720,10609,4300,27485,1044,1286
2020-05-20,27467,10796,4524,28447,1072,1317
2020-05-21,28141,10986,4754,29426,1103,1348
2020-05-22,28885,11181,4929,30422,1131,1379
2020-05-23,29455,11381,5037,31436,1155,1409
2020-05-24,30296,11586,5098,32468,1179,1439
2020-05-25,31408,11809,5158,33518,1205,1469
2020-05-26,32619,12043,5246,34589,1241,1499
2020-05-27,33690,12285,5355,35681,1285,1529
2020-05-28,34574,12533,5495,36795,1325,1559
2020-05-29,35539,12788,5621,37931,1355,1588
2020-05-30,36463,13052,5753,39090,1367,1617
2020-05-31,37322,13323,5837,40273,1379,1646
2020-06-01,38097,13594,5926,41481,1391,1675
2020-06-02,38746,13869,6025,42713,1409,1703
2020-06-03,39421,14147,6153,43970,1426,1731
2020-06-04,40042,14432,6280,45252,1442,1759
2020-06-05,40790,14722,6352,46560,1453,1787
2020-06-06,41637,15024,6437,47895,1462,1814
2020-06-07,42481,15337,6492,49257,1470,1841
2020-06-08,43152,15643,6590,50647,1481,1868
2020-06-09,43541,15949,6686,52065,1495,1894
2020-06-10,43878,16256,6799,53511,1510,1920
2020-06-11,44249,16567,6907,54985,1522,1946
2020-06-12,44702,16881,7009,56487,1531,1971
2020-06-13,45219,17200,7103,58017,1540,1996
2020-06-14,45695,17526,7179,59576,1546,2020
2020-06-15,46102,17852,7249,61165,1556,2044
2020-06-16,46429,18181,7333,62783,1568,2067
2020-06-17,46781,18517,7421,64431,1579,2090
2020-06-18,47183,18858,7495,66110,1590,2112
2020-06-19,47672,19204,7554,67820,1598,2134
2020-06-20,48199,19557,7605,69561,1606,2156
2020-06-21,48717,19918,7638,71334,1612,2177
2020-06-22,49181,20278,7678,73140,1625,2198
2020-06-23,49632,20641,7717,74978,1642,2218
2020-06-24,50055,21009,7769,76849,1660,2238
2020-06-25,50515,21382,7817,78754,1678,2257
2020-06-26,51004,21761,7884,80692,1699,2276
2020-06-27,51519,22146,7947,82665,1718,2294
2020-06-28,51994,22538,7998,84673,1732,2312
2020-06-29,52456,22931,8036,86716,1745,2329
2020-06-30,52885,23326,8078,88795,1763,2346
2020-07-01,53218,23725,8235,90910,1788,2362
2020-07-02,53516,24130,8446,93061,1815,2378
2020-07-03,53927,24540,8649,95248,1836,2393
2020-07-04,54485,24955,8745,97473,1853,2408
2020-07-05,55010,25376,8778,99735,1865,2422
2020-07-06,55485,25814,8835,102035,1876,2436
2020-07-07,55939,26258,8911,104375,1889,2450
2020-07-08,56464,26707,8996,106755,1907,2463
2020-07-09,57077,27161,9088,109176,1933,2476
2020-07-10,57773,27619,9175,111638,1952,2488
2020-07-11,58576,28085,9256,114142,1962,2500
2020-07-12,59430,28556,9303,116688,1965,2511
2020-07-13,60261,29039,9354,119277,1970,2522
2020-07-14,61132,29534,9426,121909,1979,2533
2020-07-15,61944,30039,9531,124586,1992,2543
2020-07-16,62775,30552,9684,127309,2004,2553
2020-07-17,63563,31076,9834,130079,2015,2562
2020-07-18,64433,31609,9958,132896,2021,2571
2020-07-19,65332,32148,10033,135761,2027,2580
2020-07-20,66238,32712,10119,138675,2035,2588
2020-07-21,67112,33288,10224,141640,2043,2596
2020-07-22,67934,33875,10348,144658,2051,2604
2020-07-23,68812,34471,10462,147729,2057,2611
2020-07-24,69720,35077,10618,150854,2065,2618
2020-07-25,70688,35699,10752,154034,2073,2625
2020-07-26,71797,36334,10874,157270,2078,2632
2020-07-27,72668,36987,11124,160564,2085,2638
2020-07-28,73539,37662,11380,163917,2100,2644
2020-07-29,74201,38353,11642,167331,2120,2650
2020-07-30,75011,39059,11771,170808,2146,2656
2020-07-31,75798,39781,11890,174349,2176,2661
2020-08-01,76600,40524,12017,177955,2206,2666
2020-08-02,77543,41285,12123,181629,2230,2671
2020-08-03,78558,42071,12249,185372,2239,2676
2020-08-04,79494,42874,12387,189186,2254,2680
2020-08-05,80269,43694,12514,193073,2272,2684
2020-08-06,81343,44542,12627,197034,2296,2688
2020-08-07,82600,45408,12734,201072,2312,2692
2020-08-08,83901,46296,12830,205188,2321,2696
2020-08-09,84774,47206,12909,209385,2325,2699
2020-08-10,85516,48139,13012,213664,2332,2702
2020-08-11,86210,49093,13120,218028,2341,2705
2020-08-12,87014,50075,13262,222478,2353,2708
2020-08-13,87928,51077,13371,227017,2361,2711
2020-08-14,88844,52122,13520,231647,2372,2714
2020-08-15,89728,53217,13651,236372,2379,2717
2020-08-16,90467,54347,13768,241196,2384,2719
2020-08-17,91235,55468,13840,246123,2388,2721
2020-08-18,91935,56587,13908,251151,2397,2723
2020-08-19,92653,57711,13996,256281,2411,2725
2020-08-20,93385,58842,14109,261513,2424,2727
2020-08-21,94270,59981,14231,266847,2435,2729
2020-08-22,95167,61135,14348,272284,2448,2731
2020-08-23,95999,62307,14426,277826,2460,2733
2020-08-24,96757,63459,14502,283474,2477,2735
2020-08-25,97491,64609,14581,289227,2493,2736
2020-08-26,98360,65763,14675,295084,2512,2737
2020-08-27,99236,66922,14770,301046,2530,2738
2020-08-28,100246,68089,14862,307113,2548,2739
2020-08-29,101214,69261,14940,313285,2562,2740
2020-08-30,102131,70451,15013,319564,2572,2741
2020-08-31,102971,71626,15094,325951,2587,2742
2020-09-01,103763,72791,15201,332444,2611,2743
2020-09-02,104651,73948,15304,339043,2635,2744
2020-09-03,105578,75114,15402,345747,2651,2745
2020-09-04,106530,76284,15507,352556,2663,2746
2020-09-05,107522,77468,15603,359471,2672,2747
2020-09-06,108375,78665,15687,366494,2679,2748
2020-09-07,109221,79866,15731,373625,2682,2749
2020-09-08,109907,81068,15826,380865,2689,2750
2020-09-09,110778,82274,15932,388214,2697,2751
2020-09-10,111722,83488,16057,395672,2705,2752
2020-09-11,112804,84711,16160,403240,2713,2752
2020-09-12,113812,85942,16243,410919,2719,2752
2020-09-13,114707,87183,16315,418710,2729,2752
2020-09-14,115492,88437,16373,426613,2768,2752
2020-09-15,116211,89704,16448,434630,2822,2752
2020-09-16,117011,90983,16552,442762,2881,2752
2020-09-17,117934,92272,16656,451010,2917,2752
2020-09-18,118892,93573,16760,459375,2953,2752
2020-09-19,119808,94885,16830,467858,2984,2752
2020-09-20,120549,96211,16877,476460,3008,2752
2020-09-21,121267,97550,16920,485182,3032,2752
2020-09-22,121883,98904,16973,494025,3056,2752
2020-09-23,122572,100273,17038,502991,3087,2752
2020-09-24,123286,101655,17107,512081,3112,2752
2020-09-25,124134,103050,17179,521296,3131,2752
2020-09-26,124888,104453,17294,530638,3146,2752
2020-09-27,125497,105870,17393,540107,3158,2752
2020-09-28,126079,107350,17500,549704,3172,2752
2020-09-29,126707,108864,17564,559436,3189,2752
2020-09-30,127322,110400,17640,569305,3207,2752
2020-10-01,127966,111953,17699,579313,3228,2752
2020-10-02,128730,113531,17758,589462,3249,2752
2020-10-03,129719,115147,17803,599754,3264,2752
2020-10-04,130620,116789,17850,610192,3273,2752
2020-10-05,131305,118414,17951,620779,3280,2752
2020-10-06,131789,120032,18064,631514,3290,2752
2020-10-07,132636,121636,18193,642395,3307,2752
2020-10-08,133699,123232,18267,653422,3325,2752
2020-10-09,135001,124832,18353,664593,3342,2752
2020-10-10,135979,126446,18425,675909,3352,2752
2020-10-11,136881,128066,18492,687372,3357,2752
2020-10-12,137772,129668,18562,698982,3363,2752
2020-10-13,138643,131265,18647,710737,3371,2752
2020-10-14,139660,132861,18745,722637,3380,2752
2020-10-15,140670,134459,18829,734681,3392,2752
2020-10-16,141783,136063,18912,746870,3406,2752
2020-10-17,142765,137674,18980,759205,3421,2752
2020-10-18,143589,139287,19042,771686,3437,2752
2020-10-19,144348,140895,19100,784313,3458,2752
2020-10-20,145135,142500,19164,797086,3485,2752
2020-10-21,146129,144104,19239,810004,3508,2752
2020-10-22,147210,145708,19317,823067,3526,2752
