date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2118,278,455,30,30
2020-04-14,1016,2134,313,589,34,31
2020-04-15,1062,2137,337,724,38,32
2020-04-16,1116,2131,363,859,42,33
2020-04-17,1202,2118,377,993,47,34
2020-04-18,1287,2101,409,1127,50,35
2020-04-19,1370,2081,444,1259,57,36
2020-04-20,1382,2062,484,1390,63,37
2020-04-21,1477,2043,505,1520,68,38
2020-04-22,1588,2024,525,1649,73,39
2020-04-23,1726,2005,567,1777,77,40
2020-04-24,1832,1986,603,1903,85,41
2020-04-25,1904,1967,638,2028,93,42
2020-04-26,1991,1949,646,2152,100,43
2020-04-27,2082,1933,655,2275,104,44
2020-04-28,2224,1919,673,2397,107,45
2020-04-29,2385,1907,701,2518,113,46
2020-04-30,2524,1896,733,2638,122,47
2020-05-01,2663,1887,759,2758,130,48
2020-05-02,2773,1878,785,2877,140,49
2020-05-03,2914,1871,809,2995,148,50
2020-05-04,3022,1865,828,3113,156,51
2020-05-05,3112,1862,879,3231,162,52
2020-05-06,3181,1860,959,3348,167,53
2020-05-07,3257,1859,1054,3465,174,54
2020-05-08,3338,1861,1129,3582,181,55
2020-05-09,3387,1867,1194,3699,190,56
2020-05-10,3457,1875,1247,3817,199,57
2020-05-11,3555,1883,1284,3935,209,58
2020-05-12,3657,1893,1339,4054,219,59
2020-05-13,3713,1906,1416,4173,230,60
2020-05-14,3759,1920,1508,4293,242,61
2020-05-15,3832,1936,1587,4414,251,62
2020-05-16,3894,1957,1662,4536,259,63
2020-05-17,3975,1979,1721,4659,264,64
2020-05-18,4042,1998,1763,4784,270,65
2020-05-19,4114,2018,1811,4910,276,66
2020-05-20,4156,2039,1887,5037,284,67
2020-05-21,4207,2062,1969,5166,295,68
2020-05-22,4210,2088,2058,5296,306,69
2020-05-23,4235,2120,2182,5428,314,70
2020-05-24,4223,2154,2323,5562,318,71
2020-05-25,4266,2189,2447,5698,320,72
2020-05-26,4296,2228,2516,5836,324,73
2020-05-27,4345,2273,2574,5976,329,74
2020-05-28,4405,2320,2628,6119,336,75
2020-05-29,4467,2370,2683,6265,343,76
2020-05-30,4503,2426,2749,6414,350,77
2020-05-31,4543,2487,2805,6567,356,78
2020-06-01,4618,2544,2858,6724,361,79
2020-06-02,4720,2600,2900,6884,368,80
2020-06-03,4844,2654,2953,7048,375,81
2020-06-04,4978,2707,3029,7215,381,82
2020-06-05,5110,2762,3111,7386,387,83
2020-06-06,5211,2820,3202,7560,391,84
2020-06-07,5272,2882,3266,7738,396,85
2020-06-08,5311,2936,3324,7920,400,86
2020-06-09,5273,2991,3462,8105,404,87
2020-06-10,5199,3045,3628,8294,413,88
2020-06-11,5115,3094,3844,8486,422,89
2020-06-12,5107,3143,3968,8681,429,90
