date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4313,207,254,122,136
2020-04-14,3401,4399,294,295,131,147
2020-04-15,3498,4486,364,338,141,158
2020-04-16,3547,4578,537,382,153,169
2020-04-17,3584,4674,740,428,166,181
2020-04-18,3627,4775,918,477,177,193
2020-04-19,3657,4880,1066,528,185,205
2020-04-20,3735,4986,1156,581,194,218
2020-04-21,3809,5096,1246,636,210,231
2020-04-22,4001,5210,1270,694,229,245
2020-04-23,4229,5328,1286,755,248,259
2020-04-24,4459,5450,1313,818,262,273
2020-04-25,4666,5575,1347,884,275,288
2020-04-26,4848,5703,1382,953,285,303
2020-04-27,5024,5833,1417,1025,297,319
2020-04-28,5212,5966,1447,1100,304,335
2020-04-29,5487,6102,1474,1178,312,352
2020-04-30,5787,6241,1500,1260,324,369
2020-05-01,6124,6383,1530,1345,342,387
2020-05-02,6399,6527,1563,1434,362,405
2020-05-03,6666,6674,1598,1526,378,424
2020-05-04,6934,6823,1633,1622,389,443
2020-05-05,7242,6974,1665,1722,405,463
2020-05-06,7534,7129,1695,1826,423,483
2020-05-07,7875,7286,1720,1934,464,504
2020-05-08,7927,7446,2051,2046,499,525
2020-05-09,7938,7610,2402,2162,528,547
2020-05-10,7848,7776,2770,2282,536,569
2020-05-11,8021,7943,2845,2407,546,592
2020-05-12,8299,8113,2913,2536,566,616
2020-05-13,8628,8286,2987,2670,593,640
2020-05-14,8997,8462,3066,2809,623,665
2020-05-15,9326,8641,3192,2952,651,690
2020-05-16,9606,8822,3317,3100,670,716
2020-05-17,9798,9006,3459,3253,682,742
2020-05-18,9982,9192,3571,3411,690,769
2020-05-19,10172,9380,3678,3575,713,796
2020-05-20,10426,9572,3779,3744,738,824
2020-05-21,10666,9767,3864,3918,762,852
2020-05-22,10943,9965,3951,4098,781,881
2020-05-23,11185,10166,4038,4283,795,910
2020-05-24,11406,10369,4123,4474,806,940
2020-05-25,11586,10584,4211,4671,808,970
2020-05-26,11815,10801,4287,4874,817,1001
2020-05-27,12149,11021,4370,5083,834,1033
2020-05-28,12575,11244,4454,5298,860,1065
2020-05-29,13099,11469,4553,5520,883,1098
2020-05-30,13667,11695,4656,5748,899,1131
2020-05-31,14103,11923,4762,5982,909,1165
2020-06-01,14656,12149,4865,6223,922,1199
2020-06-02,15331,12378,4970,6470,948,1234
2020-06-03,16122,12609,5071,6724,975,1269
2020-06-04,17046,12846,5182,6984,999,1305
2020-06-05,17950,13090,5289,7251,1019,1341
2020-06-06,19186,13338,5404,7525,1036,1377
2020-06-07,20139,13589,5518,7806,1049,1414
2020-06-08,20954,13836,5640,8094,1060,1451
2020-06-09,21781,14090,5751,8389,1076,1489
2020-06-10,22798,14350,5903,8692,1104,1527
2020-06-11,24205,14613,6051,9002,1130,1565
2020-06-12,25658,14880,6170,9319,1160,1604
2020-06-13,27040,15154,6250,9644,1178,1643
2020-06-14,28208,15434,6334,9977,1194,1682
2020-06-15,29574,15718,6464,10317,1207,1722
2020-06-16,31171,16004,6591,10665,1226,1762
2020-06-17,33211,16293,6725,11021,1253,1802
2020-06-18,35615,16590,6865,11385,1284,1843
2020-06-19,38486,16894,7025,11758,1316,1884
2020-06-20,41338,17206,7200,12139,1338,1925
2020-06-21,43703,17524,7388,12529,1348,1967
2020-06-22,46253,17847,7571,12927,1365,2009
2020-06-23,48564,18174,7754,13334,1404,2051
2020-06-24,51224,18503,7940,13750,1452,2093
2020-06-25,53723,18841,8154,14175,1499,2136
2020-06-26,56756,19186,8395,14610,1537,2179
2020-06-27,60006,19534,8658,15054,1570,2222
