date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2343,401,634,101,115
2020-04-14,2417,2232,602,846,110,123
2020-04-15,2434,2130,803,1048,120,131
2020-04-16,2459,2037,1003,1240,130,138
2020-04-17,2453,1954,1204,1424,140,145
2020-04-18,2458,1881,1405,1600,150,152
2020-04-19,2487,1818,1606,1770,160,159
2020-04-20,2524,1765,1806,1934,170,165
2020-04-21,2519,1722,2007,2093,181,171
2020-04-22,2521,1688,2208,2248,192,177
2020-04-23,2550,1663,2409,2400,201,183
2020-04-24,2616,1646,2609,2550,210,189
2020-04-25,2658,1637,2810,2699,219,195
2020-04-26,2671,1635,3011,2847,225,201
2020-04-27,2672,1639,3212,2995,231,207
2020-04-28,2683,1649,3413,3143,239,213
2020-04-29,2711,1664,3614,3292,250,219
2020-04-30,2785,1684,3816,3442,264,225
2020-05-01,2862,1709,4017,3594,277,231
2020-05-02,2891,1738,4219,3748,291,237
2020-05-03,2880,1771,4441,3905,301,243
2020-05-04,2876,1808,4684,4065,318,249
2020-05-05,2879,1849,4948,4228,342,255
2020-05-06,2857,1893,5212,4395,370,261
2020-05-07,2864,1940,5476,4566,393,268
2020-05-08,2903,1989,5740,4741,408,275
2020-05-09,2899,2040,6004,4921,420,282
2020-05-10,2842,2091,6247,5105,428,289
2020-05-11,2785,2146,6469,5294,440,296
2020-05-12,2767,2204,6671,5488,452,303
2020-05-13,2820,2266,6873,5687,467,311
2020-05-14,2904,2332,7075,5892,479,319
2020-05-15,3031,2401,7277,6103,494,327
2020-05-16,3086,2473,7479,6320,508,335
2020-05-17,3069,2547,7695,6543,519,343
2020-05-18,3017,2626,7926,6773,534,352
2020-05-19,2979,2710,8172,7010,550,361
2020-05-20,2978,2800,8418,7255,568,370
2020-05-21,3027,2894,8663,7508,581,379
2020-05-22,3111,2993,8909,7769,597,389
2020-05-23,3196,3095,9155,8039,612,399
2020-05-24,3212,3200,9404,8318,625,409
2020-05-25,3188,3312,9658,8607,637,420
2020-05-26,3177,3431,9915,8906,652,431
2020-05-27,3205,3558,10173,9216,671,442
2020-05-28,3282,3693,10430,9537,691,454
2020-05-29,3402,3836,10688,9870,708,466
2020-05-30,3514,3987,10945,10216,722,479
2020-05-31,3550,4145,11219,10576,732,492
2020-06-01,3516,4309,11510,10950,746,506
2020-06-02,3458,4480,11818,11339,762,520
2020-06-03,3401,4657,12125,11744,781,535
2020-06-04,3324,4841,12433,12164,793,550
2020-06-05,3247,5031,12740,12601,802,566
2020-06-06,3168,5227,13048,13055,810,582
2020-06-07,3191,5428,13347,13527,821,599
2020-06-08,3250,5630,13637,14017,833,617
2020-06-09,3354,5835,13918,14525,852,635
2020-06-10,3297,6042,14199,15052,867,654
2020-06-11,3327,6253,14480,15598,878,673
2020-06-12,3330,6467,14761,16163,883,693
2020-06-13,3389,6679,15042,16747,887,714
2020-06-14,3343,6884,15320,17350,891,735
2020-06-15,3325,7084,15597,17972,900,757
2020-06-16,3408,7286,15871,18612,918,779
2020-06-17,3395,7491,16145,19270,938,802
2020-06-18,3268,7698,16419,19946,954,825
2020-06-19,2986,7903,16693,20641,962,849
2020-06-20,2704,8101,16967,21355,970,874
2020-06-21,2976,8282,17252,22086,975,899
2020-06-22,3427,8465,17548,22834,981,925
2020-06-23,4036,8654,17855,23598,992,951
2020-06-24,4446,8852,18161,24379,1005,978
2020-06-25,4851,9056,18468,25178,1016,1005
2020-06-26,5239,9263,18774,25996,1024,1033
2020-06-27,5383,9467,19081,26832,1032,1061
2020-06-28,5534,9659,19418,27687,1044,1090
2020-06-29,5726,9853,19785,28559,1057,1119
2020-06-30,5985,10053,20182,29449,1071,1148
2020-07-01,6311,10262,20579,30357,1082,1178
2020-07-02,6716,10477,20976,31284,1092,1208
2020-07-03,7236,10688,21373,32230,1100,1239
2020-07-04,7542,10881,21770,33195,1107,1270
2020-07-05,7620,11058,22213,34177,1110,1302
2020-07-06,7626,11251,22704,35175,1127,1334
2020-07-07,7724,11466,23242,36191,1153,1367
2020-07-08,7934,11705,23780,37226,1183,1400
2020-07-09,8180,11967,24318,38283,1202,1434
2020-07-10,8472,12249,24856,39364,1216,1468
2020-07-11,8817,12545,25394,40470,1231,1503
2020-07-12,8924,12848,25961,41603,1243,1539
2020-07-13,9021,13164,26558,42763,1257,1575
2020-07-14,9142,13498,27184,43952,1270,1612
2020-07-15,9535,13849,27810,45171,1290,1650
2020-07-16,9985,14216,28436,46421,1310,1689
2020-07-17,10434,14594,29062,47705,1328,1728
2020-07-18,10739,14976,29688,49023,1344,1768
2020-07-19,11106,15351,30332,50375,1353,1809
2020-07-20,11656,15696,30994,51761,1367,1851
2020-07-21,12431,16028,31673,53178,1390,1894
2020-07-22,13113,16351,32353,54625,1416,1937
2020-07-23,13764,16664,33032,56101,1440,1981
2020-07-24,14368,16963,33712,57606,1459,2026
2020-07-25,15037,17226,34391,59138,1478,2071
2020-07-26,15290,17433,35193,60693,1489,2117
2020-07-27,15380,17596,36116,62267,1510,2163
2020-07-28,15528,17731,37162,63856,1533,2209
2020-07-29,16043,17848,38208,65457,1571,2255
2020-07-30,16511,17946,39253,67069,1612,2301
2020-07-31,16781,18015,40299,68689,1655,2347
2020-08-01,16696,18034,41345,70316,1686,2393
2020-08-02,16465,17980,42352,71944,1702,2439
2020-08-03,16249,17881,43321,73567,1722,2484
2020-08-04,16248,17760,44252,75182,1756,2529
2020-08-05,16371,17623,45182,76786,1794,2573
2020-08-06,16488,17462,46113,78377,1825,2617
2020-08-07,16601,17275,47044,79954,1849,2660
2020-08-08,16572,17043,47974,81514,1872,2702
2020-08-09,16357,16732,48905,83053,1894,2744
2020-08-10,15888,16444,49900,84564,1917,2785
2020-08-11,15531,16191,50959,86049,1948,2825
2020-08-12,15153,15973,52083,87511,1981,2864
2020-08-13,14876,15784,53206,88953,2014,2902
2020-08-14,14516,15617,54330,90378,2044,2939
2020-08-15,14085,15458,55453,91788,2069,2976
2020-08-16,13558,15296,56457,93184,2086,3012
2020-08-17,13140,15153,57343,94565,2102,3047
2020-08-18,13154,15036,58109,95933,2128,3082
2020-08-19,13368,14944,58875,97291,2160,3116
2020-08-20,13611,14873,59642,98640,2189,3150
2020-08-21,13725,14817,60408,99983,2213,3184
2020-08-22,13757,14768,61174,101321,2230,3217
2020-08-23,13674,14720,61940,102654,2241,3250
2020-08-24,13493,14676,62741,103983,2267,3283
2020-08-25,13353,14643,63575,105308,2312,3315
2020-08-26,13197,14619,64444,106630,2362,3347
2020-08-27,12992,14600,65312,107950,2395,3379
2020-08-28,12745,14584,66181,109268,2413,3410
2020-08-29,12523,14567,67049,110585,2427,3441
2020-08-30,12218,14539,67886,111900,2447,3472
2020-08-31,11911,14489,68690,113213,2469,3503
2020-09-01,11673,14429,69463,114521,2497,3533
2020-09-02,11602,14372,70235,115824,2518,3563
2020-09-03,11592,14314,71008,117122,2540,3593
2020-09-04,11510,14246,71780,118414,2554,3622
2020-09-05,11312,14146,72553,119700,2570,3651
2020-09-06,10922,13999,73325,120977,2585,3679
2020-09-07,10418,13815,74111,122241,2603,3707
2020-09-08,9912,13615,74910,123488,2616,3734
2020-09-09,9479,13422,75722,124717,2634,3761
2020-09-10,9251,13236,76534,125929,2649,3787
2020-09-11,9023,13055,77346,127124,2670,3813
2020-09-12,8714,12871,78158,128303,2684,3838
2020-09-13,8139,12681,79002,129465,2696,3862
2020-09-14,7547,12503,79879,130610,2712,3886
2020-09-15,7072,12337,80787,131739,2732,3909
2020-09-16,6779,12185,81695,132853,2756,3932
2020-09-17,6488,12042,82603,133953,2776,3954
2020-09-18,6180,11903,83511,135040,2793,3976
2020-09-19,5733,11756,84419,136115,2809,3998
2020-09-20,5274,11596,85234,137176,2827,4019
2020-09-21,4850,11468,85957,138223,2840,4040
2020-09-22,4609,11383,86587,139258,2854,4060
2020-09-23,4554,11346,87217,140286,2863,4080
2020-09-24,4579,11357,87847,141310,2879,4100
2020-09-25,4636,11413,88477,142335,2893,4120
2020-09-26,4507,11507,89107,143366,2908,4139
2020-09-27,4377,11633,89567,144405,2917,4158
2020-09-28,4393,11806,89857,145455,2932,4178
2020-09-29,4699,12031,89977,146521,2949,4198
2020-09-30,5173,12306,90097,147607,2968,4218
2020-10-01,5679,12628,90217,148718,2982,4238
2020-10-02,6204,12992,90337,149858,2996,4258
2020-10-03,6604,13397,90457,151031,3010,4279
2020-10-04,6726,13839,90707,152241,3019,4300
2020-10-05,6843,14297,91089,153491,3024,4322
2020-10-06,6903,14778,91602,154782,3035,4344
2020-10-07,7082,15283,92114,156116,3050,4367
2020-10-08,7218,15804,92627,157496,3068,4390
2020-10-09,7490,16334,93139,158923,3083,4414
2020-10-10,7671,16868,93652,160398,3094,4439
2020-10-11,7665,17407,94161,161921,3106,4464
2020-10-12,7589,17928,94666,163493,3112,4490
2020-10-13,7705,18441,95167,165112,3123,4516
2020-10-14,8161,18946,95669,166777,3135,4543
2020-10-15,8750,19434,96170,168488,3150,4570
2020-10-16,9297,19886,96672,170243,3164,4598
2020-10-17,9405,20272,97173,172039,3177,4626
2020-10-18,9326,20568,97684,173869,3191,4654
2020-10-19,9237,20777,98205,175726,3198,4682
2020-10-20,9401,20945,98735,177602,3209,4710
2020-10-21,9692,21067,99265,179493,3218,4738
2020-10-22,10001,21142,99795,181395,3230,4766
2020-10-23,10448,21148,100325,183304,3242,4794
2020-10-24,10576,21046,100855,185213,3253,4822
2020-10-25,10632,20825,101420,187113,3261,4849
2020-10-26,10532,20567,102021,188993,3269,4876
2020-10-27,10726,20308,102657,190850,3282,4902
2020-10-28,11016,20054,103293,192684,3298,4928
2020-10-29,11270,19821,103930,194495,3313,4953
2020-10-30,11471,19607,104566,196285,3324,4977
2020-10-31,11454,19388,105202,198055,3342,5001
2020-11-01,11254,19158,105893,199806,3361,5024
2020-11-02,10943,18992,106637,201536,3378,5047
2020-11-03,10725,18895,107436,203251,3388,5070
2020-11-04,10927,18863,108235,204957,3395,5092
2020-11-05,11232,18902,109033,206660,3407,5114
2020-11-06,11624,19009,109832,208367,3419,5136
2020-11-07,11741,19174,110631,210083,3437,5158
2020-11-08,11722,19388,111413,211814,3458,5180
2020-11-09,11691,19625,112180,213565,3473,5202
2020-11-10,11830,19893,112930,215337,3485,5224
2020-11-11,12221,20202,113681,217133,3497,5246
2020-11-12,12735,20542,114431,218957,3510,5268
2020-11-13,13285,20904,115182,220812,3524,5290
2020-11-14,13740,21275,115932,222699,3534,5312
2020-11-15,13972,21648,116668,224620,3542,5334
2020-11-16,14057,22057,117390,226575,3556,5356
2020-11-17,14359,22516,118098,228567,3575,5378
2020-11-18,14924,23020,118806,230600,3600,5401
2020-11-19,15739,23564,119513,232679,3620,5424
2020-11-20,16680,24138,120221,234807,3639,5447
2020-11-21,17407,24713,120929,236986,3667,5470
2020-11-22,17718,25237,121739,239217,3696,5494
2020-11-23,17495,25783,122652,241496,3720,5518
2020-11-24,17284,26349,123668,243824,3734,5542
2020-11-25,17426,26910,124683,246203,3745,5566
2020-11-26,17677,27446,125699,248633,3759,5591
2020-11-27,18085,27968,126714,251111,3770,5616
2020-11-28,18523,28422,127730,253636,3784,5641
2020-11-29,19086,28807,128782,256202,3797,5666
2020-11-30,19468,29077,129871,258803,3816,5691
2020-12-01,20021,29344,130997,261428,3831,5716
2020-12-02,20793,29612,132123,264078,3855,5741
2020-12-03,22009,29880,133249,266752,3882,5766
2020-12-04,23047,30166,134375,269450,3914,5791
2020-12-05,23849,30453,135501,272174,3951,5816
2020-12-06,24061,30739,136815,274924,3985,5841
2020-12-07,24025,31076,138318,277699,4007,5866
2020-12-08,24230,31465,140009,280505,4025,5891
