date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4303,207,254,122,136
2020-04-14,3401,4386,294,295,131,147
2020-04-15,3498,4469,364,337,141,158
2020-04-16,3547,4557,537,381,153,169
2020-04-17,3584,4650,740,427,166,181
2020-04-18,3627,4747,918,475,177,193
2020-04-19,3657,4848,1066,525,185,205
2020-04-20,3735,4953,1156,578,194,218
2020-04-21,3809,5063,1246,633,210,231
2020-04-22,4001,5176,1270,691,229,245
2020-04-23,4229,5294,1286,751,248,259
2020-04-24,4459,5415,1313,814,262,273
2020-04-25,4666,5539,1347,880,275,288
2020-04-26,4848,5666,1382,949,285,303
2020-04-27,5024,5797,1417,1021,297,319
2020-04-28,5212,5931,1447,1096,304,335
2020-04-29,5487,6069,1474,1174,312,352
2020-04-30,5787,6210,1500,1255,324,369
2020-05-01,6124,6354,1530,1340,342,387
2020-05-02,6399,6499,1563,1428,362,405
2020-05-03,6666,6647,1598,1520,378,424
2020-05-04,6934,6797,1633,1616,389,443
2020-05-05,7242,6949,1665,1715,405,463
2020-05-06,7534,7104,1695,1818,423,483
2020-05-07,7875,7261,1720,1925,464,504
2020-05-08,7927,7421,2051,2036,499,525
2020-05-09,7938,7584,2402,2152,528,547
2020-05-10,7848,7749,2770,2272,536,569
2020-05-11,8021,7913,2845,2396,546,592
2020-05-12,8299,8079,2913,2525,566,615
2020-05-13,8628,8247,2987,2658,593,639
2020-05-14,8997,8418,3066,2796,623,663
2020-05-15,9326,8592,3192,2939,651,688
2020-05-16,9606,8768,3317,3087,670,714
2020-05-17,9798,8946,3459,3239,682,740
2020-05-18,9982,9126,3571,3396,690,767
2020-05-19,10172,9310,3678,3559,713,794
2020-05-20,10426,9497,3779,3727,738,822
2020-05-21,10666,9687,3864,3900,762,850
2020-05-22,10943,9881,3951,4078,781,879
2020-05-23,11185,10078,4038,4262,795,908
2020-05-24,11406,10278,4123,4451,806,938
2020-05-25,11586,10485,4211,4646,808,968
2020-05-26,11815,10696,4287,4847,817,999
2020-05-27,12149,10912,4370,5054,834,1030
2020-05-28,12575,11132,4454,5267,860,1062
2020-05-29,13099,11355,4553,5486,883,1094
2020-05-30,13667,11583,4656,5712,899,1127
2020-05-31,14103,11815,4762,5944,909,1160
2020-06-01,14656,12053,4865,6183,922,1194
2020-06-02,15331,12295,4970,6428,948,1228
2020-06-03,16122,12541,5071,6680,975,1263
2020-06-04,17046,12795,5182,6939,999,1298
2020-06-05,17950,13055,5289,7205,1019,1334
2020-06-06,19186,13320,5404,7478,1036,1370
2020-06-07,20139,13591,5518,7759,1049,1407
2020-06-08,20954,13858,5640,8047,1060,1444
2020-06-09,21781,14130,5751,8343,1076,1482
2020-06-10,22798,14408,5903,8646,1104,1520
2020-06-11,24205,14688,6051,8957,1130,1559
2020-06-12,25658,14973,6170,9276,1160,1598
2020-06-13,27040,15265,6250,9603,1178,1637
2020-06-14,28208,15564,6334,9938,1194,1677
2020-06-15,29574,15871,6464,10281,1207,1717
2020-06-16,31171,16177,6591,10633,1226,1758
2020-06-17,33211,16484,6725,10993,1253,1799
2020-06-18,35615,16798,6865,11362,1284,1840
2020-06-19,38486,17119,7025,11739,1316,1882
2020-06-20,41338,17448,7200,12125,1338,1924
2020-06-21,43703,17783,7388,12520,1348,1966
2020-06-22,46253,18110,7571,12924,1365,2008
2020-06-23,48564,18440,7754,13337,1404,2051
2020-06-24,51224,18771,7940,13759,1452,2094
2020-06-25,53723,19112,8154,14190,1499,2137
2020-06-26,56756,19461,8395,14631,1537,2180
2020-06-27,60006,19811,8658,15081,1570,2224
2020-06-28,62352,20168,8921,15541,1590,2268
2020-06-29,65113,20515,9172,16011,1612,2312
2020-06-30,68201,20867,9435,16490,1656,2356
2020-07-01,72127,21222,9754,16979,1711,2400
2020-07-02,75935,21585,10110,17477,1762,2444
2020-07-03,78995,21955,10506,17985,1793,2488
2020-07-04,82120,22333,10914,18503,1813,2532
2020-07-05,84852,22716,11366,19031,1823,2576
2020-07-06,87871,23122,11819,19570,1860,2620
2020-07-07,90849,23538,12299,20120,1906,2664
2020-07-08,94016,23962,12801,20681,1976,2708
2020-07-09,97366,24398,13332,21253,2027,2752
2020-07-10,100545,24843,13862,21836,2090,2796
2020-07-11,103249,25296,14358,22431,2156,2840
2020-07-12,105037,25760,14825,23038,2211,2884
2020-07-13,107270,26246,15253,23657,2273,2928
2020-07-14,109724,26743,15695,24289,2339,2972
2020-07-15,112761,27252,16172,24934,2421,3016
2020-07-16,115653,27771,16674,25593,2503,3060
2020-07-17,118356,28301,17176,26265,2601,3104
2020-07-18,120782,28845,17664,26951,2691,3148
2020-07-19,122490,29404,18109,27651,2758,3192
2020-07-20,124499,29970,18510,28366,2821,3236
2020-07-21,126375,30544,18891,29095,2892,3280
2020-07-22,128463,31125,19297,29839,2985,3323
2020-07-23,130491,31712,19733,30598,3060,3366
2020-07-24,133106,32304,20158,31373,3164,3409
2020-07-25,135637,32918,20571,32163,3244,3452
2020-07-26,137707,33545,20955,32969,3298,3495
2020-07-27,139278,34175,21308,33791,3339,3537
2020-07-28,140976,34815,21647,34629,3388,3579
2020-07-29,142847,35463,21992,35484,3496,3621
2020-07-30,145081,36128,22355,36356,3591,3663
2020-07-31,147535,36804,22712,37245,3689,3704
2020-08-01,149695,37491,23063,38151,3735,3745
2020-08-02,151166,38186,23393,39075,3763,3786
2020-08-03,152007,38872,23686,40017,3796,3827
2020-08-04,152927,39575,23956,40976,3852,3867
2020-08-05,153963,40287,24232,41954,3926,3907
2020-08-06,155110,41011,24522,42950,4005,3946
2020-08-07,156029,41754,24836,43964,4073,3985
2020-08-08,156737,42514,25168,44997,4122,4024
2020-08-09,157192,43291,25512,46050,4147,4062
2020-08-10,157735,44076,25825,47123,4167,4100
2020-08-11,158212,44875,26122,48216,4233,4137
2020-08-12,158931,45690,26418,49329,4309,4174
2020-08-13,159541,46530,26727,50463,4384,4211
2020-08-14,160257,47381,27034,51619,4432,4247
2020-08-15,160844,48252,27316,52796,4477,4283
2020-08-16,161313,49130,27573,53996,4512,4318
2020-08-17,161826,50013,27803,55218,4525,4353
2020-08-18,162243,50915,28020,56462,4564,4387
2020-08-19,162727,51838,28243,57729,4615,4421
2020-08-20,163099,52778,28478,59020,4668,4454
2020-08-21,163604,53744,28711,60335,4709,4487
2020-08-22,163955,54730,28936,61674,4741,4519
2020-08-23,164221,55739,29140,63038,4776,4551
2020-08-24,164470,56774,29338,64428,4788,4582
2020-08-25,164689,57825,29533,65844,4826,4613
2020-08-26,165018,58894,29733,67287,4872,4644
2020-08-27,165219,59986,29932,68757,4934,4674
2020-08-28,165592,61095,30131,70255,4971,4704
2020-08-29,165866,62223,30331,71781,5005,4733
2020-08-30,166055,63371,30517,73336,5022,4762
2020-08-31,166225,64557,30687,74920,5034,4790
2020-09-01,166452,65748,30848,76534,5046,4818
2020-09-02,166952,66943,31021,78178,5079,4845
2020-09-03,167507,68164,31202,79852,5122,4872
2020-09-04,168171,69413,31377,81557,5169,4898
2020-09-05,168571,70689,31551,83294,5199,4924
2020-09-06,168823,71972,31711,85063,5215,4949
2020-09-07,168842,73280,31863,86865,5220,4974
2020-09-08,168947,74585,32006,88700,5230,4998
2020-09-09,169127,75904,32154,90568,5248,5022
2020-09-10,169441,77243,32311,92469,5270,5045
2020-09-11,169789,78590,32470,94404,5292,5068
2020-09-12,170103,79964,32639,96373,5312,5090
2020-09-13,170319,81360,32806,98377,5330,5112
2020-09-14,170513,82743,32962,100416,5340,5133
2020-09-15,170821,84150,33106,102490,5353,5154
2020-09-16,171642,85584,33242,104599,5374,5174
2020-09-17,172708,87047,33385,106745,5410,5194
2020-09-18,173750,88528,33525,108928,5442,5213
2020-09-19,174363,90055,33676,111148,5465,5232
2020-09-20,174651,91591,33816,113407,5474,5250
2020-09-21,174944,93103,33944,115704,5484,5268
2020-09-22,175218,94652,34075,118040,5500,5285
2020-09-23,175576,96239,34224,120415,5527,5302
2020-09-24,175883,97867,34394,122830,5557,5318
2020-09-25,176197,99538,34562,125286,5589,5334
2020-09-26,176478,101250,34722,127784,5610,5349
2020-09-27,176702,103002,34866,130325,5623,5364
2020-09-28,177019,104808,34998,132910,5626,5379
2020-09-29,177304,106642,35128,135541,5635,5393
2020-09-30,177717,108497,35265,138218,5652,5407
2020-10-01,178080,110383,35408,140942,5672,5420
2020-10-02,178548,112315,35553,143714,5690,5433
2020-10-03,178909,114275,35695,146534,5701,5446
2020-10-04,179188,116266,35847,149404,5706,5458
2020-10-05,179540,118312,36004,152324,5708,5470
2020-10-06,179960,120387,36170,155295,5717,5482
2020-10-07,180550,122487,36345,158319,5729,5493
2020-10-08,181070,124633,36531,161396,5740,5504
2020-10-09,181679,126830,36725,164527,5750,5514
2020-10-10,182205,129063,36917,167713,5757,5524
2020-10-11,182665,131320,37105,170955,5764,5534
2020-10-12,183087,133607,37266,174254,5766,5544
2020-10-13,183613,135928,37425,177611,5768,5553
2020-10-14,184339,138268,37590,181026,5776,5562
2020-10-15,185047,140649,37787,184500,5789,5571
2020-10-16,185769,143071,37989,188034,5806,5579
2020-10-17,186355,145546,38190,191629,5819,5587
2020-10-18,186965,148092,38376,195287,5827,5595
2020-10-19,187616,150623,38547,199009,5831,5602
2020-10-20,188362,153182,38713,202794,5840,5609
2020-10-21,189176,155770,38892,206644,5850,5616
2020-10-22,189949,158409,39092,210559,5859,5623
2020-10-23,190683,161122,39306,214541,5864,5629
2020-10-24,191546,163894,39524,218591,5869,5635
2020-10-25,192365,166674,39729,222711,5872,5641
2020-10-26,193260,169450,39943,226901,5880,5647
2020-10-27,194022,172245,40171,231161,5890,5653
2020-10-28,194921,175087,40430,235491,5904,5658
2020-10-29,195968,177965,40676,239892,5919,5663
2020-10-30,197293,180875,40920,244366,5944,5668
2020-10-31,198702,183835,41154,248913,5965,5673
2020-11-01,199823,186864,41382,253535,5981,5678
2020-11-02,200895,189875,41587,258233,5994,5682
2020-11-03,201709,192916,41801,263007,6020,5686
2020-11-04,202974,195999,42044,267857,6055,5690
2020-11-05,204300,199126,42336,272785,6085,5694
2020-11-06,206219,202289,42639,277792,6114,5698
2020-11-07,208049,205497,42944,282878,6144,5702
2020-11-08,209396,208726,43214,288045,6172,5705
2020-11-09,211053,212006,43458,293293,6187,5708
2020-11-10,212751,215341,43710,298624,6204,5711
2020-11-11,214721,218743,44011,304039,6220,5714
