date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2146,278,455,30,30
2020-04-14,1016,2170,313,590,34,31
2020-04-15,1062,2183,337,727,38,32
2020-04-16,1116,2190,363,865,42,33
2020-04-17,1202,2192,377,1003,47,34
2020-04-18,1287,2191,409,1141,50,35
2020-04-19,1370,2188,444,1279,57,36
2020-04-20,1382,2184,484,1417,63,37
2020-04-21,1477,2180,505,1555,68,38
2020-04-22,1588,2176,525,1692,73,39
2020-04-23,1726,2172,567,1829,77,40
2020-04-24,1832,2169,603,1966,85,41
2020-04-25,1904,2166,638,2103,93,42
2020-04-26,1991,2163,646,2240,100,43
2020-04-27,2082,2160,655,2376,104,44
2020-04-28,2224,2157,673,2512,107,45
2020-04-29,2385,2154,701,2648,113,46
2020-04-30,2524,2151,733,2784,122,47
2020-05-01,2663,2148,759,2920,130,48
2020-05-02,2773,2144,785,3055,140,49
2020-05-03,2914,2141,809,3190,148,50
2020-05-04,3022,2139,828,3325,156,51
2020-05-05,3112,2138,879,3460,162,52
2020-05-06,3181,2137,959,3595,167,53
2020-05-07,3257,2137,1054,3730,174,54
2020-05-08,3338,2139,1129,3865,181,55
2020-05-09,3387,2143,1194,4000,190,56
2020-05-10,3457,2150,1247,4135,199,57
2020-05-11,3555,2159,1284,4271,209,58
2020-05-12,3657,2171,1339,4407,219,59
2020-05-13,3713,2185,1416,4544,230,60
2020-05-14,3759,2201,1508,4682,242,61
2020-05-15,3832,2220,1587,4821,251,62
2020-05-16,3894,2244,1662,4961,259,63
2020-05-17,3975,2270,1721,5102,264,64
2020-05-18,4042,2289,1763,5245,270,65
2020-05-19,4114,2306,1811,5389,276,66
2020-05-20,4156,2322,1887,5534,284,67
2020-05-21,4207,2339,1969,5680,295,68
2020-05-22,4210,2359,2058,5827,306,69
2020-05-23,4235,2382,2182,5976,314,70
2020-05-24,4223,2405,2323,6126,318,71
2020-05-25,4266,2410,2447,6278,320,72
2020-05-26,4296,2413,2516,6430,324,73
2020-05-27,4345,2415,2574,6582,329,74
2020-05-28,4405,2416,2628,6734,336,75
2020-05-29,4467,2417,2683,6886,343,76
2020-05-30,4503,2419,2749,7038,350,77
2020-05-31,4543,2421,2805,7190,356,78
2020-06-01,4618,2428,2858,7343,361,79
2020-06-02,4720,2437,2900,7496,368,80
2020-06-03,4844,2447,2953,7650,375,81
2020-06-04,4978,2458,3029,7804,381,82
2020-06-05,5110,2470,3111,7959,387,83
