date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7008,600,1370,148,196
2020-04-14,5246,6911,731,2005,166,227
2020-04-15,5530,6775,808,2632,185,257
2020-04-16,5812,6673,937,3246,211,287
2020-04-17,6149,6615,1096,3851,232,316
2020-04-18,6572,6595,1201,4451,255,345
2020-04-19,6977,6606,1273,5049,278,374
2020-04-20,7418,6641,1336,5648,300,403
2020-04-21,7891,6694,1413,6250,324,432
2020-04-22,8456,6761,1494,6857,348,461
2020-04-23,8997,6839,1578,7470,377,490
2020-04-24,9593,6926,1652,8090,407,519
2020-04-25,10144,7020,1734,8718,432,548
2020-04-26,10719,7121,1791,9354,448,577
2020-04-27,11291,7228,1857,10000,467,606
2020-04-28,11855,7339,1933,10655,491,636
2020-04-29,12507,7454,2020,11320,522,666
2020-04-30,13238,7573,2114,11996,551,696
2020-05-01,14042,7695,2204,12683,583,726
2020-05-02,14816,7820,2335,13381,619,756
2020-05-03,15529,7949,2452,14090,653,786
2020-05-04,16191,8082,2588,14811,695,817
2020-05-05,16574,8218,2697,15544,731,848
2020-05-06,17145,8358,2790,16289,759,879
2020-05-07,17724,8502,2882,17047,783,910
2020-05-08,18585,8649,2982,17818,802,941
2020-05-09,19273,8799,3107,18602,826,972
2020-05-10,20078,8953,3199,19400,838,1003
2020-05-11,20832,9112,3291,20212,860,1034
2020-05-12,21573,9275,3409,21038,890,1065
2020-05-13,22317,9442,3544,21879,925,1096
2020-05-14,23110,9614,3679,22735,954,1127
2020-05-15,23946,9789,3797,23607,979,1158
2020-05-16,24682,9968,3902,24494,997,1189
2020-05-17,25391,10151,4003,25398,1009,1220
2020-05-18,26079,10338,4123,26318,1022,1251
2020-05-19,26720,10528,4300,27255,1044,1282
2020-05-20,27467,10722,4524,28209,1072,1313
2020-05-21,28141,10921,4754,29181,1103,1344
2020-05-22,28885,11125,4929,30171,1131,1374
2020-05-23,29455,11335,5037,31180,1155,1404
2020-05-24,30296,11551,5098,32208,1179,1434
2020-05-25,31408,11765,5158,33255,1205,1464
2020-05-26,32619,11979,5246,34322,1241,1494
2020-05-27,33690,12196,5355,35408,1285,1524
2020-05-28,34574,12416,5495,36514,1325,1553
2020-05-29,35539,12640,5621,37640,1355,1582
2020-05-30,36463,12869,5753,38786,1367,1611
2020-05-31,37322,13102,5837,39953,1379,1640
2020-06-01,38097,13340,5926,41141,1391,1668
2020-06-02,38746,13583,6025,42350,1409,1696
2020-06-03,39421,13830,6153,43581,1426,1724
2020-06-04,40042,14083,6280,44835,1442,1751
2020-06-05,40790,14340,6352,46112,1453,1778
2020-06-06,41637,14605,6437,47412,1462,1805
2020-06-07,42481,14878,6492,48736,1470,1831
2020-06-08,43152,15156,6590,50085,1481,1857
2020-06-09,43541,15440,6686,51459,1495,1882
2020-06-10,43878,15729,6799,52859,1510,1907
2020-06-11,44249,16025,6907,54285,1522,1932
2020-06-12,44702,16327,7009,55738,1531,1956
2020-06-13,45219,16635,7103,57218,1540,1980
2020-06-14,45695,16952,7179,58726,1546,2003
2020-06-15,46102,17278,7249,60263,1556,2026
2020-06-16,46429,17610,7333,61829,1568,2049
2020-06-17,46781,17954,7421,63425,1579,2071
2020-06-18,47183,18304,7495,65053,1590,2093
2020-06-19,47672,18662,7554,66712,1598,2114
2020-06-20,48199,19029,7605,68404,1606,2135
2020-06-21,48717,19408,7638,70129,1612,2156
2020-06-22,49181,19799,7678,71888,1625,2176
2020-06-23,49632,20197,7717,73683,1642,2196
2020-06-24,50055,20605,7769,75514,1660,2215
2020-06-25,50515,21021,7817,77382,1678,2234
2020-06-26,51004,21444,7884,79288,1699,2252
2020-06-27,51519,21879,7947,81232,1718,2270
2020-06-28,51994,22327,7998,83215,1732,2288
2020-06-29,52456,22792,8036,85239,1745,2305
2020-06-30,52885,23266,8078,87305,1763,2322
2020-07-01,53218,23746,8235,89414,1788,2338
2020-07-02,53516,24238,8446,91567,1815,2354
2020-07-03,53927,24750,8649,93764,1836,2369
2020-07-04,54485,25287,8745,96008,1853,2384
2020-07-05,55010,25835,8778,98300,1865,2399
2020-07-06,55485,26358,8835,100642,1876,2413
