date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2133,278,455,30,30
2020-04-14,1016,2155,313,589,34,31
2020-04-15,1062,2166,337,725,38,32
2020-04-16,1116,2169,363,862,42,33
2020-04-17,1202,2167,377,999,47,34
2020-04-18,1287,2162,409,1136,50,35
2020-04-19,1370,2156,444,1272,57,36
2020-04-20,1382,2148,484,1408,63,37
2020-04-21,1477,2141,505,1543,68,38
2020-04-22,1588,2133,525,1678,73,39
2020-04-23,1726,2125,567,1812,77,40
2020-04-24,1832,2117,603,1946,85,41
2020-04-25,1904,2111,638,2079,93,42
2020-04-26,1991,2104,646,2212,100,43
2020-04-27,2082,2098,655,2345,104,44
2020-04-28,2224,2093,673,2477,107,45
2020-04-29,2385,2089,701,2609,113,46
2020-04-30,2524,2086,733,2741,122,47
2020-05-01,2663,2085,759,2873,130,48
2020-05-02,2773,2084,785,3004,140,49
2020-05-03,2914,2084,809,3135,148,50
2020-05-04,3022,2083,828,3266,156,51
2020-05-05,3112,2084,879,3397,162,52
2020-05-06,3181,2085,959,3528,167,53
2020-05-07,3257,2087,1054,3659,174,54
2020-05-08,3338,2091,1129,3791,181,55
2020-05-09,3387,2096,1194,3923,190,56
2020-05-10,3457,2104,1247,4055,199,57
2020-05-11,3555,2110,1284,4188,209,58
2020-05-12,3657,2118,1339,4321,219,59
2020-05-13,3713,2127,1416,4455,230,60
2020-05-14,3759,2137,1508,4589,242,61
2020-05-15,3832,2149,1587,4724,251,62
2020-05-16,3894,2164,1662,4859,259,63
2020-05-17,3975,2179,1721,4995,264,64
2020-05-18,4042,2193,1763,5132,270,65
2020-05-19,4114,2208,1811,5270,276,66
2020-05-20,4156,2224,1887,5409,284,67
2020-05-21,4207,2242,1969,5549,295,68
2020-05-22,4210,2263,2058,5690,306,69
2020-05-23,4235,2288,2182,5833,314,70
2020-05-24,4223,2316,2323,5977,318,71
2020-05-25,4266,2342,2447,6123,320,72
2020-05-26,4296,2374,2516,6271,324,73
2020-05-27,4345,2414,2574,6421,329,74
2020-05-28,4405,2456,2628,6573,336,75
2020-05-29,4467,2502,2683,6728,343,76
2020-05-30,4503,2554,2749,6886,350,77
2020-05-31,4543,2614,2805,7047,356,78
2020-06-01,4618,2673,2858,7212,361,79
2020-06-02,4720,2732,2900,7381,368,80
2020-06-03,4844,2787,2953,7553,375,81
2020-06-04,4978,2840,3029,7729,381,82
2020-06-05,5110,2895,3111,7908,387,83
2020-06-06,5211,2954,3202,8091,391,84
2020-06-07,5272,3016,3266,8277,396,85
2020-06-08,5311,3078,3324,8467,400,86
2020-06-09,5273,3142,3462,8661,404,87
2020-06-10,5199,3203,3628,8859,413,88
2020-06-11,5115,3259,3844,9061,422,89
