date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4308,207,254,122,136
2020-04-14,3401,4391,294,295,131,147
2020-04-15,3498,4475,364,337,141,158
2020-04-16,3547,4563,537,381,153,169
2020-04-17,3584,4655,740,427,166,181
2020-04-18,3627,4751,918,475,177,193
2020-04-19,3657,4850,1066,526,185,205
2020-04-20,3735,4951,1156,579,194,218
2020-04-21,3809,5057,1246,634,210,231
2020-04-22,4001,5167,1270,692,229,244
2020-04-23,4229,5280,1286,752,248,258
2020-04-24,4459,5397,1313,815,262,272
2020-04-25,4666,5517,1347,880,275,287
2020-04-26,4848,5639,1382,948,285,302
2020-04-27,5024,5763,1417,1019,297,318
2020-04-28,5212,5890,1447,1093,304,334
2020-04-29,5487,6020,1474,1170,312,351
2020-04-30,5787,6153,1500,1251,324,368
2020-05-01,6124,6290,1530,1335,342,385
2020-05-02,6399,6428,1563,1422,362,403
2020-05-03,6666,6569,1598,1513,378,421
2020-05-04,6934,6713,1633,1607,389,440
2020-05-05,7242,6860,1665,1705,405,459
2020-05-06,7534,7010,1695,1807,423,479
2020-05-07,7875,7163,1720,1913,464,499
2020-05-08,7927,7319,2051,2023,499,520
2020-05-09,7938,7479,2402,2137,528,542
2020-05-10,7848,7641,2770,2255,536,564
2020-05-11,8021,7806,2845,2378,546,587
2020-05-12,8299,7974,2913,2505,566,610
2020-05-13,8628,8145,2987,2637,593,634
2020-05-14,8997,8320,3066,2773,623,658
2020-05-15,9326,8499,3192,2914,651,683
2020-05-16,9606,8681,3317,3060,670,708
2020-05-17,9798,8866,3459,3211,682,734
2020-05-18,9982,9054,3571,3367,690,760
2020-05-19,10172,9245,3678,3528,713,787
2020-05-20,10426,9440,3779,3695,738,814
2020-05-21,10666,9639,3864,3867,762,842
2020-05-22,10943,9842,3951,4044,781,871
2020-05-23,11185,10049,4038,4227,795,900
2020-05-24,11406,10259,4123,4416,806,930
2020-05-25,11586,10474,4211,4611,808,960
2020-05-26,11815,10691,4287,4812,817,991
2020-05-27,12149,10910,4370,5019,834,1022
2020-05-28,12575,11133,4454,5232,860,1054
2020-05-29,13099,11357,4553,5451,883,1086
2020-05-30,13667,11583,4656,5677,899,1119
2020-05-31,14103,11812,4762,5909,909,1152
2020-06-01,14656,12039,4865,6148,922,1186
2020-06-02,15331,12267,4970,6393,948,1220
2020-06-03,16122,12495,5071,6645,975,1255
2020-06-04,17046,12728,5182,6903,999,1290
2020-06-05,17950,12964,5289,7168,1019,1326
2020-06-06,19186,13202,5404,7439,1036,1362
2020-06-07,20139,13442,5518,7717,1049,1398
2020-06-08,20954,13681,5640,8002,1060,1435
2020-06-09,21781,13925,5751,8294,1076,1472
2020-06-10,22798,14175,5903,8593,1104,1510
2020-06-11,24205,14426,6051,8899,1130,1548
2020-06-12,25658,14681,6170,9212,1160,1586
2020-06-13,27040,14942,6250,9533,1178,1625
2020-06-14,28208,15208,6334,9861,1194,1664
2020-06-15,29574,15479,6464,10196,1207,1703
2020-06-16,31171,15753,6591,10539,1226,1743
2020-06-17,33211,16032,6725,10890,1253,1783
2020-06-18,35615,16319,6865,11249,1284,1823
2020-06-19,38486,16614,7025,11616,1316,1863
2020-06-20,41338,16918,7200,11991,1338,1904
2020-06-21,43703,17228,7388,12374,1348,1945
2020-06-22,46253,17544,7571,12766,1365,1986
2020-06-23,48564,17865,7754,13166,1404,2027
2020-06-24,51224,18189,7940,13575,1452,2069
2020-06-25,53723,18521,8154,13993,1499,2111
2020-06-26,56756,18862,8395,14420,1537,2153
2020-06-27,60006,19206,8658,14856,1570,2195
2020-06-28,62352,19558,8921,15302,1590,2237
2020-06-29,65113,19918,9172,15757,1612,2280
2020-06-30,68201,20286,9435,16222,1656,2323
2020-07-01,72127,20656,9754,16697,1711,2366
2020-07-02,75935,21037,10110,17182,1762,2409
2020-07-03,78995,21429,10506,17677,1793,2452
2020-07-04,82120,21836,10914,18183,1813,2495
2020-07-05,84852,22246,11366,18700,1823,2538
2020-07-06,87871,22646,11819,19228,1860,2581
2020-07-07,90849,23049,12299,19766,1906,2624
2020-07-08,94016,23454,12801,20315,1976,2667
2020-07-09,97366,23863,13332,20875,2027,2710
2020-07-10,100545,24275,13862,21446,2090,2753
2020-07-11,103249,24688,14358,22028,2156,2796
2020-07-12,105037,25106,14825,22621,2211,2839
2020-07-13,107270,25543,15253,23225,2273,2882
2020-07-14,109724,25987,15695,23840,2339,2925
2020-07-15,112761,26440,16172,24467,2421,2968
2020-07-16,115653,26900,16674,25106,2503,3011
2020-07-17,118356,27367,17176,25757,2601,3054
2020-07-18,120782,27845,17664,26420,2691,3096
2020-07-19,122490,28333,18109,27096,2758,3138
2020-07-20,124499,28836,18510,27785,2821,3180
2020-07-21,126375,29350,18891,28487,2892,3222
2020-07-22,128463,29875,19297,29202,2985,3264
2020-07-23,130491,30410,19733,29931,3060,3306
2020-07-24,133106,30951,20158,30674,3164,3347
2020-07-25,135637,31516,20571,31431,3244,3388
2020-07-26,137707,32094,20955,32203,3298,3429
2020-07-27,139278,32657,21308,32990,3339,3470
2020-07-28,140976,33226,21647,33791,3388,3510
2020-07-29,142847,33802,21992,34607,3496,3550
2020-07-30,145081,34390,22355,35438,3591,3590
2020-07-31,147535,34989,22712,36284,3689,3629
2020-08-01,149695,35599,23063,37146,3735,3668
2020-08-02,151166,36216,23393,38023,3763,3707
2020-08-03,152007,36861,23686,38916,3796,3745
2020-08-04,152927,37525,23956,39826,3852,3783
2020-08-05,153963,38198,24232,40753,3926,3821
2020-08-06,155110,38883,24522,41697,4005,3858
2020-08-07,156029,39587,24836,42659,4073,3895
2020-08-08,156737,40307,25168,43639,4122,3932
2020-08-09,157192,41044,25512,44637,4147,3968
2020-08-10,157735,41829,25825,45654,4167,4004
2020-08-11,158212,42640,26122,46691,4233,4040
2020-08-12,158931,43476,26418,47749,4309,4075
2020-08-13,159541,44353,26727,48828,4384,4110
2020-08-14,160257,45249,27034,49930,4432,4144
2020-08-15,160844,46178,27316,51054,4477,4178
2020-08-16,161313,47122,27573,52202,4512,4212
2020-08-17,161826,48024,27803,53374,4525,4245
2020-08-18,162243,48927,28020,54569,4564,4278
2020-08-19,162727,49839,28243,55787,4615,4311
2020-08-20,163099,50759,28478,57028,4668,4343
2020-08-21,163604,51689,28711,58293,4709,4375
2020-08-22,163955,52627,28936,59581,4741,4406
2020-08-23,164221,53575,29140,60893,4776,4437
2020-08-24,164470,54556,29338,62229,4788,4467
2020-08-25,164689,55549,29533,63590,4826,4497
2020-08-26,165018,56556,29733,64976,4872,4526
2020-08-27,165219,57581,29932,66388,4934,4555
2020-08-28,165592,58617,30131,67826,4971,4583
2020-08-29,165866,59667,30331,69290,5005,4611
2020-08-30,166055,60732,30517,70781,5022,4638
2020-08-31,166225,61819,30687,72299,5034,4665
2020-09-01,166452,62916,30848,73844,5046,4691
2020-09-02,166952,64020,31021,75417,5079,4717
2020-09-03,167507,65152,31202,77018,5122,4742
2020-09-04,168171,66314,31377,78648,5169,4767
2020-09-05,168571,67504,31551,80307,5199,4791
2020-09-06,168823,68705,31711,81996,5215,4815
2020-09-07,168842,69914,31863,83716,5220,4838
2020-09-08,168947,71133,32006,85466,5230,4861
2020-09-09,169127,72370,32154,87247,5248,4883
2020-09-10,169441,73634,32311,89059,5270,4905
2020-09-11,169789,74916,32470,90903,5292,4927
2020-09-12,170103,76228,32639,92780,5312,4948
2020-09-13,170319,77566,32806,94690,5330,4969
2020-09-14,170513,78909,32962,96634,5340,4989
2020-09-15,170821,80275,33106,98612,5353,5009
2020-09-16,171642,81666,33242,100624,5374,5028
2020-09-17,172708,83084,33385,102671,5410,5047
2020-09-18,173750,84523,33525,104754,5442,5065
