date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7788,2287,2824,344,358
2020-04-14,8080,8038,2666,3185,377,372
2020-04-15,8262,8315,3135,3563,412,387
2020-04-16,8330,8603,3672,3960,450,402
2020-04-17,8292,8902,4224,4377,482,418
2020-04-18,8130,9208,4776,4815,509,435
2020-04-19,8122,9520,5282,5275,530,452
2020-04-20,8160,9832,5842,5757,554,470
2020-04-21,8258,10137,6511,6262,578,488
2020-04-22,8245,10450,7284,6790,612,507
2020-04-23,8141,10775,8174,7342,641,526
2020-04-24,7995,11108,9055,7919,668,546
2020-04-25,7656,11448,9968,8521,685,567
2020-04-26,7752,11794,10639,9150,703,588
2020-04-27,7958,12140,11239,9806,732,610
2020-04-28,8255,12472,12090,10490,767,632
2020-04-29,8332,12803,13074,11202,811,655
2020-04-30,8801,13136,13852,11941,849,679
2020-05-01,9260,13474,14378,12709,897,703
2020-05-02,9533,13817,14852,13506,937,728
2020-05-03,9512,14151,15508,14333,974,753
2020-05-04,9599,14486,16141,15190,996,779
2020-05-05,9927,14808,16834,16077,1019,806
2020-05-06,10325,15127,17617,16994,1044,833
2020-05-07,10878,15448,18419,17941,1075,861
2020-05-08,11514,15773,19259,18918,1109,889
2020-05-09,11779,16107,20120,19926,1145,918
2020-05-10,11588,16458,21259,20966,1177,947
2020-05-11,11393,16818,22385,22039,1209,977
2020-05-12,11609,17152,23218,23147,1237,1008
2020-05-13,11957,17472,23841,24288,1278,1039
2020-05-14,12018,17782,24486,25461,1323,1071
2020-05-15,11988,18089,25514,26666,1373,1103
2020-05-16,11935,18399,26541,27903,1409,1136
2020-05-17,12079,18725,27514,29173,1434,1169
2020-05-18,12178,19057,28433,30477,1458,1203
2020-05-19,12294,19374,29504,31815,1487,1237
2020-05-20,12416,19686,30454,33187,1520,1272
2020-05-21,12735,20002,31076,34593,1545,1307
2020-05-22,12935,20327,31574,36033,1561,1343
2020-05-23,12820,20674,32295,37508,1583,1379
2020-05-24,12014,21069,33651,39020,1605,1416
2020-05-25,11470,21675,35017,40573,1627,1454
2020-05-26,10963,22727,36431,42182,1647,1493
2020-05-27,10814,23840,37635,43882,1670,1533
2020-05-28,10229,24954,39258,45678,1694,1575
2020-05-29,9654,26101,40857,47571,1720,1619
2020-05-30,9284,27326,42030,49564,1743,1665
2020-05-31,9446,28701,42728,51665,1765,1713
2020-06-01,9881,30034,43426,53886,1784,1763
2020-06-02,10034,30988,44571,56225,1808,1816
2020-06-03,12386,31830,45724,58654,1841,1870
2020-06-04,15230,32630,46840,61164,1871,1926
2020-06-05,18192,33425,47853,63752,1900,1983
2020-06-06,18448,34271,49069,66419,1921,2041
2020-06-07,18293,35237,50161,69169,1937,2100
2020-06-08,19431,36194,50909,72013,1950,2161
2020-06-09,21554,36826,51576,74950,1970,2223
2020-06-10,23433,37341,52561,77954,1996,2286
2020-06-11,24473,37803,53934,81016,2024,2350
2020-06-12,24905,38249,55296,84131,2050,2415
2020-06-13,25162,38744,56711,87299,2072,2480
2020-06-14,26077,39365,57988,90523,2092,2546
2020-06-15,27826,39994,59370,93815,2122,2613
2020-06-16,30514,40279,60712,97175,2159,2681
2020-06-17,32561,40424,62287,100574,2198,2749
2020-06-18,34594,40494,63836,104000,2231,2817
2020-06-19,36556,40543,65412,107447,2262,2885
2020-06-20,38432,40598,66974,110912,2286,2953
2020-06-21,40494,40697,68261,114396,2309,3021
2020-06-22,43446,40825,69467,117903,2330,3089
2020-06-23,47218,40872,70934,121434,2360,3157
2020-06-24,50962,40864,72702,124983,2398,3224
2020-06-25,55537,40827,74558,128544,2440,3291
2020-06-26,59940,40790,76342,132115,2482,3358
2020-06-27,64531,40773,78168,135695,2518,3425
2020-06-28,69048,40804,79852,139286,2550,3491
2020-06-29,73816,40844,82042,142892,2578,3557
2020-06-30,78855,40771,84569,146513,2616,3623
2020-07-01,82345,40646,87698,150139,2662,3689
2020-07-02,85823,40495,90616,153765,2715,3754
2020-07-03,87947,40344,93907,157388,2762,3819
2020-07-04,90608,40230,97281,161008,2805,3883
2020-07-05,93564,40171,100685,164629,2847,3947
2020-07-06,97541,40345,104370,168254,2910,4011
2020-07-07,102141,41009,108517,171905,2989,4075
2020-07-08,106832,41638,113365,175626,3100,4139
2020-07-09,112219,42207,118202,179414,3197,4204
2020-07-10,116554,42781,123067,183263,3293,4270
2020-07-11,119727,43456,127838,187174,3371,4336
2020-07-12,123368,44361,132312,191156,3454,4403
2020-07-13,127112,45419,137151,195230,3540,4471
2020-07-14,131254,46331,142697,199411,3646,4541
2020-07-15,133639,47105,149203,203685,3779,4612
2020-07-16,134936,47813,155801,208040,3936,4684
2020-07-17,136278,48563,162569,212470,4088,4756
2020-07-18,137912,49473,168236,216978,4210,4829
2020-07-19,141193,50680,173462,221580,4319,4903
2020-07-20,143895,52083,179112,226303,4416,4979
2020-07-21,145877,53177,186571,231166,4576,5056
2020-07-22,146488,54049,195223,236140,4750,5135
2020-07-23,146735,54821,203785,241205,4960,5215
2020-07-24,145599,55609,212517,246351,5137,5295
2020-07-25,140625,56532,223501,251580,5304,5376
2020-07-26,136375,57815,234245,256904,5636,5458
2020-07-27,136725,59302,241892,262358,5988,5542
2020-07-28,140705,60525,246748,267961,6370,5627
2020-07-29,143721,61548,252112,273688,6609,5714
2020-07-30,142056,62443,261693,279520,6829,5802
2020-07-31,136306,63364,274582,285445,7057,5890
2020-08-01,129836,64487,286875,291466,7208,5979
2020-08-02,126325,65999,294952,297602,7370,6069
2020-08-03,129802,67698,300368,303890,7522,6161
2020-08-04,134084,69007,306445,310348,7784,6255
2020-08-05,137044,70078,315239,316939,8273,6350
2020-08-06,137115,71074,323708,323641,8777,6446
2020-08-07,140088,72133,331271,330446,9226,6543
2020-08-08,144633,73348,338285,337360,9421,6641
2020-08-09,151739,74977,344340,344398,9553,6740
2020-08-10,157236,77012,350996,351601,9615,6841
2020-08-11,160832,78891,358499,359007,9747,6944
2020-08-12,161276,80449,367142,366601,9926,7049
2020-08-13,163021,81887,375610,374353,10206,7155
2020-08-14,164679,83404,384247,382251,10449,7263
2020-08-15,165766,85170,392185,390303,10659,7372
2020-08-16,164908,87460,399551,398533,10786,7483
2020-08-17,163804,89998,407097,406992,10916,7596
2020-08-18,163485,91984,415468,415704,11089,7712
2020-08-19,161742,93566,424182,424616,11325,7830
2020-08-20,159929,94988,431823,433688,11572,7949
2020-08-21,157392,96439,438938,442905,11785,8069
2020-08-22,154846,98013,445543,452270,11955,8190
2020-08-23,152097,99812,451662,461795,12066,8312
2020-08-24,149694,101680,458502,471502,12181,8436
2020-08-25,147833,103238,465384,481398,12322,8562
2020-08-26,147193,104466,472574,491453,12511,8689
2020-08-27,147110,105612,478684,501634,12699,8816
2020-08-28,146022,106764,485517,511934,12872,8944
2020-08-29,142678,107934,492439,522353,12998,9073
2020-08-30,138409,109215,499979,532892,13081,9202
2020-08-31,134261,110520,507292,543563,13165,9332
2020-09-01,130620,111455,514815,554367,13288,9463
2020-09-02,127790,112067,521435,565269,13458,9594
2020-09-03,125749,112371,527223,576237,13627,9725
2020-09-04,124167,112649,532621,587241,13778,9855
2020-09-05,120071,113146,539638,598278,13892,9985
2020-09-06,115375,114110,546700,609369,13981,10114
2020-09-07,112870,115356,551742,620560,14057,10244
2020-09-08,112549,116364,555237,631879,14149,10374
2020-09-09,113224,116937,558805,643302,14231,10504
2020-09-10,110427,117004,565319,654786,14370,10634
2020-09-11,108811,116895,571631,666282,14503,10763
2020-09-12,109179,116749,577551,677772,14656,10891
2020-09-13,111676,116694,581872,689252,14733,11018
2020-09-14,114854,116641,584565,700732,14821,11144
2020-09-15,115781,116444,587553,712211,14929,11269
2020-09-16,116527,116127,590522,723675,15050,11393
2020-09-17,115902,115723,595438,735112,15161,11516
2020-09-18,115557,115369,600333,746513,15258,11638
2020-09-19,117246,115117,605131,757883,15337,11759
2020-09-20,119364,115030,608862,769232,15397,11879
2020-09-21,122064,115066,611654,780577,15461,11998
2020-09-22,123009,114896,614602,791929,15553,12116
2020-09-23,117572,114640,624706,803267,15677,12233
2020-09-24,111438,114394,635455,814584,15799,12349
2020-09-25,104627,114263,645964,825880,15914,12463
2020-09-26,103401,114345,649366,837166,15996,12576
2020-09-27,102879,114725,653121,848463,16065,12689
2020-09-28,103183,115866,656940,859801,16122,12801
2020-09-29,103840,118956,661109,871255,16202,12913
2020-09-30,104051,122195,664812,883017,16300,13028
2020-10-01,104017,125710,668514,895102,16424,13145
2020-10-02,103763,129442,672634,907538,16535,13264
2020-10-03,102768,133314,676490,920346,16623,13386
2020-10-04,101612,137055,680342,933540,16700,13510
2020-10-05,101486,140585,683686,947108,16784,13637
2020-10-06,101447,143210,687700,961028,16892,13766
2020-10-07,101375,145165,691531,975211,16998,13897
2020-10-08,100610,146794,695266,989590,17099,14028
2020-10-09,100569,148211,698419,1004134,17187,14160
2020-10-10,100445,149306,701242,1018821,17250,14292
2020-10-11,101437,150088,703478,1033619,17296,14424
2020-10-12,102669,150387,705733,1048497,17350,14555
2020-10-13,104607,149285,708325,1063408,17427,14686
2020-10-14,105306,147736,711934,1078212,17526,14815
2020-10-15,106516,145936,715643,1092865,17620,14941
2020-10-16,106657,144088,719565,1107342,17704,15065
2020-10-17,108254,142269,722971,1121638,17759,15186
2020-10-18,109476,140552,726399,1135755,17793,15304
2020-10-19,111813,138880,729917,1149704,17827,15420
2020-10-20,112565,136923,734220,1163489,17890,15534
2020-10-21,112778,134859,739060,1177082,17958,15645
2020-10-22,113525,132768,743891,1190472,18040,15753
2020-10-23,113943,130715,748715,1203656,18136,15859
2020-10-24,114728,128724,752319,1216637,18235,15962
2020-10-25,115212,126838,755632,1229422,18310,16063
2020-10-26,116875,125005,758798,1242022,18359,16162
2020-10-27,121197,123013,763068,1254441,18428,16258
2020-10-28,125593,120986,767787,1266663,18521,16352
2020-10-29,129973,118932,772278,1278685,18630,16443
2020-10-30,130585,116893,777925,1290505,18737,16532
2020-10-31,130566,114896,783036,1302123,18823,16619
2020-11-01,132070,112971,786738,1313544,18931,16704
2020-11-02,134599,111096,789218,1324775,19041,16786
2020-11-03,137610,109206,792519,1335820,19167,16866
2020-11-04,139922,107333,797494,1346678,19286,16944
2020-11-05,142784,105483,802401,1357351,19402,17020
2020-11-06,144855,103675,806983,1367841,19518,17094
2020-11-07,146003,101914,812851,1378152,19600,17166
2020-11-08,149549,100236,817233,1388289,19670,17236
2020-11-09,153719,99146,822162,1398260,19753,17304
2020-11-10,159057,100299,826024,1408123,19866,17371
2020-11-11,161663,101858,832288,1418102,20051,17438
2020-11-12,163183,103622,840466,1428236,20185,17506
2020-11-13,160916,105752,850267,1438547,20328,17574
2020-11-14,157622,108560,861212,1449070,20400,17643
2020-11-15,155566,111925,869503,1459874,20489,17713
2020-11-16,157100,115250,876842,1471013,20562,17784
2020-11-17,161399,117428,882614,1482484,20674,17857
2020-11-18,167419,118858,889504,1494172,20840,17930
2020-11-19,174615,120053,895744,1506003,21034,18004
2020-11-20,181301,121287,902423,1517954,21221,18078
2020-11-21,186794,122759,908292,1530029,21369,18152
2020-11-22,194940,124822,913557,1542251,21469,18226
2020-11-23,203548,127155,919622,1554679,21578,18300
2020-11-24,212573,127809,926693,1567340,21710,18375
2020-11-25,215438,128041,935266,1580067,21887,18450
2020-11-26,220195,128161,941710,1592817,22023,18524
2020-11-27,227859,128198,946902,1605580,22141,18597
2020-11-28,239016,127977,950571,1618347,22219,18669
2020-11-29,247271,128024,955896,1631093,22312,18741
2020-11-30,252077,127840,964540,1643844,22417,18812
2020-12-01,253080,126739,977435,1656577,22601,18882
2020-12-02,254314,125206,990936,1669201,22823,18951
2020-12-03,255845,123517,1002997,1681673,23062,19018
2020-12-04,260762,121764,1012712,1693977,23268,19084
2020-12-05,265249,119973,1021904,1706107,23428,19148
2020-12-06,270231,118223,1030606,1718059,23539,19210
2020-12-07,273528,116480,1039979,1729837,23639,19271
2020-12-08,276466,114626,1050540,1741442,23803,19330
2020-12-09,278605,112799,1062464,1752863,24017,19388
2020-12-10,258016,111017,1098103,1764102,24252,19444
2020-12-11,237865,109298,1133296,1775164,24454,19499
2020-12-12,218491,107665,1167228,1786055,24615,19552
2020-12-13,225546,106121,1176660,1796783,24714,19604
2020-12-14,232972,104671,1188467,1807358,24819,19655
2020-12-15,235261,103192,1206634,1817789,24987,19704
2020-12-16,234915,101720,1226538,1828073,25219,19752
2020-12-17,239265,100301,1240518,1838210,25502,19799
2020-12-18,245120,98950,1250554,1848206,25762,19845
2020-12-19,252722,97748,1258445,1858068,25981,19890
