date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7012,600,1370,148,196
2020-04-14,5246,6918,731,2006,166,227
2020-04-15,5530,6785,808,2633,185,257
2020-04-16,5812,6686,937,3248,211,287
2020-04-17,6149,6631,1096,3854,232,316
2020-04-18,6572,6615,1201,4455,255,345
2020-04-19,6977,6630,1273,5055,278,374
2020-04-20,7418,6669,1336,5656,300,403
2020-04-21,7891,6727,1413,6261,324,432
2020-04-22,8456,6800,1494,6871,348,461
2020-04-23,8997,6884,1578,7487,377,490
2020-04-24,9593,6976,1652,8111,407,519
2020-04-25,10144,7075,1734,8743,432,548
2020-04-26,10719,7181,1791,9384,448,578
2020-04-27,11291,7292,1857,10035,467,608
2020-04-28,11855,7408,1933,10696,491,638
2020-04-29,12507,7528,2020,11368,522,668
2020-04-30,13238,7651,2114,12050,551,698
2020-05-01,14042,7777,2204,12744,583,728
2020-05-02,14816,7907,2335,13449,619,759
2020-05-03,15529,8039,2452,14166,653,790
2020-05-04,16191,8175,2588,14895,695,821
2020-05-05,16574,8313,2697,15636,731,852
2020-05-06,17145,8454,2790,16390,759,883
2020-05-07,17724,8598,2882,17156,783,914
2020-05-08,18585,8746,2982,17935,802,945
2020-05-09,19273,8896,3107,18728,826,976
2020-05-10,20078,9051,3199,19534,838,1007
2020-05-11,20832,9209,3291,20355,860,1038
2020-05-12,21573,9371,3409,21190,890,1069
2020-05-13,22317,9536,3544,22040,925,1100
2020-05-14,23110,9706,3679,22904,954,1131
2020-05-15,23946,9879,3797,23784,979,1162
2020-05-16,24682,10055,3902,24680,997,1193
2020-05-17,25391,10235,4003,25592,1009,1224
2020-05-18,26079,10419,4123,26520,1022,1255
2020-05-19,26720,10605,4300,27465,1044,1286
2020-05-20,27467,10794,4524,28426,1072,1317
2020-05-21,28141,10988,4754,29405,1103,1348
2020-05-22,28885,11187,4929,30401,1131,1379
2020-05-23,29455,11392,5037,31415,1155,1409
2020-05-24,30296,11603,5098,32448,1179,1439
2020-05-25,31408,11820,5158,33500,1205,1469
2020-05-26,32619,12043,5246,34572,1241,1499
2020-05-27,33690,12272,5355,35664,1285,1529
2020-05-28,34574,12505,5495,36776,1325,1559
2020-05-29,35539,12743,5621,37910,1355,1588
2020-05-30,36463,12988,5753,39065,1367,1617
2020-05-31,37322,13238,5837,40242,1379,1646
2020-06-01,38097,13493,5926,41442,1391,1675
2020-06-02,38746,13752,6025,42665,1409,1703
2020-06-03,39421,14015,6153,43912,1426,1731
2020-06-04,40042,14285,6280,45183,1442,1759
2020-06-05,40790,14559,6352,46478,1453,1786
2020-06-06,41637,14842,6437,47798,1462,1813
2020-06-07,42481,15135,6492,49143,1470,1840
2020-06-08,43152,15431,6590,50515,1481,1866
2020-06-09,43541,15730,6686,51914,1495,1892
2020-06-10,43878,16033,6799,53340,1510,1918
2020-06-11,44249,16342,6907,54793,1522,1943
2020-06-12,44702,16655,7009,56274,1531,1968
2020-06-13,45219,16973,7103,57784,1540,1992
2020-06-14,45695,17299,7179,59323,1546,2016
2020-06-15,46102,17630,7249,60891,1556,2040
2020-06-16,46429,17966,7333,62489,1568,2063
2020-06-17,46781,18311,7421,64118,1579,2086
2020-06-18,47183,18662,7495,65778,1590,2108
2020-06-19,47672,19019,7554,67470,1598,2130
2020-06-20,48199,19385,7605,69194,1606,2151
2020-06-21,48717,19760,7638,70951,1612,2172
2020-06-22,49181,20141,7678,72742,1625,2192
2020-06-23,49632,20526,7717,74568,1642,2212
2020-06-24,50055,20919,7769,76429,1660,2232
2020-06-25,50515,21318,7817,78325,1678,2251
2020-06-26,51004,21724,7884,80258,1699,2270
2020-06-27,51519,22139,7947,82227,1718,2288
2020-06-28,51994,22563,7998,84234,1732,2306
2020-06-29,52456,22981,8036,86279,1745,2323
2020-06-30,52885,23397,8078,88362,1763,2340
2020-07-01,53218,23814,8235,90483,1788,2356
2020-07-02,53516,24235,8446,92642,1815,2372
2020-07-03,53927,24662,8649,94839,1836,2387
2020-07-04,54485,25096,8745,97075,1853,2402
2020-07-05,55010,25535,8778,99350,1865,2417
2020-07-06,55485,26017,8835,101665,1876,2431
2020-07-07,55939,26521,8911,104024,1889,2445
2020-07-08,56464,27041,8996,106428,1907,2458
2020-07-09,57077,27579,9088,108879,1933,2471
2020-07-10,57773,28130,9175,111379,1952,2483
2020-07-11,58576,28701,9256,113929,1962,2495
2020-07-12,59430,29280,9303,116531,1965,2507
2020-07-13,60261,29865,9354,119185,1970,2518
2020-07-14,61132,30460,9426,121892,1979,2529
2020-07-15,61944,31066,9531,124653,1992,2540
2020-07-16,62775,31684,9684,127469,2004,2550
2020-07-17,63563,32316,9834,130341,2015,2560
2020-07-18,64433,32962,9958,133271,2021,2569
2020-07-19,65332,33617,10033,136259,2027,2578
2020-07-20,66238,34277,10119,139306,2035,2587
2020-07-21,67112,34936,10224,142413,2043,2595
2020-07-22,67934,35598,10348,145580,2051,2603
2020-07-23,68812,36263,10462,148807,2057,2611
2020-07-24,69720,36934,10618,152094,2065,2619
2020-07-25,70688,37619,10752,155442,2073,2626
2020-07-26,71797,38316,10874,158852,2078,2633
2020-07-27,72668,39016,11124,162325,2085,2640
2020-07-28,73539,39728,11380,165862,2100,2646
2020-07-29,74201,40448,11642,169463,2120,2652
2020-07-30,75011,41178,11771,173130,2146,2658
2020-07-31,75798,41919,11890,176863,2176,2664
2020-08-01,76600,42677,12017,180663,2206,2669
2020-08-02,77543,43450,12123,184532,2230,2674
2020-08-03,78558,44227,12249,188471,2239,2679
2020-08-04,79494,45011,12387,192480,2254,2684
2020-08-05,80269,45804,12514,196560,2272,2688
2020-08-06,81343,46614,12627,200712,2296,2692
2020-08-07,82600,47435,12734,204938,2312,2696
2020-08-08,83901,48271,12830,209238,2321,2700
