t,R_mean,R_low,R_high
21,1.2982705603438685,1.2668168640748294,1.3301045990516256
22,1.321680068027035,1.2907987023627214,1.3529214107497656
23,1.3046135192958674,1.274619944532766,1.3349510484542098
24,1.280984487356879,1.2519196959904089,1.310378169045774
25,1.246536668058486,1.2185535578359399,1.2748330310293214
26,1.2002479054677953,1.173471174567302,1.227322502901469
27,1.1584683911752018,1.1327739265092351,1.1844470035887538
28,1.1276178280482168,1.1027765710318431,1.1527319211183409
29,1.1030237978413389,1.0788559905663364,1.1274555906482628
30,1.0807196420312601,1.0571057153417671,1.1045907863458684
31,1.0634811132382986,1.0402959414328619,1.0869182600792313
32,1.0533275521691101,1.030444722195337,1.0764581847705987
33,1.0451912306139672,1.0225507787276653,1.068076144077851
34,1.0343350216468314,1.0119352328004037,1.0569766134708614
35,1.0272718702180963,1.0050482165504202,1.0497351728898492
36,1.0379519485778552,1.0156953659678498,1.0604463948917957
37,1.0535855615380312,1.0312292329553367,1.0761783028577594
38,1.1186515472086773,1.0956723082764117,1.1418659488637535
39,1.1924673986134187,1.168812160700431,1.2163563300089568
40,1.2581079368154056,1.233934135372571,1.2825129845842491
41,1.2929199319094358,1.2686527093858642,1.317413866413839
42,1.311763442569461,1.287711913656701,1.3360344244031737
43,1.3195084483434765,1.2959090509411304,1.3433178379758652
44,1.3248392849930846,1.3017808277501006,1.348097363338132
45,1.3259435531763006,1.3034708261485841,1.348605687416993
46,1.3608328309510969,1.3386498711075816,1.3831955551397093
47,1.3719157349028794,1.3502113479677424,1.3937907821856286
48,1.3661445957206915,1.3450507748367075,1.3874002605136482
49,1.3530415503140196,1.332627701783813,1.3736084175644094
50,1.3441688383984602,1.3244096409064217,1.3640723160673476
51,1.3607810619113427,1.3414751178888504,1.3802230265020166
52,1.3752237449184261,1.3563580250389136,1.3942179586910108
53,1.3835660973235195,1.365157091801972,1.402096687956039
54,1.3743384117050048,1.3564970356624244,1.3922947386955717
55,1.3726641187093687,1.3553473998446677,1.3900892395383757
56,1.3740481531079416,1.3572371246223771,1.3909612225281027
57,1.3880873651173111,1.3716903962669325,1.4045804081812365
58,1.4102002803679,1.394153314162471,1.4263378006130873
59,1.4422687227541207,1.426510419682197,1.4581123903623667
60,1.4608176149696035,1.445431285859422,1.476284277044118
61,1.4527550028215321,1.4378951288274162,1.4676902109773833
62,1.436841775795358,1.4225594284646577,1.4511944760201554
63,1.400756160863881,1.3871459515645506,1.4144318956829378
64,1.3712782969771207,1.3582788536969495,1.3843387945550378
65,1.3348766306830901,1.3224757084380356,1.3473346242836362
66,1.3193102581852052,1.3073610362546355,1.3313130885871234
67,1.3043294152705396,1.2927841858052913,1.3159252591909303
68,1.276749172957929,1.2656251470250328,1.287921199327752
69,1.2657423315543432,1.2549395849627027,1.2765907355745096
70,1.2631757887925537,1.2526387937184098,1.2737563066334898
71,1.2754110708729645,1.2650604162016459,1.2858033150178985
72,1.2761138714823996,1.2659818289651361,1.2862857398118386
73,1.2587152483625121,1.2488653259625884,1.2686033277013107
74,1.241849011638462,1.2322775500617418,1.251456990434366
75,1.219776361019526,1.2104997287661763,1.2290879144121556
76,1.2010842273165379,1.1920758566179492,1.2101260394066005
77,1.18109714072225,1.172341100277888,1.1898853086357262
78,1.1613687913930175,1.152842253954572,1.1699263106155093
79,1.1422891347005895,1.13397074430985,1.1506375043491306
80,1.1170434985292934,1.1089394911482644,1.1251766024943382
81,1.0889107927051724,1.081016625198874,1.0968332827170533
82,1.0586856967999942,1.0509938684307516,1.0664051822818867
83,1.0370402848998606,1.029502866253229,1.0446048157587093
84,1.0268794023685495,1.01943585575017,1.0343496514601682
85,1.0252741293159071,1.0178743924917388,1.032700296123636
86,1.0281071134958764,1.0207198215551652,1.0355206735940465
87,1.0235775549848105,1.016220976822654,1.030960298631964
88,1.0125569064783013,1.0052534666651567,1.0198864161606656
89,1.0033921408515234,0.9961376098360585,1.010672628900918
90,0.9926981327801764,0.9854980631621858,0.9999240469034961
91,0.9770788901507018,0.9699462628968633,0.9842372860491243
92,0.9554102887732916,0.9483597882619998,0.9624865399992201
93,0.9367403561130677,0.9297530545782329,0.9437534538755925
94,0.9395969486062457,0.9325828920433745,0.9466369203736379
95,0.9435934581163631,0.9365360159121997,0.9506770261775214
96,0.9495368133675987,0.9424170826381789,0.9566829669790216
97,0.9450160288140066,0.9378688885238432,0.9521899240623496
98,0.9417806279676993,0.9346046082489182,0.948983712718274
99,0.937226709834005,0.9300324137609828,0.9444483419210435
100,0.9348328063764018,0.9276135990791904,0.9420796104461696
101,0.9387584642009668,0.9314867956197797,0.9460580153384324
102,0.9457920342445162,0.9384509332500635,0.9531613416904338
103,0.9569471137677946,0.9495173853332268,0.9644053970673154
104,0.9515060860882062,0.9440535227493583,0.9589875453581914
105,0.9425556864108813,0.935099854905114,0.95004071495817
106,0.9245830288880087,0.9171668032865512,0.9320287053209964
107,0.9101251822684153,0.902736545698985,0.9175435167578402
108,0.8960199681787392,0.8886516946460811,0.9034182426612288
109,0.8854636962286951,0.8780894873174432,0.8928683142644833
110,0.885351332126464,0.8779140715154716,0.8928195291354938
111,0.884221418833405,0.8767134067744536,0.8917610004037022
112,0.8862730217159487,0.878672526551196,0.8939057953909665
113,0.8889354955479289,0.8812364627990756,0.8966675513859377
114,0.8905053617738713,0.8827125640043884,0.898331933761811
115,0.8814327908543237,0.8735949285716139,0.8893051731981668
116,0.8706734212556634,0.8628007125545868,0.8785813906568277
117,0.8659076934960255,0.8579733825930145,0.8738780183507846
118,0.8720214431943547,0.8639702995413588,0.8801094105103862
119,0.8757946572241788,0.8676278091639154,0.8839992334416434
120,0.8776347179482796,0.8693532771502614,0.8859548738928558
121,0.8693826606668124,0.861033799770505,0.8777712464305792
122,0.8570144457560902,0.8486232899896897,0.8654463128241707
123,0.8469874985018827,0.8385465678724413,0.8554701161610943
124,0.850946559461517,0.8423818493821533,0.8595539905734235
125,0.8703555006813068,0.8615763891299038,0.8791784984227552
126,0.8900428631691516,0.8810338984204044,0.899097020781978
127,0.910130096713247,0.9008843767865352,0.9194223663455846
128,0.9223242601908976,0.9128923495204672,0.9318039754151376
129,0.9400326451899871,0.9304071580730484,0.9497069816706364
130,0.9570290910115149,0.9472351945201432,0.9668726628628873
131,0.9758019184690445,0.965846606519281,0.985807568473137
132,0.9895507309529163,0.97947251972718,0.9996798135451044
133,1.0029597142354136,0.9927742592136218,1.0131964336267216
134,1.0146373883876507,1.0043696179866322,1.0249566546055384
135,1.0282993027747178,1.0179548825958495,1.0386952945219352
136,1.0405126673765897,1.0301123235922998,1.0509645282952347
137,1.0466525726621272,1.0362381318435818,1.0571183661816217
138,1.0498609062930677,1.039457992733284,1.0603149013008695
139,1.0440301499869566,1.033693880692998,1.0544171297631313
140,1.0413205287766265,1.0310423227448,1.0516490068912945
141,1.0384625769653344,1.028244869583758,1.0487301023169837
142,1.0429587172620867,1.0327618651188073,1.0532049687972593
143,1.0463347918014754,1.0361592292703177,1.056559387670672
144,1.0536651808860062,1.0434889059502284,1.063890153229422
145,1.060268742761792,1.0500971607780987,1.070488672678615
146,1.0661520425074622,1.0559939127179268,1.0763581247778442
147,1.0737073363925476,1.063561583898252,1.0839005861243889
148,1.0898515646524847,1.0796848138013821,1.1000653002293395
149,1.1135628390248653,1.1033472850687838,1.1238248162142137
150,1.1309480011682373,1.1207216477720625,1.1412201578730705
151,1.1371225383506764,1.1269491469492663,1.1473410115768672
152,1.1335001499487398,1.1234408632812123,1.1436036521102846
153,1.1267833792459754,1.1168670902458868,1.1367428901250871
154,1.1166812511916056,1.106928656364993,1.1264760294990093
155,1.1028691192709974,1.0932916934303476,1.1124877353422553
156,1.0887963746254248,1.0793846629041495,1.09824837683679
157,1.0752198129747843,1.0659596020839595,1.084519519548657
158,1.0692775459957384,1.0601238718462935,1.0784700257461395
159,1.0679178545891752,1.058839465366779,1.077034461186819
160,1.075345465256647,1.0662950952341477,1.084433553177316
161,1.0817568979837875,1.0727329936609948,1.09081807631293
