date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2122,278,455,30,30
2020-04-14,1016,2143,313,589,34,31
2020-04-15,1062,2152,337,724,38,32
2020-04-16,1116,2154,363,860,42,33
2020-04-17,1202,2150,377,996,47,34
2020-04-18,1287,2144,409,1132,50,35
2020-04-19,1370,2136,444,1267,57,36
2020-04-20,1382,2128,484,1402,63,37
2020-04-21,1477,2120,505,1536,68,38
2020-04-22,1588,2113,525,1670,73,39
2020-04-23,1726,2106,567,1803,77,40
2020-04-24,1832,2100,603,1936,85,41
2020-04-25,1904,2095,638,2068,93,42
2020-04-26,1991,2090,646,2200,100,43
2020-04-27,2082,2086,655,2332,104,44
2020-04-28,2224,2083,673,2464,107,45
2020-04-29,2385,2081,701,2595,113,46
2020-04-30,2524,2080,733,2726,122,47
2020-05-01,2663,2080,759,2857,130,48
2020-05-02,2773,2081,785,2988,140,49
2020-05-03,2914,2083,809,3119,148,50
2020-05-04,3022,2083,828,3250,156,51
2020-05-05,3112,2084,879,3381,162,52
2020-05-06,3181,2084,959,3512,167,53
2020-05-07,3257,2085,1054,3643,174,54
2020-05-08,3338,2088,1129,3774,181,55
2020-05-09,3387,2093,1194,3906,190,56
2020-05-10,3457,2100,1247,4038,199,57
2020-05-11,3555,2105,1284,4170,209,58
2020-05-12,3657,2110,1339,4303,219,59
2020-05-13,3713,2116,1416,4436,230,60
2020-05-14,3759,2124,1508,4569,242,61
2020-05-15,3832,2132,1587,4703,251,62
2020-05-16,3894,2142,1662,4837,259,63
2020-05-17,3975,2153,1721,4972,264,64
2020-05-18,4042,2162,1763,5108,270,65
2020-05-19,4114,2171,1811,5244,276,66
2020-05-20,4156,2180,1887,5381,284,67
2020-05-21,4207,2190,1969,5518,295,68
2020-05-22,4210,2201,2058,5656,306,69
2020-05-23,4235,2215,2182,5795,314,70
2020-05-24,4223,2231,2323,5935,318,71
2020-05-25,4266,2242,2447,6076,320,72
2020-05-26,4296,2254,2516,6217,324,73
2020-05-27,4345,2270,2574,6359,329,74
2020-05-28,4405,2287,2628,6502,336,75
2020-05-29,4467,2305,2683,6646,343,76
2020-05-30,4503,2326,2749,6791,350,77
2020-05-31,4543,2350,2805,6938,356,78
2020-06-01,4618,2374,2858,7086,361,79
2020-06-02,4720,2399,2900,7236,368,80
2020-06-03,4844,2423,2953,7387,375,81
2020-06-04,4978,2446,3029,7540,381,82
2020-06-05,5110,2471,3111,7694,387,83
2020-06-06,5211,2499,3202,7850,391,84
