date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4307,207,254,122,136
2020-04-14,3401,4391,294,295,131,147
2020-04-15,3498,4476,364,337,141,158
2020-04-16,3547,4566,537,381,153,169
2020-04-17,3584,4660,740,427,166,181
2020-04-18,3627,4759,918,475,177,193
2020-04-19,3657,4863,1066,526,185,205
2020-04-20,3735,4970,1156,579,194,218
2020-04-21,3809,5081,1246,634,210,231
2020-04-22,4001,5196,1270,692,229,245
2020-04-23,4229,5315,1286,752,248,259
2020-04-24,4459,5438,1313,815,262,273
2020-04-25,4666,5565,1347,881,275,288
2020-04-26,4848,5695,1382,950,285,303
2020-04-27,5024,5827,1417,1022,297,319
2020-04-28,5212,5963,1447,1097,304,335
2020-04-29,5487,6101,1474,1175,312,352
2020-04-30,5787,6243,1500,1257,324,369
2020-05-01,6124,6387,1530,1342,342,387
2020-05-02,6399,6534,1563,1431,362,405
2020-05-03,6666,6684,1598,1523,378,424
2020-05-04,6934,6837,1633,1619,389,443
2020-05-05,7242,6992,1665,1719,405,463
2020-05-06,7534,7150,1695,1823,423,483
2020-05-07,7875,7310,1720,1931,464,504
2020-05-08,7927,7472,2051,2043,499,525
2020-05-09,7938,7637,2402,2159,528,547
2020-05-10,7848,7805,2770,2280,536,570
2020-05-11,8021,7973,2845,2405,546,593
2020-05-12,8299,8143,2913,2535,566,617
2020-05-13,8628,8317,2987,2669,593,641
2020-05-14,8997,8494,3066,2808,623,666
2020-05-15,9326,8673,3192,2952,651,691
2020-05-16,9606,8855,3317,3101,670,717
2020-05-17,9798,9039,3459,3255,682,743
2020-05-18,9982,9225,3571,3414,690,770
2020-05-19,10172,9414,3678,3578,713,797
2020-05-20,10426,9605,3779,3748,738,825
2020-05-21,10666,9798,3864,3923,762,853
2020-05-22,10943,9993,3951,4103,781,882
2020-05-23,11185,10191,4038,4289,795,912
2020-05-24,11406,10390,4123,4481,806,942
2020-05-25,11586,10588,4211,4678,808,973
2020-05-26,11815,10790,4287,4881,817,1004
2020-05-27,12149,10997,4370,5090,834,1036
2020-05-28,12575,11209,4454,5305,860,1068
2020-05-29,13099,11424,4553,5526,883,1101
2020-05-30,13667,11644,4656,5753,899,1134
2020-05-31,14103,11868,4762,5986,909,1168
2020-06-01,14656,12094,4865,6226,922,1202
2020-06-02,15331,12324,4970,6472,948,1236
2020-06-03,16122,12558,5071,6725,975,1271
2020-06-04,17046,12796,5182,6984,999,1306
2020-06-05,17950,13040,5289,7250,1019,1342
2020-06-06,19186,13289,5404,7523,1036,1378
2020-06-07,20139,13541,5518,7803,1049,1415
2020-06-08,20954,13802,5640,8090,1060,1452
2020-06-09,21781,14069,5751,8385,1076,1490
2020-06-10,22798,14343,5903,8687,1104,1528
2020-06-11,24205,14618,6051,8997,1130,1566
2020-06-12,25658,14897,6170,9314,1160,1605
2020-06-13,27040,15184,6250,9639,1178,1644
2020-06-14,28208,15476,6334,9972,1194,1684
2020-06-15,29574,15770,6464,10313,1207,1724
2020-06-16,31171,16064,6591,10662,1226,1764
2020-06-17,33211,16360,6725,11020,1253,1805
2020-06-18,35615,16663,6865,11386,1284,1846
2020-06-19,38486,16972,7025,11760,1316,1887
2020-06-20,41338,17289,7200,12143,1338,1929
2020-06-21,43703,17611,7388,12535,1348,1971
2020-06-22,46253,17938,7571,12935,1365,2013
2020-06-23,48564,18268,7754,13344,1404,2055
2020-06-24,51224,18599,7940,13762,1452,2098
2020-06-25,53723,18939,8154,14190,1499,2141
2020-06-26,56756,19287,8395,14627,1537,2184
2020-06-27,60006,19636,8658,15073,1570,2227
2020-06-28,62352,19993,8921,15529,1590,2270
2020-06-29,65113,20352,9172,15994,1612,2314
2020-06-30,68201,20717,9435,16469,1656,2358
2020-07-01,72127,21081,9754,16954,1711,2402
2020-07-02,75935,21455,10110,17449,1762,2446
2020-07-03,78995,21838,10506,17954,1793,2490
2020-07-04,82120,22234,10914,18469,1813,2534
2020-07-05,84852,22632,11366,18995,1823,2578
2020-07-06,87871,23028,11819,19532,1860,2622
2020-07-07,90849,23435,12299,20079,1906,2666
2020-07-08,94016,23850,12801,20637,1976,2710
2020-07-09,97366,24276,13332,21206,2027,2754
2020-07-10,100545,24710,13862,21787,2090,2798
2020-07-11,103249,25152,14358,22379,2156,2842
2020-07-12,105037,25606,14825,22983,2211,2886
2020-07-13,107270,26072,15253,23599,2273,2930
