date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7008,600,1370,148,196
2020-04-14,5246,6912,731,2005,166,227
2020-04-15,5530,6778,808,2632,185,257
2020-04-16,5812,6678,937,3246,211,287
2020-04-17,6149,6622,1096,3851,232,316
2020-04-18,6572,6604,1201,4451,255,345
2020-04-19,6977,6617,1273,5050,278,374
2020-04-20,7418,6654,1336,5650,300,403
2020-04-21,7891,6710,1413,6253,324,432
2020-04-22,8456,6781,1494,6861,348,461
2020-04-23,8997,6864,1578,7476,377,490
2020-04-24,9593,6956,1652,8098,407,519
2020-04-25,10144,7055,1734,8729,432,548
2020-04-26,10719,7161,1791,9369,448,577
2020-04-27,11291,7272,1857,10018,467,607
2020-04-28,11855,7388,1933,10677,491,637
2020-04-29,12507,7508,2020,11347,522,667
2020-04-30,13238,7631,2114,12028,551,697
2020-05-01,14042,7758,2204,12720,583,727
2020-05-02,14816,7888,2335,13423,619,758
2020-05-03,15529,8021,2452,14138,653,789
2020-05-04,16191,8157,2588,14865,695,820
2020-05-05,16574,8296,2697,15604,731,851
2020-05-06,17145,8438,2790,16356,759,882
2020-05-07,17724,8582,2882,17121,783,913
2020-05-08,18585,8730,2982,17899,802,944
2020-05-09,19273,8881,3107,18690,826,975
2020-05-10,20078,9036,3199,19495,838,1006
2020-05-11,20832,9194,3291,20314,860,1037
2020-05-12,21573,9354,3409,21147,890,1068
2020-05-13,22317,9518,3544,21995,925,1099
2020-05-14,23110,9686,3679,22858,954,1130
2020-05-15,23946,9858,3797,23736,979,1161
2020-05-16,24682,10033,3902,24630,997,1192
2020-05-17,25391,10212,4003,25540,1009,1223
2020-05-18,26079,10394,4123,26466,1022,1254
2020-05-19,26720,10578,4300,27408,1044,1285
2020-05-20,27467,10765,4524,28367,1072,1316
2020-05-21,28141,10956,4754,29343,1103,1347
2020-05-22,28885,11150,4929,30336,1131,1378
2020-05-23,29455,11348,5037,31347,1155,1408
2020-05-24,30296,11550,5098,32376,1179,1438
2020-05-25,31408,11767,5158,33423,1205,1468
2020-05-26,32619,11994,5246,34490,1241,1498
2020-05-27,33690,12228,5355,35577,1285,1528
2020-05-28,34574,12467,5495,36686,1325,1557
2020-05-29,35539,12712,5621,37816,1355,1586
2020-05-30,36463,12965,5753,38968,1367,1615
2020-05-31,37322,13224,5837,40143,1379,1644
2020-06-01,38097,13488,5926,41342,1391,1672
2020-06-02,38746,13758,6025,42565,1409,1700
2020-06-03,39421,14033,6153,43812,1426,1728
2020-06-04,40042,14316,6280,45084,1442,1756
2020-06-05,40790,14604,6352,46382,1453,1783
2020-06-06,41637,14904,6437,47706,1462,1810
2020-06-07,42481,15215,6492,49057,1470,1837
2020-06-08,43152,15524,6590,50436,1481,1863
2020-06-09,43541,15835,6686,51843,1495,1889
2020-06-10,43878,16148,6799,53278,1510,1915
2020-06-11,44249,16466,6907,54742,1522,1940
2020-06-12,44702,16788,7009,56235,1531,1965
2020-06-13,45219,17117,7103,57757,1540,1990
2020-06-14,45695,17454,7179,59309,1546,2014
2020-06-15,46102,17786,7249,60891,1556,2038
2020-06-16,46429,18118,7333,62503,1568,2061
2020-06-17,46781,18455,7421,64145,1579,2084
2020-06-18,47183,18796,7495,65818,1590,2106
2020-06-19,47672,19140,7554,67522,1598,2128
2020-06-20,48199,19490,7605,69257,1606,2149
2020-06-21,48717,19847,7638,71024,1612,2170
2020-06-22,49181,20207,7678,72823,1625,2191
2020-06-23,49632,20571,7717,74655,1642,2211
2020-06-24,50055,20940,7769,76520,1660,2231
2020-06-25,50515,21315,7817,78418,1678,2250
2020-06-26,51004,21694,7884,80350,1699,2269
2020-06-27,51519,22081,7947,82317,1718,2287
2020-06-28,51994,22476,7998,84319,1732,2305
2020-06-29,52456,22876,8036,86357,1745,2322
2020-06-30,52885,23280,8078,88431,1763,2339
2020-07-01,53218,23689,8235,90541,1788,2355
2020-07-02,53516,24105,8446,92688,1815,2371
2020-07-03,53927,24530,8649,94873,1836,2386
2020-07-04,54485,24966,8745,97097,1853,2401
2020-07-05,55010,25409,8778,99360,1865,2415
2020-07-06,55485,25861,8835,101663,1876,2429
