date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2342,401,634,101,115
2020-04-14,2417,2229,602,845,110,123
2020-04-15,2434,2124,803,1046,120,131
2020-04-16,2459,2028,1003,1238,130,138
2020-04-17,2453,1942,1204,1421,140,145
2020-04-18,2458,1865,1405,1596,150,152
2020-04-19,2487,1797,1606,1764,160,159
2020-04-20,2524,1739,1806,1926,170,165
2020-04-21,2519,1689,2007,2083,181,171
2020-04-22,2521,1648,2208,2236,192,177
2020-04-23,2550,1614,2409,2385,201,183
2020-04-24,2616,1587,2609,2531,210,189
2020-04-25,2658,1567,2810,2674,219,195
2020-04-26,2671,1553,3011,2815,225,200
2020-04-27,2672,1545,3212,2955,231,205
2020-04-28,2683,1543,3413,3095,239,210
2020-04-29,2711,1546,3614,3234,250,215
2020-04-30,2785,1553,3816,3374,264,220
2020-05-01,2862,1564,4017,3514,277,225
2020-05-02,2891,1579,4219,3655,291,230
2020-05-03,2880,1597,4441,3798,301,235
2020-05-04,2876,1620,4684,3942,318,241
2020-05-05,2879,1647,4948,4088,342,247
2020-05-06,2857,1678,5212,4237,370,253
2020-05-07,2864,1713,5476,4389,393,259
2020-05-08,2903,1751,5740,4544,408,265
2020-05-09,2899,1792,6004,4702,420,271
2020-05-10,2842,1834,6247,4864,428,277
2020-05-11,2785,1880,6469,5030,440,283
2020-05-12,2767,1930,6671,5200,452,289
2020-05-13,2820,1984,6873,5374,467,296
2020-05-14,2904,2042,7075,5553,479,303
2020-05-15,3031,2103,7277,5737,494,310
2020-05-16,3086,2167,7479,5927,508,317
2020-05-17,3069,2234,7695,6123,519,324
2020-05-18,3017,2307,7926,6325,534,332
2020-05-19,2979,2386,8172,6533,550,340
2020-05-20,2978,2471,8418,6748,568,348
2020-05-21,3027,2563,8663,6971,581,356
2020-05-22,3111,2660,8909,7202,597,365
2020-05-23,3196,2763,9155,7442,612,374
2020-05-24,3212,2872,9404,7691,625,383
2020-05-25,3188,2979,9658,7950,637,393
2020-05-26,3177,3086,9915,8219,652,403
2020-05-27,3205,3194,10173,8498,671,413
2020-05-28,3282,3303,10430,8786,691,424
2020-05-29,3402,3412,10688,9084,708,435
2020-05-30,3514,3521,10945,9392,722,446
2020-05-31,3550,3628,11219,9710,732,458
2020-06-01,3516,3737,11510,10038,746,470
2020-06-02,3458,3848,11818,10375,762,482
2020-06-03,3401,3960,12125,10722,781,495
2020-06-04,3324,4073,12433,11080,793,508
2020-06-05,3247,4187,12740,11448,802,521
