date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2136,278,455,30,30
2020-04-14,1016,2163,313,590,34,31
2020-04-15,1062,2180,337,726,38,32
2020-04-16,1116,2192,363,863,42,33
2020-04-17,1202,2200,377,1001,47,34
2020-04-18,1287,2207,409,1140,50,35
2020-04-19,1370,2213,444,1279,57,36
2020-04-20,1382,2217,484,1419,63,37
2020-04-21,1477,2222,505,1559,68,38
2020-04-22,1588,2227,525,1699,73,39
2020-04-23,1726,2234,567,1839,77,40
2020-04-24,1832,2242,603,1980,85,41
2020-04-25,1904,2252,638,2121,93,42
2020-04-26,1991,2264,646,2263,100,43
2020-04-27,2082,2272,655,2406,104,44
2020-04-28,2224,2281,673,2549,107,45
2020-04-29,2385,2291,701,2693,113,46
2020-04-30,2524,2302,733,2837,122,47
2020-05-01,2663,2314,759,2982,130,48
2020-05-02,2773,2326,785,3128,140,49
2020-05-03,2914,2338,809,3275,148,50
2020-05-04,3022,2347,828,3422,156,51
2020-05-05,3112,2356,879,3570,162,52
2020-05-06,3181,2365,959,3719,167,53
2020-05-07,3257,2374,1054,3868,174,54
2020-05-08,3338,2383,1129,4018,181,55
2020-05-09,3387,2394,1194,4168,190,56
2020-05-10,3457,2408,1247,4319,199,57
2020-05-11,3555,2415,1284,4471,209,58
2020-05-12,3657,2422,1339,4623,219,59
2020-05-13,3713,2427,1416,4776,230,60
2020-05-14,3759,2432,1508,4929,242,61
2020-05-15,3832,2437,1587,5082,251,62
2020-05-16,3894,2442,1662,5236,259,63
2020-05-17,3975,2447,1721,5390,264,64
2020-05-18,4042,2446,1763,5544,270,65
2020-05-19,4114,2443,1811,5698,276,66
2020-05-20,4156,2439,1887,5852,284,67
2020-05-21,4207,2433,1969,6006,295,68
2020-05-22,4210,2427,2058,6159,306,69
2020-05-23,4235,2420,2182,6312,314,70
2020-05-24,4223,2412,2323,6465,318,71
2020-05-25,4266,2407,2447,6617,320,72
2020-05-26,4296,2402,2516,6769,324,73
2020-05-27,4345,2400,2574,6920,329,74
2020-05-28,4405,2398,2628,7071,336,75
2020-05-29,4467,2397,2683,7222,343,76
2020-05-30,4503,2398,2749,7373,350,77
2020-05-31,4543,2399,2805,7524,356,78
2020-06-01,4618,2408,2858,7675,361,79
2020-06-02,4720,2421,2900,7827,368,80
2020-06-03,4844,2436,2953,7980,375,81
2020-06-04,4978,2452,3029,8134,381,82
2020-06-05,5110,2472,3111,8289,387,83
2020-06-06,5211,2496,3202,8445,391,84
2020-06-07,5272,2523,3266,8602,396,85
2020-06-08,5311,2559,3324,8761,400,86
2020-06-09,5273,2602,3462,8922,404,87
2020-06-10,5199,2645,3628,9086,413,88
2020-06-11,5115,2685,3844,9253,422,89
2020-06-12,5107,2727,3968,9422,429,90
2020-06-13,5134,2775,4057,9594,432,91
2020-06-14,5208,2828,4086,9769,435,92
2020-06-15,5278,2889,4115,9947,440,93
2020-06-16,5338,2954,4163,10129,446,94
2020-06-17,5357,3019,4242,10315,451,95
2020-06-18,5367,3086,4335,10505,457,96
2020-06-19,5385,3163,4434,10700,462,97
2020-06-20,5397,3247,4554,10899,467,98
2020-06-21,5437,3338,4655,11104,471,99
2020-06-22,5493,3436,4732,11314,474,100
2020-06-23,5577,3538,4786,11531,477,101
2020-06-24,5660,3642,4866,11754,480,102
2020-06-25,5744,3744,4968,11984,484,103
2020-06-26,5858,3853,5060,12220,488,104
2020-06-27,5973,3964,5149,12463,490,106
2020-06-28,6090,4074,5221,12713,492,108
2020-06-29,6215,4164,5270,12970,494,110
2020-06-30,6322,4259,5317,13233,496,112
2020-07-01,6413,4354,5401,13501,500,114
2020-07-02,6509,4450,5511,13775,504,116
2020-07-03,6630,4546,5647,14056,509,118
2020-07-04,6760,4645,5758,14343,513,120
2020-07-05,6926,4741,5835,14636,514,122
2020-07-06,7111,4809,5869,14935,516,124
2020-07-07,7314,4863,5916,15238,520,126
2020-07-08,7493,4909,5979,15545,526,128
2020-07-09,7688,4947,6051,15854,533,130
2020-07-10,7870,4980,6116,16166,538,132
2020-07-11,8051,5011,6190,16480,542,134
2020-07-12,8227,5037,6258,16796,545,136
2020-07-13,8411,5092,6318,17114,548,138
2020-07-14,8625,5161,6371,17435,552,140
2020-07-15,8846,5237,6429,17760,556,142
2020-07-16,9083,5318,6501,18090,561,144
2020-07-17,9302,5409,6576,18425,565,146
2020-07-18,9497,5519,6656,18766,568,148
2020-07-19,9684,5635,6718,19114,572,150
2020-07-20,9884,5782,6771,19469,579,152
2020-07-21,10119,5950,6816,19834,585,154
2020-07-22,10359,6127,6886,20209,591,156
2020-07-23,10593,6315,6966,20595,596,158
2020-07-24,10812,6520,7062,20993,601,160
2020-07-25,11001,6748,7160,21404,607,163
2020-07-26,11240,6993,7257,21829,613,166
2020-07-27,11468,7160,7358,22270,619,169
