date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7807,2287,2824,344,358
2020-04-14,8080,8111,2666,3186,377,373
2020-04-15,8262,8463,3135,3568,412,388
2020-04-16,8330,8843,3672,3972,450,404
2020-04-17,8292,9245,4224,4401,482,420
2020-04-18,8130,9661,4776,4856,509,437
2020-04-19,8122,10092,5282,5338,530,455
2020-04-20,8160,10518,5842,5849,554,474
2020-04-21,8258,10909,6511,6389,578,494
2020-04-22,8245,11306,7284,6957,612,514
2020-04-23,8141,11718,8174,7554,641,535
2020-04-24,7995,12143,9055,8181,668,557
2020-04-25,7656,12580,9968,8839,685,580
2020-04-26,7752,13027,10639,9530,703,603
2020-04-27,7958,13468,11239,10255,732,627
2020-04-28,8255,13869,12090,11014,767,652
2020-04-29,8332,14262,13074,11805,811,678
2020-04-30,8801,14654,13852,12629,849,704
2020-05-01,9260,15050,14378,13486,897,731
2020-05-02,9533,15452,14852,14376,937,759
2020-05-03,9512,15844,15508,15301,974,787
2020-05-04,9599,16227,16141,16260,996,816
2020-05-05,9927,16564,16834,17253,1019,846
2020-05-06,10325,16886,17617,18278,1044,876
2020-05-07,10878,17201,18419,19335,1075,907
2020-05-08,11514,17513,19259,20423,1109,939
2020-05-09,11779,17828,20120,21542,1145,971
2020-05-10,11588,18154,21259,22693,1177,1004
2020-05-11,11393,18477,22385,23877,1209,1037
2020-05-12,11609,18744,23218,25094,1237,1071
2020-05-13,11957,18987,23841,26341,1278,1105
2020-05-14,12018,19213,24486,27616,1323,1140
2020-05-15,11988,19428,25514,28918,1373,1175
2020-05-16,11935,19637,26541,30247,1409,1210
2020-05-17,12079,19846,27514,31602,1434,1246
2020-05-18,12178,20041,28433,32984,1458,1282
2020-05-19,12294,20189,29504,34392,1487,1318
2020-05-20,12416,20317,30454,35822,1520,1354
2020-05-21,12735,20429,31076,37273,1545,1391
2020-05-22,12935,20529,31574,38744,1561,1428
2020-05-23,12820,20616,32295,40234,1583,1465
2020-05-24,12014,20693,33651,41742,1605,1502
2020-05-25,11470,20811,35017,43267,1627,1539
2020-05-26,10963,21068,36431,44812,1647,1576
2020-05-27,10814,21344,37635,46388,1670,1613
2020-05-28,10229,21622,39258,47996,1694,1651
2020-05-29,9654,21905,40857,49636,1720,1689
2020-05-30,9284,22202,42030,51309,1743,1728
2020-05-31,9446,22529,42728,53016,1765,1767
2020-06-01,9881,22870,43426,54760,1784,1807
2020-06-02,10034,23182,44571,56541,1808,1847
2020-06-03,12386,23485,45724,58358,1841,1888
2020-06-04,15230,23791,46840,60210,1871,1929
2020-06-05,18192,24103,47853,62097,1900,1970
2020-06-06,18448,24440,49069,64020,1921,2012
2020-06-07,18293,24831,50161,65981,1937,2054
2020-06-08,19431,25251,50909,67985,1950,2097
2020-06-09,21554,25602,51576,70034,1970,2141
2020-06-10,23433,25920,52561,72122,1996,2185
2020-06-11,24473,26228,53934,74247,2024,2229
2020-06-12,24905,26539,55296,76409,2050,2274
2020-06-13,25162,26894,56711,78607,2072,2319
2020-06-14,26077,27350,57988,80845,2092,2365
