date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2128,278,455,30,30
2020-04-14,1016,2150,313,589,34,31
2020-04-15,1062,2162,337,725,38,32
2020-04-16,1116,2167,363,861,42,33
2020-04-17,1202,2167,377,998,47,34
2020-04-18,1287,2164,409,1135,50,35
2020-04-19,1370,2159,444,1271,57,36
2020-04-20,1382,2152,484,1407,63,37
2020-04-21,1477,2147,505,1543,68,38
2020-04-22,1588,2143,525,1678,73,39
2020-04-23,1726,2141,567,1813,77,40
2020-04-24,1832,2141,603,1948,85,41
2020-04-25,1904,2141,638,2083,93,42
2020-04-26,1991,2142,646,2218,100,43
2020-04-27,2082,2139,655,2353,104,44
2020-04-28,2224,2134,673,2488,107,45
2020-04-29,2385,2128,701,2623,113,46
2020-04-30,2524,2120,733,2757,122,47
2020-05-01,2663,2112,759,2891,130,48
2020-05-02,2773,2103,785,3024,140,49
2020-05-03,2914,2093,809,3157,148,50
2020-05-04,3022,2084,828,3289,156,51
2020-05-05,3112,2075,879,3420,162,52
2020-05-06,3181,2067,959,3551,167,53
2020-05-07,3257,2059,1054,3681,174,54
2020-05-08,3338,2052,1129,3811,181,55
2020-05-09,3387,2046,1194,3940,190,56
2020-05-10,3457,2042,1247,4069,199,57
2020-05-11,3555,2048,1284,4198,209,58
2020-05-12,3657,2055,1339,4327,219,59
2020-05-13,3713,2064,1416,4457,230,60
2020-05-14,3759,2075,1508,4587,242,61
2020-05-15,3832,2088,1587,4718,251,62
2020-05-16,3894,2105,1662,4850,259,63
2020-05-17,3975,2122,1721,4983,264,64
2020-05-18,4042,2135,1763,5117,270,65
2020-05-19,4114,2149,1811,5252,276,66
2020-05-20,4156,2163,1887,5387,284,67
2020-05-21,4207,2178,1969,5523,295,68
2020-05-22,4210,2196,2058,5660,306,69
2020-05-23,4235,2218,2182,5798,314,70
2020-05-24,4223,2242,2323,5938,318,71
2020-05-25,4266,2274,2447,6079,320,72
2020-05-26,4296,2306,2516,6222,324,73
2020-05-27,4345,2339,2574,6367,329,74
2020-05-28,4405,2371,2628,6514,336,75
2020-05-29,4467,2406,2683,6663,343,76
2020-05-30,4503,2446,2749,6815,350,77
2020-05-31,4543,2489,2805,6969,356,78
2020-06-01,4618,2532,2858,7126,361,79
2020-06-02,4720,2576,2900,7286,368,80
2020-06-03,4844,2619,2953,7448,375,81
2020-06-04,4978,2662,3029,7613,381,82
2020-06-05,5110,2708,3111,7781,387,83
2020-06-06,5211,2760,3202,7952,391,84
2020-06-07,5272,2815,3266,8126,396,85
2020-06-08,5311,2845,3324,8303,400,86
2020-06-09,5273,2871,3462,8482,404,87
2020-06-10,5199,2893,3628,8663,413,88
2020-06-11,5115,2913,3844,8845,422,89
2020-06-12,5107,2934,3968,9029,429,90
2020-06-13,5134,2957,4057,9214,432,91
2020-06-14,5208,2984,4086,9400,435,92
2020-06-15,5278,3015,4115,9588,440,93
2020-06-16,5338,3045,4163,9778,446,94
2020-06-17,5357,3076,4242,9970,451,95
2020-06-18,5367,3108,4335,10164,457,96
2020-06-19,5385,3145,4434,10360,462,97
