date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7013,600,1370,148,196
2020-04-14,5246,6920,731,2006,166,227
2020-04-15,5530,6788,808,2633,185,257
2020-04-16,5812,6690,937,3248,211,287
2020-04-17,6149,6636,1096,3854,232,316
2020-04-18,6572,6620,1201,4456,255,345
2020-04-19,6977,6635,1273,5056,278,374
2020-04-20,7418,6676,1336,5657,300,403
2020-04-21,7891,6736,1413,6262,324,432
2020-04-22,8456,6812,1494,6873,348,461
2020-04-23,8997,6900,1578,7491,377,490
2020-04-24,9593,6997,1652,8117,407,519
2020-04-25,10144,7102,1734,8751,432,548
2020-04-26,10719,7213,1791,9395,448,578
2020-04-27,11291,7331,1857,10049,467,608
2020-04-28,11855,7455,1933,10714,491,638
2020-04-29,12507,7584,2020,11390,522,668
2020-04-30,13238,7716,2114,12078,551,699
2020-05-01,14042,7851,2204,12777,583,730
2020-05-02,14816,7989,2335,13489,619,761
2020-05-03,15529,8129,2452,14213,653,792
2020-05-04,16191,8269,2588,14950,695,823
2020-05-05,16574,8409,2697,15700,731,854
2020-05-06,17145,8551,2790,16462,759,885
2020-05-07,17724,8695,2882,17237,783,917
2020-05-08,18585,8841,2982,18025,802,949
2020-05-09,19273,8989,3107,18826,826,981
2020-05-10,20078,9141,3199,19641,838,1013
2020-05-11,20832,9298,3291,20470,860,1045
2020-05-12,21573,9459,3409,21313,890,1077
2020-05-13,22317,9625,3544,22170,925,1109
2020-05-14,23110,9796,3679,23043,954,1141
2020-05-15,23946,9972,3797,23931,979,1173
2020-05-16,24682,10152,3902,24835,997,1205
2020-05-17,25391,10337,4003,25755,1009,1237
2020-05-18,26079,10520,4123,26692,1022,1268
2020-05-19,26720,10702,4300,27646,1044,1299
2020-05-20,27467,10885,4524,28616,1072,1330
2020-05-21,28141,11069,4754,29603,1103,1361
2020-05-22,28885,11256,4929,30606,1131,1392
2020-05-23,29455,11447,5037,31626,1155,1423
2020-05-24,30296,11642,5098,32664,1179,1453
2020-05-25,31408,11838,5158,33719,1205,1483
2020-05-26,32619,12035,5246,34792,1241,1513
2020-05-27,33690,12236,5355,35883,1285,1543
2020-05-28,34574,12440,5495,36992,1325,1572
2020-05-29,35539,12648,5621,38120,1355,1601
2020-05-30,36463,12862,5753,39267,1367,1630
2020-05-31,37322,13082,5837,40433,1379,1658
2020-06-01,38097,13316,5926,41619,1391,1686
2020-06-02,38746,13558,6025,42826,1409,1714
2020-06-03,39421,13806,6153,44055,1426,1742
2020-06-04,40042,14062,6280,45307,1442,1769
2020-06-05,40790,14323,6352,46582,1453,1796
2020-06-06,41637,14593,6437,47880,1462,1823
2020-06-07,42481,14872,6492,49203,1470,1849
2020-06-08,43152,15155,6590,50551,1481,1875
2020-06-09,43541,15444,6686,51925,1495,1900
2020-06-10,43878,15740,6799,53325,1510,1925
2020-06-11,44249,16043,6907,54752,1522,1950
2020-06-12,44702,16352,7009,56206,1531,1974
2020-06-13,45219,16668,7103,57688,1540,1998
2020-06-14,45695,16993,7179,59199,1546,2022
2020-06-15,46102,17336,7249,60739,1556,2045
2020-06-16,46429,17688,7333,62311,1568,2068
2020-06-17,46781,18054,7421,63914,1579,2090
2020-06-18,47183,18428,7495,65551,1590,2112
2020-06-19,47672,18810,7554,67222,1598,2134
2020-06-20,48199,19202,7605,68927,1606,2155
