date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7777,2287,2824,344,358
2020-04-14,8080,7998,2666,3184,377,372
2020-04-15,8262,8235,3135,3560,412,387
2020-04-16,8330,8474,3672,3953,450,402
2020-04-17,8292,8717,4224,4364,482,418
2020-04-18,8130,8963,4776,4793,509,434
2020-04-19,8122,9213,5282,5240,530,451
2020-04-20,8160,9470,5842,5706,554,468
2020-04-21,8258,9728,6511,6192,578,486
2020-04-22,8245,9994,7284,6699,612,504
2020-04-23,8141,10270,8174,7227,641,523
2020-04-24,7995,10553,9055,7776,668,542
2020-04-25,7656,10843,9968,8348,685,562
2020-04-26,7752,11139,10639,8944,703,582
2020-04-27,7958,11468,11239,9564,732,603
2020-04-28,8255,11880,12090,10210,767,624
2020-04-29,8332,12302,13074,10888,811,646
2020-04-30,8801,12729,13852,11599,849,669
2020-05-01,9260,13160,14378,12343,897,692
2020-05-02,9533,13593,14852,13121,937,716
2020-05-03,9512,14009,15508,13935,974,741
2020-05-04,9599,14403,16141,14783,996,767
2020-05-05,9927,14731,16834,15665,1019,793
2020-05-06,10325,15040,17617,16577,1044,820
2020-05-07,10878,15341,18419,17518,1075,848
2020-05-08,11514,15641,19259,18488,1109,876
2020-05-09,11779,15946,20120,19488,1145,905
2020-05-10,11588,16265,21259,20518,1177,934
2020-05-11,11393,16619,22385,21579,1209,964
2020-05-12,11609,17015,23218,22674,1237,994
2020-05-13,11957,17411,23841,23806,1278,1025
2020-05-14,12018,17805,24486,24975,1323,1057
2020-05-15,11988,18199,25514,26182,1373,1089
2020-05-16,11935,18602,26541,27427,1409,1122
2020-05-17,12079,19030,27514,28711,1434,1156
2020-05-18,12178,19423,28433,30036,1458,1190
2020-05-19,12294,19665,29504,31400,1487,1225
2020-05-20,12416,19857,30454,32793,1520,1260
2020-05-21,12735,20021,31076,34211,1545,1296
2020-05-22,12935,20173,31574,35652,1561,1332
2020-05-23,12820,20323,32295,37116,1583,1368
2020-05-24,12014,20492,33651,38602,1605,1404
2020-05-25,11470,20672,35017,40112,1627,1441
2020-05-26,10963,20869,36431,41647,1647,1478
2020-05-27,10814,21062,37635,43208,1670,1515
2020-05-28,10229,21250,39258,44795,1694,1552
2020-05-29,9654,21441,40857,46407,1720,1590
2020-05-30,9284,21646,42030,48045,1743,1628
2020-05-31,9446,21887,42728,49709,1765,1666
2020-06-01,9881,22343,43426,51403,1784,1704
