date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4315,207,254,122,136
2020-04-14,3401,4402,294,295,131,147
2020-04-15,3498,4490,364,338,141,158
2020-04-16,3547,4583,537,382,153,169
2020-04-17,3584,4681,740,428,166,181
2020-04-18,3627,4784,918,477,177,193
2020-04-19,3657,4890,1066,528,185,205
2020-04-20,3735,5000,1156,581,194,218
2020-04-21,3809,5113,1246,637,210,231
2020-04-22,4001,5228,1270,695,229,245
2020-04-23,4229,5347,1286,756,248,259
2020-04-24,4459,5468,1313,819,262,274
2020-04-25,4666,5592,1347,885,275,289
2020-04-26,4848,5719,1382,954,285,304
2020-04-27,5024,5846,1417,1026,297,320
2020-04-28,5212,5975,1447,1101,304,336
2020-04-29,5487,6106,1474,1179,312,353
2020-04-30,5787,6239,1500,1261,324,370
2020-05-01,6124,6374,1530,1346,342,388
2020-05-02,6399,6511,1563,1434,362,406
2020-05-03,6666,6650,1598,1526,378,425
2020-05-04,6934,6793,1633,1622,389,444
2020-05-05,7242,6940,1665,1721,405,464
2020-05-06,7534,7091,1695,1824,423,484
2020-05-07,7875,7245,1720,1931,464,505
2020-05-08,7927,7403,2051,2042,499,526
2020-05-09,7938,7564,2402,2157,528,548
2020-05-10,7848,7728,2770,2277,536,570
2020-05-11,8021,7893,2845,2401,546,593
2020-05-12,8299,8061,2913,2529,566,616
2020-05-13,8628,8232,2987,2662,593,640
2020-05-14,8997,8406,3066,2800,623,664
2020-05-15,9326,8584,3192,2942,651,689
2020-05-16,9606,8763,3317,3089,670,715
2020-05-17,9798,8945,3459,3241,682,741
2020-05-18,9982,9130,3571,3398,690,768
2020-05-19,10172,9319,3678,3561,713,795
2020-05-20,10426,9512,3779,3729,738,823
2020-05-21,10666,9707,3864,3902,762,851
2020-05-22,10943,9906,3951,4081,781,880
2020-05-23,11185,10108,4038,4265,795,909
2020-05-24,11406,10313,4123,4455,806,939
2020-05-25,11586,10528,4211,4651,808,969
2020-05-26,11815,10746,4287,4853,817,1000
2020-05-27,12149,10967,4370,5061,834,1031
2020-05-28,12575,11192,4454,5275,860,1063
2020-05-29,13099,11419,4553,5495,883,1095
2020-05-30,13667,11648,4656,5722,899,1128
2020-05-31,14103,11880,4762,5955,909,1162
2020-06-01,14656,12102,4865,6195,922,1196
2020-06-02,15331,12323,4970,6441,948,1230
2020-06-03,16122,12544,5071,6694,975,1265
2020-06-04,17046,12767,5182,6953,999,1300
2020-06-05,17950,12993,5289,7219,1019,1336
2020-06-06,19186,13222,5404,7491,1036,1372
2020-06-07,20139,13453,5518,7770,1049,1409
2020-06-08,20954,13687,5640,8055,1060,1446
2020-06-09,21781,13928,5751,8347,1076,1483
2020-06-10,22798,14177,5903,8646,1104,1521
2020-06-11,24205,14428,6051,8952,1130,1559
2020-06-12,25658,14683,6170,9265,1160,1597
2020-06-13,27040,14946,6250,9586,1178,1636
2020-06-14,28208,15215,6334,9914,1194,1675
2020-06-15,29574,15498,6464,10250,1207,1714
2020-06-16,31171,15782,6591,10593,1226,1754
2020-06-17,33211,16070,6725,10944,1253,1794
2020-06-18,35615,16368,6865,11303,1284,1834
2020-06-19,38486,16675,7025,11671,1316,1875
2020-06-20,41338,16991,7200,12047,1338,1916
2020-06-21,43703,17314,7388,12432,1348,1957
2020-06-22,46253,17638,7571,12826,1365,1998
2020-06-23,48564,17969,7754,13229,1404,2040
