date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2342,401,634,101,115
2020-04-14,2417,2229,602,845,110,123
2020-04-15,2434,2125,803,1046,120,131
2020-04-16,2459,2030,1003,1238,130,138
2020-04-17,2453,1944,1204,1421,140,145
2020-04-18,2458,1868,1405,1597,150,152
2020-04-19,2487,1802,1606,1766,160,159
2020-04-20,2524,1745,1806,1929,170,165
2020-04-21,2519,1696,2007,2087,181,171
2020-04-22,2521,1656,2208,2240,192,177
2020-04-23,2550,1623,2409,2390,201,183
2020-04-24,2616,1598,2609,2537,210,189
2020-04-25,2658,1579,2810,2681,219,195
2020-04-26,2671,1567,3011,2824,225,201
2020-04-27,2672,1563,3212,2965,231,206
2020-04-28,2683,1566,3413,3106,239,211
2020-04-29,2711,1576,3614,3247,250,216
2020-04-30,2785,1593,3816,3389,264,221
2020-05-01,2862,1616,4017,3533,277,227
2020-05-02,2891,1644,4219,3679,291,233
2020-05-03,2880,1678,4441,3827,301,239
2020-05-04,2876,1715,4684,3979,318,245
2020-05-05,2879,1755,4948,4134,342,251
2020-05-06,2857,1798,5212,4292,370,257
2020-05-07,2864,1844,5476,4454,393,263
2020-05-08,2903,1893,5740,4620,408,269
2020-05-09,2899,1944,6004,4791,420,276
2020-05-10,2842,1997,6247,4967,428,283
2020-05-11,2785,2055,6469,5147,440,290
2020-05-12,2767,2118,6671,5333,452,297
2020-05-13,2820,2185,6873,5524,467,304
2020-05-14,2904,2257,7075,5721,479,311
2020-05-15,3031,2333,7277,5925,494,319
2020-05-16,3086,2413,7479,6136,508,327
2020-05-17,3069,2496,7695,6354,519,335
2020-05-18,3017,2586,7926,6579,534,343
2020-05-19,2979,2682,8172,6812,550,352
2020-05-20,2978,2785,8418,7054,568,361
2020-05-21,3027,2894,8663,7305,581,370
2020-05-22,3111,3009,8909,7566,597,380
2020-05-23,3196,3129,9155,7838,612,390
2020-05-24,3212,3253,9404,8121,625,401
2020-05-25,3188,3382,9658,8415,637,412
2020-05-26,3177,3516,9915,8720,652,423
2020-05-27,3205,3656,10173,9037,671,435
2020-05-28,3282,3801,10430,9367,691,447
2020-05-29,3402,3951,10688,9710,708,460
2020-05-30,3514,4105,10945,10067,722,473
2020-05-31,3550,4263,11219,10438,732,487
2020-06-01,3516,4417,11510,10823,746,501
2020-06-02,3458,4570,11818,11222,762,516
2020-06-03,3401,4722,12125,11635,781,531
2020-06-04,3324,4874,12433,12061,793,546
2020-06-05,3247,5026,12740,12501,802,562
