date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2342,401,634,101,115
2020-04-14,2417,2231,602,845,110,123
2020-04-15,2434,2128,803,1046,120,131
2020-04-16,2459,2035,1003,1238,130,138
2020-04-17,2453,1952,1204,1422,140,145
2020-04-18,2458,1878,1405,1598,150,152
2020-04-19,2487,1814,1606,1768,160,159
2020-04-20,2524,1760,1806,1932,170,165
2020-04-21,2519,1716,2007,2091,181,171
2020-04-22,2521,1680,2208,2246,192,177
2020-04-23,2550,1653,2409,2398,201,183
2020-04-24,2616,1634,2609,2547,210,189
2020-04-25,2658,1622,2810,2695,219,195
2020-04-26,2671,1617,3011,2841,225,201
2020-04-27,2672,1619,3212,2987,231,207
2020-04-28,2683,1627,3413,3133,239,213
2020-04-29,2711,1641,3614,3280,250,219
2020-04-30,2785,1661,3816,3428,264,225
2020-05-01,2862,1686,4017,3578,277,231
2020-05-02,2891,1717,4219,3730,291,237
2020-05-03,2880,1753,4441,3885,301,243
2020-05-04,2876,1794,4684,4043,318,249
2020-05-05,2879,1839,4948,4205,342,255
2020-05-06,2857,1889,5212,4371,370,261
2020-05-07,2864,1944,5476,4542,393,268
2020-05-08,2903,2003,5740,4718,408,275
2020-05-09,2899,2065,6004,4899,420,282
2020-05-10,2842,2130,6247,5085,428,289
2020-05-11,2785,2198,6469,5277,440,296
2020-05-12,2767,2269,6671,5475,452,304
2020-05-13,2820,2344,6873,5680,467,312
2020-05-14,2904,2422,7075,5892,479,320
2020-05-15,3031,2504,7277,6111,494,328
2020-05-16,3086,2588,7479,6337,508,337
2020-05-17,3069,2675,7695,6571,519,346
2020-05-18,3017,2765,7926,6813,534,355
2020-05-19,2979,2859,8172,7063,550,364
2020-05-20,2978,2956,8418,7321,568,374
2020-05-21,3027,3056,8663,7588,581,384
2020-05-22,3111,3158,8909,7864,597,394
2020-05-23,3196,3261,9155,8149,612,405
2020-05-24,3212,3364,9404,8443,625,416
2020-05-25,3188,3468,9658,8747,637,427
2020-05-26,3177,3574,9915,9060,652,439
2020-05-27,3205,3683,10173,9383,671,451
2020-05-28,3282,3796,10430,9716,691,463
2020-05-29,3402,3912,10688,10059,708,476
2020-05-30,3514,4030,10945,10412,722,489
2020-05-31,3550,4149,11219,10776,732,502
2020-06-01,3516,4272,11510,11151,746,516
2020-06-02,3458,4400,11818,11537,762,530
2020-06-03,3401,4532,12125,11934,781,544
2020-06-04,3324,4669,12433,12343,793,559
2020-06-05,3247,4809,12740,12765,802,574
