date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7012,600,1370,148,196
2020-04-14,5246,6917,731,2006,166,227
2020-04-15,5530,6784,808,2633,185,257
2020-04-16,5812,6685,937,3248,211,287
2020-04-17,6149,6630,1096,3854,232,316
2020-04-18,6572,6614,1201,4455,255,345
2020-04-19,6977,6629,1273,5055,278,374
2020-04-20,7418,6668,1336,5656,300,403
2020-04-21,7891,6726,1413,6260,324,432
2020-04-22,8456,6798,1494,6870,348,461
2020-04-23,8997,6881,1578,7486,377,490
2020-04-24,9593,6973,1652,8110,407,519
2020-04-25,10144,7072,1734,8742,432,548
2020-04-26,10719,7177,1791,9383,448,578
2020-04-27,11291,7288,1857,10034,467,608
2020-04-28,11855,7404,1933,10695,491,638
2020-04-29,12507,7524,2020,11366,522,668
2020-04-30,13238,7647,2114,12048,551,698
2020-05-01,14042,7773,2204,12741,583,728
2020-05-02,14816,7903,2335,13446,619,759
2020-05-03,15529,8035,2452,14162,653,790
2020-05-04,16191,8170,2588,14890,695,821
2020-05-05,16574,8308,2697,15631,731,852
2020-05-06,17145,8449,2790,16384,759,883
2020-05-07,17724,8593,2882,17150,783,914
2020-05-08,18585,8740,2982,17929,802,945
2020-05-09,19273,8890,3107,18721,826,976
2020-05-10,20078,9044,3199,19527,838,1007
2020-05-11,20832,9202,3291,20347,860,1038
2020-05-12,21573,9363,3409,21181,890,1069
2020-05-13,22317,9528,3544,22030,925,1100
2020-05-14,23110,9698,3679,22894,954,1131
2020-05-15,23946,9871,3797,23773,979,1162
2020-05-16,24682,10048,3902,24668,997,1193
2020-05-17,25391,10229,4003,25579,1009,1224
2020-05-18,26079,10413,4123,26506,1022,1255
2020-05-19,26720,10600,4300,27450,1044,1286
2020-05-20,27467,10790,4524,28411,1072,1317
2020-05-21,28141,10984,4754,29389,1103,1348
2020-05-22,28885,11183,4929,30385,1131,1379
2020-05-23,29455,11389,5037,31399,1155,1409
2020-05-24,30296,11601,5098,32431,1179,1439
2020-05-25,31408,11816,5158,33483,1205,1469
2020-05-26,32619,12036,5246,34554,1241,1499
2020-05-27,33690,12259,5355,35645,1285,1529
2020-05-28,34574,12486,5495,36756,1325,1558
2020-05-29,35539,12717,5621,37888,1355,1587
2020-05-30,36463,12954,5753,39041,1367,1616
2020-05-31,37322,13195,5837,40215,1379,1645
2020-06-01,38097,13440,5926,41411,1391,1673
2020-06-02,38746,13690,6025,42629,1409,1701
2020-06-03,39421,13944,6153,43870,1426,1729
2020-06-04,40042,14204,6280,45134,1442,1756
2020-06-05,40790,14468,6352,46422,1453,1783
2020-06-06,41637,14740,6437,47734,1462,1810
2020-06-07,42481,15020,6492,49070,1470,1836
2020-06-08,43152,15305,6590,50432,1481,1862
2020-06-09,43541,15596,6686,51819,1495,1888
2020-06-10,43878,15892,6799,53233,1510,1913
2020-06-11,44249,16194,6907,54674,1522,1938
2020-06-12,44702,16501,7009,56142,1531,1963
2020-06-13,45219,16815,7103,57638,1540,1987
2020-06-14,45695,17137,7179,59162,1546,2011
2020-06-15,46102,17464,7249,60716,1556,2034
2020-06-16,46429,17796,7333,62299,1568,2057
2020-06-17,46781,18138,7421,63912,1579,2079
2020-06-18,47183,18486,7495,65556,1590,2101
2020-06-19,47672,18841,7554,67232,1598,2123
2020-06-20,48199,19205,7605,68940,1606,2144
2020-06-21,48717,19579,7638,70681,1612,2165
2020-06-22,49181,19960,7678,72456,1625,2185
2020-06-23,49632,20348,7717,74265,1642,2205
2020-06-24,50055,20744,7769,76110,1660,2224
2020-06-25,50515,21147,7817,77991,1678,2243
2020-06-26,51004,21558,7884,79908,1699,2262
2020-06-27,51519,21979,7947,81862,1718,2280
2020-06-28,51994,22412,7998,83854,1732,2298
2020-06-29,52456,22856,8036,85886,1745,2315
2020-06-30,52885,23308,8078,87958,1763,2332
2020-07-01,53218,23766,8235,90071,1788,2348
2020-07-02,53516,24234,8446,92225,1815,2364
2020-07-03,53927,24719,8649,94422,1836,2379
2020-07-04,54485,25225,8745,96663,1853,2394
2020-07-05,55010,25741,8778,98950,1865,2409
2020-07-06,55485,26265,8835,101284,1876,2423
2020-07-07,55939,26794,8911,103665,1889,2437
2020-07-08,56464,27329,8996,106094,1907,2450
2020-07-09,57077,27874,9088,108571,1933,2463
2020-07-10,57773,28427,9175,111098,1952,2476
2020-07-11,58576,28996,9256,113675,1962,2488
2020-07-12,59430,29572,9303,116304,1965,2500
2020-07-13,60261,30157,9354,118985,1970,2511
2020-07-14,61132,30756,9426,121719,1979,2522
2020-07-15,61944,31369,9531,124507,1992,2533
2020-07-16,62775,31997,9684,127351,2004,2543
2020-07-17,63563,32645,9834,130252,2015,2553
2020-07-18,64433,33312,9958,133211,2021,2563
2020-07-19,65332,33993,10033,136231,2027,2572
2020-07-20,66238,34691,10119,139313,2035,2581
2020-07-21,67112,35390,10224,142458,2043,2590
2020-07-22,67934,36094,10348,145666,2051,2598
2020-07-23,68812,36801,10462,148938,2057,2606
2020-07-24,69720,37514,10618,152274,2065,2614
2020-07-25,70688,38245,10752,155675,2073,2621
2020-07-26,71797,38989,10874,159142,2078,2628
2020-07-27,72668,39745,11124,162676,2085,2635
2020-07-28,73539,40521,11380,166279,2100,2641
2020-07-29,74201,41309,11642,169952,2120,2647
2020-07-30,75011,42109,11771,173697,2146,2653
2020-07-31,75798,42923,11890,177514,2176,2659
2020-08-01,76600,43760,12017,181405,2206,2664
2020-08-02,77543,44613,12123,185372,2230,2669
2020-08-03,78558,45480,12249,189416,2239,2674
2020-08-04,79494,46355,12387,193539,2254,2679
2020-08-05,80269,47237,12514,197741,2272,2684
2020-08-06,81343,48141,12627,202023,2296,2688
2020-08-07,82600,49055,12734,206387,2312,2692
2020-08-08,83901,49985,12830,210834,2321,2696
