date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4305,207,254,122,136
2020-04-14,3401,4388,294,295,131,147
2020-04-15,3498,4472,364,337,141,158
2020-04-16,3547,4560,537,381,153,169
2020-04-17,3584,4653,740,427,166,181
2020-04-18,3627,4750,918,475,177,193
2020-04-19,3657,4851,1066,526,185,205
2020-04-20,3735,4956,1156,579,194,218
2020-04-21,3809,5065,1246,634,210,231
2020-04-22,4001,5177,1270,692,229,245
2020-04-23,4229,5294,1286,752,248,259
2020-04-24,4459,5414,1313,815,262,273
2020-04-25,4666,5537,1347,881,275,288
2020-04-26,4848,5664,1382,950,285,303
2020-04-27,5024,5793,1417,1022,297,319
2020-04-28,5212,5925,1447,1097,304,335
2020-04-29,5487,6060,1474,1175,312,352
2020-04-30,5787,6198,1500,1256,324,369
2020-05-01,6124,6339,1530,1340,342,387
2020-05-02,6399,6482,1563,1428,362,405
2020-05-03,6666,6627,1598,1520,378,424
2020-05-04,6934,6775,1633,1615,389,443
2020-05-05,7242,6926,1665,1714,405,463
2020-05-06,7534,7080,1695,1817,423,483
2020-05-07,7875,7237,1720,1924,464,504
2020-05-08,7927,7396,2051,2035,499,525
2020-05-09,7938,7559,2402,2150,528,547
2020-05-10,7848,7724,2770,2270,536,569
2020-05-11,8021,7891,2845,2394,546,592
2020-05-12,8299,8060,2913,2522,566,615
2020-05-13,8628,8233,2987,2655,593,639
2020-05-14,8997,8408,3066,2793,623,663
2020-05-15,9326,8587,3192,2936,651,688
2020-05-16,9606,8768,3317,3083,670,714
2020-05-17,9798,8951,3459,3235,682,740
2020-05-18,9982,9137,3571,3393,690,767
2020-05-19,10172,9325,3678,3556,713,794
2020-05-20,10426,9516,3779,3724,738,822
2020-05-21,10666,9710,3864,3897,762,850
2020-05-22,10943,9907,3951,4076,781,879
2020-05-23,11185,10108,4038,4260,795,908
2020-05-24,11406,10311,4123,4450,806,938
2020-05-25,11586,10516,4211,4646,808,968
2020-05-26,11815,10723,4287,4848,817,999
2020-05-27,12149,10933,4370,5056,834,1030
2020-05-28,12575,11147,4454,5269,860,1062
2020-05-29,13099,11364,4553,5489,883,1094
2020-05-30,13667,11583,4656,5715,899,1127
2020-05-31,14103,11805,4762,5947,909,1160
2020-06-01,14656,12029,4865,6185,922,1194
2020-06-02,15331,12256,4970,6430,948,1228
2020-06-03,16122,12487,5071,6681,975,1263
2020-06-04,17046,12723,5182,6939,999,1298
2020-06-05,17950,12965,5289,7204,1019,1334
2020-06-06,19186,13211,5404,7476,1036,1370
2020-06-07,20139,13461,5518,7754,1049,1406
2020-06-08,20954,13710,5640,8040,1060,1443
2020-06-09,21781,13965,5751,8333,1076,1480
2020-06-10,22798,14226,5903,8633,1104,1518
2020-06-11,24205,14489,6051,8940,1130,1556
2020-06-12,25658,14756,6170,9255,1160,1594
2020-06-13,27040,15030,6250,9577,1178,1633
2020-06-14,28208,15309,6334,9907,1194,1672
2020-06-15,29574,15589,6464,10245,1207,1712
2020-06-16,31171,15869,6591,10590,1226,1752
2020-06-17,33211,16153,6725,10943,1253,1792
2020-06-18,35615,16443,6865,11304,1284,1832
2020-06-19,38486,16739,7025,11673,1316,1873
2020-06-20,41338,17043,7200,12051,1338,1914
2020-06-21,43703,17352,7388,12437,1348,1955
2020-06-22,46253,17667,7571,12832,1365,1996
2020-06-23,48564,17987,7754,13235,1404,2038
2020-06-24,51224,18309,7940,13647,1452,2080
2020-06-25,53723,18639,8154,14068,1499,2122
2020-06-26,56756,18978,8395,14498,1537,2164
2020-06-27,60006,19319,8658,14937,1570,2206
2020-06-28,62352,19668,8921,15385,1590,2249
2020-06-29,65113,20025,9172,15843,1612,2292
2020-06-30,68201,20391,9435,16311,1656,2335
2020-07-01,72127,20760,9754,16788,1711,2378
2020-07-02,75935,21140,10110,17275,1762,2421
2020-07-03,78995,21531,10506,17773,1793,2464
2020-07-04,82120,21936,10914,18281,1813,2507
2020-07-05,84852,22345,11366,18800,1823,2550
2020-07-06,87871,22767,11819,19330,1860,2594
2020-07-07,90849,23198,12299,19871,1906,2638
2020-07-08,94016,23633,12801,20424,1976,2682
2020-07-09,97366,24079,13332,20988,2027,2726
2020-07-10,100545,24531,13862,21564,2090,2770
2020-07-11,103249,24988,14358,22152,2156,2814
2020-07-12,105037,25455,14825,22752,2211,2858
2020-07-13,107270,25931,15253,23364,2273,2902
2020-07-14,109724,26417,15695,23989,2339,2946
2020-07-15,112761,26915,16172,24626,2421,2990
2020-07-16,115653,27423,16674,25276,2503,3034
2020-07-17,118356,27942,17176,25940,2601,3077
2020-07-18,120782,28475,17664,26617,2691,3120
2020-07-19,122490,29024,18109,27308,2758,3163
2020-07-20,124499,29580,18510,28014,2821,3206
2020-07-21,126375,30145,18891,28734,2892,3249
2020-07-22,128463,30720,19297,29469,2985,3292
2020-07-23,130491,31304,19733,30219,3060,3335
2020-07-24,133106,31893,20158,30984,3164,3378
2020-07-25,135637,32507,20571,31764,3244,3420
2020-07-26,137707,33134,20955,32560,3298,3462
2020-07-27,139278,33758,21308,33372,3339,3504
2020-07-28,140976,34392,21647,34200,3388,3546
2020-07-29,142847,35035,21992,35045,3496,3587
2020-07-30,145081,35694,22355,35906,3591,3628
2020-07-31,147535,36368,22712,36784,3689,3669
2020-08-01,149695,37055,23063,37680,3735,3710
2020-08-02,151166,37752,23393,38593,3763,3750
2020-08-03,152007,38457,23686,39524,3796,3790
2020-08-04,152927,39177,23956,40473,3852,3830
2020-08-05,153963,39903,24232,41441,3926,3869
2020-08-06,155110,40638,24522,42427,4005,3908
2020-08-07,156029,41389,24836,43432,4073,3947
2020-08-08,156737,42154,25168,44456,4122,3985
2020-08-09,157192,42933,25512,45500,4147,4023
2020-08-10,157735,43728,25825,46564,4167,4061
2020-08-11,158212,44535,26122,47648,4233,4098
2020-08-12,158931,45356,26418,48753,4309,4135
2020-08-13,159541,46202,26727,49879,4384,4171
2020-08-14,160257,47057,27034,51026,4432,4207
2020-08-15,160844,47931,27316,52195,4477,4242
2020-08-16,161313,48813,27573,53387,4512,4277
2020-08-17,161826,49702,27803,54601,4525,4312
2020-08-18,162243,50606,28020,55838,4564,4346
2020-08-19,162727,51528,28243,57098,4615,4380
2020-08-20,163099,52463,28478,58381,4668,4413
2020-08-21,163604,53423,28711,59688,4709,4446
2020-08-22,163955,54398,28936,61019,4741,4478
2020-08-23,164221,55396,29140,62375,4776,4510
2020-08-24,164470,56395,29338,63757,4788,4541
2020-08-25,164689,57410,29533,65164,4826,4572
2020-08-26,165018,58443,29733,66597,4872,4602
2020-08-27,165219,59498,29932,68056,4934,4632
2020-08-28,165592,60572,30131,69542,4971,4661
2020-08-29,165866,61665,30331,71055,5005,4690
2020-08-30,166055,62780,30517,72596,5022,4718
2020-08-31,166225,63906,30687,74165,5034,4746
2020-09-01,166452,65044,30848,75763,5046,4773
2020-09-02,166952,66189,31021,77389,5079,4800
2020-09-03,167507,67360,31202,79044,5122,4826
2020-09-04,168171,68557,31377,80729,5169,4852
2020-09-05,168571,69779,31551,82444,5199,4877
2020-09-06,168823,71012,31711,84190,5215,4902
2020-09-07,168842,72258,31863,85967,5220,4926
2020-09-08,168947,73511,32006,87776,5230,4950
2020-09-09,169127,74778,32154,89617,5248,4973
2020-09-10,169441,76069,32311,91490,5270,4996
2020-09-11,169789,77380,32470,93395,5292,5018
2020-09-12,170103,78715,32639,95334,5312,5040
2020-09-13,170319,80073,32806,97306,5330,5061
2020-09-14,170513,81449,32962,99313,5340,5082
2020-09-15,170821,82845,33106,101354,5353,5102
2020-09-16,171642,84263,33242,103431,5374,5122
2020-09-17,172708,85706,33385,105544,5410,5141
2020-09-18,173750,87170,33525,107693,5442,5160
2020-09-19,174363,88662,33676,109879,5465,5178
2020-09-20,174651,90167,33816,112103,5474,5196
2020-09-21,174944,91684,33944,114365,5484,5213
2020-09-22,175218,93223,34075,116665,5500,5230
2020-09-23,175576,94787,34224,119004,5527,5246
2020-09-24,175883,96379,34394,121382,5557,5262
2020-09-25,176197,98000,34562,123801,5589,5278
2020-09-26,176478,99647,34722,126260,5610,5293
2020-09-27,176702,101313,34866,128761,5623,5308
2020-09-28,177019,102972,34998,131304,5626,5322
2020-09-29,177304,104656,35128,133889,5635,5336
2020-09-30,177717,106366,35265,136516,5652,5350
2020-10-01,178080,108105,35408,139186,5672,5363
