date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2341,401,634,101,115
2020-04-14,2417,2228,602,845,110,123
2020-04-15,2434,2123,803,1046,120,131
2020-04-16,2459,2026,1003,1238,130,138
2020-04-17,2453,1938,1204,1421,140,145
2020-04-18,2458,1860,1405,1596,150,152
2020-04-19,2487,1791,1606,1764,160,159
2020-04-20,2524,1731,1806,1926,170,165
2020-04-21,2519,1680,2007,2082,181,171
2020-04-22,2521,1637,2208,2234,192,177
2020-04-23,2550,1602,2409,2382,201,183
2020-04-24,2616,1574,2609,2527,210,189
2020-04-25,2658,1553,2810,2669,219,195
2020-04-26,2671,1538,3011,2809,225,200
2020-04-27,2672,1529,3212,2948,231,205
2020-04-28,2683,1526,3413,3086,239,210
2020-04-29,2711,1528,3614,3224,250,215
2020-04-30,2785,1535,3816,3362,264,220
2020-05-01,2862,1546,4017,3501,277,225
2020-05-02,2891,1562,4219,3641,291,230
2020-05-03,2880,1581,4441,3782,301,235
2020-05-04,2876,1605,4684,3925,318,240
2020-05-05,2879,1633,4948,4070,342,246
2020-05-06,2857,1665,5212,4217,370,252
2020-05-07,2864,1700,5476,4367,393,258
2020-05-08,2903,1739,5740,4520,408,264
2020-05-09,2899,1780,6004,4677,420,270
2020-05-10,2842,1822,6247,4838,428,276
2020-05-11,2785,1867,6469,5003,440,282
2020-05-12,2767,1915,6671,5172,452,288
2020-05-13,2820,1967,6873,5345,467,295
2020-05-14,2904,2022,7075,5523,479,302
2020-05-15,3031,2079,7277,5706,494,309
2020-05-16,3086,2138,7479,5894,508,316
2020-05-17,3069,2199,7695,6087,519,323
2020-05-18,3017,2264,7926,6286,534,330
2020-05-19,2979,2334,8172,6490,550,338
2020-05-20,2978,2407,8418,6701,568,346
2020-05-21,3027,2484,8663,6918,581,354
2020-05-22,3111,2564,8909,7142,597,362
2020-05-23,3196,2646,9155,7374,612,371
2020-05-24,3212,2730,9404,7613,625,380
2020-05-25,3188,2818,9658,7859,637,389
2020-05-26,3177,2910,9915,8113,652,398
2020-05-27,3205,3008,10173,8376,671,408
2020-05-28,3282,3111,10430,8648,691,418
2020-05-29,3402,3219,10688,8929,708,428
2020-05-30,3514,3332,10945,9220,722,439
2020-05-31,3550,3449,11219,9521,732,450
2020-06-01,3516,3574,11510,9832,746,461
2020-06-02,3458,3706,11818,10155,762,473
2020-06-03,3401,3845,12125,10490,781,485
