date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4296,207,254,122,136
2020-04-14,3401,4377,294,295,131,147
2020-04-15,3498,4458,364,337,141,158
2020-04-16,3547,4544,537,381,153,169
2020-04-17,3584,4633,740,427,166,181
2020-04-18,3627,4726,918,475,177,193
2020-04-19,3657,4823,1066,525,185,205
2020-04-20,3735,4924,1156,577,194,218
2020-04-21,3809,5029,1246,632,210,231
2020-04-22,4001,5136,1270,689,229,244
2020-04-23,4229,5247,1286,749,248,258
2020-04-24,4459,5361,1313,811,262,272
2020-04-25,4666,5478,1347,876,275,287
2020-04-26,4848,5598,1382,944,285,302
2020-04-27,5024,5721,1417,1015,297,318
2020-04-28,5212,5848,1447,1089,304,334
2020-04-29,5487,5978,1474,1166,312,350
2020-04-30,5787,6111,1500,1246,324,367
2020-05-01,6124,6246,1530,1329,342,384
2020-05-02,6399,6383,1563,1416,362,402
2020-05-03,6666,6523,1598,1506,378,420
2020-05-04,6934,6666,1633,1600,389,439
2020-05-05,7242,6812,1665,1697,405,458
2020-05-06,7534,6961,1695,1798,423,478
2020-05-07,7875,7113,1720,1903,464,498
2020-05-08,7927,7268,2051,2012,499,519
2020-05-09,7938,7427,2402,2125,528,540
2020-05-10,7848,7587,2770,2242,536,562
2020-05-11,8021,7749,2845,2364,546,584
2020-05-12,8299,7914,2913,2490,566,607
2020-05-13,8628,8083,2987,2621,593,630
2020-05-14,8997,8254,3066,2756,623,654
2020-05-15,9326,8429,3192,2896,651,679
2020-05-16,9606,8606,3317,3041,670,704
2020-05-17,9798,8786,3459,3191,682,730
2020-05-18,9982,8967,3571,3346,690,756
2020-05-19,10172,9151,3678,3506,713,783
2020-05-20,10426,9339,3779,3671,738,810
2020-05-21,10666,9530,3864,3841,762,838
2020-05-22,10943,9725,3951,4016,781,866
2020-05-23,11185,9924,4038,4197,795,895
2020-05-24,11406,10125,4123,4384,806,924
2020-05-25,11586,10328,4211,4576,808,954
2020-05-26,11815,10535,4287,4774,817,984
2020-05-27,12149,10746,4370,4978,834,1015
2020-05-28,12575,10961,4454,5188,860,1046
2020-05-29,13099,11179,4553,5404,883,1078
2020-05-30,13667,11401,4656,5626,899,1110
2020-05-31,14103,11627,4762,5854,909,1143
2020-06-01,14656,11853,4865,6089,922,1176
2020-06-02,15331,12083,4970,6330,948,1210
2020-06-03,16122,12317,5071,6578,975,1244
2020-06-04,17046,12556,5182,6832,999,1279
2020-06-05,17950,12800,5289,7093,1019,1314
2020-06-06,19186,13049,5404,7361,1036,1350
2020-06-07,20139,13302,5518,7636,1049,1386
2020-06-08,20954,13557,5640,7918,1060,1422
2020-06-09,21781,13818,5751,8207,1076,1459
2020-06-10,22798,14086,5903,8504,1104,1496
2020-06-11,24205,14357,6051,8808,1130,1534
2020-06-12,25658,14633,6170,9120,1160,1572
2020-06-13,27040,14916,6250,9439,1178,1610
2020-06-14,28208,15205,6334,9766,1194,1649
2020-06-15,29574,15498,6464,10101,1207,1688
2020-06-16,31171,15793,6591,10444,1226,1728
2020-06-17,33211,16090,6725,10796,1253,1768
2020-06-18,35615,16395,6865,11156,1284,1808
2020-06-19,38486,16707,7025,11524,1316,1849
2020-06-20,41338,17028,7200,11901,1338,1890
2020-06-21,43703,17356,7388,12287,1348,1931
2020-06-22,46253,17690,7571,12682,1365,1972
2020-06-23,48564,18027,7754,13086,1404,2014
2020-06-24,51224,18363,7940,13499,1452,2056
2020-06-25,53723,18708,8154,13921,1499,2098
2020-06-26,56756,19061,8395,14352,1537,2140
2020-06-27,60006,19416,8658,14793,1570,2183
2020-06-28,62352,19778,8921,15244,1590,2226
2020-06-29,65113,20143,9172,15704,1612,2269
2020-06-30,68201,20515,9435,16174,1656,2312
2020-07-01,72127,20887,9754,16654,1711,2355
2020-07-02,75935,21269,10110,17144,1762,2398
2020-07-03,78995,21660,10506,17645,1793,2442
2020-07-04,82120,22064,10914,18156,1813,2486
2020-07-05,84852,22470,11366,18678,1823,2530
2020-07-06,87871,22879,11819,19211,1860,2574
2020-07-07,90849,23293,12299,19755,1906,2618
2020-07-08,94016,23708,12801,20310,1976,2662
2020-07-09,97366,24130,13332,20876,2027,2706
2020-07-10,100545,24555,13862,21453,2090,2750
2020-07-11,103249,24982,14358,22041,2156,2794
2020-07-12,105037,25415,14825,22641,2211,2838
2020-07-13,107270,25857,15253,23252,2273,2882
2020-07-14,109724,26306,15695,23875,2339,2926
2020-07-15,112761,26764,16172,24510,2421,2969
2020-07-16,115653,27229,16674,25157,2503,3012
2020-07-17,118356,27702,17176,25816,2601,3055
2020-07-18,120782,28185,17664,26488,2691,3098
2020-07-19,122490,28678,18109,27172,2758,3141
2020-07-20,124499,29181,18510,27869,2821,3184
