t,R_mean,R_low,R_high
21,1.448155675996125,1.4269223516514151,1.469543644835664
22,1.4225952893823106,1.402331757429921,1.443002162840861
23,1.3484027121901891,1.3293692157388202,1.3675696261183987
24,1.2825709674302828,1.264628032112402,1.3006385473594742
25,1.225412389677775,1.2084200126241726,1.2425217617156887
26,1.1797814749314468,1.1635645719170762,1.1961090528840639
27,1.1470416554988294,1.1314107332488483,1.1627783275005825
28,1.1257018960904448,1.1104925232580285,1.1410132837717573
29,1.1127497433542914,1.0978420578310522,1.1277565719683478
30,1.1054549138552496,1.0907700552999593,1.1202366032059574
31,1.1014477888889351,1.086939338940789,1.1160510957293912
32,1.0994116332136152,1.0850524565061381,1.1138638918567858
33,1.0984229740499647,1.0841981784612502,1.1127391946804417
34,1.097846700139905,1.0837489508531002,1.112034290924907
35,1.0975088647903206,1.0835338061232467,1.111572230433868
36,1.0972639921959022,1.0834091735553806,1.1112056195313473
37,1.097046509928035,1.0833103242167097,1.110868036509093
38,1.0967887883588638,1.0831701971594057,1.11049128083922
39,1.0966160329650698,1.0831132621400246,1.110201292781453
40,1.0963929154415517,1.0830050447999173,1.1098618895553682
41,1.0962464013717834,1.0829717392338265,1.1096008077695962
42,1.0961672265682054,1.083004178160911,1.1094086856085903
43,1.096104507441833,1.0830518280433097,1.1092342886476492
44,1.0960066131778228,1.083063423485225,1.109025619636456
45,1.0959002463937437,1.0830655797179236,1.1088094673852633
46,1.095891203948144,1.0831635245447828,1.108692196950909
47,1.0958958772023883,1.0832741450677519,1.1085897036874661
48,1.09591163538904,1.083394822604052,1.108499344518469
49,1.0960013552583323,1.0835881209958924,1.1084843083427425
50,1.096074967007588,1.0837645493304555,1.1084539455196791
51,1.0960849849025422,1.0838769338439542,1.1083604575543489
52,1.0959880303221787,1.0838821665569938,1.108160194521794
53,1.0957834921058889,1.0837796311513492,1.1078525501338983
54,1.0955491339261096,1.0836466020442523,1.1075157776571198
55,1.0953343975104142,1.0835321504161675,1.107199690208176
56,1.0951222607540914,1.0834192466362813,1.1068872740374909
57,1.0950170919494226,1.0834116586533196,1.1066834979948654
58,1.095009763561753,1.0835003413267075,1.1065791516585177
59,1.094990043960285,1.0835757133950676,1.1064633521154603
60,1.0950312292860918,1.0837107836980835,1.1064096815834468
61,1.095049526248687,1.0838222918655929,1.1063338126589248
62,1.0951211337284636,1.083986098356995,1.1063122819040687
63,1.095177276216396,1.0841338014315225,1.1062759396577677
64,1.0952991719063452,1.0843462163531494,1.1063064067992276
65,1.0954200725811896,1.0845569490141405,1.1063365806824994
66,1.0955585315573872,1.084784484313343,1.1063850826391548
67,1.09567483682978,1.08498933964138,1.1064119707783193
68,1.0958128077238705,1.0852151464702946,1.1064612518572354
69,1.095963538622658,1.0854530552821409,1.106523963906528
70,1.09614716156031,1.0857231008497128,1.1066203361003863
71,1.0963303484883946,1.0859921188864494,1.1067168764589863
72,1.0965288896622316,1.0862758421888583,1.106829432395789
73,1.0968293527863602,1.086660462571851,1.1070449471376917
74,1.0971919562883554,1.08710641240453,1.1073234248661024
75,1.0975777590824942,1.0875749594073447,1.1076257153451061
76,1.0980840947756114,1.0881630507500273,1.108049538032053
77,1.0985906183813063,1.0887509579262977,1.108473930796084
78,1.0990079833341568,1.0892497847943308,1.1088090960848993
79,1.0993193701682407,1.089642823586396,1.1090381022316973
80,1.0996255118269207,1.090030366807705,1.1092621224396868
81,1.0998412939753603,1.0903276154803505,1.1093957274027948
