date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7777,2287,2824,344,358
2020-04-14,8080,7995,2666,3184,377,372
2020-04-15,8262,8227,3135,3560,412,387
2020-04-16,8330,8459,3672,3953,450,402
2020-04-17,8292,8694,4224,4363,482,418
2020-04-18,8130,8931,4776,4791,509,434
2020-04-19,8122,9169,5282,5237,530,451
2020-04-20,8160,9406,5842,5701,554,468
2020-04-21,8258,9643,6511,6184,578,485
2020-04-22,8245,9883,7284,6686,612,503
2020-04-23,8141,10127,8174,7208,641,521
2020-04-24,7995,10373,9055,7750,668,540
2020-04-25,7656,10621,9968,8312,685,559
2020-04-26,7752,10870,10639,8895,703,579
2020-04-27,7958,11118,11239,9500,732,599
2020-04-28,8255,11361,12090,10127,767,620
2020-04-29,8332,11603,13074,10775,811,641
2020-04-30,8801,11844,13852,11445,849,662
2020-05-01,9260,12085,14378,12137,897,684
2020-05-02,9533,12327,14852,12852,937,706
2020-05-03,9512,12562,15508,13590,974,729
2020-05-04,9599,12796,16141,14350,996,752
2020-05-05,9927,13022,16834,15133,1019,776
2020-05-06,10325,13244,17617,15939,1044,800
2020-05-07,10878,13464,18419,16768,1075,824
2020-05-08,11514,13683,19259,17620,1109,849
2020-05-09,11779,13902,20120,18494,1145,874
2020-05-10,11588,14125,21259,19392,1177,899
2020-05-11,11393,14352,22385,20313,1209,925
2020-05-12,11609,14573,23218,21258,1237,951
2020-05-13,11957,14786,23841,22227,1278,978
2020-05-14,12018,14993,24486,23220,1323,1005
2020-05-15,11988,15196,25514,24236,1373,1032
2020-05-16,11935,15398,26541,25275,1409,1060
2020-05-17,12079,15605,27514,26338,1434,1088
2020-05-18,12178,15814,28433,27425,1458,1116
2020-05-19,12294,16013,29504,28536,1487,1145
2020-05-20,12416,16207,30454,29670,1520,1174
2020-05-21,12735,16399,31076,30827,1545,1203
2020-05-22,12935,16593,31574,32008,1561,1232
2020-05-23,12820,16794,32295,33212,1583,1262
2020-05-24,12014,17017,33651,34440,1605,1292
2020-05-25,11470,17253,35017,35694,1627,1322
2020-05-26,10963,17489,36431,36975,1647,1353
2020-05-27,10814,17710,37635,38283,1670,1384
2020-05-28,10229,17915,39258,39617,1694,1415
2020-05-29,9654,18115,40857,40976,1720,1447
2020-05-30,9284,18318,42030,42360,1743,1479
2020-05-31,9446,18539,42728,43768,1765,1511
2020-06-01,9881,18766,43426,45203,1784,1544
