date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4321,207,254,122,136
2020-04-14,3401,4412,294,295,131,147
2020-04-15,3498,4503,364,338,141,158
2020-04-16,3547,4599,537,383,153,169
2020-04-17,3584,4701,740,430,166,181
2020-04-18,3627,4808,918,479,177,193
2020-04-19,3657,4921,1066,530,185,205
2020-04-20,3735,5036,1156,584,194,218
2020-04-21,3809,5157,1246,640,210,231
2020-04-22,4001,5284,1270,699,229,245
2020-04-23,4229,5416,1286,760,248,259
2020-04-24,4459,5552,1313,824,262,274
2020-04-25,4666,5694,1347,891,275,289
2020-04-26,4848,5839,1382,961,285,305
2020-04-27,5024,5987,1417,1035,297,321
2020-04-28,5212,6139,1447,1112,304,338
2020-04-29,5487,6296,1474,1193,312,355
2020-04-30,5787,6457,1500,1277,324,373
2020-05-01,6124,6623,1530,1365,342,391
2020-05-02,6399,6791,1563,1457,362,410
2020-05-03,6666,6964,1598,1553,378,430
2020-05-04,6934,7139,1633,1653,389,450
2020-05-05,7242,7317,1665,1757,405,471
2020-05-06,7534,7501,1695,1866,423,492
2020-05-07,7875,7688,1720,1979,464,514
2020-05-08,7927,7879,2051,2097,499,537
2020-05-09,7938,8077,2402,2220,528,560
2020-05-10,7848,8280,2770,2348,536,584
2020-05-11,8021,8484,2845,2481,546,608
2020-05-12,8299,8692,2913,2619,566,633
2020-05-13,8628,8905,2987,2762,593,659
2020-05-14,8997,9122,3066,2911,623,685
2020-05-15,9326,9344,3192,3066,651,712
2020-05-16,9606,9571,3317,3226,670,740
2020-05-17,9798,9803,3459,3392,682,768
2020-05-18,9982,10037,3571,3565,690,797
2020-05-19,10172,10277,3678,3744,713,827
2020-05-20,10426,10522,3779,3929,738,858
2020-05-21,10666,10771,3864,4121,762,889
2020-05-22,10943,11026,3951,4319,781,921
2020-05-23,11185,11291,4038,4524,795,954
2020-05-24,11406,11563,4123,4736,806,987
2020-05-25,11586,11839,4211,4956,808,1021
2020-05-26,11815,12119,4287,5183,817,1056
2020-05-27,12149,12403,4370,5418,834,1091
2020-05-28,12575,12694,4454,5660,860,1127
2020-05-29,13099,12990,4553,5910,883,1164
2020-05-30,13667,13293,4656,6168,899,1202
2020-05-31,14103,13606,4762,6434,909,1240
2020-06-01,14656,13921,4865,6709,922,1279
2020-06-02,15331,14243,4970,6992,948,1319
2020-06-03,16122,14569,5071,7284,975,1359
2020-06-04,17046,14905,5182,7585,999,1400
2020-06-05,17950,15254,5289,7895,1019,1442
2020-06-06,19186,15613,5404,8214,1036,1484
2020-06-07,20139,15985,5518,8543,1049,1527
2020-06-08,20954,16351,5640,8882,1060,1571
2020-06-09,21781,16725,5751,9231,1076,1615
2020-06-10,22798,17109,5903,9590,1104,1660
2020-06-11,24205,17498,6051,9959,1130,1706
2020-06-12,25658,17899,6170,10339,1160,1752
2020-06-13,27040,18320,6250,10730,1178,1799
2020-06-14,28208,18764,6334,11132,1194,1847
2020-06-15,29574,19204,6464,11546,1207,1895
2020-06-16,31171,19640,6591,11972,1226,1944
2020-06-17,33211,20077,6725,12409,1253,1994
2020-06-18,35615,20530,6865,12858,1284,2044
2020-06-19,38486,20997,7025,13319,1316,2095
2020-06-20,41338,21488,7200,13793,1338,2146
2020-06-21,43703,22000,7388,14280,1348,2198
2020-06-22,46253,22520,7571,14780,1365,2251
2020-06-23,48564,23041,7754,15294,1404,2304
2020-06-24,51224,23562,7940,15822,1452,2358
2020-06-25,53723,24103,8154,16364,1499,2412
2020-06-26,56756,24665,8395,16920,1537,2467
2020-06-27,60006,25240,8658,17491,1570,2522
2020-06-28,62352,25845,8921,18077,1590,2578
2020-06-29,65113,26459,9172,18679,1612,2634
2020-06-30,68201,27084,9435,19297,1656,2691
2020-07-01,72127,27713,9754,19931,1711,2748
2020-07-02,75935,28367,10110,20582,1762,2806
2020-07-03,78995,29053,10506,21250,1793,2864
2020-07-04,82120,29790,10914,21936,1813,2923
2020-07-05,84852,30542,11366,22641,1823,2982
2020-07-06,87871,31325,11819,23365,1860,3042
2020-07-07,90849,32116,12299,24109,1906,3102
2020-07-08,94016,32908,12801,24874,1976,3162
2020-07-09,97366,33721,13332,25659,2027,3223
2020-07-10,100545,34555,13862,26465,2090,3284
2020-07-11,103249,35415,14358,27293,2156,3346
2020-07-12,105037,36332,14825,28143,2211,3408
2020-07-13,107270,37234,15253,29017,2273,3470
2020-07-14,109724,38147,15695,29914,2339,3533
2020-07-15,112761,39079,16172,30834,2421,3596
2020-07-16,115653,40035,16674,31778,2503,3659
2020-07-17,118356,41022,17176,32747,2601,3722
2020-07-18,120782,42058,17664,33741,2691,3786
2020-07-19,122490,43173,18109,34762,2758,3850
2020-07-20,124499,44288,18510,35811,2821,3914
2020-07-21,126375,45408,18891,36889,2892,3978
2020-07-22,128463,46547,19297,37996,2985,4043
2020-07-23,130491,47718,19733,39132,3060,4108
2020-07-24,133106,48914,20158,40298,3164,4173
2020-07-25,135637,50202,20571,41494,3244,4238
2020-07-26,137707,51560,20955,42723,3298,4303
2020-07-27,139278,52882,21308,43987,3339,4368
