date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2342,401,634,101,115
2020-04-14,2417,2231,602,845,110,123
2020-04-15,2434,2129,803,1046,120,131
2020-04-16,2459,2036,1003,1238,130,138
2020-04-17,2453,1953,1204,1422,140,145
2020-04-18,2458,1880,1405,1598,150,152
2020-04-19,2487,1817,1606,1768,160,159
2020-04-20,2524,1764,1806,1932,170,165
2020-04-21,2519,1720,2007,2091,181,171
2020-04-22,2521,1685,2208,2246,192,177
2020-04-23,2550,1659,2409,2398,201,183
2020-04-24,2616,1641,2609,2548,210,189
2020-04-25,2658,1631,2810,2696,219,195
2020-04-26,2671,1628,3011,2843,225,201
2020-04-27,2672,1632,3212,2990,231,207
2020-04-28,2683,1643,3413,3137,239,213
2020-04-29,2711,1660,3614,3285,250,219
2020-04-30,2785,1683,3816,3435,264,225
2020-05-01,2862,1711,4017,3587,277,231
2020-05-02,2891,1745,4219,3741,291,237
2020-05-03,2880,1784,4441,3899,301,243
2020-05-04,2876,1829,4684,4060,318,249
2020-05-05,2879,1879,4948,4225,342,255
2020-05-06,2857,1934,5212,4395,370,262
2020-05-07,2864,1993,5476,4570,393,269
2020-05-08,2903,2057,5740,4750,408,276
2020-05-09,2899,2125,6004,4936,420,283
2020-05-10,2842,2197,6247,5128,428,290
2020-05-11,2785,2272,6469,5326,440,298
2020-05-12,2767,2352,6671,5531,452,306
2020-05-13,2820,2436,6873,5743,467,314
2020-05-14,2904,2524,7075,5963,479,322
2020-05-15,3031,2617,7277,6191,494,331
2020-05-16,3086,2713,7479,6427,508,340
2020-05-17,3069,2813,7695,6672,519,349
2020-05-18,3017,2917,7926,6926,534,359
2020-05-19,2979,3026,8172,7189,550,369
2020-05-20,2978,3140,8418,7462,568,379
2020-05-21,3027,3258,8663,7746,581,390
2020-05-22,3111,3380,8909,8040,597,401
2020-05-23,3196,3505,9155,8345,612,412
2020-05-24,3212,3632,9404,8661,625,424
2020-05-25,3188,3763,9658,8989,637,436
2020-05-26,3177,3898,9915,9329,652,449
2020-05-27,3205,4039,10173,9681,671,462
2020-05-28,3282,4185,10430,10046,691,475
2020-05-29,3402,4337,10688,10424,708,489
2020-05-30,3514,4494,10945,10816,722,503
2020-05-31,3550,4655,11219,11222,732,518
2020-06-01,3516,4823,11510,11642,746,533
2020-06-02,3458,4999,11818,12077,762,549
2020-06-03,3401,5182,12125,12528,781,565
2020-06-04,3324,5372,12433,12996,793,582
2020-06-05,3247,5570,12740,13481,802,600
