date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2147,278,455,30,30
2020-04-14,1016,2171,313,590,34,31
2020-04-15,1062,2184,337,727,38,32
2020-04-16,1116,2190,363,865,42,33
2020-04-17,1202,2191,377,1003,47,34
2020-04-18,1287,2189,409,1141,50,35
2020-04-19,1370,2186,444,1279,57,36
2020-04-20,1382,2181,484,1417,63,37
2020-04-21,1477,2175,505,1554,68,38
2020-04-22,1588,2168,525,1691,73,39
2020-04-23,1726,2160,567,1828,77,40
2020-04-24,1832,2153,603,1964,85,41
2020-04-25,1904,2145,638,2100,93,42
2020-04-26,1991,2137,646,2235,100,43
2020-04-27,2082,2129,655,2370,104,44
2020-04-28,2224,2121,673,2504,107,45
2020-04-29,2385,2114,701,2638,113,46
2020-04-30,2524,2107,733,2771,122,47
2020-05-01,2663,2101,759,2904,130,48
2020-05-02,2773,2094,785,3036,140,49
2020-05-03,2914,2087,809,3168,148,50
2020-05-04,3022,2080,828,3300,156,51
2020-05-05,3112,2074,879,3431,162,52
2020-05-06,3181,2069,959,3562,167,53
2020-05-07,3257,2064,1054,3692,174,54
2020-05-08,3338,2060,1129,3822,181,55
2020-05-09,3387,2057,1194,3952,190,56
2020-05-10,3457,2055,1247,4082,199,57
2020-05-11,3555,2053,1284,4212,209,58
2020-05-12,3657,2052,1339,4341,219,59
2020-05-13,3713,2052,1416,4470,230,60
2020-05-14,3759,2053,1508,4599,242,61
2020-05-15,3832,2055,1587,4728,251,62
2020-05-16,3894,2057,1662,4858,259,63
2020-05-17,3975,2059,1721,4988,264,64
2020-05-18,4042,2061,1763,5118,270,65
2020-05-19,4114,2064,1811,5248,276,66
2020-05-20,4156,2068,1887,5378,284,67
2020-05-21,4207,2072,1969,5508,295,68
2020-05-22,4210,2078,2058,5639,306,69
2020-05-23,4235,2086,2182,5770,314,70
2020-05-24,4223,2094,2323,5902,318,71
2020-05-25,4266,2103,2447,6034,320,72
2020-05-26,4296,2115,2516,6167,324,73
2020-05-27,4345,2131,2574,6300,329,74
2020-05-28,4405,2148,2628,6434,336,75
2020-05-29,4467,2168,2683,6569,343,76
2020-05-30,4503,2191,2749,6706,350,77
