date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4296,207,254,122,136
2020-04-14,3401,4377,294,295,131,147
2020-04-15,3498,4458,364,337,141,158
2020-04-16,3547,4544,537,381,153,169
2020-04-17,3584,4634,740,427,166,181
2020-04-18,3627,4728,918,475,177,193
2020-04-19,3657,4826,1066,525,185,205
2020-04-20,3735,4928,1156,577,194,218
2020-04-21,3809,5034,1246,632,210,231
2020-04-22,4001,5142,1270,689,229,244
2020-04-23,4229,5254,1286,749,248,258
2020-04-24,4459,5369,1313,811,262,272
2020-04-25,4666,5487,1347,876,275,287
2020-04-26,4848,5608,1382,944,285,302
2020-04-27,5024,5732,1417,1015,297,318
2020-04-28,5212,5858,1447,1089,304,334
2020-04-29,5487,5987,1474,1166,312,350
2020-04-30,5787,6119,1500,1246,324,367
2020-05-01,6124,6253,1530,1329,342,384
2020-05-02,6399,6389,1563,1416,362,402
2020-05-03,6666,6528,1598,1506,378,420
2020-05-04,6934,6670,1633,1600,389,439
2020-05-05,7242,6814,1665,1697,405,458
2020-05-06,7534,6961,1695,1798,423,478
2020-05-07,7875,7110,1720,1903,464,498
2020-05-08,7927,7262,2051,2012,499,519
2020-05-09,7938,7417,2402,2125,528,540
2020-05-10,7848,7575,2770,2242,536,562
2020-05-11,8021,7735,2845,2364,546,584
2020-05-12,8299,7897,2913,2490,566,607
2020-05-13,8628,8062,2987,2620,593,630
2020-05-14,8997,8230,3066,2755,623,654
2020-05-15,9326,8401,3192,2895,651,678
2020-05-16,9606,8573,3317,3039,670,703
2020-05-17,9798,8747,3459,3188,682,728
2020-05-18,9982,8923,3571,3342,690,754
2020-05-19,10172,9102,3678,3501,713,781
2020-05-20,10426,9284,3779,3665,738,808
2020-05-21,10666,9468,3864,3834,762,836
2020-05-22,10943,9655,3951,4008,781,864
2020-05-23,11185,9844,4038,4188,795,893
2020-05-24,11406,10035,4123,4373,806,922
2020-05-25,11586,10227,4211,4564,808,952
2020-05-26,11815,10422,4287,4760,817,982
2020-05-27,12149,10620,4370,4962,834,1012
2020-05-28,12575,10822,4454,5169,860,1043
2020-05-29,13099,11026,4553,5382,883,1074
2020-05-30,13667,11232,4656,5601,899,1106
2020-05-31,14103,11440,4762,5826,909,1138
2020-06-01,14656,11649,4865,6057,922,1171
2020-06-02,15331,11862,4970,6294,948,1204
2020-06-03,16122,12078,5071,6537,975,1238
2020-06-04,17046,12299,5182,6786,999,1272
2020-06-05,17950,12524,5289,7042,1019,1306
2020-06-06,19186,12754,5404,7304,1036,1341
2020-06-07,20139,12987,5518,7573,1049,1376
2020-06-08,20954,13215,5640,7849,1060,1412
2020-06-09,21781,13449,5751,8131,1076,1448
2020-06-10,22798,13688,5903,8420,1104,1484
2020-06-11,24205,13929,6051,8716,1130,1521
2020-06-12,25658,14173,6170,9018,1160,1558
2020-06-13,27040,14423,6250,9327,1178,1595
2020-06-14,28208,14677,6334,9644,1194,1633
2020-06-15,29574,14932,6464,9968,1207,1671
2020-06-16,31171,15188,6591,10299,1226,1709
2020-06-17,33211,15447,6725,10637,1253,1747
2020-06-18,35615,15711,6865,10982,1284,1786
2020-06-19,38486,15980,7025,11335,1316,1825
2020-06-20,41338,16255,7200,11695,1338,1864
2020-06-21,43703,16535,7388,12063,1348,1903
2020-06-22,46253,16813,7571,12439,1365,1943
2020-06-23,48564,17094,7754,12823,1404,1983
2020-06-24,51224,17379,7940,13215,1452,2023
2020-06-25,53723,17668,8154,13614,1499,2063
2020-06-26,56756,17962,8395,14022,1537,2103
2020-06-27,60006,18260,8658,14438,1570,2143
2020-06-28,62352,18562,8921,14862,1590,2183
2020-06-29,65113,18868,9172,15294,1612,2223
2020-06-30,68201,19178,9435,15735,1656,2263
2020-07-01,72127,19493,9754,16184,1711,2304
2020-07-02,75935,19814,10110,16642,1762,2345
2020-07-03,78995,20141,10506,17108,1793,2386
2020-07-04,82120,20475,10914,17583,1813,2427
2020-07-05,84852,20812,11366,18067,1823,2468
2020-07-06,87871,21156,11819,18561,1860,2509
2020-07-07,90849,21506,12299,19064,1906,2550
2020-07-08,94016,21861,12801,19576,1976,2590
2020-07-09,97366,22222,13332,20098,2027,2630
2020-07-10,100545,22589,13862,20629,2090,2670
2020-07-11,103249,22961,14358,21170,2156,2710
2020-07-12,105037,23340,14825,21721,2211,2750
2020-07-13,107270,23725,15253,22282,2273,2790
2020-07-14,109724,24116,15695,22854,2339,2830
2020-07-15,112761,24515,16172,23436,2421,2870
2020-07-16,115653,24921,16674,24028,2503,2910
2020-07-17,118356,25334,17176,24631,2601,2949
2020-07-18,120782,25755,17664,25245,2691,2988
2020-07-19,122490,26185,18109,25870,2758,3027
2020-07-20,124499,26620,18510,26507,2821,3066
