date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7782,2287,2824,344,358
2020-04-14,8080,8008,2666,3185,377,372
2020-04-15,8262,8251,3135,3562,412,387
2020-04-16,8330,8497,3672,3956,450,402
2020-04-17,8292,8749,4224,4368,482,418
2020-04-18,8130,9004,4776,4798,509,434
2020-04-19,8122,9264,5282,5247,530,451
2020-04-20,8160,9526,5842,5716,554,468
2020-04-21,8258,9789,6511,6205,578,486
2020-04-22,8245,10060,7284,6715,612,504
2020-04-23,8141,10341,8174,7246,641,523
2020-04-24,7995,10629,9055,7799,668,542
2020-04-25,7656,10922,9968,8375,685,562
2020-04-26,7752,11219,10639,8975,703,582
2020-04-27,7958,11506,11239,9599,732,603
2020-04-28,8255,11762,12090,10247,767,624
2020-04-29,8332,12009,13074,10918,811,646
2020-04-30,8801,12249,13852,11612,849,668
2020-05-01,9260,12487,14378,12328,897,691
2020-05-02,9533,12723,14852,13067,937,714
2020-05-03,9512,12951,15508,13828,974,737
2020-05-04,9599,13175,16141,14612,996,761
2020-05-05,9927,13391,16834,15419,1019,785
2020-05-06,10325,13603,17617,16248,1044,810
2020-05-07,10878,13812,18419,17099,1075,835
2020-05-08,11514,14017,19259,17973,1109,860
2020-05-09,11779,14219,20120,18869,1145,886
2020-05-10,11588,14417,21259,19787,1177,912
2020-05-11,11393,14614,22385,20727,1209,938
2020-05-12,11609,14804,23218,21690,1237,965
2020-05-13,11957,14989,23841,22675,1278,992
2020-05-14,12018,15169,24486,23681,1323,1019
2020-05-15,11988,15346,25514,24709,1373,1047
2020-05-16,11935,15518,26541,25759,1409,1075
2020-05-17,12079,15689,27514,26830,1434,1103
2020-05-18,12178,15858,28433,27922,1458,1131
2020-05-19,12294,16020,29504,29036,1487,1160
2020-05-20,12416,16176,30454,30171,1520,1189
2020-05-21,12735,16327,31076,31326,1545,1218
2020-05-22,12935,16475,31574,32501,1561,1247
2020-05-23,12820,16620,32295,33697,1583,1277
2020-05-24,12014,16770,33651,34913,1605,1307
2020-05-25,11470,16922,35017,36149,1627,1337
2020-05-26,10963,17065,36431,37405,1647,1367
2020-05-27,10814,17197,37635,38681,1670,1397
2020-05-28,10229,17318,39258,39976,1694,1428
2020-05-29,9654,17432,40857,41290,1720,1459
2020-05-30,9284,17541,42030,42621,1743,1490
2020-05-31,9446,17652,42728,43970,1765,1521
2020-06-01,9881,17763,43426,45336,1784,1552
2020-06-02,10034,17859,44571,46720,1808,1583
2020-06-03,12386,17951,45724,48120,1841,1614
2020-06-04,15230,18040,46840,49536,1871,1645
2020-06-05,18192,18126,47853,50967,1900,1676
2020-06-06,18448,18211,49069,52413,1921,1708
2020-06-07,18293,18301,50161,53874,1937,1740
2020-06-08,19431,18395,50909,55351,1950,1772
2020-06-09,21554,18478,51576,56844,1970,1804
2020-06-10,23433,18555,52561,58351,1996,1836
2020-06-11,24473,18629,53934,59872,2024,1868
2020-06-12,24905,18700,55296,61407,2050,1900
2020-06-13,25162,18777,56711,62956,2072,1932
2020-06-14,26077,18869,57988,64519,2092,1964
2020-06-15,27826,18977,59370,66097,2122,1996
2020-06-16,30514,19071,60712,67691,2159,2028
2020-06-17,32561,19140,62287,69300,2198,2060
2020-06-18,34594,19196,63836,70922,2231,2092
2020-06-19,36556,19251,65412,72556,2262,2124
2020-06-20,38432,19312,66974,74201,2286,2156
2020-06-21,40494,19391,68261,75858,2309,2188
2020-06-22,43446,19489,69467,77529,2330,2220
2020-06-23,47218,19568,70934,79215,2360,2252
2020-06-24,50962,19628,72702,80914,2398,2284
2020-06-25,55537,19679,74558,82625,2440,2316
2020-06-26,59940,19733,76342,84346,2482,2348
2020-06-27,64531,19796,78168,86078,2518,2380
2020-06-28,69048,19877,79852,87821,2550,2412
2020-06-29,73816,19978,82042,89577,2578,2444
2020-06-30,78855,20065,84569,91348,2616,2476
2020-07-01,82345,20134,87698,93132,2662,2508
2020-07-02,85823,20196,90616,94928,2715,2540
2020-07-03,87947,20258,93907,96735,2762,2572
2020-07-04,90608,20349,97281,98553,2805,2604
2020-07-05,93564,20484,100685,100384,2847,2636
2020-07-06,97541,20622,104370,102233,2910,2668
2020-07-07,102141,20752,108517,104099,2989,2700
2020-07-08,106832,20850,113365,105982,3100,2733
2020-07-09,112219,20924,118202,107879,3197,2766
2020-07-10,116554,20994,123067,109787,3293,2799
2020-07-11,119727,21080,127838,111706,3371,2832
2020-07-12,123368,21204,132312,113638,3454,2865
2020-07-13,127112,21345,137151,115586,3540,2898
2020-07-14,131254,21447,142697,117551,3646,2931
2020-07-15,133639,21524,149203,119530,3779,2964
2020-07-16,134936,21587,155801,121520,3936,2997
2020-07-17,136278,21664,162569,123520,4088,3030
2020-07-18,137912,21763,168236,125531,4210,3063
2020-07-19,141193,21906,173462,127555,4319,3096
2020-07-20,143895,22084,179112,129597,4416,3129
2020-07-21,145877,22209,186571,131659,4576,3162
2020-07-22,146488,22297,195223,133736,4750,3195
2020-07-23,146735,22368,203785,135825,4960,3228
2020-07-24,145599,22444,212517,137925,5137,3261
2020-07-25,140625,22538,223501,140035,5304,3294
2020-07-26,136375,22686,234245,142158,5636,3327
2020-07-27,136725,22858,241892,144298,5988,3360
2020-07-28,140705,22983,246748,146458,6370,3393
2020-07-29,143721,23079,252112,148633,6609,3426
2020-07-30,142056,23155,261693,150820,6829,3459
2020-07-31,136306,23232,274582,153017,7057,3492
2020-08-01,129836,23336,286875,155225,7208,3525
2020-08-02,126325,23492,294952,157445,7370,3558
2020-08-03,129802,24070,300368,159683,7522,3591
2020-08-04,134084,25480,306445,161979,7784,3624
2020-08-05,137044,26976,315239,164413,8273,3659
2020-08-06,137115,28561,323708,166993,8777,3696
2020-08-07,140088,30264,331271,169728,9226,3735
2020-08-08,144633,32133,338285,172629,9421,3776
2020-08-09,151739,34403,344340,175712,9553,3819
2020-08-10,157236,36988,350996,179017,9615,3865
2020-08-11,160832,39257,358499,182574,9747,3914
2020-08-12,161276,41157,367142,186353,9926,3966
2020-08-13,163021,42889,375610,190319,10206,4020
2020-08-14,164679,44634,384247,194456,10449,4076
2020-08-15,165766,46535,392185,198765,10659,4134
2020-08-16,164908,48805,399551,203262,10786,4195
2020-08-17,163804,50768,407097,207982,10916,4258
2020-08-18,163485,51293,415468,212896,11089,4323
2020-08-19,161742,51372,424182,217865,11325,4389
2020-08-20,159929,51220,431823,222846,11572,4454
2020-08-21,157392,50994,438938,227816,11785,4519
2020-08-22,154846,50748,445543,232768,11955,4583
2020-08-23,152097,50517,451662,237700,12066,4646
2020-08-24,149694,50296,458502,242613,12181,4709
2020-08-25,147833,50033,465384,247508,12322,4771
2020-08-26,147193,49730,472574,252381,12511,4832
2020-08-27,147110,49423,478684,257228,12699,4893
2020-08-28,146022,49127,485517,262048,12872,4953
2020-08-29,142678,48850,492439,266842,12998,5012
2020-08-30,138409,48592,499979,271612,13081,5070
2020-08-31,134261,48359,507292,276360,13165,5128
2020-09-01,130620,48113,514815,281088,13288,5185
2020-09-02,127790,47840,521435,285794,13458,5241
2020-09-03,125749,47519,527223,290476,13627,5297
2020-09-04,124167,47200,532621,295129,13778,5352
2020-09-05,120071,46926,539638,299753,13892,5406
2020-09-06,115375,46733,546700,304353,13981,5460
2020-09-07,112870,46612,551742,308936,14057,5513
2020-09-08,112549,46493,555237,313509,14149,5566
2020-09-09,113224,46317,558805,318073,14231,5618
2020-09-10,110427,46051,565319,322622,14370,5670
2020-09-11,108811,45763,571631,327147,14503,5721
2020-09-12,109179,45481,577551,331645,14656,5771
2020-09-13,111676,45235,581872,336117,14733,5821
2020-09-14,114854,45007,584565,340567,14821,5870
2020-09-15,115781,44755,587553,344996,14929,5918
2020-09-16,116527,44491,590522,349402,15050,5966
2020-09-17,115902,44216,595438,353784,15161,6013
2020-09-18,115557,43966,600333,358140,15258,6060
2020-09-19,117246,43743,605131,362473,15337,6106
2020-09-20,119364,43563,608862,366786,15397,6151
2020-09-21,122064,43430,611654,371082,15461,6196
2020-09-22,123009,43300,614602,375367,15553,6240
2020-09-23,117572,43172,624706,379640,15677,6284
2020-09-24,111438,43044,635455,383902,15799,6328
2020-09-25,104627,42942,645964,388152,15914,6371
2020-09-26,103401,42888,649366,392393,15996,6414
2020-09-27,102879,42897,653121,396630,16065,6456
2020-09-28,103183,43352,656940,400869,16122,6498
2020-09-29,103840,44827,661109,405154,16202,6540
2020-09-30,104051,46455,664812,409586,16300,6583
2020-10-01,104017,48298,668514,414181,16424,6627
2020-10-02,103763,50358,672634,418959,16535,6673
2020-10-03,102768,52610,676490,423942,16623,6720
2020-10-04,101612,54977,680342,429149,16700,6769
2020-10-05,101486,57480,683686,434591,16784,6820
2020-10-06,101447,59821,687700,440282,16892,6873
2020-10-07,101375,62001,691531,446206,16998,6928
2020-10-08,100610,64271,695266,452348,17099,6984
2020-10-09,100569,66734,698419,458716,17187,7042
2020-10-10,100445,69333,701242,465329,17250,7101
2020-10-11,101437,71985,703478,472201,17296,7162
2020-10-12,102669,74606,705733,479337,17350,7225
2020-10-13,104607,77178,708325,486734,17427,7290
2020-10-14,105306,79575,711934,494387,17526,7356
2020-10-15,106516,81933,715643,502279,17620,7424
2020-10-16,106657,84452,719565,510407,17704,7493
2020-10-17,108254,87288,722971,518786,17759,7564
2020-10-18,109476,90651,726399,527448,17793,7637
2020-10-19,111813,94282,729917,536445,17827,7712
2020-10-20,112565,97357,734220,545803,17890,7789
2020-10-21,112778,99823,739060,555468,17958,7868
2020-10-22,113525,102130,743891,565379,18040,7948
2020-10-23,113943,104445,748715,575520,18136,8029
2020-10-24,114728,107095,752319,585893,18235,8112
2020-10-25,115212,110331,755632,596530,18310,8196
2020-10-26,116875,113819,758798,607490,18359,8282
2020-10-27,121197,116886,763068,618798,18428,8370
2020-10-28,125593,119461,767787,630412,18521,8459
2020-10-29,129973,121748,772278,642283,18630,8549
2020-10-30,130585,123803,777925,654382,18737,8640
2020-10-31,130566,126044,783036,666687,18823,8732
2020-11-01,132070,128877,786738,679216,18931,8825
2020-11-02,134599,132003,789218,692028,19041,8919
2020-11-03,137610,134939,792519,705152,19167,9014
2020-11-04,139922,137675,797494,718569,19286,9111
2020-11-05,142784,140364,802401,732259,19402,9209
2020-11-06,144855,142812,806983,746218,19518,9308
2020-11-07,146003,145363,812851,760422,19600,9407
2020-11-08,149549,148352,817233,774881,19670,9507
2020-11-09,153719,150855,822162,789638,19753,9608
2020-11-10,159057,150569,826024,804645,19866,9710
2020-11-11,161663,149442,832288,819625,20051,9811
2020-11-12,163183,147870,840466,834494,20185,9910
2020-11-13,160916,146192,850267,849208,20328,10007
2020-11-14,157622,144631,861212,863756,20400,10102
2020-11-15,155566,143200,869503,878149,20489,10195
2020-11-16,157100,141835,876842,892401,20562,10286
2020-11-17,161399,140424,882614,906518,20674,10376
2020-11-18,167419,138873,889504,920495,20840,10464
2020-11-19,174615,137327,895744,934319,21034,10550
2020-11-20,181301,135871,902423,947990,21221,10634
2020-11-21,186794,134556,908292,961516,21369,10717
2020-11-22,194940,133528,913557,974912,21469,10798
2020-11-23,203548,134325,919622,988207,21578,10877
2020-11-24,212573,139077,926693,1001582,21710,10956
2020-11-25,215438,145050,935266,1015431,21887,11037
2020-11-26,220195,152315,941710,1029875,22023,11121
2020-11-27,227859,160146,946902,1045043,22141,11208
2020-11-28,239016,167927,950571,1060992,22219,11299
2020-11-29,247271,176756,955896,1077717,22312,11393
2020-11-30,252077,184754,964540,1095322,22417,11491
2020-12-01,253080,189779,977435,1113724,22601,11592
2020-12-02,254314,192367,990936,1132627,22823,11695
2020-12-03,255845,193972,1002997,1151789,23062,11798
2020-12-04,260762,194976,1012712,1171111,23268,11901
2020-12-05,265249,195570,1021904,1190534,23428,12003
2020-12-06,270231,196224,1030606,1210017,23539,12105
2020-12-07,273528,196185,1039979,1229566,23639,12206
2020-12-08,276466,194081,1050540,1249112,23803,12306
2020-12-09,278605,191454,1062464,1268449,24017,12404
2020-12-10,258016,188585,1098103,1287525,24252,12499
2020-12-11,237865,185668,1133296,1306316,24454,12592
2020-12-12,218491,182807,1167228,1324816,24615,12682
2020-12-13,225546,180035,1176660,1343032,24714,12770
2020-12-14,232972,177390,1188467,1360972,24819,12856
2020-12-15,235261,174754,1206634,1378649,24987,12940
2020-12-16,234915,172135,1226538,1396064,25219,13021
2020-12-17,239265,169577,1240518,1413218,25502,13100
2020-12-18,245120,167125,1250554,1430118,25762,13177
2020-12-19,252722,164876,1258445,1446774,25981,13252
