date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7012,600,1370,148,196
2020-04-14,5246,6917,731,2006,166,227
2020-04-15,5530,6783,808,2633,185,257
2020-04-16,5812,6683,937,3248,211,287
2020-04-17,6149,6627,1096,3854,232,316
2020-04-18,6572,6610,1201,4455,255,345
2020-04-19,6977,6624,1273,5054,278,374
2020-04-20,7418,6662,1336,5654,300,403
2020-04-21,7891,6719,1413,6258,324,432
2020-04-22,8456,6790,1494,6867,348,461
2020-04-23,8997,6872,1578,7483,377,490
2020-04-24,9593,6963,1652,8106,407,519
2020-04-25,10144,7061,1734,8737,432,548
2020-04-26,10719,7165,1791,9377,448,577
2020-04-27,11291,7274,1857,10027,467,607
2020-04-28,11855,7387,1933,10686,491,637
2020-04-29,12507,7503,2020,11356,522,667
2020-04-30,13238,7622,2114,12036,551,697
2020-05-01,14042,7744,2204,12727,583,727
2020-05-02,14816,7868,2335,13429,619,757
2020-05-03,15529,7995,2452,14142,653,788
2020-05-04,16191,8125,2588,14867,695,819
2020-05-05,16574,8258,2697,15604,731,850
2020-05-06,17145,8394,2790,16353,759,881
2020-05-07,17724,8532,2882,17114,783,912
2020-05-08,18585,8674,2982,17887,802,943
2020-05-09,19273,8818,3107,18673,826,974
2020-05-10,20078,8964,3199,19472,838,1005
2020-05-11,20832,9115,3291,20285,860,1036
2020-05-12,21573,9271,3409,21111,890,1067
2020-05-13,22317,9431,3544,21951,925,1098
2020-05-14,23110,9596,3679,22806,954,1129
2020-05-15,23946,9765,3797,23676,979,1160
2020-05-16,24682,9937,3902,24561,997,1191
2020-05-17,25391,10113,4003,25462,1009,1222
2020-05-18,26079,10292,4123,26379,1022,1253
2020-05-19,26720,10474,4300,27312,1044,1284
2020-05-20,27467,10660,4524,28262,1072,1315
2020-05-21,28141,10850,4754,29228,1103,1345
2020-05-22,28885,11045,4929,30212,1131,1375
2020-05-23,29455,11245,5037,31213,1155,1405
2020-05-24,30296,11450,5098,32232,1179,1435
2020-05-25,31408,11659,5158,33270,1205,1465
2020-05-26,32619,11871,5246,34327,1241,1495
2020-05-27,33690,12087,5355,35403,1285,1524
2020-05-28,34574,12307,5495,36499,1325,1553
2020-05-29,35539,12531,5621,37615,1355,1582
2020-05-30,36463,12761,5753,38751,1367,1611
2020-05-31,37322,12995,5837,39908,1379,1639
2020-06-01,38097,13233,5926,41086,1391,1667
2020-06-02,38746,13476,6025,42286,1409,1695
2020-06-03,39421,13722,6153,43508,1426,1722
2020-06-04,40042,13974,6280,44752,1442,1749
2020-06-05,40790,14230,6352,46019,1453,1776
2020-06-06,41637,14493,6437,47309,1462,1802
2020-06-07,42481,14763,6492,48623,1470,1828
2020-06-08,43152,15030,6590,49961,1481,1854
2020-06-09,43541,15297,6686,51324,1495,1879
2020-06-10,43878,15564,6799,52711,1510,1904
2020-06-11,44249,15834,6907,54122,1522,1928
2020-06-12,44702,16106,7009,55557,1531,1952
2020-06-13,45219,16381,7103,57017,1540,1976
2020-06-14,45695,16659,7179,58502,1546,1999
2020-06-15,46102,16940,7249,60012,1556,2022
2020-06-16,46429,17226,7333,61548,1568,2044
2020-06-17,46781,17518,7421,63110,1579,2066
2020-06-18,47183,17815,7495,64698,1590,2087
2020-06-19,47672,18116,7554,66313,1598,2108
2020-06-20,48199,18423,7605,67955,1606,2128
2020-06-21,48717,18734,7638,69625,1612,2148
2020-06-22,49181,19050,7678,71323,1625,2167
2020-06-23,49632,19372,7717,73050,1642,2186
2020-06-24,50055,19698,7769,74806,1660,2204
2020-06-25,50515,20029,7817,76592,1678,2222
2020-06-26,51004,20365,7884,78408,1699,2240
2020-06-27,51519,20707,7947,80254,1718,2257
2020-06-28,51994,21055,7998,82131,1732,2274
2020-06-29,52456,21409,8036,84040,1745,2290
2020-06-30,52885,21769,8078,85981,1763,2306
2020-07-01,53218,22134,8235,87954,1788,2321
2020-07-02,53516,22506,8446,89961,1815,2336
2020-07-03,53927,22884,8649,92001,1836,2350
2020-07-04,54485,23268,8745,94076,1853,2364
2020-07-05,55010,23658,8778,96185,1865,2377
2020-07-06,55485,24054,8835,98330,1876,2390
2020-07-07,55939,24455,8911,100511,1889,2403
2020-07-08,56464,24862,8996,102728,1907,2415
2020-07-09,57077,25275,9088,104982,1933,2427
2020-07-10,57773,25694,9175,107273,1952,2438
2020-07-11,58576,26120,9256,109602,1962,2449
2020-07-12,59430,26552,9303,111970,1965,2460
2020-07-13,60261,26992,9354,114377,1970,2470
2020-07-14,61132,27440,9426,116824,1979,2480
2020-07-15,61944,27896,9531,119312,1992,2490
2020-07-16,62775,28358,9684,121841,2004,2499
2020-07-17,63563,28827,9834,124412,2015,2508
2020-07-18,64433,29303,9958,127025,2021,2516
2020-07-19,65332,29785,10033,129681,2027,2524
2020-07-20,66238,30308,10119,132381,2035,2532
2020-07-21,67112,30850,10224,135129,2043,2540
2020-07-22,67934,31408,10348,137926,2051,2547
2020-07-23,68812,31978,10462,140773,2057,2554
2020-07-24,69720,32560,10618,143672,2065,2561
2020-07-25,70688,33160,10752,146624,2073,2567
2020-07-26,71797,33774,10874,149630,2078,2573
2020-07-27,72668,34402,11124,152692,2085,2579
2020-07-28,73539,35049,11380,155811,2100,2585
2020-07-29,74201,35710,11642,158988,2120,2590
2020-07-30,75011,36383,11771,162225,2146,2595
2020-07-31,75798,37068,11890,165523,2176,2600
2020-08-01,76600,37772,12017,168883,2206,2605
2020-08-02,77543,38493,12123,172307,2230,2609
2020-08-03,78558,39187,12249,175797,2239,2613
2020-08-04,79494,39870,12387,179349,2254,2617
2020-08-05,80269,40550,12514,182963,2272,2621
2020-08-06,81343,41232,12627,186639,2296,2625
2020-08-07,82600,41916,12734,190377,2312,2629
2020-08-08,83901,42603,12830,194177,2321,2632
