t,R_mean,R_low,R_high
21,1.4458128010029871,1.4244262125275198,1.46735653891567
22,1.4204747462528322,1.4000604589711914,1.4410347422683387
23,1.3462578528934392,1.3270806594557054,1.3655707104663461
24,1.2804801626931643,1.2623993147588546,1.2986877936081458
25,1.22348710858321,1.2063611118929585,1.2407321422670727
26,1.1780623422622318,1.161714642039515,1.1945226814069996
27,1.1455724863312278,1.129811802028537,1.161440828368536
28,1.1245732030768438,1.1092332014379036,1.1400170903181517
29,1.1121919147432249,1.0971503662683262,1.1273344518301047
30,1.1054125983453946,1.090590697728206,1.1203331553815192
31,1.1018990578869692,1.0872506294859894,1.1166441486439251
32,1.1003114795814632,1.0858101097816242,1.114907711919325
33,1.0997111775575639,1.0853429668755687,1.114172562166171
34,1.099656784865978,1.0854141396982766,1.1139909819051435
35,1.0998354152357939,1.0857145604109808,1.1140462432090568
36,1.100152099445332,1.0861507917125197,1.1142418329348283
37,1.1003896709597896,1.0865075170684368,1.1143587283938792
38,1.1005573442911305,1.0867940920986598,1.1144060000356277
39,1.1007728919032829,1.0871276092269802,1.1145020993372108
40,1.1009466052624892,1.08741886499722,1.1145568131500039
41,1.1011302339419178,1.0877191923966527,1.1146223085337232
42,1.101280473038664,1.0879855102055673,1.1146550571209999
43,1.101391253256474,1.0882117856713975,1.1146489527326164
44,1.101415098116787,1.0883508306403744,1.1145562301515037
45,1.1013915861410235,1.0884419640755858,1.114416727340948
46,1.1015204978846493,1.0886837443162882,1.1144314473574972
47,1.1017232676287747,1.0889980130847723,1.114521417584
48,1.101958382836868,1.0893434774332829,1.1146449059402268
49,1.1022059542663716,1.0897004427235,1.1147818274106998
50,1.1024735373963557,1.0900765505443353,1.1149396496665807
51,1.10270150339163,1.0904125934336695,1.1150583213164205
52,1.1029146357594113,1.0907332331782733,1.1151627471398016
53,1.1030382960356013,1.0909642240675042,1.115177895874589
54,1.1031421394864631,1.091174798656965,1.115173845621633
55,1.1031596704488726,1.0912987771842566,1.1150837850272541
56,1.1031631582343564,1.0914079789557003,1.1149804337300813
57,1.1032530343984197,1.0916022503582359,1.114964808759198
58,1.1034277637189511,1.0918800300718112,1.1150354012263033
59,1.103679629604023,1.0922336436135338,1.1151844522743724
60,1.1039272600467107,1.0925822068678435,1.115330101153435
61,1.1042648674046114,1.0930195523482764,1.1155669387923748
62,1.1046627918667373,1.0935162707505865,1.115865053778679
63,1.1049842763056774,1.0939363438596552,1.1160869494357462
64,1.1053300422843026,1.0943800181717445,1.1163338218674248
65,1.105682684592868,1.094830006041137,1.116588147857707
66,1.1060050989309107,1.095249377850998,1.1168126483364784
67,1.1062651524819342,1.095606133104314,1.1169750581915678
68,1.1065632568347832,1.0960001848135583,1.1171762875216382
69,1.106890441505831,1.0964225936436527,1.1174073346886026
70,1.1071895962306721,1.0968164955333202,1.1176108433010374
71,1.1074032578013482,1.0971246874994083,1.117729089787269
72,1.10762039160501,1.0974357318989163,1.117851442230128
73,1.1079996054354415,1.0979075104389915,1.118137234370372
74,1.1086480555062326,1.0986466789193614,1.1186941230046978
75,1.1092885196338704,1.0993772822144838,1.1192436188010282
76,1.1099581416116067,1.100136394065003,1.119822934589561
77,1.1104713456926327,1.1007394257382657,1.1202455059956573
78,1.110731275728046,1.1010900305397409,1.120413966379099
79,1.1108668452832329,1.1013165221469308,1.120457829225168
80,1.1108781621048502,1.1014188607193045,1.1203773509018686
81,1.1109279222189636,1.1015588457893921,1.1203361254400688
82,1.11085973588744,1.1015805860075818,1.1201772658900555
83,1.1108505199515042,1.1016601750003852,1.1200785127354032
84,1.1110482662161556,1.1019450011564413,1.120188461012301
85,1.1113182922356128,1.102300966165712,1.1203718438345942
86,1.111677907296921,1.1027453606488329,1.120645988612115
87,1.1121823730458826,1.1033333369780796,1.1210662652773982
88,1.1126784994007408,1.1039124372427187,1.1214787505444288
89,1.1130626003327762,1.1043794664594653,1.1217792665240023
90,1.113173225705348,1.1045736480806723,1.1218056888953984
91,1.1129419893495753,1.104426833846179,1.1214893934225532
92,1.1125135072420638,1.1040829691055356,1.1209756672347744
93,1.1118539775267617,1.1035081758328782,1.1202307858792417
94,1.1109500014351363,1.1026888544948554,1.119241552861873
95,1.109959427023191,1.1017820576531772,1.1181666129014138
96,1.1090197466046214,1.1009246326336724,1.1171441040300305
97,1.1081618320708182,1.1001472476993337,1.1162051022047825
98,1.107565044801199,1.0996285896507538,1.115529643386886
99,1.1071411342400836,1.0992807893202785,1.1150290950607566
100,1.1068440378280027,1.0990580778330687,1.1146570999159393
101,1.1066273295523172,1.0989143691864178,1.1143668905418402
102,1.1064997310954918,1.098858523512924,1.1141670488599302
103,1.1064385999847572,1.0988680953636036,1.1140347344444173
104,1.1061817322835434,1.0986818392311317,1.1137067843594808
105,1.1057381939523934,1.0983088134380103,1.1131922717889084
106,1.1051366837421481,1.0977776177358216,1.112519994261093
107,1.1045636034418913,1.0972739665980968,1.1118770411276422
108,1.1039027506305992,1.0966819281236526,1.111146940043625
109,1.1032629104425442,1.0961098313940856,1.1104389326551942
110,1.1026798097899453,1.0955932633929732,1.1097888858073424
111,1.1022329595858842,1.0952115020974715,1.1092765430800628
112,1.102001793963171,1.0950437760906189,1.1089815437780506
113,1.10198515644053,1.0950890050475688,1.1089026547684964
114,1.102080584115659,1.0952451511104604,1.108936987410584
115,1.1024497981388346,1.0956735724951103,1.1092466248918824
116,1.102937614468006,1.0962197134221379,1.109675753998809
117,1.1034221812850262,1.0967622130920887,1.1101020311297491
118,1.1037787933341296,1.0971768431712892,1.1104002734215437
119,1.103897848624467,1.0973543903803402,1.110460489684912
120,1.1038570110202013,1.0973722775599133,1.1103605847287372
121,1.1036678822681407,1.0972419866500176,1.1101122804902
122,1.1033903845792747,1.0970231309025351,1.1097758087992422
123,1.1030260837463721,1.096717146979144,1.1093528651785964
124,1.102677784057334,1.096426463160411,1.1089466302735054
125,1.1023393201059195,1.0961448942324323,1.1085509586027935
126,1.1020153307206095,1.0958770539119744,1.1081705140771223
127,1.101738096275716,1.0956551431978907,1.1078376562966985
128,1.1013520550632483,1.0953240516284368,1.1073963720913214
129,1.1009731868223718,1.0949994606461264,1.1069629392700258
130,1.100521303254565,1.0946014133063355,1.1064569380111828
131,1.1001346671235586,1.0942677890956893,1.1060170143165566
