date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7782,2287,2824,344,358
2020-04-14,8080,8018,2666,3185,377,372
2020-04-15,8262,8276,3135,3562,412,387
2020-04-16,8330,8540,3672,3957,450,402
2020-04-17,8292,8811,4224,4371,482,418
2020-04-18,8130,9085,4776,4804,509,434
2020-04-19,8122,9363,5282,5257,530,451
2020-04-20,8160,9642,5842,5731,554,468
2020-04-21,8258,9921,6511,6226,578,486
2020-04-22,8245,10207,7284,6743,612,504
2020-04-23,8141,10502,8174,7282,641,523
2020-04-24,7995,10805,9055,7844,668,542
2020-04-25,7656,11113,9968,8430,685,562
2020-04-26,7752,11425,10639,9040,703,583
2020-04-27,7958,11739,11239,9676,732,604
2020-04-28,8255,12047,12090,10338,767,626
2020-04-29,8332,12356,13074,11025,811,648
2020-04-30,8801,12667,13852,11739,849,671
2020-05-01,9260,12982,14378,12479,897,694
2020-05-02,9533,13303,14852,13247,937,718
2020-05-03,9512,13617,15508,14043,974,743
2020-05-04,9599,13932,16141,14867,996,768
2020-05-05,9927,14236,16834,15720,1019,794
2020-05-06,10325,14537,17617,16601,1044,820
2020-05-07,10878,14841,18419,17511,1075,847
2020-05-08,11514,15148,19259,18450,1109,874
2020-05-09,11779,15463,20120,19418,1145,902
2020-05-10,11588,15796,21259,20416,1177,930
2020-05-11,11393,16115,22385,21446,1209,959
2020-05-12,11609,16361,23218,22508,1237,988
2020-05-13,11957,16580,23841,23596,1278,1018
2020-05-14,12018,16782,24486,24709,1323,1048
2020-05-15,11988,16975,25514,25846,1373,1078
2020-05-16,11935,17160,26541,27007,1409,1109
2020-05-17,12079,17343,27514,28191,1434,1140
2020-05-18,12178,17522,28433,29399,1458,1171
2020-05-19,12294,17693,29504,30630,1487,1203
2020-05-20,12416,17858,30454,31883,1520,1235
2020-05-21,12735,18016,31076,33158,1545,1267
2020-05-22,12935,18171,31574,34455,1561,1299
2020-05-23,12820,18322,32295,35774,1583,1332
2020-05-24,12014,18477,33651,37114,1605,1365
2020-05-25,11470,18634,35017,38476,1627,1398
2020-05-26,10963,18781,36431,39860,1647,1431
2020-05-27,10814,18916,37635,41265,1670,1464
2020-05-28,10229,19040,39258,42690,1694,1498
2020-05-29,9654,19156,40857,44134,1720,1532
2020-05-30,9284,19267,42030,45597,1743,1566
2020-05-31,9446,19378,42728,47078,1765,1600
2020-06-01,9881,19489,43426,48578,1784,1634
2020-06-02,10034,19585,44571,50096,1808,1668
2020-06-03,12386,19676,45724,51631,1841,1702
2020-06-04,15230,19763,46840,53183,1871,1736
2020-06-05,18192,19847,47853,54751,1900,1770
2020-06-06,18448,19928,49069,56335,1921,1804
2020-06-07,18293,20014,50161,57934,1937,1839
2020-06-08,19431,20103,50909,59549,1950,1874
2020-06-09,21554,20181,51576,61180,1970,1909
2020-06-10,23433,20252,52561,62826,1996,1944
2020-06-11,24473,20319,53934,64487,2024,1979
2020-06-12,24905,20382,55296,66162,2050,2014
2020-06-13,25162,20451,56711,67850,2072,2049
2020-06-14,26077,20535,57988,69552,2092,2084
2020-06-15,27826,20635,59370,71269,2122,2119
2020-06-16,30514,20720,60712,73002,2159,2154
2020-06-17,32561,20780,62287,74750,2198,2189
2020-06-18,34594,20826,63836,76511,2231,2224
2020-06-19,36556,20870,65412,78284,2262,2259
2020-06-20,38432,20919,66974,80068,2286,2294
2020-06-21,40494,20985,68261,81863,2309,2329
2020-06-22,43446,21071,69467,83671,2330,2364
2020-06-23,47218,21136,70934,85494,2360,2399
2020-06-24,50962,21181,72702,87329,2398,2434
2020-06-25,55537,21217,74558,89175,2440,2469
2020-06-26,59940,21256,76342,91031,2482,2504
2020-06-27,64531,21304,78168,92897,2518,2539
2020-06-28,69048,21371,79852,94773,2550,2574
2020-06-29,73816,21456,82042,96661,2578,2609
2020-06-30,78855,21528,84569,98563,2616,2644
2020-07-01,82345,21581,87698,100478,2662,2679
2020-07-02,85823,21626,90616,102403,2715,2714
2020-07-03,87947,21672,93907,104338,2762,2749
2020-07-04,90608,21747,97281,106283,2805,2784
2020-07-05,93564,21865,100685,108240,2847,2819
2020-07-06,97541,21987,104370,110213,2910,2854
2020-07-07,102141,22100,108517,112203,2989,2889
2020-07-08,106832,22181,113365,114208,3100,2924
2020-07-09,112219,22237,118202,116226,3197,2959
2020-07-10,116554,22289,123067,118254,3293,2994
2020-07-11,119727,22356,127838,120292,3371,3029
2020-07-12,123368,22462,132312,122341,3454,3064
2020-07-13,127112,22585,137151,124404,3540,3099
2020-07-14,131254,22670,142697,126483,3646,3134
2020-07-15,133639,22729,149203,128574,3779,3169
2020-07-16,134936,22775,155801,130675,3936,3204
2020-07-17,136278,22833,162569,132785,4088,3238
2020-07-18,137912,22913,168236,134905,4210,3272
2020-07-19,141193,23039,173462,137036,4319,3306
2020-07-20,143895,23198,179112,139183,4416,3340
2020-07-21,145877,23305,186571,141349,4576,3374
2020-07-22,146488,23374,195223,143529,4750,3408
2020-07-23,146735,23426,203785,145719,4960,3442
2020-07-24,145599,23483,212517,147918,5137,3476
2020-07-25,140625,23558,223501,150126,5304,3510
2020-07-26,136375,23688,234245,152345,5636,3544
2020-07-27,136725,23842,241892,154579,5988,3578
2020-07-28,140705,23949,246748,156831,6370,3612
2020-07-29,143721,24027,252112,159097,6609,3646
2020-07-30,142056,24085,261693,161374,6829,3680
2020-07-31,136306,24143,274582,163659,7057,3714
2020-08-01,129836,24229,286875,165953,7208,3748
2020-08-02,126325,24367,294952,168258,7370,3782
2020-08-03,129802,24515,300368,170580,7522,3816
2020-08-04,134084,24604,306445,172919,7784,3850
2020-08-05,137044,24661,315239,175269,8273,3884
2020-08-06,137115,24711,323708,177627,8777,3918
2020-08-07,140088,24768,331271,179993,9226,3952
2020-08-08,144633,24851,338285,182367,9421,3986
2020-08-09,151739,24984,344340,184752,9553,4020
2020-08-10,157236,25157,350996,187152,9615,4054
2020-08-11,160832,25299,358499,189571,9747,4088
2020-08-12,161276,25394,367142,192006,9926,4122
2020-08-13,163021,25467,375610,194453,10206,4156
2020-08-14,164679,25549,384247,196909,10449,4190
2020-08-15,165766,25652,392185,199376,10659,4223
2020-08-16,164908,25816,399551,201855,10786,4256
2020-08-17,163804,26017,407097,204352,10916,4289
2020-08-18,163485,26171,415468,206870,11089,4322
2020-08-19,161742,26283,424182,209405,11325,4355
2020-08-20,159929,26382,431823,211953,11572,4388
2020-08-21,157392,26497,438938,214513,11785,4421
2020-08-22,154846,26633,445543,217086,11955,4454
2020-08-23,152097,26803,451662,219674,12066,4487
2020-08-24,149694,26985,458502,222281,12181,4520
2020-08-25,147833,27120,465384,224907,12322,4553
2020-08-26,147193,27209,472574,227548,12511,4586
2020-08-27,147110,27289,478684,230200,12699,4619
2020-08-28,146022,27375,485517,232861,12872,4652
2020-08-29,142678,27477,492439,235532,12998,4685
2020-08-30,138409,27600,499979,238215,13081,4718
2020-08-31,134261,27740,507292,240912,13165,4751
2020-09-01,130620,27857,514815,243624,13288,4784
2020-09-02,127790,27938,521435,246349,13458,4817
2020-09-03,125749,27965,527223,249083,13627,4850
2020-09-04,124167,27989,532621,251821,13778,4882
2020-09-05,120071,28055,539638,254563,13892,4914
2020-09-06,115375,28203,546700,257313,13981,4946
2020-09-07,112870,28417,551742,260079,14057,4978
2020-09-08,112549,28625,555237,262867,14149,5010
2020-09-09,113224,28768,558805,265677,14231,5042
2020-09-10,110427,28814,565319,268502,14370,5074
2020-09-11,108811,28833,571631,271333,14503,5106
2020-09-12,109179,28856,577551,274167,14656,5138
2020-09-13,111676,28911,581872,277005,14733,5169
2020-09-14,114854,28977,584565,279849,14821,5200
2020-09-15,115781,29015,587553,282701,14929,5231
2020-09-16,116527,29035,590522,285558,15050,5262
2020-09-17,115902,29040,595438,288418,15161,5293
2020-09-18,115557,29066,600333,291279,15258,5324
2020-09-19,117246,29117,605131,294144,15337,5354
2020-09-20,119364,29210,608862,297015,15397,5384
2020-09-21,122064,29344,611654,299896,15461,5414
2020-09-22,123009,29475,614602,302791,15553,5444
2020-09-23,117572,29602,624706,305700,15677,5474
2020-09-24,111438,29725,635455,308622,15799,5504
2020-09-25,104627,29871,645964,311557,15914,5534
2020-09-26,103401,30062,649366,314507,15996,5564
2020-09-27,102879,30317,653121,317477,16065,5594
2020-09-28,103183,30999,656940,320473,16122,5624
2020-09-29,103840,32770,661109,323537,16202,5654
2020-09-30,104051,34706,664812,326777,16300,5686
2020-10-01,104017,36869,668514,330210,16424,5719
2020-10-02,103763,39246,672634,333857,16535,5754
2020-10-03,102768,41826,676490,337740,16623,5791
2020-10-04,101612,44530,680342,341880,16700,5830
2020-10-05,101486,47379,683686,346288,16784,5871
2020-10-06,101447,50056,687700,350979,16892,5915
2020-10-07,101375,52559,691531,355936,16998,5961
2020-10-08,100610,55144,695266,361142,17099,6009
2020-10-09,100569,57925,698419,366605,17187,6058
2020-10-10,100445,60846,701242,372345,17250,6110
2020-10-11,101437,63862,703478,378376,17296,6164
2020-10-12,102669,66877,705733,384707,17350,6220
2020-10-13,104607,69619,708325,391338,17427,6278
2020-10-14,105306,72123,711934,398242,17526,6338
2020-10-15,106516,74553,715643,405395,17620,6400
2020-10-16,106657,77131,719565,412791,17704,6463
2020-10-17,108254,80013,722971,420443,17759,6528
2020-10-18,109476,83413,726399,428383,17793,6595
2020-10-19,111813,87080,729917,436661,17827,6664
2020-10-20,112565,90192,734220,445304,17890,6735
2020-10-21,112778,92699,739060,454258,17958,6808
2020-10-22,113525,95050,743891,463462,18040,6883
2020-10-23,113943,97408,748715,472900,18136,6959
2020-10-24,114728,100100,752319,482574,18235,7036
2020-10-25,115212,103375,755632,492516,18310,7114
2020-10-26,116875,106173,758798,502785,18359,7194
2020-10-27,121197,106594,763068,513333,18428,7276
2020-10-28,125593,106287,767787,523924,18521,7357
2020-10-29,129973,105568,772278,534486,18630,7437
2020-10-30,130585,104702,777925,544977,18737,7516
2020-10-31,130566,103813,783036,555383,18823,7594
2020-11-01,132070,103000,786738,565702,18931,7670
2020-11-02,134599,102239,789218,575941,19041,7745
2020-11-03,137610,101454,792519,586106,19167,7819
2020-11-04,139922,100654,797494,596194,19286,7892
2020-11-05,142784,99840,802401,606203,19402,7963
2020-11-06,144855,99049,806983,616132,19518,8033
2020-11-07,146003,98308,812851,625983,19600,8102
2020-11-08,149549,97698,817233,635761,19670,8170
2020-11-09,153719,97187,822162,645479,19753,8237
2020-11-10,159057,96606,826024,655147,19866,8303
2020-11-11,161663,95957,832288,664758,20051,8368
2020-11-12,163183,95273,840466,674305,20185,8432
2020-11-13,160916,94644,850267,683785,20328,8495
2020-11-14,157622,94196,861212,693203,20400,8557
2020-11-15,155566,93902,869503,702577,20489,8618
2020-11-16,157100,93664,876842,711922,20562,8678
2020-11-17,161399,93360,882614,721244,20674,8737
2020-11-18,167419,92896,889504,730537,20840,8795
2020-11-19,174615,92419,895744,739784,21034,8853
2020-11-20,181301,92016,902423,748984,21221,8910
2020-11-21,186794,91742,908292,758145,21369,8966
2020-11-22,194940,91746,913557,767279,21469,9021
2020-11-23,203548,92082,919622,776414,21578,9076
2020-11-24,212573,92520,926693,785583,21710,9130
2020-11-25,215438,93057,935266,794796,21887,9184
2020-11-26,220195,93755,941710,804063,22023,9238
2020-11-27,227859,94484,946902,813400,22141,9292
2020-11-28,239016,95031,950571,822810,22219,9345
2020-11-29,247271,95869,955896,832275,22312,9398
2020-11-30,252077,96557,964540,841823,22417,9451
2020-12-01,253080,96686,977435,851440,22601,9504
2020-12-02,254314,96408,990936,861071,22823,9556
2020-12-03,255845,95987,1002997,870674,23062,9608
2020-12-04,260762,95482,1012712,880236,23268,9659
2020-12-05,265249,94917,1021904,889748,23428,9709
2020-12-06,270231,94385,1030606,899204,23539,9758
2020-12-07,273528,93833,1039979,908607,23639,9807
2020-12-08,276466,93212,1050540,917956,23803,9855
2020-12-09,278605,92627,1062464,927243,24017,9902
2020-12-10,258016,92069,1098103,936472,24252,9948
2020-12-11,237865,91553,1133296,945646,24454,9993
2020-12-12,218491,91116,1167228,954769,24615,10038
2020-12-13,225546,90765,1176660,963848,24714,10082
2020-12-14,232972,90494,1188467,972893,24819,10125
2020-12-15,235261,90173,1206634,981911,24987,10168
2020-12-16,234915,89816,1226538,990897,25219,10210
2020-12-17,239265,89473,1240518,999848,25502,10251
2020-12-18,245120,89197,1250554,1008765,25762,10292
2020-12-19,252722,89097,1258445,1017655,25981,10332
