date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2342,401,634,101,115
2020-04-14,2417,2231,602,845,110,123
2020-04-15,2434,2128,803,1046,120,131
2020-04-16,2459,2035,1003,1238,130,138
2020-04-17,2453,1951,1204,1422,140,145
2020-04-18,2458,1877,1405,1598,150,152
2020-04-19,2487,1813,1606,1767,160,159
2020-04-20,2524,1759,1806,1931,170,165
2020-04-21,2519,1714,2007,2090,181,171
2020-04-22,2521,1678,2208,2245,192,177
2020-04-23,2550,1650,2409,2397,201,183
2020-04-24,2616,1630,2609,2546,210,189
2020-04-25,2658,1618,2810,2693,219,195
2020-04-26,2671,1613,3011,2839,225,201
2020-04-27,2672,1614,3212,2985,231,207
2020-04-28,2683,1622,3413,3131,239,213
2020-04-29,2711,1636,3614,3277,250,219
2020-04-30,2785,1656,3816,3425,264,225
2020-05-01,2862,1681,4017,3575,277,231
2020-05-02,2891,1711,4219,3727,291,237
2020-05-03,2880,1746,4441,3881,301,243
2020-05-04,2876,1786,4684,4039,318,249
2020-05-05,2879,1830,4948,4200,342,255
2020-05-06,2857,1879,5212,4365,370,261
2020-05-07,2864,1932,5476,4535,393,267
2020-05-08,2903,1989,5740,4709,408,274
2020-05-09,2899,2050,6004,4889,420,281
2020-05-10,2842,2113,6247,5074,428,288
2020-05-11,2785,2179,6469,5265,440,295
2020-05-12,2767,2249,6671,5462,452,302
2020-05-13,2820,2322,6873,5665,467,310
2020-05-14,2904,2399,7075,5875,479,318
2020-05-15,3031,2479,7277,6092,494,326
2020-05-16,3086,2561,7479,6316,508,334
2020-05-17,3069,2646,7695,6547,519,343
2020-05-18,3017,2734,7926,6786,534,352
2020-05-19,2979,2825,8172,7033,550,361
2020-05-20,2978,2920,8418,7288,568,371
2020-05-21,3027,3018,8663,7552,581,381
2020-05-22,3111,3118,8909,7825,597,391
2020-05-23,3196,3218,9155,8107,612,401
2020-05-24,3212,3318,9404,8398,625,412
2020-05-25,3188,3419,9658,8698,637,423
2020-05-26,3177,3522,9915,9007,652,434
2020-05-27,3205,3628,10173,9325,671,446
2020-05-28,3282,3737,10430,9653,691,458
2020-05-29,3402,3850,10688,9990,708,470
2020-05-30,3514,3964,10945,10338,722,483
2020-05-31,3550,4080,11219,10696,732,496
2020-06-01,3516,4200,11510,11064,746,509
2020-06-02,3458,4324,11818,11443,762,523
2020-06-03,3401,4452,12125,11833,781,537
2020-06-04,3324,4584,12433,12235,793,552
2020-06-05,3247,4720,12740,12649,802,567
