date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7011,600,1370,148,196
2020-04-14,5246,6916,731,2006,166,227
2020-04-15,5530,6781,808,2633,185,257
2020-04-16,5812,6680,937,3248,211,287
2020-04-17,6149,6623,1096,3854,232,316
2020-04-18,6572,6605,1201,4454,255,345
2020-04-19,6977,6617,1273,5053,278,374
2020-04-20,7418,6653,1336,5653,300,403
2020-04-21,7891,6708,1413,6256,324,432
2020-04-22,8456,6777,1494,6864,348,461
2020-04-23,8997,6857,1578,7478,377,490
2020-04-24,9593,6946,1652,8100,407,519
2020-04-25,10144,7041,1734,8730,432,548
2020-04-26,10719,7143,1791,9368,448,577
2020-04-27,11291,7249,1857,10016,467,607
2020-04-28,11855,7360,1933,10673,491,637
2020-04-29,12507,7474,2020,11340,522,667
2020-04-30,13238,7592,2114,12018,551,697
2020-05-01,14042,7712,2204,12706,583,727
2020-05-02,14816,7836,2335,13405,619,757
2020-05-03,15529,7963,2452,14115,653,787
2020-05-04,16191,8093,2588,14837,695,818
2020-05-05,16574,8226,2697,15571,731,849
2020-05-06,17145,8361,2790,16317,759,880
2020-05-07,17724,8499,2882,17075,783,911
2020-05-08,18585,8640,2982,17845,802,942
2020-05-09,19273,8783,3107,18628,826,973
2020-05-10,20078,8929,3199,19424,838,1004
2020-05-11,20832,9078,3291,20233,860,1035
2020-05-12,21573,9230,3409,21056,890,1066
2020-05-13,22317,9385,3544,21893,925,1097
2020-05-14,23110,9543,3679,22744,954,1128
2020-05-15,23946,9703,3797,23609,979,1159
2020-05-16,24682,9866,3902,24489,997,1190
2020-05-17,25391,10032,4003,25383,1009,1221
2020-05-18,26079,10200,4123,26292,1022,1252
2020-05-19,26720,10371,4300,27217,1044,1282
2020-05-20,27467,10545,4524,28157,1072,1312
2020-05-21,28141,10722,4754,29113,1103,1342
2020-05-22,28885,10903,4929,30085,1131,1372
2020-05-23,29455,11088,5037,31073,1155,1402
2020-05-24,30296,11276,5098,32078,1179,1432
2020-05-25,31408,11467,5158,33100,1205,1461
2020-05-26,32619,11661,5246,34140,1241,1490
2020-05-27,33690,11858,5355,35197,1285,1519
2020-05-28,34574,12059,5495,36272,1325,1548
2020-05-29,35539,12263,5621,37365,1355,1576
2020-05-30,36463,12471,5753,38477,1367,1604
2020-05-31,37322,12683,5837,39608,1379,1632
2020-06-01,38097,12899,5926,40758,1391,1659
2020-06-02,38746,13119,6025,41927,1409,1686
2020-06-03,39421,13343,6153,43116,1426,1713
2020-06-04,40042,13570,6280,44326,1442,1739
2020-06-05,40790,13801,6352,45556,1453,1765
2020-06-06,41637,14036,6437,46807,1462,1791
2020-06-07,42481,14275,6492,48079,1470,1816
2020-06-08,43152,14518,6590,49373,1481,1841
2020-06-09,43541,14764,6686,50689,1495,1865
2020-06-10,43878,15014,6799,52027,1510,1889
2020-06-11,44249,15268,6907,53388,1522,1913
2020-06-12,44702,15526,7009,54772,1531,1936
2020-06-13,45219,15788,7103,56179,1540,1959
2020-06-14,45695,16054,7179,57610,1546,1981
2020-06-15,46102,16324,7249,59065,1556,2003
2020-06-16,46429,16599,7333,60545,1568,2024
2020-06-17,46781,16880,7421,62050,1579,2045
2020-06-18,47183,17166,7495,63580,1590,2065
2020-06-19,47672,17457,7554,65136,1598,2085
2020-06-20,48199,17753,7605,66719,1606,2105
2020-06-21,48717,18053,7638,68328,1612,2124
2020-06-22,49181,18358,7678,69965,1625,2143
2020-06-23,49632,18668,7717,71629,1642,2161
2020-06-24,50055,18983,7769,73321,1660,2179
2020-06-25,50515,19303,7817,75042,1678,2196
2020-06-26,51004,19628,7884,76792,1699,2213
2020-06-27,51519,19959,7947,78571,1718,2229
2020-06-28,51994,20296,7998,80380,1732,2245
2020-06-29,52456,20638,8036,82220,1745,2261
2020-06-30,52885,20986,8078,84091,1763,2276
2020-07-01,53218,21339,8235,85993,1788,2291
2020-07-02,53516,21698,8446,87927,1815,2305
